session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
6057e3d081f65ce3d09ab08f,5ee50130f8d19d080bcc8263,APPROVED,2021-03-22 00:24:56.760000,2021-03-22 00:35:23.414000,626.654,22,513,2,100,2021-03-23 04:31:20.716000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),Part-Time,I know one other language in addition to English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6057e588f93c2f32c429e834,60368a98238695837a78529b,APPROVED,2021-03-22 00:32:10.166000,2021-03-22 00:44:49.193000,759.027,21,85,2,97,2021-03-23 04:32:09.162000,3900423D,none just my native langauge,United States,United States,New Hampshire (NH),New Hampshire (NH),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
6057ed1b391c96b2812d1a8b,5f579b85e5442025dcc0c068,APPROVED,2021-03-22 01:04:27.804000,2021-03-22 01:41:02.404000,2194.6,31,354,3,99,2021-03-23 04:33:00.494000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6057ef34fef82d3371d22fd3,5f163626e9b14f1bfccf2b67,APPROVED,2021-03-22 01:13:24.181000,2021-03-22 01:55:58.140000,2553.959,20,488,0,100,2021-03-23 04:35:16.802000,3900423D,none just my native langauge,United States,United States,Massachusetts (MA),New Hampshire (NH),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
6057f02469f4cc05326cd268,5fed3c440c041ef9579219e2,RETURNED,2021-03-22 01:17:24.856000,,676846.979308,36,5,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6057f0d7f73b17dbf2bddd99,5d62886927a84f00010fbbb4,APPROVED,2021-03-22 01:20:23.241000,2021-03-22 01:30:48.042000,624.801,34,755,0,100,2021-03-23 04:35:51.104000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),Connecticut (CT),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
6057f2b94cc920cd8e13465b,5f4cfe26fc6fe994078bedd3,APPROVED,2021-03-22 01:28:25.915000,2021-03-22 01:53:48.429000,1522.514,31,387,4,98,2021-03-23 04:36:32.384000,3900423D,native language + one other language,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I know one other language in addition to English,White/Caucasian,White,English,DATA EXPIRED,"English, French",No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
6057f465b74a10b0231e97a1,5ddee8912e6c77e798b5882f,RETURNED,2021-03-22 01:35:38.118000,,675753.734424,21,730,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6057f505b29378cfd9c5e7db,60482cefb198f41385293a2d,RETURNED,2021-03-22 01:38:16.675000,,675595.177554,20,81,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6057f6f1d46021ecb6526224,5e387f2c0d70ef099d5e5a4f,APPROVED,2021-03-22 01:52:06.414000,2021-03-22 02:10:55.765000,1129.351,38,478,0,100,2021-03-23 04:37:09.240000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
