session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
605b79b8cf758580be881f9f,5b50881a59119400018abaf3,APPROVED,2021-03-24 17:41:16.070000,2021-03-24 17:51:37.551000,621.481,39,1012,0,100,2021-03-27 13:21:47.956000,3900423D,none just my native langauge,United States,United States,Connecticut (CT),New Jersey (NJ),Full-Time,I only know English,Caucasian,White,,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605b7e63be260096149ec024,5c5fc78e96dff400013607a5,APPROVED,2021-03-24 18:01:10.320000,2021-03-24 18:25:05.029000,1434.709,37,847,1,100,2021-03-27 13:22:27.356000,3900423D,none just my native langauge,United States,United States,Maryland (MD),Maryland (MD),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605b80b8a0bee85eca1e106d,600f3bb4c3125f0d2a2f0d36,APPROVED,2021-03-24 18:11:08.460000,2021-03-24 18:25:22.964000,854.504,35,137,1,100,2021-03-27 13:22:58.796000,3900423D,none just my native langauge,United States,United States,Maryland (MD),Maryland (MD),Unemployed (and job seeking),I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605b84f837b4b2a5a4e42ad7,5dd1ab5dd3ac2a21600f87b8,APPROVED,2021-03-24 18:29:20.945000,2021-03-24 18:40:05.792000,644.847,33,942,7,99,2021-03-27 13:23:23.036000,3900423D,none just my native langauge,United States,United States,Michigan (MI),Michigan (MI),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605b85037ca1c3f69299812f,601e15660cc54b258b587d3d,APPROVED,2021-03-24 18:29:23.188000,2021-03-24 19:21:44.502000,3141.314,22,119,3,98,2021-03-27 13:23:48.645000,3900423D,none just my native langauge,United States,United States,Massachusetts (MA),Massachusetts (MA),Full-Time,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605b85cf2ec12c6d410b600b,5f49286a48bd2a43821fab14,APPROVED,2021-03-24 18:32:51.451000,2021-03-24 18:46:21.427000,809.976,37,502,0,100,2021-03-27 13:24:29.346000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605b86b904ba874e7f1ac081,5f80bc44efa2c013099af460,APPROVED,2021-03-24 18:36:45.132000,2021-03-24 18:47:58.808000,673.676,31,440,0,100,2021-03-27 13:25:02.991000,3900423D,none just my native langauge,United States,United States,Wisconsin (WI),Wisconsin (WI),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
605b86f71276b02b92efedf0,60274b8abca008526ce6433c,APPROVED,2021-03-24 18:37:47.959000,2021-03-24 19:08:02.908000,1814.949,32,116,0,100,2021-03-27 13:25:26.881000,3900423D,none just my native langauge,United States,United States,Illinois (IL),Illinois (IL),"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605b88dd3cdc9ad62c3c1934,56e6a66af6ed900006a5867c,APPROVED,2021-03-24 18:45:49.026000,2021-03-24 19:02:10.475000,981.449,40,2425,17,99,2021-03-27 13:25:54.202000,3900423D,none just my native langauge,United States,United States,Ohio (OH),Ohio (OH),Part-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605b88ff92d85cc4dd1c98c2,5bdab584b341a4000154256b,APPROVED,2021-03-24 18:46:23.808000,2021-03-24 18:59:32.106000,788.298,28,66,0,100,2021-03-27 13:26:16.508000,3900423D,none just my native langauge,United States,United States,Indiana (IN),Indiana (IN),Full-Time,I only know English,White/Caucasian,White,English,,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
