filename,duration,f0_00,f0_05,f0_10,f0_15,f0_20,f0_25,f0_30,f0_35,f0_40,f0_45,f0_50,f0_55,f0_60,f0_65,f0_70,f0_75,f0_80,f0_85,f0_90,f0_95,f0_100,f1_00,f1_05,f1_10,f1_15,f1_20,f1_25,f1_30,f1_35,f1_40,f1_45,f1_50,f1_55,f1_60,f1_65,f1_70,f1_75,f1_80,f1_85,f1_90,f1_95,f1_100,f2_00,f2_05,f2_10,f2_15,f2_20,f2_25,f2_30,f2_35,f2_40,f2_45,f2_50,f2_55,f2_60,f2_65,f2_70,f2_75,f2_80,f2_85,f2_90,f2_95,f2_100,in_00,in_05,in_10,in_15,in_20,in_25,in_30,in_35,in_40,in_45,in_50,in_55,in_60,in_65,in_70,in_75,in_80,in_85,in_90,in_95,in_100
andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo,0.9334200079454996,196.9265601759759,207.86610977803417,228.232792284817,229.63828826526452,216.62305490752084,200.6598835361222,192.09657672624115,207.552716339836,222.48158322421088,257.56176125137125,299.603773165404,288.4769405245532,222.07822040738964,167.8211067212644,166.67332984330037,160.92529663428647,155.18469411151486,145.8516970617964,146.75719271172875,149.97912389979157,156.69473022589253,1059.4630993906462,1041.9609035651356,809.7973288117137,410.347808595696,728.5776869171393,702.8071815718433,241.61080234321463,390.6915585149754,456.6049056077081,420.96813559335294,714.531704604472,379.80305312466413,686.2563174489287,479.4329429293221,435.94870226157025,434.6052335330704,401.67774680191394,347.9829408395125,413.62843092734903,397.5928398727661,1131.261593084895,1559.7576919271178,1637.1398551527695,1820.366874360706,1822.37820099132,1933.6142923883497,1816.2858087723112,2240.382322266703,2542.657423511313,2081.3573282371576,1394.3156988330172,1474.5031193219006,1650.4653975250358,1673.1409691010483,1327.8470316075916,1724.5642642429127,2488.5966989087187,2689.6550948749336,1410.1541564701613,1151.769106246118,992.8834327685502,2444.5735034141767,79.81978376400087,83.08077134879004,79.597223796804,76.02928635282699,78.30153147869405,78.0185425590823,75.13778338658281,79.0059211539121,82.7175277975438,70.69185136326645,79.9450702121523,79.29941625038164,80.77138502401974,72.42466050448587,73.19193703556648,75.96631859317812,74.53968082206208,73.18156610498413,65.94126139852052,70.49369249365033,60.38759706240962
andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,1.1211070413137223,NA,187.73958453859169,NA,167.38613580774188,170.15513326852522,182.0897591252922,198.10676763544325,209.5160922092877,228.54719998105784,239.28457536401143,261.50577717528023,257.10801677442544,235.59733990171765,187.47989182671108,158.3103602068646,161.80475906941322,160.161702119799,145.86211960844875,151.44646337132642,NA,NA,783.6456443442735,280.062663620251,733.2502739797538,793.7928482256683,529.0107774618268,442.62851075253366,578.864033194287,366.6884960715532,439.85290198940305,470.9941905120075,614.0858216856425,851.4500485488388,584.7732258891057,487.7830538112278,449.2455759216301,374.5434606193571,327.39767578180334,346.4733131690183,322.8166384240423,449.6559447597731,678.481599375086,2290.0584616323417,2536.061207559927,2011.6929797392936,1977.11334078475,2124.418377052444,2875.0025589503225,2458.505612574547,2646.9143263165183,2874.4165355748,1626.6830631573089,817.3894545471741,1165.4684053039516,1076.7691055158573,951.7650390416312,1376.3719062134458,2000.3217608522264,2575.375848785782,2019.45057603897,2633.5873184139705,2141.6208668747927,1629.1966628179175,64.1276942383022,75.76004916979969,73.81444913387556,83.98208412423035,72.15221840082177,74.57283522852364,78.35132709635194,79.54723521939876,79.28193798756408,76.5008925623642,81.10356886835137,83.36754376633395,75.67818165695753,77.66365667913334,76.54817879038701,77.54292280132135,77.65346570136752,69.67605970310174,79.2696449604227,66.10893432806857,58.4122393086923
andalusian_match_declarative-broad-focus_David-leia-el-libro,0.9670289957969808,NA,169.04394947896822,165.34709235646432,177.54085179247429,226.07285137016927,227.60383971066568,234.60420098519924,227.0173756797163,207.25809506888976,230.49152559206587,270.15392115783317,264.0832632276673,227.38382333417508,177.5505478230106,164.03929059407062,167.7756419912047,164.50494143270757,147.8349803915004,146.4831154925293,NA,NA,700.7017830879338,783.0711428652177,539.9955477483077,418.0038591135193,414.57586639675174,287.64898116066104,336.66231739173656,458.992868643795,441.5201956910512,438.0273115662278,503.66852046504147,661.6183725625636,433.3751234648149,366.1571297679504,325.615141001281,356.05192811659356,354.5435292035609,360.03659919777994,357.741904880715,494.1700602826588,904.9035846775266,1783.6412071856755,1732.8895987420487,1494.9535108370053,1663.3216896623435,2554.5806425236024,2372.7230005526208,2733.130391560632,2377.5689764368003,2532.781504963372,2639.9985308442147,2631.8462615885924,2255.7675515556266,2345.008937099651,2390.650816076704,2266.153131507603,1738.672347578384,1504.1927341797823,1767.712355897162,1965.494155778998,1344.5178974199282,2556.4274438901275,66.3368496110897,81.90593698286969,78.90681601321691,77.65193656829112,83.20301068183402,83.246466599505,83.2631914734262,86.80321375833952,82.33439277512296,82.03691507185418,81.52463602155002,83.82012162552425,82.21409483149907,78.34929978298926,75.7756336861648,78.97798213319331,78.69579755675421,74.17895043968555,70.76953481373253,73.92044528914295,61.5601246567242
andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha,1.157671148970298,NA,182.88760173370844,203.2738012099728,224.0921730019137,244.96349247042355,272.6004940478373,273.0147013204892,229.2935018336473,218.57927117772124,240.99724328866205,283.17694818483477,245.39387027455132,191.9896511945003,172.69935970418229,170.96582780409852,172.6482359174433,NA,NA,NA,NA,NA,480.7417245131591,329.7066404284275,320.5699580182536,428.1311981906578,351.86629261600666,404.4679582923554,555.4404238987811,786.3207100380405,1064.7712150778966,287.66130043944105,1105.3870259858818,839.2756554366778,350.72331194615504,718.0323143192155,718.5441291117817,636.7497678859054,601.3817566075131,1004.4159197404688,494.0703891384064,1000.4386692027464,1134.7427920600696,2360.095772436928,2250.913038025029,2141.3729958995896,2652.6664538446907,2644.509213426758,2714.104005461927,1718.5221548523127,1293.5258753772482,1220.135258816919,1331.4725449055034,1687.9345655301486,1775.094117298792,1537.2458546699918,1282.3561348164735,1701.5773313916136,1727.9017336363445,1923.6414244575951,2863.885061022964,1985.6456978969852,1718.0579104854914,2214.9723090973343,78.52468971980095,78.65165916150498,82.48435224922781,84.92612564297366,83.33264406360418,83.0467522812074,83.99463801802735,85.46942638327299,85.72895264392314,79.82768824667636,81.31714313190783,83.27166711825686,76.78215155854672,78.91607465702674,79.42868744755242,63.81020099115782,56.85292779512018,69.402647622566,68.72394421146369,63.24086805010893,56.55035897660336
andalusian_match_declarative-broad-focus_Manuela-vende-el-carro,1.0201175481579257,213.80661033988773,177.47846031022033,180.00655428322173,178.23775075997216,185.73274339280317,181.42948780237208,185.0513764915534,177.7506755041504,180.90334921629525,205.97584428973295,223.6542904891562,243.25564117608008,241.50170672352988,204.1836434611109,NA,NA,165.53446807460568,164.01473529287588,NA,NA,NA,224.2684261455463,782.1946537333725,673.0117746723209,446.61769061820536,549.8359224526719,542.789663168486,711.3018276869349,653.206026596028,526.1289738575942,421.09585756193593,333.9825032290002,280.93658840408716,489.7625285455888,398.0369366382829,397.8456159846865,660.8797755448668,909.9870268888895,862.5021061317358,811.116854469992,1066.7812018918926,1107.2561262166669,1630.1245146268477,1335.3146377343114,1767.823805991694,1468.4535314295913,1329.5348314317382,1969.535061451934,1790.3824093779783,1578.2779932907445,1827.5496572113295,2500.1197396446823,2655.7784337072803,2343.2704016336106,1807.58777599797,2411.291746048717,2107.9772726663905,1556.960955838424,1400.7320730286683,1827.29367508954,1842.9204435595784,1661.46487363631,1160.6918483942454,68.22406834132131,76.67960484039236,77.92508919040078,78.35261664542458,80.10350677501808,80.116710662533,81.98281967026895,81.31126154361603,82.49935889018205,80.80001576697056,80.70102737733612,77.32108506630786,82.97158288581518,76.00189403922728,63.029295482597455,77.38963429758932,77.60671451351496,68.05605844299416,64.0412219643419,57.21203126108387,54.006777763642866
andalusian_match_declarative-broad-focus_Maria-bebe-el-vino,0.9281549997534232,214.42373771818984,171.63872391034695,176.50613076554748,161.33071690953227,182.57166791425237,214.10502869435047,221.29057535255205,199.85281957070436,201.65918331246604,197.5163928469294,224.0304881076113,210.4423239999951,180.5064065629947,159.22016464438576,168.4311682685254,171.05983201036346,166.36737888557374,153.9560776181375,148.59340325851247,148.72001099654418,149.65351168167095,151.22449896738493,779.6688311233759,741.1591819562758,488.9842023708533,342.23839290955675,471.5672401553897,674.5682666635586,538.9313696618799,519.0473626309215,349.0575630291976,435.7024693699566,430.5815261306295,354.21510319165407,361.35949822964295,306.21231395684896,328.1874673330142,384.7582261158593,371.1010058441791,319.7920350220758,251.44893993221265,304.632290415295,1665.9609166183209,1492.391820348161,1946.2593185842152,2391.7076844841245,2498.437049538554,2534.7742189882,1859.9152675408232,1685.370219356776,2038.0291616555385,1816.120315693982,1924.0137615809697,2094.4411378709956,2097.037484799017,1599.227873736025,2101.838614260216,2862.197730925192,2695.745545302616,2242.589012325361,1612.5506464993666,1233.2768968646162,1590.6638314425495,64.9015579620301,77.12286768307992,78.37920749489334,77.82290343834566,78.60698933085592,85.3126382148142,85.58137344808837,75.87926352859871,83.2125730070352,76.03259055936726,82.64769032335592,82.89508377470877,75.14971251548235,73.20111591449044,76.13539026996438,75.88199879805711,76.3530693687147,76.44039222105556,77.29081288065781,70.09823475348097,60.70576563317742
andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo,1.1522196566560696,215.2472944386501,180.90204566314804,175.05091128769698,179.93928458862936,190.0151778812329,228.2608161618585,262.26909368756463,222.96128787346865,211.65958897038337,202.77763631944345,205.0148815845869,230.66659014045513,239.98807094594804,226.05245893450316,178.6353547859634,156.0961884587793,201.6106993689529,164.72095082480746,154.15403682912898,150.56694624640423,NA,220.059001031543,810.9587460251139,596.9398285104726,485.4742148570435,579.105135994687,917.0447856225904,914.0250878693612,620.9161650772539,692.9968808819393,964.8552250239268,531.5144632472254,481.5195551021571,679.2263425289951,487.1133729078641,333.10278405511133,365.3337745801912,1858.17422060894,402.0379796210234,307.88220311593585,274.8982724917767,264.4877264538183,1770.8728189178169,1625.7740250907657,1915.3742440264891,2547.915428179669,2570.9745605728567,1888.9710976672625,1794.5358313800198,1620.364813258568,1104.440988950954,1208.63363808153,1439.9347944897718,1613.1885685146965,1763.4691944223407,1960.872167238717,1761.5109334537149,2582.535556298326,2816.5342751703256,2725.6488734451177,1465.5045118623595,1346.9239649780131,1674.593323180463,68.83930334121199,76.39568328100336,77.0339645427948,78.10640337233981,77.87037306046511,81.08387913523123,81.8418814920296,77.63702502461415,81.25374404269884,86.06883670423682,77.90072446985376,80.97262902167982,81.40207694297418,81.04087016565035,73.83109535213643,64.03436602930047,65.8682542953389,78.37272161101143,75.08808924564478,73.54386359433245,58.10917551966067
andalusian_match_declarative-broad-focus_Marta-abre-el-regalo,1.0215569232952992,208.07825006863592,189.82497471387865,190.9323670058149,192.82520804222412,194.58074483498353,NA,210.6781172485297,220.93718425688175,227.26748538142544,285.8439037506825,288.35998565831113,257.4448019584249,198.5970236152825,171.434911400029,168.02288587643238,155.78376305994396,155.96603002007157,154.84746225622655,146.26574490987178,151.12138470998704,156.5694084866337,218.7207983241057,922.468067989195,988.1535239933236,842.6930315867862,621.467936339053,813.2310809354838,882.3433884163318,735.2433391654293,521.0216288055892,496.3829325556932,512.3942244368216,438.1663162969072,381.029720265918,520.7199924857958,552.7332263914176,492.2144738683585,818.8225899974567,739.2648847249458,388.0368396739627,423.08100760741183,557.2116093337322,1699.1587493496525,1398.2157273706505,1674.8496619027585,1900.0120955916416,1638.2982680146706,1973.6548069046528,1712.3229243123671,1484.8898187169225,1324.0845721390556,1665.0534991676666,1345.4894941625616,2239.208573939957,1862.0284733737535,1755.877162224088,1894.5549885951948,1637.322102758615,1396.15461635312,1547.8830597120082,1532.020847146318,1253.1735454318602,1671.039500502597,65.62282924956497,78.4804850735647,81.69494673304946,69.3425259848849,60.22927014456311,56.83656309962312,81.67316484595631,81.86917107426557,72.33753120191018,78.54384163188075,81.95431368971731,80.35666846650307,74.11367977851562,74.45220265698629,76.2881051184789,73.07776319466196,74.72042320362941,75.44823508281704,76.59990842034122,73.0151326428394,59.42995742158812
andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,0.847737668938876,NA,201.52872761918408,197.23087834481217,184.26326777010513,184.3105788823557,175.17896760541382,165.2396138305217,182.75781268099144,173.99073256387533,211.40646406441053,206.64823914372755,193.39431902035105,171.53091027569215,164.48734634339723,158.1587403064351,163.2811679216855,159.84017309170807,149.77232220194756,156.48984003697365,153.23971126949291,NA,716.0492669208263,980.86790006396825,921.8348244623996,501.8709988307653,854.1119695314271,572.4066484725992,389.4427236476873,465.44148721831107,404.5122313830352,556.531732809607,544.3189560049635,740.4545159462391,512.8457466277956,453.7906513510956,381.8225514966453,395.66709947920555,364.8395231796584,359.98689859329266,434.9189583823042,352.21188393105007,986.2378830204706,1504.3072741241635,1612.120365237913,2071.5447370623883,1915.3379105403635,2014.0391917791003,2284.5673422658774,2352.4622039410756,2571.294510881786,1488.4912543269693,1484.2784960682554,1784.3973824085388,1659.6442612663827,1359.808450113824,1630.2471908962325,2075.2836839723054,2605.0393955159348,2653.8110738830796,1964.707997227595,1060.0958886394355,1054.8597291591052,2396.691536781699,72.21526177967029,85.46048879105899,85.09570499152788,78.39540914007908,81.4848725347139,82.44833202867758,78.98575584022137,82.67959562238275,76.40196336303505,82.82628608061255,81.58524221899943,84.34666016591844,81.53649737463655,82.16692963552765,77.75443385400287,82.90068164371903,79.9686300722407,75.3368200140292,78.19884289413953,77.75092800677933,65.33984798380062
andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,0.9066741393973924,251.9013102348698,215.6128454632888,190.53718047415072,182.15146255381345,179.10026614844745,174.4089192218233,168.76961851030393,165.94070904202786,168.9186312941856,204.49039463579504,226.8593728598817,212.9302348436639,186.5505016674515,168.28359128566328,191.8913950752672,228.64431098990497,209.59775370821484,179.25543935252531,155.51288035517493,155.10102971521724,NA,280.76972845871444,1438.560789586917,767.9740780593486,569.2961631846501,442.5128040368383,502.7872067198776,477.5959266061219,427.6221045222979,400.69512778560846,626.0938724496441,707.7586219094848,470.3284253613003,545.34001784978,371.269835751625,400.4545811739163,410.8481740703048,335.06998349531534,345.93273815402716,447.1861184683604,786.6449552211536,826.1508218235606,1479.443028891446,2641.3808214011106,1889.5295951170424,2065.6168859453837,2265.1188740315206,2611.6451448335356,2380.2772518926163,2677.3986200168943,1418.4561696601204,1363.14104037965,1261.7191626566098,1093.822119584,1096.0437659994257,2004.0908805329643,2375.3121427366464,2569.049434397286,1863.9534873452249,2610.1092642878775,2479.272934975926,1735.3079125600295,1393.675306374222,64.30516491069663,70.07654277579645,81.51468657727216,77.73895033584097,77.89921012404885,79.06993038161032,79.51007260467031,82.8933047533859,81.09748551879407,81.8363813083086,84.82154424984044,79.48640114798859,83.10446701402293,78.70412976443097,80.71449991033323,79.64058903636347,74.38945248651925,77.38210300291726,80.52360073499935,73.47871949239047,62.918462578444185
