time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025057,1189.2,1295.7,2293.5,1041.9,3098.7,559.8,822.4,2413.1,3090.3,0,55.6,-200
0.027057,1371.5,2546.8,1885.1,1242.1,3018.9,518.1,822.4,2412.8,3090.2,0,55.8,-200
0.029057,537.8,4894.2,1768.6,890.7,2978.9,500.8,822.4,2412.3,3090.1,0,55.9,-200
0.031057,549.7,4792.5,1771.4,833.8,2958.7,513.3,822.4,2411.7,3089.9,0,55.9,-200
0.033057,778.9,3521.1,1847.8,852.6,2949.7,542.5,822.4,2410.8,3089.6,0,55.6,-200
0.035057,408.3,1417.7,1954.3,837.5,2960.4,650.4,822.5,2409.7,3089.3,0,54.9,-200
0.037057,550.2,976.6,2011.0,907.7,2961.3,1056.3,822.5,2408.4,3089,0,54.5,-200
0.039057,537.4,814.4,1903.6,1069.7,2661.5,970.2,822.6,2407,3088.6,0,53.6,-200
0.041057,494.4,719.2,1780.4,910.2,2694.3,709.4,822.6,2405.3,3088.1,0,52.4,-200
0.043057,461.0,626.0,1754.8,724.1,2779.1,603.6,822.7,2403.5,3087.6,0,50.9,-200
0.045057,439.7,579.0,1775.7,622.5,2881.3,575.1,822.7,2401.4,3087,0,49.6,-200
0.047057,418.0,639.8,1796.2,624.6,2997.6,576.0,822.8,2399.2,3086.4,0,49,-200
0.049057,369.1,920.4,1767.7,763.2,3111.4,527.7,822.8,2396.8,3085.7,0,48.9,-200
0.051057,1630.3,1048.4,3157.3,504.0,3738.0,1265.2,822.9,2394.2,3085,0,49.4,-200
0.053057,1303.2,1087.7,2376.3,2350.2,3190.9,587.7,823,2391.4,3084.3,0,50,-200
0.055057,1156.9,926.6,2427.1,1328.9,3268.2,732.1,823.1,2388.4,3083.4,0,50.2,-200
0.057057,1102.3,929.9,2390.9,989.5,3376.6,806.3,823.2,2385.3,3082.6,0,50.4,-200
0.059057,874.4,2727.7,1008.8,1162.6,2318.8,960.9,823.2,2382,3081.6,0,50.4,-200
0.061057,854.1,812.7,1769.8,3113.3,2065.2,991.1,823.3,2378.4,3080.7,0,50.5,-200
0.063057,849.2,525.2,1945.7,688.0,3107.2,717.8,823.4,2374.7,3079.6,0,50.5,-200
0.065057,841.7,377.9,1939.4,603.8,3039.0,666.9,823.5,2370.9,3078.6,0,50.7,-200
0.067057,830.2,316.1,1966.0,640.0,3031.8,736.8,823.6,2366.8,3077.4,0,50.9,-200
0.069057,813.6,303.6,2021.4,770.6,2656.5,5857.4,823.7,2362.6,3076.3,0,51,-200
0.071057,790.3,326.0,2091.6,956.3,2355.8,3398.0,823.8,2358.2,3075,0,50.9,-200
0.073057,747.8,365.2,2032.9,1257.2,2759.8,2039.4,823.9,2353.7,3073.8,0,50.8,-200
0.075057,686.7,383.0,1878.4,1108.2,2782.2,891.7,824.1,2349,3072.5,0,50.9,-200
0.077057,640.8,371.3,1860.7,883.2,2736.6,609.2,824.2,2344.1,3071.1,0,51.1,-200
0.079057,619.6,351.5,1867.2,716.0,2687.8,501.2,824.3,2339,3069.7,0,51.7,-200
0.081057,608.0,333.6,1898.6,610.6,2650.6,492.4,824.4,2333.8,3068.3,0,52.1,-200
0.083057,587.9,332.9,1964.6,533.5,2633.7,575.5,824.5,2328.5,3066.8,0,52.3,-200
0.085057,557.4,364.8,2047.8,446.8,2679.3,778.2,824.6,2323,3065.2,0,52.3,-200
0.087057,526.1,418.4,2105.9,351.7,2881.9,989.7,824.7,2317.3,3063.7,0,52.1,-200
0.089057,509.8,460.1,2140.8,291.0,3123.4,643.1,824.8,2311.5,3062,0,52.4,-200
0.091057,522.3,462.8,2162.6,278.3,3134.7,406.4,824.9,2305.6,3060.4,0,52.3,-200
0.093057,552.7,458.4,2174.7,317.5,3129.5,335.8,825,2299.5,3058.7,0,52.2,-200
0.095057,576.7,478.4,2177.9,410.4,3142.4,383.8,825.2,2293.3,3056.9,0,52.2,-200
0.097057,584.1,544.5,2196.2,491.7,3222.2,504.0,825.3,2286.9,3055.2,0,52.1,-200
0.099057,574.0,694.0,1570.1,3221.3,2233.8,495.0,825.4,2280.4,3053.4,0,52,-200
0.101057,532.0,940.2,1454.9,2485.4,2249.2,483.9,825.4,2273.8,3051.5,0,52.1,-200
0.103057,419.9,1329.8,1333.1,2241.5,2242.9,521.7,825.5,2267.1,3049.6,0,52.1,-200
0.105057,1053.8,2002.5,2221.7,576.5,3434.2,413.9,825.6,2260.2,3047.7,0,52.1,-200
0.107057,966.2,1352.2,2207.9,581.1,3427.7,460.1,825.7,2253.3,3045.7,0,52.2,-200
0.109057,954.9,991.6,2221.4,561.9,3441.2,562.3,825.8,2246.2,3043.8,0,52.3,-200
0.111057,944.9,865.9,2267.6,601.2,3524.1,747.6,825.8,2239,3041.7,0,52.7,-200
0.113057,907.8,945.9,2395.9,736.7,3303.6,1913.1,825.9,2231.7,3039.7,0,53.2,-200
0.115057,702.7,1089.0,2589.2,716.1,2831.7,2440.9,826,2224.3,3037.6,0,53.5,-200
0.117057,559.7,744.3,2416.3,1848.2,2645.7,678.3,826,2216.8,3035.5,0,53.8,-200
0.119057,524.9,549.7,2254.9,1094.2,2683.2,643.5,826,2209.2,3033.4,0,54,-200
0.121057,509.3,487.9,2222.1,816.9,2688.6,590.5,826.1,2201.5,3031.2,0,54,-200
0.123057,484.3,507.9,2245.2,726.4,2673.4,632.5,826.1,2193.7,3029,0,53.9,-200
0.125057,427.1,578.5,2321.7,702.4,2623.5,875.2,826.1,2185.8,3026.8,0,53.8,-200
0.127057,365.7,659.1,2365.6,538.7,2627.8,1707.7,826.1,2177.9,3024.5,0,53.7,-200
0.129057,331.7,953.8,2340.0,451.5,3253.6,438.2,826.1,2169.9,3022.3,0,53.8,-200
0.131057,840.2,972.3,2288.0,435.2,3235.4,445.4,826.1,2161.8,3020,0,54.1,-200
0.133057,917.9,626.6,2224.9,463.9,3218.8,563.7,826.1,2153.6,3017.7,0,54.4,-200
0.135057,936.1,506.0,2184.4,524.3,3185.7,736.4,826,2145.4,3015.4,0,54.3,-200
0.137057,940.7,472.5,2191.6,632.5,3156.5,875.1,826,2137.2,3013,0,53.8,-200
0.139057,938.9,495.7,2308.4,881.3,3125.9,1054.5,825.9,2128.8,3010.7,0,53.2,-200
0.141057,866.0,3801.9,926.6,552.6,2664.3,805.7,825.8,2120.5,3008.3,0,52.8,-200
0.143057,895.0,639.5,1198.8,1848.4,2742.2,497.8,825.7,2112.1,3005.9,0,52.6,-200
0.145057,817.5,815.6,1209.7,1347.2,2759.4,387.7,825.6,2103.6,3003.5,0,53.3,-200
0.147057,647.0,1042.2,1230.8,1056.9,2756.7,354.7,825.5,2095.1,3001,0,54.3,-200
0.149057,403.4,1227.5,1239.8,926.1,2744.9,372.2,825.3,2086.6,2998.6,0,55.2,-200
