time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025821,468.0,580.9,2118.2,1289.3,3073.0,1565.1,632.2,1805.1,2922.6,0,51.7,-200
0.027821,551.5,715.5,2090.7,1322.7,3153.5,1041.2,632.2,1805.2,2922.6,0,51.2,-200
0.029821,730.2,788.6,2200.7,1529.0,3116.2,906.7,632.1,1805.4,2922.5,0,50.5,-200
0.031821,854.6,695.4,2382.2,1559.1,3075.5,922.0,632.1,1805.6,2922.4,0,49.8,-200
0.033821,917.4,625.2,2452.5,1534.1,3038.5,909.9,632,1805.9,2922.3,0,49,-200
0.035821,959.0,580.4,2417.0,1562.1,3030.8,817.9,632,1806.3,2922.1,0,48.9,-200
0.037821,984.3,557.8,2393.4,1589.6,3048.7,770.3,631.9,1806.8,2921.9,0,49.6,-200
0.039821,975.5,591.0,2419.3,1522.9,3103.0,842.7,631.8,1807.3,2921.7,0,50.5,-200
0.041821,918.3,689.2,2412.8,1249.8,3250.6,939.3,631.7,1807.9,2921.4,0,51.3,-200
0.043821,832.3,836.4,2387.4,1033.1,3406.0,879.9,631.6,1808.6,2921.1,0,52.2,-200
0.045821,745.0,1112.4,2425.2,989.4,3506.8,800.1,631.5,1809.4,2920.8,0,52.7,-200
0.047821,631.0,2094.3,2534.4,1051.9,3569.1,818.2,631.4,1810.2,2920.4,0,52.7,-200
0.051821,1492.6,2149.2,2905.4,844.2,3920.5,953.9,631.2,1811.1,2920.1,0,52.7,-200
0.053821,173.6,1064.3,1373.9,1669.2,2908.9,701.6,631.1,1812,2919.7,0,53,-200
0.055821,305.0,781.9,1377.2,1361.8,2876.1,612.6,630.9,1813,2919.2,0,53.2,-200
0.057821,337.7,579.9,1452.9,1160.5,2846.2,534.2,630.8,1814.1,2918.8,0,53.4,-200
0.059821,346.9,452.5,1549.0,963.2,2827.2,478.8,630.6,1815.3,2918.3,0,53.7,-200
0.061821,350.2,413.0,1614.0,815.8,2819.2,459.4,630.4,1816.5,2917.7,0,54.1,-200
0.063821,342.6,445.8,1646.8,748.2,2826.5,487.2,630.2,1817.7,2917.2,0,54.4,-200
0.065821,316.3,544.5,1659.8,764.8,2862.7,577.5,630,1819.1,2916.6,0,54.8,-200
0.067821,278.8,691.1,1662.9,846.6,2946.7,719.8,629.8,1820.5,2916,0,55.2,-200
0.069821,288.4,746.6,1632.9,927.6,3074.7,868.5,629.5,1821.9,2915.4,0,55.3,-200
0.071821,352.7,582.0,1557.4,886.9,3148.5,1156.7,629.3,1823.5,2914.7,0,55.1,-200
0.073821,389.9,418.9,1532.6,795.2,2813.3,1214.5,629,1825,2914,0,54.8,-200
0.075821,404.6,322.2,1566.4,772.0,2656.3,961.3,628.8,1826.7,2913.3,0,54.3,-200
0.077821,407.7,277.1,1614.5,822.9,2560.3,810.3,628.5,1828.4,2912.6,0,54,-200
0.079821,407.4,276.2,1637.3,943.3,2508.9,702.5,628.2,1830.1,2911.8,0,53.9,-200
0.081821,406.3,327.2,1643.9,1096.9,2520.3,666.3,627.9,1831.9,2911.1,0,54.1,-200
0.083821,393.6,468.2,1698.9,1336.8,2572.6,759.9,627.6,1833.7,2910.3,0,54.6,-200
0.085821,275.3,915.6,1954.6,1763.7,2701.9,1016.0,627.3,1835.6,2909.4,0,55.3,-200
0.087821,1001.6,1466.5,2206.8,1474.7,2910.6,990.7,626.9,1837.6,2908.6,0,55.4,-200
