time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025224,497.2,1179.0,1924.4,673.2,2519.8,579.4,605.6,1563.4,2288.9,0,53.5,-200
0.027224,792.9,944.8,1918.0,589.9,2506.8,469.2,605.6,1563.4,2288.9,0,52.4,-200
0.029224,895.8,646.7,1899.1,479.4,2496.1,303.2,605.6,1563.4,2288.9,0,51.7,-200
0.031224,909.3,475.9,1892.5,376.8,2489.9,220.2,605.5,1563.4,2288.9,0,51.8,-200
0.033224,887.5,382.1,1904.1,290.3,2489.1,203.4,605.5,1563.4,2288.9,0,52.3,-200
0.035224,862.8,345.0,1929.5,233.0,2500.5,244.7,605.5,1563.3,2288.8,0,53,-200
0.037224,856.3,352.4,1953.2,195.4,2539.0,320.3,605.5,1563.3,2288.8,0,53.6,-200
0.039224,872.0,396.6,1962.2,169.0,2606.8,343.8,605.4,1563.2,2288.8,0,53.7,-200
0.041224,899.0,462.5,1957.4,156.8,2658.6,289.0,605.4,1563.2,2288.8,0,53.2,-200
0.043224,921.3,533.1,1944.0,159.6,2694.8,235.7,605.3,1563.1,2288.7,0,52.7,-200
0.045224,917.0,574.6,1927.1,179.5,2727.4,211.8,605.3,1563.1,2288.7,0,52.5,-200
0.047224,886.8,612.4,1919.0,217.4,2765.6,215.0,605.2,1563,2288.7,0,51.8,-200
0.049224,837.0,706.5,1938.6,251.8,2814.1,230.1,605.2,1562.9,2288.6,0,50.8,-200
0.051224,774.1,755.2,1965.9,248.5,2845.7,243.1,605.1,1562.9,2288.6,0,50.3,-200
0.053224,780.4,647.0,1975.4,236.1,2838.6,277.0,605,1562.8,2288.5,0,50.5,-200
0.055224,828.5,524.5,1973.3,232.7,2783.2,317.4,605,1562.7,2288.5,0,50.9,-200
0.057224,866.8,433.0,1969.1,241.9,2711.0,281.7,604.9,1562.6,2288.4,0,51.3,-200
0.059224,885.1,373.1,1963.7,270.9,2668.2,221.9,604.8,1562.5,2288.3,0,51.7,-200
0.061224,891.1,329.3,1956.1,321.0,2643.5,191.1,604.7,1562.4,2288.3,0,52,-200
0.063224,896.9,287.4,1949.4,389.5,2623.9,191.5,604.6,1562.2,2288.2,0,52,-200
