time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025297,699.7,647.0,2043.3,449.8,2959.6,736.2,638.4,1764.2,3025.2,0,49.9,-200
0.027297,759.4,583.0,2030.1,295.5,3007.3,688.2,638.5,1764.2,3025.1,0,49.8,-200
0.029297,782.0,589.8,2013.9,218.6,2978.9,577.8,638.5,1764.2,3024.9,0,50.4,-200
0.031297,806.2,671.5,1998.0,167.4,2936.3,407.1,638.6,1764.2,3024.7,0,50.8,-200
0.033297,862.3,824.4,1983.4,129.0,2918.0,284.3,638.7,1764.3,3024.4,0,51.4,-200
0.035297,929.7,993.8,1972.8,113.2,2918.4,243.6,638.9,1764.3,3024.1,0,52.3,-200
0.037297,974.8,1132.5,1967.3,118.4,2923.9,253.3,639.1,1764.4,3023.7,0,53,-200
0.039297,970.2,1201.5,1967.4,149.0,2927.8,300.1,639.3,1764.5,3023.2,0,53.7,-200
0.041297,936.5,1269.4,1966.4,201.3,2928.3,363.6,639.5,1764.6,3022.7,0,54.5,-200
0.043297,896.5,1427.5,1954.1,244.9,2931.2,415.9,639.8,1764.7,3022.1,0,55.3,-200
0.045297,864.5,1663.4,1938.2,244.9,2946.6,452.7,640.1,1764.8,3021.5,0,55.9,-200
0.047297,827.3,1962.8,1929.7,234.7,2974.7,509.1,640.4,1764.9,3020.7,0,56.2,-200
0.049297,745.3,2253.5,1929.2,247.7,3014.4,578.7,640.8,1765,3020,0,56.2,-200
0.051297,756.0,2108.7,1941.4,301.4,3074.7,596.0,641.1,1765.2,3019.1,0,55.9,-200
0.053297,927.1,1336.4,1987.0,396.6,3140.1,513.7,641.5,1765.3,3018.2,0,55.6,-200
0.055297,994.2,765.7,2047.6,451.0,3174.6,428.7,642,1765.5,3017.3,0,55.2,-200
0.057297,1014.9,502.1,2070.5,454.3,3192.1,383.9,642.4,1765.6,3016.3,0,54.5,-200
0.059297,1030.2,409.2,2056.0,418.7,3203.9,375.6,642.9,1765.8,3015.2,0,53.9,-200
0.061297,1047.8,389.4,2047.2,380.2,3226.1,384.1,643.4,1766,3014.1,0,53.4,-200
0.063297,1062.5,395.5,2056.8,364.3,3253.4,368.7,643.9,1766.2,3012.9,0,53.3,-200
0.065297,1056.4,397.2,2072.5,372.4,3255.1,327.1,644.5,1766.4,3011.6,0,53.3,-200
0.067297,1023.6,384.6,2076.2,394.3,3234.7,287.3,645.1,1766.6,3010.3,0,53.4,-200
0.069297,980.2,390.6,2048.6,419.1,3212.0,272.6,645.7,1766.8,3008.9,0,53.6,-200
0.071297,938.7,452.3,2009.3,450.5,3198.1,304.5,646.4,1767,3007.5,0,53.9,-200
0.073297,892.1,607.7,1982.0,534.2,3192.7,416.1,647,1767.2,3006,0,54.2,-200
0.075297,825.0,879.2,1964.3,691.0,3193.5,608.5,647.7,1767.4,3004.4,0,54.2,-200
0.077297,645.6,1244.1,1933.4,861.6,3187.1,818.3,648.4,1767.7,3002.8,0,53.9,-200
0.079297,414.9,1101.5,1909.4,866.3,3159.8,818.8,649.2,1767.9,3001.1,0,53.2,-200
0.081297,503.1,1101.6,1905.2,795.5,3143.4,717.0,649.9,1768.1,2999.4,0,52.3,-200
0.083297,766.1,1069.0,1915.9,790.6,3145.9,693.1,650.7,1768.4,2997.6,0,51.4,-200
0.085297,940.7,796.4,1962.1,836.5,3156.9,753.4,651.5,1768.6,2995.7,0,50.6,-200
0.087297,985.8,631.2,2022.0,951.5,3167.2,911.1,652.4,1768.9,2993.8,0,49.8,-200
0.089297,960.7,744.1,2130.1,1439.3,3200.2,1311.0,653.3,1769.1,2991.9,0,49.1,-200
0.091297,489.8,817.2,1250.8,1201.9,2645.2,1137.5,654.1,1769.3,2989.8,0,48.8,-200
0.093297,462.6,391.6,1392.5,928.3,2691.0,835.5,655.1,1769.6,2987.7,0,48.8,-200
0.095297,451.3,251.7,1436.6,813.3,2711.3,683.6,656,1769.8,2985.6,0,49.2,-200
0.097297,446.6,218.7,1414.9,708.1,2710.3,559.2,656.9,1770.1,2983.4,0,49.9,-200
0.099297,437.8,274.4,1355.8,627.9,2700.7,484.0,657.9,1770.3,2981.2,0,50.8,-200
0.101297,404.6,411.3,1302.5,593.3,2693.5,479.0,658.9,1770.6,2978.9,0,51.5,-200
0.103297,316.0,604.1,1262.7,577.9,2684.8,538.5,660,1770.8,2976.5,0,52,-200
0.105297,209.3,704.4,1249.4,588.1,2667.8,637.9,661,1771.1,2974.1,0,52.6,-200
0.107297,161.5,703.0,1244.4,663.2,2628.7,779.4,662.1,1771.3,2971.6,0,53,-200
0.109297,102.8,759.9,1210.0,857.3,2538.0,963.0,663.2,1771.5,2969.1,0,53.1,-200
