time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025952,1313.2,1877.2,2617.0,489.1,3581.4,760.2,1676.5,2729.3,3727.7,0,57.1,-200
0.027952,1495.6,1912.5,2684.9,681.9,3596.8,992.2,1676.2,2729.1,3727.6,0,57.4,-200
0.029952,1734.1,1629.6,2880.2,870.0,3775.0,1462.1,1675.6,2728.7,3727.5,0,57.6,-200
0.031952,1835.0,1322.5,3021.6,847.5,4002.2,1507.4,1674.8,2728.2,3727.3,0,57.8,-200
0.033952,1909.0,1271.1,3098.9,996.8,3935.1,1706.2,1673.8,2727.6,3727.1,0,58.1,-200
0.035952,1976.3,1396.6,2989.1,1990.0,3458.7,1273.8,1672.6,2726.8,3726.8,0,58.5,-200
0.037952,1912.9,1625.8,2554.2,1192.0,3554.8,870.5,1671.2,2725.9,3726.5,0,58.7,-200
0.039952,1825.1,1699.0,2534.3,743.5,3595.0,693.8,1669.5,2724.9,3726.1,0,58.8,-200
0.041952,1696.0,1785.6,2522.4,485.1,3616.6,575.2,1667.6,2723.7,3725.7,0,58.8,-200
0.043952,1502.5,1848.9,2509.6,349.8,3622.4,518.0,1665.6,2722.4,3725.3,0,58.4,-200
0.045952,1232.0,1796.7,2500.5,282.6,3615.7,521.7,1663.2,2720.9,3724.7,0,57.9,-200
0.047952,1093.7,1379.0,2500.8,254.6,3599.1,576.4,1660.7,2719.3,3724.2,0,57.1,-200
0.049952,1134.7,1174.6,2512.4,251.2,3581.4,642.9,1658,2717.6,3723.6,0,56.1,-200
0.051952,1209.3,1101.2,2532.4,262.5,3576.8,639.9,1655,2715.7,3722.9,0,54.8,-200
0.053952,1277.7,1049.0,2549.4,286.3,3578.5,551.8,1651.8,2713.7,3722.2,0,53.9,-200
0.055952,1321.3,1064.9,2555.2,332.3,3569.9,472.2,1648.5,2711.6,3721.4,0,53.5,-200
0.057952,1381.8,1195.3,2554.9,401.0,3552.9,451.4,1644.9,2709.3,3720.6,0,53.8,-200
