time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025070,686.5,1109.3,2282.9,268.5,3092.9,1034.8,775.8,2256.5,3089.6,0,57.5,-200
0.027070,711.3,1127.6,2270.4,263.2,3173.5,833.0,775.7,2256.4,3089.5,0,57.4,-200
0.029070,737.3,1103.4,2268.4,253.8,3120.3,612.7,775.6,2256.2,3089.4,0,57.5,-200
0.031070,752.3,1063.1,2281.7,245.8,3060.3,469.1,775.4,2255.9,3089.2,0,57.7,-200
0.033070,754.5,953.0,2305.9,245.7,3023.8,423.8,775.2,2255.6,3089.1,0,57.9,-200
0.035070,736.7,842.4,2327.3,253.8,3021.7,508.0,774.9,2255.1,3088.8,0,58.1,-200
0.037070,716.1,801.3,2334.8,262.2,3035.6,707.8,774.5,2254.6,3088.6,0,58.3,-200
0.039070,687.4,802.2,2327.2,290.6,2983.9,934.6,774.2,2254,3088.2,0,58.3,-200
0.041070,645.7,796.4,2292.8,360.4,2836.5,825.4,773.7,2253.4,3087.9,0,58.3,-200
0.043070,598.8,820.7,2235.3,389.9,2808.8,544.7,773.2,2252.6,3087.5,0,58.4,-200
0.045070,552.3,964.6,2235.6,392.3,2840.0,452.4,772.7,2251.8,3087.1,0,58.7,-200
0.047070,504.0,1362.0,2300.3,388.7,2903.2,484.3,772,2250.9,3086.6,0,59.1,-200
0.049070,928.3,1837.3,2365.8,324.7,2993.3,518.8,771.4,2249.9,3086.1,0,59.5,-200
0.051070,1032.7,1570.9,2396.7,281.0,3054.8,549.1,770.7,2248.8,3085.5,0,60,-200
0.053070,991.3,1667.8,2418.0,288.6,3073.2,669.9,769.9,2247.7,3084.9,0,60.2,-200
0.055070,589.3,1935.2,2436.5,347.3,3008.1,925.5,769.1,2246.5,3084.3,0,60.3,-200
0.057070,500.6,1322.6,2425.8,456.7,2819.5,970.6,768.3,2245.2,3083.6,0,60.1,-200
0.059070,484.1,1271.6,2343.8,485.9,2814.2,737.6,767.4,2243.8,3082.9,0,59.8,-200
0.061070,447.6,1388.1,2290.9,419.2,2873.6,646.3,766.4,2242.4,3082.1,0,59.4,-200
0.063070,427.6,1405.8,2261.4,379.9,2911.2,627.6,765.4,2240.9,3081.3,0,59,-200
0.065070,454.4,1261.7,2237.2,372.4,2908.9,628.2,764.3,2239.3,3080.5,0,58.6,-200
0.067070,460.4,1198.0,2221.3,390.9,2882.5,599.0,763.2,2237.6,3079.6,0,58.3,-200
0.069070,456.2,1249.5,2221.2,453.2,2848.0,570.4,762.1,2235.9,3078.7,0,58.2,-200
0.071070,524.3,1258.3,2235.3,543.7,2805.9,547.2,760.9,2234.1,3077.8,0,58.2,-200
0.073070,676.7,1009.0,2253.2,607.0,2772.1,514.5,759.6,2232.3,3076.8,0,58.3,-200
0.075070,780.7,697.2,2259.6,611.5,2761.4,496.1,758.3,2230.3,3075.8,0,58.3,-200
0.077070,831.6,517.5,2269.3,611.0,2759.9,530.6,757,2228.3,3074.7,0,58.5,-200
0.079070,856.3,455.4,2315.8,595.8,2753.8,659.8,755.6,2226.3,3073.6,0,58.4,-200
0.081070,862.5,463.1,2367.0,475.5,2778.0,876.0,754.1,2224.2,3072.5,0,58.2,-200
0.083070,841.7,524.8,2362.4,348.0,2861.1,970.0,752.7,2222,3071.3,0,57.9,-200
0.085070,779.7,631.2,2336.0,273.6,2937.2,910.5,751.1,2219.8,3070.1,0,58,-200
0.087070,690.4,687.6,2309.8,231.6,2987.8,832.0,749.6,2217.5,3068.9,0,58.1,-200
0.089070,637.5,645.5,2290.7,217.6,2995.6,779.2,748,2215.1,3067.6,0,58.3,-200
0.091070,644.7,596.8,2279.3,230.0,2951.2,707.4,746.3,2212.7,3066.3,0,58.2,-200
0.093070,713.6,551.0,2278.4,258.5,2909.4,578.4,744.6,2210.2,3065,0,57.9,-200
0.095070,816.5,447.1,2292.4,277.1,2907.5,453.5,742.9,2207.7,3063.7,0,57.4,-200
0.097070,886.7,320.0,2309.5,277.2,2930.0,358.5,741.1,2205.1,3062.3,0,56.7,-200
0.099070,917.2,249.0,2313.1,272.4,2957.6,287.4,739.3,2202.5,3060.8,0,56.2,-200
0.101070,925.5,235.2,2299.2,269.4,2982.0,242.4,737.4,2199.8,3059.4,0,55.9,-200
0.103070,921.9,262.5,2276.0,260.2,3011.0,222.2,735.5,2197.1,3057.9,0,56,-200
0.105070,913.4,328.0,2255.8,234.0,3053.6,223.1,733.6,2194.3,3056.4,0,56.5,-200
0.107070,912.1,421.8,2240.9,190.4,3108.5,231.6,731.6,2191.5,3054.9,0,56.9,-200
0.109070,918.8,504.4,2230.7,151.8,3159.7,252.8,729.6,2188.6,3053.3,0,57.2,-200
0.111070,914.1,564.4,2226.1,137.8,3197.6,311.8,727.6,2185.7,3051.7,0,57.3,-200
0.113070,893.8,625.6,2226.7,149.6,3235.9,438.3,725.5,2182.7,3050.1,0,57.2,-200
0.115070,872.8,689.5,2233.9,191.3,3295.0,629.1,723.4,2179.8,3048.4,0,57.1,-200
0.117070,877.3,761.3,2249.6,277.5,3380.0,773.4,721.2,2176.7,3046.8,0,57.2,-200
0.119070,909.7,851.6,2259.4,415.3,3390.7,715.8,719,2173.7,3045.1,0,57,-200
0.121070,935.6,960.1,2227.2,498.5,3314.4,564.4,716.8,2170.6,3043.3,0,56.5,-200
0.123070,934.4,1069.6,2181.7,462.2,3241.9,423.9,714.6,2167.4,3041.6,0,56,-200
0.125070,903.3,1140.3,2163.0,411.3,3185.1,345.2,712.3,2164.3,3039.8,0,55.6,-200
0.127070,865.0,1093.9,2163.1,393.7,3141.2,310.2,710,2161.1,3038.1,0,55.6,-200
0.129070,844.3,1001.7,2165.8,411.2,3113.0,316.7,707.7,2157.9,3036.2,0,56,-200
0.131070,829.1,1011.7,2169.0,439.1,3110.7,370.7,705.3,2154.6,3034.4,0,56.7,-200
0.133070,799.7,1081.2,2189.9,432.7,3153.0,465.0,702.9,2151.4,3032.6,0,57.6,-200
0.135070,788.4,1033.6,2233.7,377.8,3240.3,534.6,700.5,2148.1,3030.7,0,58.4,-200
0.137070,807.6,849.7,2280.8,305.3,3337.3,531.8,698,2144.8,3028.8,0,58.9,-200
0.139070,819.6,681.4,2311.2,247.0,3413.5,484.5,695.6,2141.5,3026.9,0,59.2,-200
0.141070,814.2,604.9,2321.0,223.6,3465.0,435.5,693.1,2138.1,3025,0,59.2,-200
0.143070,787.9,597.6,2317.3,242.6,3496.3,401.7,690.6,2134.8,3023.1,0,59,-200
0.145070,740.4,616.9,2309.4,324.7,3503.5,411.9,688,2131.4,3021.1,0,58.5,-200
0.147070,707.5,659.7,2312.4,508.7,3497.0,492.1,685.5,2128.1,3019.2,0,58,-200
0.149070,733.5,813.6,2357.7,801.0,3503.2,659.2,682.9,2124.7,3017.2,0,57.6,-200
0.151070,821.4,1049.7,2459.9,1044.3,3558.9,861.9,680.3,2121.3,3015.2,0,57.3,-200
0.153070,940.1,1338.9,2537.8,1133.6,3616.7,998.5,677.7,2117.9,3013.2,0,57.6,-200
