time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025540,466.3,690.7,1984.0,175.3,2675.0,285.9,1049.3,2255.6,3001,0,60,-200
0.027540,500.3,630.3,1974.5,140.5,2707.9,245.8,1049.2,2255.6,3001,0,59.7,-200
0.029540,530.9,608.7,1970.3,126.3,2735.8,219.8,1049.1,2255.6,3001,0,59.1,-200
0.031540,557.9,618.6,1971.2,132.9,2751.0,209.8,1048.8,2255.6,3000.9,0,58.4,-200
0.033540,570.0,689.9,1981.8,169.7,2750.2,234.9,1048.5,2255.6,3000.9,0,57.9,-200
0.035540,566.6,849.5,2002.5,249.0,2728.4,310.8,1048.1,2255.7,3000.9,0,57.7,-200
0.037540,563.0,1119.2,2029.4,410.5,2667.0,430.0,1047.6,2255.7,3000.8,0,58,-200
0.039540,568.1,1504.7,2036.8,753.6,2553.5,467.6,1047.1,2255.7,3000.7,0,58.7,-200
0.041540,573.2,1956.7,1909.2,1153.3,2509.7,351.8,1046.5,2255.8,3000.7,0,59.2,-200
0.043540,607.7,2233.9,1797.8,1279.0,2531.3,291.1,1045.8,2255.9,3000.6,0,59.7,-200
0.045540,706.1,2167.3,1832.6,1310.8,2566.4,275.4,1045,2255.9,3000.5,0,59.7,-200
0.047540,774.9,1921.1,1956.3,1228.0,2608.3,288.6,1044.2,2256,3000.4,0,59.5,-200
0.049540,772.0,1796.6,2033.9,1036.9,2664.2,325.9,1043.3,2256.1,3000.3,0,59.2,-200
0.051540,697.9,1901.1,2023.6,876.4,2734.0,369.8,1042.3,2256.2,3000.2,0,58.8,-200
0.053540,569.8,1923.4,1982.9,744.2,2786.6,427.3,1041.3,2256.3,3000.1,0,58.4,-200
0.055540,530.6,1855.8,1998.7,691.6,2787.7,519.5,1040.2,2256.4,2999.9,0,58,-200
0.057540,579.6,1685.6,2075.0,670.0,2767.4,586.6,1039,2256.5,2999.8,0,57.8,-200
0.059540,631.4,1359.6,2155.7,589.6,2771.9,573.7,1037.7,2256.6,2999.6,0,57.9,-200
0.061540,636.0,1098.0,2200.4,511.9,2794.3,518.3,1036.4,2256.7,2999.5,0,58.1,-200
0.063540,621.3,941.9,2219.2,476.8,2817.5,460.0,1035,2256.8,2999.3,0,58.3,-200
0.065540,601.5,871.7,2218.1,477.6,2828.5,418.2,1033.6,2257,2999.2,0,58.5,-200
0.067540,571.2,888.7,2197.4,492.5,2827.6,396.5,1032,2257.1,2999,0,58.7,-200
0.069540,500.6,1063.9,2156.9,498.7,2825.2,405.3,1030.4,2257.2,2998.8,0,58.8,-200
0.071540,89.4,1582.7,2115.5,497.1,2832.7,470.5,1028.8,2257.4,2998.6,0,58.9,-200
0.073540,2094.1,514.9,2710.1,8239.7,2852.4,610.1,1027,2257.6,2998.4,0,58.9,-200
0.075540,2098.9,516.6,2506.2,4186.7,2843.8,697.4,1025.2,2257.7,2998.2,0,59,-200
0.077540,2122.7,476.6,2795.8,620.6,3625.8,537.1,1023.4,2257.9,2998,0,59,-200
0.079540,454.0,1508.4,2166.2,451.5,2764.2,545.4,1021.4,2258.1,2997.8,0,59,-200
0.081540,634.3,1147.1,2237.5,439.8,2750.3,534.1,1019.4,2258.3,2997.5,0,58.8,-200
0.083540,680.9,945.4,2318.4,395.9,2761.7,558.3,1017.4,2258.5,2997.3,0,58.7,-200
0.085540,680.2,821.2,2360.1,343.2,2798.3,533.4,1015.2,2258.7,2997.1,0,58.6,-200
0.087540,679.1,772.9,2356.6,320.4,2830.6,421.5,1013,2258.9,2996.8,0,58.5,-200
0.089540,704.1,816.1,2326.5,301.6,2847.9,314.6,1010.8,2259.1,2996.6,0,58.5,-200
0.091540,774.5,893.1,2308.6,269.2,2863.3,272.0,1008.4,2259.3,2996.3,0,58.7,-200
0.093540,877.4,919.8,2313.6,235.1,2883.7,274.5,1006.1,2259.6,2996,0,58.8,-200
0.095540,963.2,979.6,2322.4,220.3,2900.3,307.0,1003.6,2259.8,2995.8,0,59,-200
0.097540,1093.0,1228.8,2323.2,243.0,2902.0,387.9,1001.1,2260.1,2995.5,0,59.1,-200
0.099540,1426.8,1438.6,2315.4,319.7,2883.4,531.8,998.5,2260.3,2995.2,0,59.4,-200
0.101540,1666.4,1336.4,2289.9,428.8,2872.1,660.7,995.9,2260.6,2994.9,0,59.6,-200
0.103540,1607.8,1599.6,2210.4,420.6,2920.4,614.7,993.2,2260.9,2994.6,0,59.7,-200
0.105540,1016.9,1467.2,2162.5,306.7,2988.3,498.8,990.4,2261.2,2994.3,0,59.6,-200
0.107540,905.9,887.9,2151.5,233.3,3036.7,410.2,987.6,2261.5,2994,0,59.5,-200
0.109540,871.8,674.9,2153.7,205.0,3050.4,352.4,984.7,2261.8,2993.7,0,59.5,-200
0.111540,851.0,615.1,2156.9,214.5,3030.1,313.1,981.8,2262.1,2993.4,0,59.5,-200
0.113540,827.7,689.6,2154.9,270.1,2995.4,280.7,978.8,2262.4,2993.1,0,59.7,-200
0.115540,785.5,907.9,2146.6,376.7,2965.6,263.3,975.7,2262.7,2992.8,0,60,-200
0.117540,727.4,1248.1,2151.3,529.8,2942.5,261.0,972.6,2263.1,2992.4,0,60.3,-200
0.119540,808.2,1719.0,2241.2,683.5,2930.3,278.6,969.5,2263.4,2992.1,0,60.6,-200
0.121540,1094.6,1271.8,2403.2,592.3,2940.1,316.2,966.3,2263.8,2991.8,0,60.8,-200
0.123540,1099.6,915.5,2470.2,406.2,2974.9,335.3,963,2264.1,2991.4,0,60.8,-200
0.125540,1087.7,845.1,2468.3,334.4,3000.3,330.8,959.7,2264.5,2991.1,0,60.6,-200
0.127540,1042.9,999.4,2426.7,347.7,3002.7,342.9,956.3,2264.9,2990.7,0,60.3,-200
0.129540,805.9,1203.0,2342.9,386.5,2975.0,381.3,952.9,2265.3,2990.4,0,60,-200
0.131540,636.6,936.0,2255.6,360.1,2904.6,415.2,949.4,2265.7,2990,0,59.7,-200
0.133540,590.7,799.9,2223.1,332.7,2804.8,399.7,945.8,2266.1,2989.7,0,59.4,-200
0.135540,572.6,815.1,2232.9,366.8,2728.3,370.7,942.3,2266.5,2989.3,0,59.2,-200
0.137540,544.2,997.1,2278.9,420.5,2699.6,405.7,938.6,2266.9,2988.9,0,58.9,-200
0.139540,426.7,1404.2,2335.8,422.7,2718.6,545.2,935,2267.4,2988.6,0,58.8,-200
0.141540,2350.0,387.9,2794.7,740.5,3917.3,929.5,931.2,2267.8,2988.2,0,58.9,-200
0.143540,2331.4,356.4,2947.8,885.9,3630.2,2477.2,927.5,2268.3,2987.8,0,59.3,-200
0.145540,2313.0,317.7,3030.0,725.9,3463.2,4745.1,923.6,2268.7,2987.5,0,59.7,-200
0.147540,865.6,4339.1,2307.9,296.7,3019.5,625.7,919.8,2269.2,2987.1,0,59.9,-200
0.149540,52.0,2743.9,2311.2,312.4,3004.7,607.7,915.9,2269.7,2986.7,0,59.9,-200
