time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025701,419.8,398.1,1429.8,807.4,2864.6,702.5,613.8,1497.7,2714.2,0,52.4,-200
0.027701,446.7,428.0,1513.8,1195.8,2911.7,1149.4,613.8,1497.6,2714.2,0,52.4,-200
0.029701,471.6,503.4,1504.2,3159.8,2151.4,1143.7,613.7,1497.5,2714.2,0,52.5,-200
0.031701,481.3,710.6,839.0,2621.3,2179.3,697.4,613.7,1497.3,2714.2,0,52.4,-200
0.033701,306.0,1163.7,931.6,1283.0,2217.7,546.6,613.6,1497.1,2714.1,0,52.2,-200
0.035701,232.5,999.4,1104.7,861.4,2260.1,470.3,613.6,1496.8,2714.1,0,51.9,-200
0.037701,321.3,784.4,1185.2,727.7,2303.2,451.2,613.5,1496.5,2714.1,0,51.7,-200
0.039701,384.5,609.5,1257.7,731.1,2352.7,488.7,613.4,1496.1,2714,0,51.5,-200
0.041701,416.6,525.7,1342.2,866.3,2407.9,610.1,613.3,1495.7,2714,0,51.4,-200
0.043701,440.5,533.4,1489.3,1191.6,2523.0,938.7,613.1,1495.2,2713.9,0,51.2,-200
0.045701,466.9,617.7,1494.7,5300.2,1828.2,1284.6,613,1494.7,2713.9,0,51.2,-200
0.047701,456.0,648.7,1418.3,2778.5,1877.2,1477.4,612.9,1494.1,2713.8,0,51.3,-200
0.049701,417.2,551.2,1325.5,1250.2,2313.4,1655.1,612.7,1493.5,2713.7,0,51.5,-200
0.051701,404.4,458.2,1308.8,965.2,2463.8,1394.8,612.5,1492.8,2713.7,0,51.6,-200
0.053701,409.3,405.4,1330.1,899.7,2520.8,1305.5,612.3,1492.1,2713.6,0,51.5,-200
0.055701,430.7,390.0,1380.4,937.4,2646.6,1469.4,612.1,1491.4,2713.5,0,51.1,-200
0.057701,468.9,413.1,1465.5,998.6,2964.3,788.9,611.9,1490.6,2713.4,0,50.4,-200
0.059701,528.5,467.2,1578.1,1026.3,2928.3,622.4,611.7,1489.8,2713.3,0,49.9,-200
0.061701,595.2,541.1,1712.3,1120.3,2963.1,674.3,611.5,1488.9,2713.2,0,49.6,-200
0.063701,681.7,667.5,1997.4,1157.2,3154.1,811.6,611.2,1487.9,2713.1,0,49.5,-200
0.065701,793.4,737.7,2170.5,763.3,3293.5,575.3,611,1487,2713,0,49.8,-200
0.067701,827.5,821.1,2197.4,578.7,3329.0,493.4,610.7,1486,2712.9,0,50.6,-200
0.069701,821.3,943.2,2193.6,519.6,3359.9,507.6,610.4,1484.9,2712.8,0,51.3,-200
0.071701,813.9,961.6,2171.3,545.9,3397.1,576.4,610.1,1483.8,2712.6,0,51.7,-200
0.073701,825.1,980.7,2131.6,663.4,3424.5,682.4,609.8,1482.7,2712.5,0,51.9,-200
0.075701,829.7,1265.2,2060.2,937.1,3404.7,847.0,609.5,1481.5,2712.4,0,52.1,-200
0.077701,345.1,1029.1,1654.7,1533.6,1971.0,2110.6,609.2,1480.3,2712.2,0,51.7,-200
0.079701,392.9,792.4,1546.5,1009.3,2638.8,1972.7,608.8,1479.1,2712.1,0,50.9,-200
0.081701,367.6,993.8,1549.8,1281.8,2570.7,2733.1,608.4,1477.8,2712,0,50.3,-200
0.083701,935.0,921.0,2082.0,1280.8,2816.9,758.6,608.1,1476.5,2711.8,0,50.2,-200
0.085701,959.9,558.2,2222.2,1060.0,2766.2,724.1,607.7,1475.2,2711.7,0,50.6,-200
0.087701,973.7,460.6,2420.5,907.8,2759.5,1069.9,607.3,1473.9,2711.5,0,50.9,-200
0.089701,979.6,480.4,2407.4,642.9,3196.9,929.2,606.9,1472.5,2711.3,0,51.1,-200
0.091701,955.8,556.0,2325.0,657.7,3228.7,574.5,606.5,1471,2711.2,0,51.1,-200
0.093701,880.9,589.2,2170.9,697.9,3214.7,442.1,606.1,1469.6,2711,0,51.1,-200
0.095701,819.4,553.1,2040.0,607.3,3197.6,385.2,605.6,1468.1,2710.9,0,50.9,-200
0.097701,803.0,555.5,1986.5,568.6,3189.8,389.3,605.2,1466.7,2710.7,0,50.5,-200
0.099701,825.6,643.7,1955.8,671.5,3195.8,484.8,604.7,1465.1,2710.5,0,50.3,-200
0.101701,923.4,874.4,1960.4,1117.8,3239.5,773.7,604.2,1463.6,2710.3,0,49.8,-200
0.103701,1222.2,755.7,2599.3,1058.0,3582.4,947.1,603.8,1462.1,2710.2,0,49,-200
0.105701,229.0,1026.7,1256.2,489.1,2638.2,633.4,603.3,1460.5,2710,0,48.1,-200
0.107701,265.9,1026.1,1253.8,407.3,2670.3,520.2,602.8,1458.9,2709.8,0,47.2,-200
0.109701,308.8,1130.9,1243.2,437.2,2706.4,511.6,602.2,1457.3,2709.6,0,47.3,-200
0.111701,506.7,868.9,1257.6,605.5,2716.7,553.2,601.7,1455.7,2709.4,0,49.2,-200
0.113701,541.0,367.9,1304.8,697.4,2639.9,614.0,601.2,1454.1,2709.2,0,52.2,-200
0.115701,514.6,180.3,1216.3,597.4,2512.4,563.2,600.6,1452.4,2709.1,0,55.2,-200
0.117701,497.7,112.3,1142.0,432.8,2455.3,498.2,600.1,1450.8,2708.9,0,57.9,-200
0.119701,488.8,78.2,1109.1,347.0,2438.7,492.1,599.5,1449.2,2708.7,0,60,-200
0.121701,484.0,59.9,1096.6,320.6,2448.6,508.5,598.9,1447.5,2708.5,0,61.7,-200
0.123701,480.5,46.8,1091.4,318.9,2474.2,526.0,598.3,1445.9,2708.3,235.6,62.9,-200
