time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025966,365.8,736.7,1194.6,470.0,2730.6,448.9,576.4,1643.5,2745.8,0,56.2,-200
0.027966,404.5,678.8,1212.1,519.1,2706.8,376.3,576.4,1643.4,2745.8,0,55.3,-200
0.029966,399.2,753.4,1234.8,609.2,2682.4,345.4,576.4,1643.3,2745.9,0,54.6,-200
0.031966,350.0,905.9,1253.3,694.0,2649.8,351.1,576.4,1643.1,2746,0,54,-200
0.033966,306.5,945.9,1263.0,710.4,2602.0,367.0,576.5,1642.9,2746.1,0,53.7,-200
0.035966,335.3,833.2,1248.3,700.4,2547.5,356.8,576.5,1642.6,2746.2,0,54.1,-200
0.037966,353.4,757.1,1196.8,699.3,2511.1,340.0,576.6,1642.2,2746.4,0,54.9,-200
0.039966,343.4,762.1,1138.8,739.9,2494.2,344.6,576.6,1641.8,2746.5,0,55.8,-200
0.041966,350.8,748.5,1119.5,881.8,2492.9,377.6,576.7,1641.4,2746.7,0,56.5,-200
0.043966,394.6,574.5,1213.2,1031.8,2501.9,417.4,576.8,1640.9,2746.9,0,56.9,-200
0.045966,424.3,388.6,1346.9,958.6,2519.6,447.2,576.8,1640.3,2747.2,0,56.8,-200
0.047966,448.5,295.2,1402.3,812.8,2542.9,472.8,576.9,1639.7,2747.4,0,56.5,-200
0.049966,472.8,272.7,1417.1,739.8,2575.0,529.7,577,1639.1,2747.7,0,56.3,-200
0.051966,493.2,328.3,1410.2,787.9,2613.1,664.5,577.1,1638.4,2748,0,56.2,-200
0.053966,494.0,541.0,1349.7,1055.1,2630.6,973.5,577.2,1637.6,2748.3,0,56.2,-200
0.055966,899.2,882.9,2301.8,1371.8,3420.6,741.6,577.4,1636.8,2748.7,0,56.2,-200
0.057966,905.8,656.1,2201.2,994.3,3376.0,508.1,577.5,1635.9,2749,0,56.1,-200
0.059966,846.3,702.9,2206.7,823.0,3386.8,436.8,577.6,1635,2749.4,0,56,-200
0.061966,711.2,884.2,2220.8,752.9,3410.6,467.3,577.8,1634,2749.8,0,55.8,-200
0.063966,373.5,661.7,653.2,3549.7,2257.1,848.5,577.9,1633,2750.2,0,55.6,-200
0.065966,406.0,348.8,1580.3,1485.3,2473.4,1033.0,578.1,1632,2750.7,0,55.4,-200
0.067966,421.3,250.7,1528.5,936.0,2639.8,824.3,578.2,1630.9,2751.1,0,55.2,-200
0.069966,425.0,216.5,1481.6,758.6,2694.9,677.6,578.4,1629.7,2751.6,0,55.4,-200
