time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025447,1642.9,589.8,3013.2,679.5,4170.8,738.6,803.6,1696.7,3140.7,0,57.8,-200
0.027447,1219.9,5487.2,1608.9,744.9,2971.7,766.5,803.5,1696.7,3140.6,0,58.1,-200
0.029447,1078.8,5092.6,1618.7,1038.5,2937.0,910.3,803.3,1696.8,3140.5,0,58.4,-200
0.031447,1854.6,1322.0,3004.3,1142.4,4135.7,1126.8,803.1,1697,3140.2,0,58.8,-200
0.033447,233.1,1208.9,2086.5,962.5,3265.8,984.7,802.8,1697.2,3139.9,0,59.1,-200
0.035447,377.0,1120.9,2144.3,729.6,3334.9,655.5,802.4,1697.4,3139.6,0,59.3,-200
0.037447,466.0,1256.2,2181.5,637.9,3339.7,489.0,801.9,1697.6,3139.1,0,59.3,-200
0.039447,631.1,1517.6,2204.3,631.2,3327.5,431.2,801.4,1698,3138.6,0,59.1,-200
0.041447,832.0,1704.0,2204.0,695.6,3311.1,452.8,800.8,1698.3,3138,0,58.7,-200
0.043447,1027.1,1835.5,2184.6,803.6,3299.0,545.0,800.2,1698.7,3137.4,0,58.4,-200
0.045447,1136.2,1704.4,2202.1,828.2,3317.0,659.4,799.4,1699.1,3136.7,0,58.1,-200
0.047447,1090.8,1362.1,2256.4,681.6,3381.1,685.4,798.6,1699.6,3135.9,0,57.2,-200
0.049447,1000.1,1028.1,2275.1,535.0,3432.3,616.1,797.8,1700.1,3135.1,0,56.1,-200
0.051447,951.2,828.3,2258.4,500.4,3456.6,579.0,796.8,1700.7,3134.2,0,55.2,-200
0.053447,905.3,839.6,2200.8,580.4,3467.6,634.4,795.8,1701.3,3133.2,0,54.5,-200
0.055447,740.9,984.9,2084.9,737.8,3487.8,859.9,794.8,1701.9,3132.2,0,54.2,-200
0.057447,563.1,848.7,1897.9,710.8,2940.7,1560.1,793.6,1702.6,3131.1,0,54.3,-200
0.059447,494.0,801.7,1847.5,581.7,2818.7,1041.5,792.4,1703.3,3129.9,0,54.7,-200
0.061447,467.9,950.8,1849.0,615.2,2799.7,1070.9,791.2,1704,3128.6,0,54.9,-200
0.063447,374.3,1680.1,1896.8,916.9,2779.1,2028.1,789.8,1704.8,3127.3,0,55,-200
0.065447,1261.3,1007.0,2183.0,808.7,3453.8,876.1,788.4,1705.7,3126,0,55.3,-200
0.067447,1213.3,597.0,2222.1,622.0,3413.2,612.1,787,1706.5,3124.6,0,55.6,-200
0.069447,1188.7,426.9,2242.8,548.4,3387.3,432.9,785.5,1707.4,3123.1,0,55.8,-200
0.071447,1170.6,377.5,2270.3,522.5,3373.6,313.0,783.9,1708.4,3121.5,0,56.2,-200
0.073447,1148.1,432.2,2283.4,512.1,3364.1,262.1,782.3,1709.4,3119.9,0,57,-200
0.075447,1113.7,597.0,2256.5,521.9,3352.2,268.2,780.6,1710.4,3118.2,0,57.3,-200
0.077447,1041.4,897.2,2189.3,554.9,3335.1,323.3,778.8,1711.4,3116.5,0,57.4,-200
0.079447,750.9,1270.4,2087.0,579.9,3308.5,429.9,777,1712.5,3114.6,0,57.1,-200
0.081447,587.6,819.5,1986.3,541.5,3258.2,565.6,775.2,1713.7,3112.8,0,56.6,-200
0.083447,599.5,681.5,1939.1,497.5,3174.2,654.9,773.2,1714.8,3110.9,0,56.1,-200
0.085447,625.3,669.8,1939.5,535.5,3122.4,688.8,771.3,1716,3108.9,0,55.4,-200
0.087447,654.7,752.8,1975.5,692.4,3147.8,774.9,769.2,1717.3,3106.8,0,54.9,-200
0.089447,706.0,1003.5,2122.8,997.6,2732.8,3234.1,767.2,1718.5,3104.7,0,54.4,-200
0.091447,1050.5,1265.2,2352.6,928.3,3354.3,847.1,765,1719.8,3102.5,0,54.2,-200
