time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025497,413.3,689.4,1859.0,743.9,2940.4,871.3,724.5,1597.1,3057.3,0,49.4,-200
0.027497,428.4,946.2,1891.0,815.8,3041.8,1264.8,724.5,1597.2,3057.1,0,48.7,-200
0.029497,538.2,1159.8,1954.6,1020.5,3239.5,2129.9,724.4,1597.4,3056.8,0,48.1,-200
0.031497,865.9,1293.1,2220.7,1231.8,3553.2,396.8,724.3,1597.6,3056.3,0,47.3,-200
0.033497,1060.9,801.3,2392.3,1053.7,3533.2,321.3,724.1,1597.9,3055.8,0,46.9,-200
0.035497,1100.2,604.3,2466.8,989.8,3529.3,301.4,723.9,1598.3,3055.1,0,47.2,-200
0.037497,1124.4,608.3,2485.5,970.7,3541.5,316.4,723.7,1598.8,3054.3,0,47.8,-200
0.039497,1138.6,756.0,2429.6,919.0,3558.5,338.3,723.4,1599.3,3053.4,0,48.6,-200
0.041497,1086.5,990.3,2314.6,785.7,3562.9,377.6,723.1,1600,3052.4,0,49.2,-200
0.043497,925.9,1062.0,2242.1,591.6,3551.9,453.6,722.7,1600.6,3051.3,0,49.5,-200
0.045497,795.8,850.0,2221.7,451.6,3526.1,576.9,722.3,1601.4,3050,0,49.7,-200
0.047497,773.5,662.0,2212.9,391.8,3478.4,681.8,721.9,1602.2,3048.6,0,49.9,-200
0.049497,792.3,615.4,2198.9,393.8,3423.4,687.2,721.5,1603.1,3047.1,0,50.3,-200
0.051497,833.7,708.1,2181.6,459.1,3381.8,671.3,721,1604.1,3045.5,0,50.7,-200
0.053497,900.8,898.6,2163.1,590.9,3341.2,704.9,720.5,1605.1,3043.8,0,51,-200
0.055497,979.7,1115.4,2135.7,785.3,3279.7,770.3,719.9,1606.2,3041.9,0,51.6,-200
0.057497,1033.2,1260.9,2105.7,911.1,3230.0,762.4,719.3,1607.4,3040,0,52,-200
0.059497,1055.5,1273.2,2110.8,835.8,3245.3,669.1,718.7,1608.6,3037.9,0,52,-200
0.061497,1042.6,1310.8,2122.2,684.3,3283.2,578.4,718,1609.9,3035.7,0,51.9,-200
0.063497,991.8,1403.5,2122.6,577.0,3304.1,549.7,717.3,1611.2,3033.4,0,51.9,-200
0.065497,949.8,1420.1,2123.0,533.4,3308.6,596.5,716.6,1612.6,3031,0,52.1,-200
0.067497,974.2,1352.6,2124.9,549.7,3296.5,726.9,715.8,1614.1,3028.5,0,52.2,-200
0.069497,1041.7,1282.3,2128.7,601.3,3260.0,917.9,715,1615.7,3025.9,0,52.5,-200
0.071497,1123.7,1175.5,2141.2,656.1,3209.3,1057.6,714.2,1617.3,3023.1,0,52.4,-200
0.073497,1187.5,1027.6,2168.5,689.0,3184.8,1087.0,713.3,1618.9,3020.3,0,52.1,-200
0.075497,1231.0,915.6,2220.3,731.7,3182.1,1132.9,712.4,1620.6,3017.3,0,51.9,-200
0.077497,1274.6,915.2,2326.2,844.1,3153.3,1430.8,711.5,1622.4,3014.3,0,51.6,-200
0.079497,1399.0,1012.7,2578.0,777.5,3000.1,3723.5,710.6,1624.2,3011.1,0,51.1,-200
0.081497,1576.7,844.5,2666.9,500.1,4032.8,578.2,709.6,1626.1,3007.9,0,50.4,-200
0.083497,301.2,1008.9,1638.1,693.8,2696.3,368.7,708.6,1628,3004.5,0,49.9,-200
0.085497,453.1,823.2,1669.3,666.7,2711.4,316.3,707.5,1629.9,3001.1,0,49.2,-200
0.087497,546.1,720.3,1681.4,753.0,2717.2,332.4,706.4,1632,2997.5,0,48.9,-200
0.089497,609.3,718.3,1662.7,947.9,2707.1,421.4,705.3,1634,2993.9,0,49.5,-200
0.091497,684.2,886.9,1570.7,1341.9,2657.3,593.3,704.2,1636.1,2990.2,0,50.2,-200
0.093497,570.5,3019.1,1023.2,1020.5,2522.1,735.0,703,1638.3,2986.3,0,50.8,-200
0.095497,1124.2,720.1,2413.5,685.1,3500.1,935.5,701.8,1640.5,2982.4,0,51.4,-200
0.097497,1213.0,781.2,2429.9,764.4,3376.6,1030.6,700.6,1642.7,2978.4,0,52.8,-200
0.099497,957.0,1768.2,1466.2,1250.6,2649.5,789.3,699.3,1644.9,2974.3,0,54.9,-200
0.101497,848.9,1067.9,1671.3,902.2,2698.0,597.7,698.1,1647.2,2970.2,0,57.4,-200
0.103497,821.2,897.1,1687.2,791.4,2702.8,539.0,696.8,1649.6,2965.9,0,59.2,-200
0.105497,792.0,769.6,1688.2,734.7,2702.3,512.3,695.4,1651.9,2961.6,0,61.2,-200
0.107497,762.0,655.8,1682.1,701.4,2697.3,500.4,694.1,1654.3,2957.1,0,61.9,-200.9
0.109497,733.8,561.8,1667.5,687.6,2685.1,499.8,692.7,1656.8,2952.7,0,63.1,-206.3
0.111497,707.8,493.3,1643.5,689.7,2664.1,507.9,691.3,1659.2,2948.1,0,63.4,-212.5
0.113497,683.5,450.3,1615.0,698.1,2638.1,522.0,689.9,1661.7,2943.4,235.6,63.7,-214.7
0.115497,655.4,426.5,1588.2,709.3,2614.4,551.8,688.4,1664.2,2938.7,234.5,64,-208.1
0.117497,610.5,435.2,1571.3,745.4,2612.0,632.0,687,1666.7,2933.9,233.3,64.8,-187.2
