time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025281,1110.6,679.6,1442.1,1149.3,2803.9,579.0,542.4,1298.6,2540.7,0,54.4,-200
0.027281,1044.1,599.3,1578.8,1373.1,2792.1,608.2,542.3,1298.7,2540.8,0,54.7,-200
0.029281,973.1,650.2,1689.0,1505.3,2782.1,620.9,542.3,1299,2540.9,0,54.6,-200
0.031281,857.3,802.3,1749.4,1400.1,2811.1,607.1,542.2,1299.3,2541,0,54.3,-200
0.033281,685.8,902.8,1779.0,1126.4,2874.6,542.5,542.1,1299.8,2541.2,0,53.6,-200
0.035281,575.0,837.4,1803.0,965.1,2925.3,472.1,542,1300.4,2541.4,0,53.1,-200
0.037281,526.4,701.9,1826.2,974.3,2967.0,450.9,541.8,1301,2541.7,0,52.4,-200
0.039281,518.7,547.4,1807.3,1178.0,3010.8,505.6,541.6,1301.8,2542,0,51.9,-200
0.041281,526.9,434.7,1595.9,1318.0,2760.0,2101.9,541.4,1302.7,2542.3,0,51.5,-200
0.043281,535.4,388.3,1452.3,1142.9,2718.1,1182.7,541.2,1303.6,2542.7,0,51.3,-200
0.045281,540.2,416.3,1352.4,1052.9,2681.3,935.8,541,1304.7,2543.1,0,51.5,-200
0.047281,538.8,536.7,1221.8,1008.0,2667.3,689.3,540.7,1305.9,2543.5,0,51.9,-200
0.049281,519.4,759.8,1090.4,947.0,2648.8,471.9,540.4,1307.2,2544,0,52.4,-200
0.051281,450.5,925.7,1056.3,862.4,2623.7,348.0,540.1,1308.5,2544.5,0,52.1,-200
0.053281,406.5,743.5,1146.6,789.5,2595.9,311.5,539.7,1310,2545.1,0,51.9,-200
0.055281,388.5,548.7,1226.0,686.2,2567.4,318.1,539.4,1311.6,2545.6,0,51.8,-200
0.057281,388.1,445.7,1253.7,631.6,2539.9,348.2,539,1313.2,2546.3,0,51.8,-200
0.059281,402.3,411.5,1248.5,634.8,2511.0,383.9,538.6,1315,2546.9,0,51.3,-200
0.061281,423.6,406.6,1239.1,680.0,2474.5,413.4,538.2,1316.9,2547.6,0,51.1,-200
0.063281,444.6,422.5,1237.2,782.7,2440.7,450.7,537.7,1318.8,2548.4,0,50.8,-200
0.065281,469.0,461.6,1241.2,1002.7,2413.7,541.9,537.3,1320.9,2549.1,0,50.5,-200
0.067281,500.9,507.1,1279.5,1460.1,2391.5,754.0,536.8,1323,2549.9,0,50.3,-200
0.069281,522.5,536.5,1711.1,2458.7,2374.0,1351.3,536.3,1325.2,2550.8,0,50.2,-200
0.071281,519.7,590.0,1953.2,1203.6,2973.2,892.4,535.7,1327.6,2551.6,0,50.6,-200
0.073281,479.9,691.6,1931.2,1061.0,2974.1,733.9,535.2,1330,2552.5,0,51.7,-200
0.075281,398.6,700.6,1913.2,977.0,3012.2,783.3,534.6,1332.5,2553.5,0,52.9,-200
0.077281,344.8,571.7,1901.2,906.8,3147.8,978.2,534.1,1335.1,2554.4,0,53.9,-200
0.079281,325.6,485.7,1918.5,910.2,2065.1,3261.7,533.5,1337.7,2555.4,0,54.9,-200
0.081281,313.2,466.0,1831.8,2057.0,1979.8,1031.7,532.9,1340.5,2556.5,0,55.5,-200
0.083281,297.0,538.3,1595.7,1693.4,2139.9,1087.3,532.2,1343.3,2557.5,0,55.7,-200
0.085281,252.1,763.0,1301.8,1625.7,2244.1,940.9,531.6,1346.3,2558.6,0,55.5,-200
0.087281,1005.7,1316.2,2282.2,776.7,3335.3,438.8,530.9,1349.3,2559.7,0,55.4,-200
0.089281,928.0,1214.2,2276.2,701.3,3329.8,424.8,530.3,1352.4,2560.9,0,55.2,-200
0.091281,320.7,869.1,982.1,1528.5,2243.5,742.9,529.6,1355.6,2562,0,55,-200
0.093281,346.1,605.5,1223.7,1750.7,2196.8,964.6,528.9,1358.8,2563.2,0,54.7,-200
0.095281,343.5,469.3,1495.7,1340.8,2245.3,1524.9,528.2,1362.1,2564.5,0,54.4,-200
0.097281,343.5,398.6,1476.7,913.4,2509.9,1684.1,527.5,1365.5,2565.7,0,53.8,-200
0.099281,351.2,378.3,1468.8,802.2,2585.0,1562.7,526.7,1369,2567,0,53.5,-200
0.101281,366.3,391.3,1500.9,850.6,2534.4,1448.1,526,1372.6,2568.3,0,53.4,-200
0.103281,383.5,407.8,1555.6,989.1,2462.3,1262.3,525.3,1376.2,2569.6,0,53.2,-200
0.105281,394.8,390.0,1584.5,1080.4,2432.1,933.4,524.5,1379.9,2571,0,53.1,-200
0.107281,397.1,349.6,1574.0,1092.1,2419.0,685.8,523.7,1383.6,2572.3,0,53,-200
0.109281,399.7,335.6,1548.9,1189.0,2400.0,610.5,522.9,1387.4,2573.7,0,53.4,-200
0.111281,411.9,365.4,1523.0,1564.3,2337.5,671.5,522.2,1391.3,2575.1,0,53.6,-200
0.113281,439.6,444.2,1274.5,3253.6,2153.2,715.3,521.4,1395.2,2576.6,0,53.9,-200
0.115281,510.9,552.4,2009.8,539.3,3181.0,606.5,520.6,1399.2,2578,0,54.3,-200
0.117281,592.7,553.3,1934.4,423.4,3181.3,432.9,519.8,1403.3,2579.5,0,54.2,-200.9
0.119281,619.2,555.4,1898.6,379.0,3205.7,370.0,519,1407.4,2581,0,55.1,-206.3
0.121281,620.2,598.0,1890.2,370.7,3234.8,371.1,518.2,1411.6,2582.5,0,55.6,-212.6
0.123281,620.4,650.9,1900.7,397.7,3250.3,423.7,517.4,1415.8,2584,0,55.8,-214.8
0.125281,637.4,715.4,1934.7,525.6,3216.1,556.4,516.5,1420.1,2585.5,0,55.6,-208.2
0.127281,647.0,971.6,2112.7,1028.2,3008.3,853.0,515.7,1424.4,2587.1,0,55.6,-187.1
0.129281,394.8,1117.4,1185.0,1697.6,2549.2,755.6,514.9,1428.8,2588.7,0,56.6,-148
0.131281,523.6,935.1,1391.5,1180.1,2526.9,550.4,514.1,1433.2,2590.2,0,59.1,-99.3
0.133281,626.7,834.8,1461.1,1112.0,2530.5,506.7,513.3,1437.7,2591.8,0,60.9,-50.5
0.135281,656.1,808.6,1477.7,1117.2,2531.7,497.7,512.5,1442.2,2593.4,0,63.3,-11.4
0.137281,659.8,823.6,1471.0,1131.1,2527.9,496.6,511.7,1446.7,2595,0,64.8,9.7
0.139281,652.2,856.7,1455.8,1132.6,2520.5,497.8,510.8,1451.3,2596.6,0,66.1,16.3
0.141281,635.4,904.1,1437.3,1113.0,2510.1,500.7,510,1455.9,2598.3,0,67.4,14.2
0.143281,603.6,971.5,1417.8,1066.3,2496.7,506.4,509.2,1460.5,2599.9,0,67.9,8
