time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025546,1153.9,472.4,2457.0,1353.7,3437.9,916.1,953.7,1926.1,3172.4,0,49.4,-200
0.027546,1133.8,505.1,2324.7,1272.2,3232.3,1041.9,953.6,1926,3172.1,0,49.6,-200
0.029546,1105.1,614.4,2238.7,1413.6,3038.2,1009.4,953.5,1925.9,3171.7,0,49.8,-200
0.031546,1074.2,871.3,2118.4,1952.2,2895.2,986.4,953.4,1925.8,3171.1,0,49.9,-200
0.033546,578.0,1339.4,1487.1,1470.2,2820.6,919.0,953.3,1925.6,3170.3,0,50,-200
0.035546,464.2,785.7,1615.5,1000.4,2803.8,914.2,953.1,1925.4,3169.3,0,50.2,-200
0.037546,412.3,616.8,1644.7,796.2,2772.2,1001.4,952.9,1925.1,3168.2,0,50.6,-200
0.039546,377.3,689.3,1634.3,837.2,2664.6,1264.5,952.6,1924.8,3166.9,0,51.2,-200
0.041546,223.3,1381.0,1589.9,1792.5,2185.3,1619.4,952.3,1924.5,3165.5,0,51.4,-200
0.043546,946.7,845.0,2140.0,854.4,3801.1,2405.7,952,1924.1,3163.8,0,51.4,-200
0.045546,896.5,635.9,2162.0,706.2,3583.7,1103.4,951.6,1923.7,3162.1,0,50.8,-200
0.047546,814.8,584.2,2165.7,652.2,3455.2,757.0,951.2,1923.3,3160.1,0,50.1,-200
0.049546,705.3,594.2,2149.7,637.5,3399.7,587.7,950.8,1922.8,3158,0,49.3,-200
0.051546,595.6,585.6,2122.7,640.2,3372.7,539.5,950.3,1922.3,3155.7,0,48.8,-200
0.053546,546.6,592.3,2106.3,668.7,3360.5,580.3,949.8,1921.7,3153.2,0,48.6,-200
0.055546,576.8,681.9,2118.1,786.7,3365.4,720.1,949.2,1921.1,3150.6,0,48.6,-200
0.057546,640.3,789.2,2190.0,1164.2,3364.9,1005.5,948.7,1920.5,3147.8,0,48.4,-200
0.059546,679.2,918.9,1024.2,2223.6,2801.8,1658.0,948,1919.8,3144.9,0,47.7,-200
0.061546,706.7,1626.0,878.4,1098.7,2907.9,981.2,947.4,1919.1,3141.8,0,47.3,-200
0.063546,946.6,772.4,2957.3,1071.0,3091.2,6086.6,946.7,1918.4,3138.5,0,47,-200
0.065546,965.5,666.9,2311.8,1664.3,3164.4,1014.4,946,1917.6,3135.1,0,46.6,-200
0.067546,996.2,625.1,2219.9,1148.2,3213.2,832.6,945.2,1916.8,3131.6,0,46.2,-200
0.069546,1041.2,570.9,2244.5,886.3,3232.6,766.3,944.5,1915.9,3127.9,0,46.4,-200
0.071546,1078.0,491.4,2292.6,681.2,3251.3,745.0,943.6,1915,3124,0,46.9,-200
0.073546,1103.4,447.8,2319.3,534.4,3267.4,729.2,942.8,1914.1,3120,0,47.6,-200
0.075546,1130.9,491.2,2326.9,483.3,3288.2,714.8,941.9,1913.2,3115.9,0,48.5,-200
0.077546,1180.8,667.1,2334.0,526.4,3327.3,730.7,941,1912.2,3111.6,0,49.2,-200
0.079546,1316.8,1049.6,2371.7,681.4,3416.4,814.8,940,1911.2,3107.2,0,49.3,-200
0.081546,1630.8,1052.0,2480.3,781.7,3575.7,829.9,939,1910.1,3102.6,0,49.2,-200
0.083546,147.8,988.8,1664.3,891.2,2505.2,731.5,938,1909,3097.9,0,48.9,-200
0.085546,254.8,971.6,1604.3,955.1,2451.9,692.3,936.9,1907.9,3093.1,0,48.5,-200
0.087546,137.9,1151.0,1485.4,1120.4,2418.6,643.6,935.8,1906.8,3088.2,0,48,-200
0.089546,1366.2,1292.9,2446.7,630.5,3656.7,600.0,934.7,1905.6,3083.1,0,47.9,-200
0.091546,1390.2,1520.4,2494.8,696.9,3612.5,729.2,933.5,1904.4,3077.9,0,48.2,-200
0.093546,246.7,879.1,1699.7,1366.8,2574.2,1004.4,932.3,1903.1,3072.6,0,48.4,-200
0.095546,335.2,729.7,1859.8,745.5,3134.4,1083.5,931,1901.9,3067.2,0,48.2,-200
0.097546,377.6,849.8,1882.1,402.1,3160.1,630.5,929.8,1900.6,3061.7,0,47.7,-200
0.099546,599.8,1286.9,1886.2,258.1,3197.1,497.9,928.4,1899.3,3056,0,47.5,-200
0.101546,755.5,1134.5,1882.7,205.3,3228.1,434.8,927.1,1897.9,3050.3,0,47.2,-200
0.103546,694.3,1058.7,1873.2,199.6,3246.2,409.7,925.7,1896.5,3044.4,0,46.8,-200
0.105546,563.6,917.0,1860.5,239.9,3252.0,428.2,924.3,1895.1,3038.5,0,47,-200
0.107546,481.5,839.7,1842.1,365.3,3258.5,508.2,922.8,1893.7,3032.5,0,47.5,-200
0.109546,367.5,912.2,1777.1,669.9,2721.9,3026.0,921.4,1892.2,3026.3,0,48.1,-200
0.111546,151.3,1013.2,1545.4,828.2,2587.5,1081.5,919.8,1890.7,3020.1,0,48.6,-200
0.113546,1415.3,762.1,2609.6,661.8,3516.6,533.7,918.3,1889.2,3013.8,0,49.1,-200
0.115546,1338.8,781.9,2622.1,521.6,3537.7,474.8,916.7,1887.7,3007.4,0,49.5,-200
0.117546,1290.0,888.6,2621.1,476.6,3544.3,467.7,915.1,1886.1,3000.9,0,49.8,-200
0.119546,1316.8,1020.9,2605.0,478.6,3541.5,500.2,913.4,1884.6,2994.4,0,49.8,-200
0.121546,1366.8,1011.0,2576.2,488.8,3536.8,565.3,911.7,1883,2987.8,0,49.7,-200
0.123546,141.4,914.9,1376.3,927.5,2550.0,489.1,910,1881.3,2981.1,0,49.7,-200
0.125546,1392.9,844.4,2561.1,482.2,3600.7,733.2,908.2,1879.7,2974.3,0,49.8,-200
0.127546,1447.9,712.6,2626.7,476.8,3656.3,785.1,906.4,1878,2967.5,0,50.4,-200
0.129546,1482.2,515.8,2716.0,466.2,3744.0,872.8,904.6,1876.3,2960.7,0,50,-200
0.131546,1487.7,389.6,2797.9,445.7,3926.4,883.6,902.7,1874.6,2953.8,0,52.1,-200
0.133546,486.2,1215.5,1503.6,305.5,2836.0,366.5,900.8,1872.9,2946.8,0,52.1,-200
0.135546,737.4,956.4,1520.9,231.6,2823.7,261.0,898.9,1871.2,2939.8,0,52.3,-200.9
0.137546,945.1,893.1,1535.5,187.7,2799.5,151.4,896.9,1869.4,2932.8,0,55.5,-206.3
0.139546,1141.4,689.2,1554.4,177.3,2783.5,86.7,894.9,1867.7,2925.7,0,57.8,-212.6
0.141546,1200.2,509.4,1573.5,172.0,2776.7,60.5,892.9,1865.9,2918.6,0,61.1,-214.8
0.143546,1184.6,397.2,1587.5,157.9,2772.8,49.7,890.8,1864.1,2911.5,0,64.4,-208.2
0.145546,1130.6,295.2,1591.6,142.4,2768.1,46.9,888.7,1862.3,2904.3,0,67.6,-187.1
0.147546,1084.9,195.5,1579.7,137.0,2759.6,52.0,886.6,1860.5,2897.1,0,70.5,-148.1
0.149546,1066.2,143.3,1551.6,139.0,2746.3,70.0,884.4,1858.6,2889.9,0,73,-99.3
0.151546,1062.4,123.4,1531.4,139.1,2731.1,101.3,882.2,1856.8,2882.7,0,75.2,-50.6
