time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025181,811.7,769.2,2324.5,260.9,3130.4,1041.4,867.3,2078.3,2997.3,0,57.6,-200
0.027181,864.7,709.8,2334.7,276.6,3055.4,1324.4,867.2,2078.3,2997.3,0,58.1,-200
0.029181,897.4,801.3,2355.8,276.0,3131.1,1926.6,866.9,2078.2,2997.3,0,58.7,-200
0.031181,943.9,1064.8,2375.8,259.7,3543.4,2889.5,866.6,2078.1,2997.3,0,59.5,-200
0.033181,1080.0,1451.3,2394.5,258.4,3635.8,458.1,866.2,2078.1,2997.3,0,60.4,-200
0.035181,1229.7,1868.8,2418.5,285.5,3631.1,460.4,865.8,2077.9,2997.4,0,61.2,-200
0.037181,1626.0,2328.3,2455.6,328.9,3650.2,505.5,865.2,2077.8,2997.4,0,61.9,-200
0.039181,1809.4,1945.4,2497.2,350.2,3672.4,567.1,864.5,2077.7,2997.4,0,62.2,-200
0.041181,1776.0,1684.9,2508.4,351.1,3679.2,634.3,863.8,2077.5,2997.4,0,61.9,-200
0.043181,1758.6,1600.1,2480.2,368.7,3670.2,704.9,863,2077.3,2997.4,0,61.5,-200
0.045181,330.8,1970.5,1852.2,1877.7,2423.4,410.2,862.1,2077.1,2997.4,0,60.7,-200
0.047181,721.6,1329.3,2347.2,463.0,2394.7,2155.2,861.1,2076.9,2997.5,0,60,-200
0.049181,731.9,958.2,2276.2,506.6,2791.9,1316.0,860,2076.6,2997.5,0,59.2,-200
0.051181,676.0,781.2,2244.9,566.8,2776.5,791.4,858.9,2076.4,2997.5,0,58.7,-200
0.053181,615.6,707.8,2236.9,594.7,2725.4,547.5,857.6,2076.1,2997.6,0,58.5,-200
0.055181,554.3,733.0,2210.6,528.5,2690.9,434.8,856.3,2075.8,2997.6,0,58.9,-200
0.057181,481.0,833.6,2181.0,461.4,2666.7,398.9,854.9,2075.4,2997.6,0,59.5,-200
0.059181,411.2,921.9,2164.8,425.7,2655.6,421.1,853.4,2075.1,2997.7,0,59.8,-200
0.061181,389.1,924.4,2163.9,417.9,2661.5,497.5,851.8,2074.8,2997.7,0,60.1,-200
0.063181,396.6,912.3,2181.5,452.5,2678.2,667.2,850.2,2074.4,2997.7,0,60.3,-200
0.065181,384.0,1054.9,2248.2,526.7,2687.1,1052.3,848.4,2074,2997.8,0,60.5,-200
0.067181,640.5,2632.2,2346.7,485.0,2875.4,1891.7,846.6,2073.6,2997.8,0,60.5,-200
