time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025862,907.4,1046.5,1973.8,293.5,3052.9,515.6,499.8,1459.3,2630.2,0,49.1,-200
0.027862,897.7,1204.8,1972.8,365.3,3032.7,617.6,499.8,1459.6,2630.3,0,49.3,-200
0.029862,906.1,1529.7,1975.5,525.4,3004.5,885.1,499.9,1460,2630.5,0,50.3,-200
0.031862,1835.4,2752.7,2054.7,880.5,3346.9,1573.2,500,1460.7,2630.7,0,51.6,-200
0.033862,1492.3,1691.7,2241.9,744.8,3370.9,816.2,500.1,1461.5,2631,0,52.5,-200
0.035862,961.3,1931.1,2253.1,669.9,3274.1,684.1,500.2,1462.5,2631.4,0,53.2,-200
0.037862,637.4,1300.5,2279.8,784.9,3222.9,739.8,500.4,1463.7,2631.8,0,54,-200
0.039862,378.5,810.7,1272.0,2853.5,2464.0,1199.3,500.6,1465.1,2632.3,0,54.7,-200
0.041862,373.0,532.7,1544.9,1199.3,2681.7,803.7,500.8,1466.6,2632.9,0,55.2,-200
0.043862,360.2,438.5,1560.2,776.0,2647.1,658.2,501,1468.3,2633.5,0,55.4,-200
0.045862,346.9,404.8,1569.8,571.8,2598.6,565.8,501.3,1470.2,2634.2,0,55.4,-200
0.047862,342.5,389.3,1573.1,480.7,2575.7,504.2,501.5,1472.3,2635,0,55.3,-200
0.049862,344.1,398.5,1567.5,482.6,2588.9,497.7,501.8,1474.6,2635.8,0,55,-200
0.051862,334.6,452.8,1534.1,553.5,2625.4,515.6,502.2,1477,2636.7,0,54.8,-200
0.053862,301.2,546.1,1472.8,614.9,2663.0,501.4,502.5,1479.6,2637.7,0,54.8,-200
0.055862,268.7,620.4,1443.5,620.9,2684.7,490.0,502.9,1482.4,2638.7,0,54.6,-200
0.057862,285.4,641.7,1471.7,624.3,2688.9,531.6,503.3,1485.3,2639.8,0,54.2,-200
0.059862,345.5,632.7,1528.6,638.8,2684.5,599.4,503.7,1488.5,2640.9,0,53.6,-200
0.061862,416.2,597.9,1575.9,635.4,2670.0,620.6,504.1,1491.7,2642.1,0,52.8,-200
0.063862,469.4,557.9,1601.2,629.2,2653.9,597.4,504.6,1495.2,2643.4,0,52.1,-200
0.065862,490.9,550.4,1637.5,652.8,2658.9,604.6,505,1498.8,2644.7,0,51.6,-200
0.067862,474.4,560.6,1711.0,662.0,2687.2,674.7,505.5,1502.6,2646.1,0,51.3,-200
0.069862,433.0,555.8,1783.9,575.4,2722.9,746.5,506.1,1506.5,2647.6,0,51.4,-200
0.071862,382.8,562.8,1800.7,478.0,2708.9,794.5,506.6,1510.6,2649.1,0,51.9,-200
0.073862,322.9,608.2,1772.8,433.4,2621.0,820.8,507.2,1514.8,2650.6,0,52.6,-200
0.075862,268.0,662.0,1727.3,418.5,2514.5,770.1,507.8,1519.2,2652.2,0,53.1,-200
0.077862,283.7,676.0,1695.5,436.2,2450.6,720.6,508.4,1523.7,2653.9,0,53.2,-200
0.079862,389.7,616.5,1690.1,509.7,2417.0,740.3,509,1528.4,2655.6,0,53.1,-200
0.081862,494.7,511.2,1709.3,600.6,2416.0,815.6,509.6,1533.2,2657.4,0,53,-200
0.083862,540.1,443.0,1737.8,643.1,2503.3,917.0,510.3,1538.2,2659.2,0,52.9,-200
0.085862,536.7,423.8,1750.6,625.8,2682.5,825.1,511,1543.3,2661,0,52.7,-200
0.087862,507.1,399.3,1746.9,595.3,2786.7,612.7,511.7,1548.5,2663,0,52.2,-200
0.089862,473.8,353.4,1763.0,570.5,2844.4,489.4,512.4,1553.9,2664.9,0,51.8,-200
0.091862,453.8,330.7,1813.5,533.2,2894.8,443.3,513.1,1559.4,2666.9,0,51.5,-200
0.093862,448.6,367.8,1865.0,480.4,2942.7,431.7,513.9,1565,2669,0,51.3,-200
0.095862,446.3,434.0,1886.5,446.5,2970.8,448.7,514.7,1570.8,2671.1,0,51.5,-200
0.097862,421.7,415.8,1864.5,475.2,2964.8,537.1,515.4,1576.7,2673.2,0,51.7,-200
0.099862,393.4,329.5,1779.9,514.4,2889.0,700.6,516.3,1582.6,2675.4,0,52,-200
0.101862,378.6,273.1,1681.8,450.6,2770.9,658.1,517.1,1588.7,2677.6,0,52.3,-200
0.103862,377.4,264.7,1609.4,370.8,2755.8,545.7,517.9,1594.9,2679.9,0,52.1,-200
0.105862,392.2,291.1,1548.8,320.9,2770.1,456.0,518.8,1601.3,2682.1,0,52.8,-200
0.107862,426.3,331.3,1503.2,311.6,2753.1,371.2,519.6,1607.7,2684.5,0,51.9,-203.4
0.109862,473.3,362.6,1479.3,346.4,2702.8,306.0,520.5,1614.2,2686.8,0,51.9,-210.1
0.111862,497.9,374.2,1471.1,404.6,2645.2,265.3,521.4,1620.8,2689.2,0,52.5,-215.1
0.113862,465.4,389.4,1464.5,462.5,2595.8,248.3,522.3,1627.5,2691.6,0,52.4,-213.4
