time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,620.3,864.8,2342.9,346.9,3537.9,1019.8,798.6,2192.1,3008.2,0,52.7,-200
0.027016,659.6,904.0,2293.8,354.8,3308.7,1300.3,798.6,2192,3008.1,0,52.8,-200
0.029016,795.5,824.0,2269.9,334.3,3153.4,883.7,798.6,2191.9,3007.9,0,52.9,-200
0.031016,889.9,659.6,2276.8,314.7,3164.8,659.6,798.6,2191.7,3007.6,0,53.1,-200
0.033016,940.1,549.9,2298.9,298.2,3200.5,525.5,798.5,2191.4,3007.3,0,53,-200
0.035016,968.9,489.7,2316.3,270.9,3214.4,423.7,798.5,2191.1,3006.9,0,52.8,-200
0.037016,981.0,454.2,2318.1,247.2,3199.3,361.3,798.5,2190.8,3006.4,0,52.7,-200
0.039016,976.5,437.0,2314.0,234.9,3168.6,319.9,798.4,2190.4,3005.9,0,52.7,-200
0.041016,951.3,447.4,2314.8,238.8,3135.8,302.7,798.3,2189.9,3005.3,0,52.6,-200
0.043016,906.6,466.5,2328.3,258.7,3103.1,306.9,798.3,2189.4,3004.6,0,52.5,-200
0.045016,862.9,461.0,2361.3,286.3,3073.9,322.7,798.2,2188.8,3003.8,0,52.4,-200
0.047016,852.1,448.7,2397.8,310.3,3059.9,344.2,798.1,2188.2,3003,0,52.3,-200
0.049016,871.5,478.9,2416.1,357.1,3055.6,381.3,798,2187.5,3002,0,52.3,-200
0.051016,894.1,559.6,2399.3,440.9,3051.9,434.8,797.9,2186.8,3001.1,0,52.3,-200
0.053016,886.8,658.0,2353.9,516.9,3047.5,508.3,797.8,2186,3000,0,52.4,-200
0.055016,847.1,740.1,2305.4,536.7,3053.5,643.8,797.7,2185.1,2998.9,0,52.3,-200
0.057016,817.9,762.5,2281.2,511.3,3085.7,883.6,797.5,2184.2,2997.7,0,52.2,-200
0.059016,834.7,700.2,2264.7,467.8,3129.9,1150.7,797.4,2183.3,2996.4,0,52.3,-200
0.061016,855.5,573.0,2240.6,439.1,3115.7,1128.2,797.2,2182.3,2995.1,0,52.5,-200
0.063016,857.4,460.2,2217.8,439.7,3073.9,957.3,797.1,2181.2,2993.7,0,52.4,-200
0.065016,855.5,412.1,2203.7,492.6,3014.7,833.1,796.9,2180.1,2992.2,0,52.3,-200
0.067016,862.1,446.5,2178.1,650.3,2911.5,741.8,796.7,2178.9,2990.7,0,52.1,-200
0.069016,882.7,568.3,2082.8,885.4,2814.7,599.3,796.5,2177.6,2989,0,51.7,-200
0.071016,935.5,766.6,1955.4,996.2,2786.2,522.1,796.3,2176.3,2987.4,0,51.3,-200
