time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025435,96.8,965.6,1626.4,1481.6,2784.4,956.0,742.8,2235.2,3162.2,0,50.2,-200
0.027435,325.8,732.0,1856.8,1744.5,2752.6,1151.7,742.7,2235.4,3162.2,0,49.7,-200
0.029435,455.6,700.0,2361.6,995.1,3401.1,929.1,742.5,2235.7,3162.2,0,49.2,-200
0.031435,655.7,675.6,2367.4,752.2,3339.0,630.5,742.2,2236.1,3162.2,0,48,-200
0.033435,792.3,522.0,2385.6,699.2,3304.5,542.6,741.8,2236.6,3162.2,0,47.6,-200
0.035435,852.3,472.6,2414.5,712.4,3276.8,562.9,741.3,2237.3,3162.2,0,47.5,-200
0.037435,889.4,552.9,2474.5,730.1,3288.0,708.3,740.8,2238.1,3162.2,0,47.9,-200
0.039435,944.0,821.5,2553.2,674.7,3419.1,979.2,740.2,2239,3162.1,0,48.5,-200
0.041435,1087.0,1126.3,2570.9,593.6,3625.0,1139.1,739.5,2240,3162.1,0,49,-200
0.043435,1165.8,1092.2,2533.2,567.9,3877.2,1292.8,738.7,2241.1,3162.1,0,49.5,-200
0.045435,1127.4,935.6,2456.4,562.5,3345.6,2351.0,737.8,2242.4,3162.1,0,49.9,-200
0.047435,1067.6,791.0,2374.7,519.7,3318.2,1578.7,736.9,2243.8,3162,0,50.4,-200
0.049435,993.5,688.6,2317.9,497.3,3375.7,1078.9,735.9,2245.3,3162,0,50.8,-200
0.051435,917.6,642.6,2286.1,562.0,3365.4,773.8,734.8,2246.9,3162,0,50.7,-200
0.053435,846.4,663.4,2277.5,748.2,3321.5,628.6,733.6,2248.6,3161.9,0,50.7,-200
0.055435,777.8,718.7,2281.8,944.6,3277.5,574.4,732.3,2250.4,3161.9,0,50.6,-200
0.057435,714.3,699.1,2275.4,984.2,3251.4,532.8,731,2252.3,3161.9,0,50.1,-200
0.059435,706.6,587.4,2271.0,929.6,3238.0,498.9,729.5,2254.4,3161.8,0,49.7,-200
0.061435,735.3,502.3,2278.5,883.1,3227.9,485.2,728,2256.5,3161.8,0,49.4,-200
0.063435,762.5,470.2,2295.2,853.6,3219.2,499.0,726.5,2258.8,3161.7,0,49.6,-200
0.065435,776.4,486.0,2313.1,849.2,3210.5,554.4,724.8,2261.2,3161.6,0,50.2,-200
0.067435,786.6,536.4,2335.2,884.7,3192.4,667.2,723.1,2263.6,3161.6,0,50.9,-200
0.069435,822.3,599.9,2377.3,969.0,3147.1,841.4,721.3,2266.2,3161.5,0,51.2,-200
0.071435,890.2,611.0,2441.0,1055.6,3078.1,1023.5,719.4,2268.9,3161.5,0,51,-200
0.073435,947.3,560.1,2484.2,1086.8,3038.0,1175.6,717.4,2271.7,3161.4,0,50.9,-200
0.075435,960.7,520.6,2424.3,1093.1,3097.9,1198.4,715.4,2274.5,3161.3,0,50,-200
0.077435,938.2,539.4,2284.9,1069.7,3215.0,1098.1,713.3,2277.5,3161.2,0,48.5,-200
0.079435,879.5,644.3,2153.8,1005.8,3311.4,1013.5,711.2,2280.5,3161.2,0,47.9,-200
0.081435,786.7,810.3,2086.0,979.1,3364.8,1044.3,708.9,2283.7,3161.1,0,47.7,-200
0.083435,763.6,983.3,2106.9,1019.5,3437.5,1141.1,706.6,2286.9,3161,0,47.6,-200
0.085435,937.1,848.7,2229.1,951.8,3515.4,1005.6,704.3,2290.2,3160.9,0,47.7,-200
0.087435,993.9,598.8,2296.5,801.0,3503.3,852.7,701.8,2293.6,3160.8,0,48.1,-200
0.089435,991.2,506.8,2344.3,726.0,3508.7,867.0,699.3,2297.1,3160.7,0,48.4,-200
0.091435,971.6,528.9,2428.4,690.6,3596.9,1055.2,696.7,2300.7,3160.6,0,48.7,-200
0.093435,937.8,627.3,2539.6,614.7,3852.1,1173.1,694.1,2304.3,3160.4,0,49.8,-200
0.095435,883.5,781.3,2611.2,526.5,3950.1,6998.6,691.4,2308,3160.3,0,51.1,-200
0.097435,786.6,991.7,2640.4,490.7,4056.7,915.8,688.7,2311.8,3160.2,0,52.2,-200
