time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025744,806.5,1038.9,1635.3,175.7,2793.1,776.5,691.2,1917.2,2939.2,0,54.8,-200
0.027744,784.1,976.8,1634.4,183.4,2848.3,790.2,691.2,1917.3,2939.2,0,54.9,-200
0.029744,759.8,1027.3,1634.7,200.5,2888.3,799.2,691,1917.3,2939.2,0,54.8,-200
0.031744,716.2,1240.0,1636.2,225.4,2902.6,808.7,690.9,1917.4,2939.2,0,54.7,-200
0.033744,634.2,1585.4,1639.8,245.8,2906.6,802.1,690.6,1917.5,2939.2,0,54.5,-200
0.035744,585.1,1655.6,1648.1,236.7,2911.7,757.9,690.4,1917.6,2939.2,0,54.4,-200
0.037744,621.9,1360.1,1655.6,191.0,2916.8,691.0,690.1,1917.7,2939.2,0,54.3,-200
0.039744,628.1,1204.4,1652.7,138.8,2916.5,626.7,689.7,1917.9,2939.1,0,54.2,-200
0.041744,552.1,1284.6,1640.5,99.2,2910.7,586.8,689.3,1918,2939.1,0,54.2,-200
0.043744,249.5,1577.8,1626.0,74.7,2902.4,586.7,688.8,1918.2,2939.1,0,54.2,-200
0.045744,1615.7,64.2,2902.2,614.5,3525.2,261.1,688.3,1918.4,2939.1,0,54.2,-200
0.047744,1611.5,68.6,2916.9,660.1,3500.6,288.2,687.7,1918.6,2939,0,54.2,-200
0.049744,1614.2,90.5,2943.5,706.9,3504.2,340.3,687.1,1918.9,2939,0,54.2,-200
0.051744,1626.9,136.9,2980.3,714.4,3542.3,419.2,686.5,1919.1,2939,0,54.1,-200
0.053744,218.7,1389.8,1656.8,210.0,3028.6,655.6,685.7,1919.4,2938.9,0,54,-200
0.055744,438.9,1047.8,1702.2,276.7,3084.0,558.7,685,1919.7,2938.9,0,54,-200
0.057744,522.5,843.3,1733.4,286.0,3125.8,462.7,684.2,1920,2938.8,0,54,-200
0.059744,579.4,800.8,1741.6,255.7,3145.6,401.3,683.3,1920.3,2938.8,0,54.1,-200
0.061744,650.2,869.6,1745.8,228.3,3151.1,371.3,682.4,1920.6,2938.7,0,54.4,-200
0.063744,741.4,999.5,1744.9,218.4,3148.5,384.7,681.5,1921,2938.6,0,54.7,-200
0.065744,800.4,1163.1,1732.3,234.0,3145.0,462.8,680.5,1921.4,2938.6,0,55,-200
0.067744,788.3,1452.0,1708.2,270.4,3131.9,596.2,679.5,1921.8,2938.5,0,55.3,-200
0.069744,645.3,1747.3,1683.8,301.7,3098.2,738.8,678.4,1922.2,2938.4,0,55.8,-200
0.071744,486.6,1480.1,1667.6,311.2,3022.8,889.2,677.3,1922.6,2938.4,0,56.2,-200
0.073744,469.1,1186.7,1659.5,294.6,2875.3,954.5,676.1,1923,2938.3,0,56.3,-200
0.075744,482.3,980.2,1650.4,258.7,2735.4,857.3,674.9,1923.4,2938.2,0,56.3,-200
0.077744,526.9,828.4,1635.0,220.0,2658.1,754.0,673.6,1923.9,2938.1,0,56.4,-200
0.079744,589.4,717.0,1620.5,197.6,2636.9,724.7,672.3,1924.3,2938,0,56.4,-200
0.081744,648.6,646.8,1612.8,198.8,2657.8,752.9,671,1924.8,2937.9,0,56.4,-200
0.083744,700.7,635.7,1617.7,233.2,2725.5,791.9,669.6,1925.3,2937.8,0,56.4,-200
0.085744,763.2,657.0,1644.5,302.2,2820.2,732.0,668.2,1925.8,2937.7,0,56.2,-200
0.087744,830.8,622.9,1695.1,371.6,2879.6,609.7,666.7,1926.3,2937.6,0,55.8,-200
0.089744,851.4,556.1,1730.8,409.5,2923.3,535.4,665.2,1926.8,2937.5,0,55.7,-200
0.091744,832.9,536.8,1730.6,456.8,2968.8,508.8,663.7,1927.3,2937.4,0,55.4,-200
0.093744,801.1,589.7,1702.4,561.2,3002.2,534.1,662.1,1927.9,2937.3,0,55,-200
0.095744,807.5,771.1,1664.8,808.8,3012.4,623.2,660.4,1928.4,2937.1,0,54.3,-200
0.097744,1064.2,861.6,1755.2,1484.5,3016.9,767.3,658.8,1928.9,2937,0,53.3,-200
0.099744,1157.0,596.7,2058.7,1627.8,3046.9,858.3,657.1,1929.5,2936.9,0,52.4,-200
0.101744,1225.6,524.2,2125.7,1764.7,3072.5,904.3,655.3,1930,2936.7,0,51.5,-200
0.103744,1326.3,488.3,2361.2,2925.0,3094.0,1200.9,653.5,1930.6,2936.6,0,51,-200
0.105744,1414.3,403.4,2769.9,1321.0,3588.9,747.7,651.7,1931.1,2936.4,0,50.9,-200
0.107744,306.0,1236.7,1464.1,365.3,2729.6,1231.8,649.9,1931.7,2936.3,0,51.4,-200
0.109744,416.4,937.3,1485.9,444.4,2719.7,1332.3,648,1932.2,2936.1,0,52.2,-200
0.111744,484.9,965.0,1488.3,763.7,2629.0,1734.7,646.1,1932.8,2935.9,0,53,-200
0.113744,851.5,1075.2,1932.9,1300.4,3458.7,3520.1,644.1,1933.3,2935.8,0,53.8,-200
0.115744,878.9,755.7,2015.4,967.0,3675.8,387.0,642.1,1933.9,2935.6,0,54.3,-200
0.117744,874.4,773.3,1983.4,912.5,3669.5,420.3,640.1,1934.5,2935.4,0,54.3,-200
0.119744,851.7,897.3,1905.7,892.3,3649.7,447.2,638,1935,2935.2,0,54,-200
0.121744,794.1,1053.6,1831.9,843.2,3637.9,474.2,635.9,1935.6,2935,0,54.2,-200
0.123744,715.2,1206.4,1804.0,835.2,3654.3,492.6,633.8,1936.1,2934.8,0,54.5,-200
0.125744,607.2,1725.9,1836.8,1010.2,3423.8,4912.4,631.7,1936.6,2934.6,0,54.3,-200
