time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025655,860.7,669.9,1591.7,1157.1,2311.6,633.7,474.9,1834.5,2751.8,0,56,-200
0.027655,829.2,813.1,1477.7,969.0,2378.4,587.5,474.8,1834.8,2751.9,0,55.8,-200
0.029655,816.0,1048.5,1372.8,968.3,2412.1,565.8,474.8,1835.4,2752.1,0,55.4,-200
0.031655,783.1,1240.8,1318.7,1047.2,2451.2,554.7,474.8,1836.1,2752.4,0,54.9,-200
0.033655,711.9,988.4,1475.2,1121.2,2502.1,531.2,474.8,1837.1,2752.7,0,54.5,-200
0.035655,673.8,748.8,1630.8,938.9,2542.1,493.0,474.8,1838.3,2753.2,0,54.1,-200
0.037655,684.0,633.7,1678.1,774.1,2558.4,461.0,474.8,1839.7,2753.7,0,53.8,-200
0.039655,711.7,596.3,1670.3,690.7,2563.6,451.1,474.7,1841.3,2754.3,0,53.8,-200
0.041655,740.0,617.4,1627.8,672.1,2570.6,453.8,474.7,1843.2,2754.9,0,54.1,-200
0.043655,764.0,663.0,1557.8,699.6,2582.2,449.9,474.7,1845.2,2755.7,0,54.3,-200
0.045655,778.2,683.9,1481.2,758.2,2588.9,450.9,474.6,1847.5,2756.5,0,54.1,-200
0.047655,783.9,692.8,1422.7,865.3,2572.6,497.3,474.6,1850,2757.4,0,53.9,-200
0.049655,810.4,767.5,1369.9,1114.0,2511.0,623.6,474.5,1852.7,2758.4,0,54,-200
0.051655,974.1,2294.2,993.8,813.8,2339.3,750.5,474.5,1855.6,2759.4,0,54.3,-200
0.053655,1078.0,595.0,2194.0,581.0,3329.5,584.6,474.4,1858.7,2760.6,0,54.5,-200
0.055655,1117.3,507.0,2165.1,453.2,3327.6,632.8,474.3,1862,2761.8,0,54.5,-200
0.057655,1140.7,508.8,2174.1,409.3,3327.9,723.0,474.3,1865.5,2763.1,0,55.4,-200.9
0.059655,1147.9,581.8,2196.1,424.8,3300.1,816.0,474.2,1869.2,2764.4,0,55.1,-206.4
0.061655,1135.3,680.5,2227.4,486.5,3229.4,889.3,474.1,1873.1,2765.8,0,55.3,-212.7
0.063655,1111.7,704.1,2272.5,551.2,3165.3,911.9,474.1,1877.2,2767.3,0,56.3,-214.9
0.065655,1095.5,651.4,2319.6,550.2,3188.6,879.3,474,1881.5,2768.9,0,57.1,-208.2
