time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025236,735.8,601.2,2375.9,416.1,3223.8,494.5,580.2,2289.8,2952.9,0,55.2,-200
0.027236,707.4,651.4,2380.0,456.3,3254.1,546.9,580.2,2289.8,2952.9,0,55.1,-200
0.029236,711.3,689.6,2369.1,442.6,3275.1,546.7,580.1,2289.7,2952.9,0,54.5,-200
0.031236,750.0,737.1,2357.5,390.9,3271.9,516.9,580.1,2289.5,2952.8,0,53.3,-200
0.033236,804.2,810.9,2355.3,340.7,3265.1,501.1,579.9,2289.3,2952.8,0,52.1,-200
0.035236,810.3,910.2,2359.6,319.6,3285.3,523.8,579.8,2289.1,2952.7,0,51.1,-200
0.037236,683.3,929.1,2357.5,325.3,3351.8,577.1,579.6,2288.8,2952.6,0,50.8,-200
0.039236,598.2,730.0,2338.7,339.7,2624.3,4439.6,579.4,2288.5,2952.5,0,51.1,-200
0.041236,572.4,602.4,2310.0,344.5,2623.9,3118.3,579.2,2288.1,2952.4,0,52,-200
0.043236,560.8,540.6,2295.3,375.8,2654.3,3035.8,579,2287.7,2952.3,0,52.8,-200
0.045236,556.6,444.6,2377.0,554.9,2594.9,1833.6,578.7,2287.2,2952.1,0,53.7,-200
0.047236,582.3,297.5,2548.4,534.6,2558.9,1220.0,578.4,2286.7,2952,0,54.9,-200
0.049236,608.1,205.8,2464.5,427.7,2880.3,702.1,578.1,2286.2,2951.8,0,56.4,-200
0.051236,624.7,160.2,2431.0,338.2,2894.5,454.2,577.8,2285.6,2951.6,0,58,-200
0.053236,635.6,132.1,2414.3,287.8,2885.4,360.4,577.4,2285,2951.4,0,59.4,-200
0.055236,643.4,107.8,2404.2,249.9,2879.5,304.2,577,2284.3,2951.2,0,60.5,-200
0.057236,648.9,83.0,2397.6,220.5,2878.8,267.3,576.6,2283.6,2951,0,61.2,-200
0.059236,651.9,59.8,2392.8,200.3,2882.9,246.8,576.2,2282.8,2950.7,0,61.4,-200
0.061236,652.8,38.1,2388.1,186.1,2892.4,237.5,575.7,2282,2950.5,0,61.3,-200
0.063236,651.8,22.6,2385.2,174.1,2908.1,229.9,575.2,2281.2,2950.2,0,60.8,-200
0.065236,649.8,13.7,2389.2,163.7,2934.3,208.7,574.7,2280.3,2949.9,0,59.9,-200
0.067236,647.7,9.9,2402.3,168.2,2969.3,181.2,574.2,2279.4,2949.6,0,58.8,-200
0.069236,646.1,9.7,2417.9,211.1,2998.4,176.4,573.6,2278.4,2949.3,0,57.4,-200
0.071236,644.9,13.1,2427.9,310.5,3010.4,194.5,573,2277.4,2949,0,55.9,-200
0.073236,644.2,23.9,2418.0,379.3,3006.5,227.6,572.4,2276.4,2948.7,0,54.3,-200
0.075236,644.5,48.4,2400.8,379.7,2991.0,299.3,571.8,2275.3,2948.3,0,52.7,-200
0.077236,645.4,86.0,2391.1,364.1,2957.6,378.6,571.1,2274.1,2947.9,0,51.3,-200
0.079236,644.8,119.7,2384.7,326.2,2937.6,379.4,570.5,2272.9,2947.6,0,50.7,-200
0.081236,641.9,152.4,2387.4,291.9,2942.7,376.3,569.8,2271.7,2947.2,0,51,-200
0.083236,642.0,189.2,2405.2,288.0,2967.1,458.1,569.1,2270.5,2946.8,0,52.1,-200
0.085236,650.0,212.2,2428.6,270.7,3015.9,631.6,568.3,2269.2,2946.3,0,52.8,-200
0.087236,658.8,203.7,2435.3,224.9,3074.5,792.6,567.6,2267.8,2945.9,0,54.3,-200
0.089236,662.0,179.8,2430.7,188.8,3103.9,864.1,566.8,2266.5,2945.4,0,54.5,-200
0.091236,659.3,156.1,2424.8,165.7,3112.2,864.4,566,2265,2944.9,0,56.2,-200
