time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025134,1615.1,673.2,2437.3,1254.5,3931.9,467.0,1186.9,2661.8,3467.8,0,50.2,-200
0.027134,1546.4,610.6,2432.4,824.4,3937.8,408.2,1186.6,2661.5,3467.6,0,49.6,-200
0.029134,1517.8,590.5,2422.5,613.5,3930.4,457.0,1186.2,2661,3467.3,0,49.9,-200
0.031134,1484.1,624.6,2401.8,528.2,3885.4,559.4,1185.6,2660.2,3466.9,0,50.9,-200
0.033134,1433.7,710.8,2375.5,525.4,3796.7,580.9,1184.8,2659.3,3466.3,0,52.2,-200
0.035134,1397.1,891.3,2365.7,640.3,3717.4,543.0,1183.9,2658.2,3465.7,0,53.4,-200
0.037134,1412.1,1191.5,2405.6,956.8,3642.1,564.3,1182.8,2656.8,3464.9,0,54.1,-200
0.039134,1451.4,1321.1,2615.2,1342.9,3584.3,652.2,1181.5,2655.2,3464,0,54.2,-200
0.041134,1440.6,1175.5,2895.9,1212.3,3591.7,770.3,1180.1,2653.5,3462.9,0,54.3,-200
0.043134,1450.9,966.3,2983.8,987.9,3641.6,830.1,1178.5,2651.5,3461.7,0,53.9,-200
0.045134,1476.0,808.3,3009.1,1007.8,3641.7,873.3,1176.7,2649.3,3460.5,0,53.2,-200
0.047134,1509.2,731.4,3005.7,1375.9,3552.1,851.7,1174.7,2646.9,3459.1,0,52.5,-200
0.049134,1553.1,728.6,2708.5,1908.4,3517.3,623.0,1172.6,2644.3,3457.5,0,51.7,-200
0.051134,1590.8,775.1,2332.7,1785.3,3540.7,464.4,1170.4,2641.6,3455.9,0,50.7,-200
0.053134,1610.7,857.9,2150.1,1504.1,3564.0,397.4,1167.9,2638.6,3454.1,0,50.1,-200
0.055134,1646.4,944.7,2039.8,1488.6,3579.1,412.2,1165.3,2635.4,3452.3,0,49.8,-200
0.057134,1681.8,963.6,1964.3,1703.1,3589.2,491.5,1162.6,2632,3450.3,0,49.9,-200
0.059134,1663.1,979.8,2020.9,1942.7,3610.2,653.5,1159.7,2628.4,3448.1,0,50.2,-200
0.061134,1654.3,1104.6,2141.5,1906.9,3680.0,873.9,1156.6,2624.6,3445.9,0,50.5,-200
0.063134,1741.4,1372.8,2119.3,1595.5,3775.4,951.7,1153.3,2620.6,3443.6,0,50.7,-200
0.065134,1669.0,1544.3,2145.5,1105.6,3780.1,861.4,1150,2616.5,3441.1,0,51.1,-200
0.067134,1520.7,1219.9,2226.5,813.3,3737.2,720.3,1146.4,2612.1,3438.5,0,51.5,-200
