time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025884,454.5,381.5,1591.5,732.2,2385.2,558.3,764.3,1558.1,2863.7,0,45,-200
0.027884,490.1,319.8,1644.0,749.9,2395.1,547.9,764.2,1558.1,2863.7,0,44.4,-200
0.029884,535.0,328.7,1660.8,842.3,2405.6,591.5,764.1,1558,2863.7,0,43.8,-200
0.031884,594.1,415.7,1675.5,1105.2,2392.9,726.1,763.8,1558,2863.6,0,43.3,-200
0.033884,718.7,617.4,1797.4,2795.5,2230.3,867.1,763.5,1558,2863.6,0,42.7,-200
0.035884,920.4,568.0,2137.2,662.4,3388.4,1328.5,763.2,1558,2863.5,0,42.5,-200
0.037884,982.9,491.0,2116.5,585.0,3275.9,802.2,762.8,1557.9,2863.4,0,42.3,-200
0.039884,1013.4,539.8,2110.9,580.0,3247.8,665.4,762.3,1557.9,2863.3,0,42.1,-200
0.041884,1045.7,737.1,2111.9,641.5,3268.2,693.6,761.7,1557.8,2863.2,0,42,-200
0.043884,1033.5,1403.0,2118.4,864.8,3382.4,849.7,761.1,1557.7,2863.1,0,41.9,-200
0.045884,611.8,860.2,1747.4,933.9,2459.5,1050.0,760.5,1557.7,2863,0,41.9,-200
0.047884,625.9,625.6,1718.0,711.6,2554.8,788.6,759.7,1557.6,2862.9,0,41.8,-200
0.049884,628.5,571.3,1686.9,681.3,2603.4,709.9,758.9,1557.5,2862.7,0,41.7,-200
0.051884,618.5,626.9,1640.8,752.0,2637.9,721.6,758.1,1557.4,2862.6,0,41.4,-200
0.053884,607.2,794.3,1605.1,985.8,2672.6,877.5,757.1,1557.3,2862.4,0,40.8,-200
0.055884,732.9,1067.9,1965.3,1400.2,2967.9,1235.7,756.2,1557.2,2862.2,0,40.4,-200
0.057884,830.8,771.5,2084.3,919.5,3111.5,768.5,755.1,1557.1,2862,0,40.3,-200
0.059884,823.0,648.7,2136.1,864.9,3070.2,666.1,754,1557,2861.8,0,40.3,-200
0.061884,810.0,661.7,2227.6,1072.7,2973.9,791.7,752.9,1556.8,2861.6,0,40.3,-200
0.063884,767.1,836.0,2325.9,2843.2,2692.3,735.9,751.6,1556.7,2861.4,0,40.3,-200
0.065884,565.7,992.2,1283.7,1396.6,2653.6,505.7,750.4,1556.6,2861.1,0,40.4,-200
0.067884,441.7,961.0,1380.8,1036.0,2649.3,457.9,749,1556.4,2860.9,0,40.2,-200
0.069884,383.9,1061.7,1408.5,953.9,2647.1,499.7,747.6,1556.2,2860.6,0,39.9,-200
0.071884,433.0,1303.5,1358.3,1056.2,2643.2,616.0,746.2,1556.1,2860.3,0,39.6,-200
0.073884,732.6,1199.0,1285.5,1526.4,2640.1,784.7,744.7,1555.9,2860,0,39.4,-200
0.075884,770.9,758.0,1588.6,2074.7,2625.4,994.8,743.1,1555.7,2859.7,0,39.3,-200
0.077884,720.3,634.7,2075.3,2370.3,2534.3,1364.2,741.5,1555.5,2859.4,0,39.3,-200
0.079884,647.3,578.4,2116.6,1499.7,2781.0,1870.1,739.9,1555.4,2859.1,0,39.3,-200
0.081884,575.6,531.6,1891.0,1237.4,2875.1,1356.8,738.2,1555.2,2858.7,0,39.6,-200
0.083884,517.1,523.3,1799.0,1029.1,2850.4,1101.3,736.4,1554.9,2858.4,0,40.3,-200
0.085884,457.9,604.4,1745.7,985.9,2740.7,1027.2,734.6,1554.7,2858,0,41.4,-200
0.087884,331.7,898.2,1641.6,1144.5,2589.5,986.0,732.7,1554.5,2857.6,0,42.7,-200
0.089884,1232.4,1241.6,2409.5,950.7,3474.0,675.9,730.8,1554.3,2857.2,0,44.2,-200
0.091884,1084.9,765.7,2278.4,763.0,3452.7,811.2,728.9,1554,2856.8,0,45.4,-200
0.093884,1022.6,552.8,2240.2,608.7,3409.1,769.0,726.9,1553.8,2856.4,0,46.2,-200
0.095884,976.0,432.6,2246.2,510.3,3413.3,669.8,724.9,1553.5,2855.9,0,46.7,-200
0.097884,943.5,378.0,2273.3,456.7,3409.2,623.6,722.8,1553.3,2855.5,0,46.9,-200
0.099884,925.5,385.1,2290.4,458.5,3376.5,634.3,720.6,1553,2855,0,46.7,-200
0.101884,921.0,449.1,2272.5,531.8,3314.2,675.1,718.5,1552.7,2854.5,0,46.1,-200
0.103884,920.3,560.0,2207.1,645.5,3249.9,671.2,716.3,1552.4,2854,0,45.3,-200
0.105884,911.0,717.4,2117.9,720.7,3236.2,614.5,714,1552.1,2853.5,0,44.2,-200
0.107884,890.0,902.3,2054.3,730.1,3265.9,547.0,711.8,1551.8,2853,0,43,-200
0.109884,868.0,984.1,2035.0,684.2,3295.4,490.9,709.4,1551.5,2852.4,0,41.9,-200
0.111884,864.1,890.6,2048.6,638.2,3307.4,458.0,707.1,1551.2,2851.9,0,40.7,-200
0.113884,888.4,786.1,2057.0,699.6,3304.5,463.0,704.7,1550.9,2851.3,0,39.4,-200
0.115884,936.3,814.5,2018.3,1015.0,3284.1,528.4,702.3,1550.6,2850.7,0,38.8,-200
0.117884,1111.2,2324.4,1112.0,1157.4,2235.1,3648.1,699.8,1550.2,2850.1,0,38.3,-200
0.119884,525.1,1657.0,1308.3,712.9,3049.6,1515.5,697.4,1549.9,2849.5,0,38,-200
0.121884,287.2,1648.7,1324.0,623.7,2851.0,990.0,694.9,1549.5,2848.9,0,38.6,-200
0.123884,351.4,1421.3,1335.5,698.6,2788.8,833.9,692.3,1549.1,2848.2,0,39.4,-200
0.125884,503.6,1119.2,1326.1,887.9,2794.0,781.6,689.8,1548.7,2847.6,0,40.4,-200
0.127884,592.7,860.6,1278.6,1068.3,2834.1,752.9,687.2,1548.4,2846.9,0,42,-203.4
0.129884,609.2,574.0,1272.5,990.2,2872.9,659.3,684.6,1548,2846.2,0,44.6,-210.1
0.131884,608.5,327.3,1278.6,795.1,2872.2,647.5,682,1547.6,2845.5,0,47.7,-215.1
0.133884,612.4,213.9,1252.2,685.9,2793.6,702.0,679.3,1547.1,2844.8,0,50.8,-213.4
0.135884,606.6,165.8,1212.7,579.3,2688.1,629.0,676.7,1546.7,2844,0,53.7,-200
0.137884,600.2,141.2,1186.9,510.7,2649.6,556.4,674,1546.3,2843.3,0,56.3,-168
0.139884,596.8,129.6,1171.0,482.1,2649.0,508.9,671.3,1545.9,2842.5,0,58.8,-120.8
0.141884,596.0,127.8,1148.6,458.8,2655.3,483.7,668.6,1545.4,2841.7,0,61.2,-68.6
0.143884,598.2,136.9,1110.2,415.2,2665.0,505.6,665.9,1544.9,2840.9,0,63.2,-21.7
0.145884,600.3,148.9,1071.7,359.3,2690.2,623.3,663.1,1544.5,2840.1,0,65,9.6
0.147884,597.4,150.8,1048.9,320.9,2749.4,864.7,660.4,1544,2839.2,0,66.4,24.7
0.149884,588.7,142.3,1035.6,296.8,2789.0,1861.3,657.7,1543.5,2838.4,0,67.5,30.6
0.151884,576.2,128.0,1025.1,278.0,2654.7,1672.0,654.9,1543,2837.5,0,68.1,28
0.153884,561.9,110.1,1016.0,263.1,2666.5,1514.3,652.1,1542.5,2836.6,0,68.3,17.6
0.155884,547.9,89.8,1008.1,254.3,2686.5,1261.0,649.4,1542,2835.7,0,68,0
0.157884,537.4,70.2,1003.9,259.0,2697.2,1109.3,646.6,1541.5,2834.8,0,67.3,-31
0.159884,534.0,56.6,1016.8,294.3,2783.6,1047.2,643.9,1540.9,2833.9,0,66.2,-75.9
0.161884,538.2,50.8,1076.1,361.9,2941.2,877.0,641.1,1540.4,2832.9,0,64.7,-125.3
0.163884,546.9,52.7,1163.1,390.7,3002.7,705.5,638.3,1539.8,2831.9,0,62.9,-169.8
0.165884,556.0,66.1,1201.2,401.8,3007.6,685.3,635.6,1539.2,2830.9,0,60.9,-200
0.167884,559.2,91.3,1172.6,464.9,2971.1,775.1,632.8,1538.7,2829.9,0,59.2,-216
0.169884,554.1,120.4,1093.3,514.8,2860.5,876.8,630.1,1538.1,2828.9,0,59.5,-224
0.171884,538.0,150.2,1026.8,479.5,2749.9,870.8,627.3,1537.5,2827.9,0,61.9,-224
0.173884,499.5,189.1,984.3,389.5,2693.3,852.2,624.6,1536.9,2826.8,0,65.3,-216
0.175884,448.0,190.6,961.3,241.9,2677.0,731.1,621.9,1536.2,2825.7,0,68.7,-200
0.177884,435.2,163.8,961.5,154.8,2698.0,499.7,619.1,1535.6,2824.6,217,71.7,-169.7
0.179884,449.4,150.5,973.3,123.3,2703.0,330.1,616.5,1535,2823.5,216.6,74.3,-125.2
0.181884,465.6,134.3,984.7,105.0,2698.4,258.9,613.8,1534.3,2822.4,216.1,76.5,-75.8
0.183884,478.5,118.1,995.4,93.4,2692.0,223.8,611.1,1533.7,2821.3,215.7,78.3,-31
0.185884,488.9,106.1,1006.7,87.2,2685.1,203.5,608.5,1533,2820.1,215.2,79.7,-0.3
0.187884,498.2,99.8,1018.7,84.2,2677.9,194.2,605.8,1532.3,2818.9,214.7,80.7,13.2
0.189884,508.7,99.7,1030.6,79.6,2670.7,195.6,603.2,1531.6,2817.7,214.3,81.5,15.8
0.191884,523.2,106.2,1040.1,69.2,2664.7,207.0,600.6,1530.9,2816.5,213.8,82,12.1
0.193884,544.6,117.5,1046.5,55.8,2661.3,220.4,598.1,1530.2,2815.3,213.3,82.4,7
0.195884,573.9,129.5,1052.0,46.2,2655.7,215.6,595.5,1529.4,2814,212.8,82.7,5.1
0.197884,608.2,139.0,1060.0,42.8,2641.3,196.1,593,1528.7,2812.7,212.3,83,6.6
0.199884,643.0,144.5,1072.4,44.3,2623.4,185.8,590.5,1527.9,2811.5,211.9,83.3,8.3
0.201884,674.9,147.2,1089.6,48.6,2609.3,190.2,588,1527.1,2810.2,211.4,83.6,10
0.203884,703.6,148.1,1111.1,53.4,2602.3,202.0,585.6,1526.4,2808.8,211,84,11.5
0.205884,729.8,146.5,1135.3,56.8,2602.5,214.9,583.2,1525.6,2807.5,210.5,84.4,12.7
0.207884,753.2,142.8,1159.8,58.0,2608.5,229.0,580.8,1524.8,2806.1,210.1,84.7,13.5
0.209884,773.9,137.1,1182.6,56.8,2616.2,246.3,578.5,1523.9,2804.8,209.7,84.9,14
0.211884,792.1,129.1,1202.3,53.8,2618.3,272.5,576.2,1523.1,2803.4,209.3,85.1,14.3
0.213884,806.7,121.1,1218.0,50.7,2609.5,315.4,573.9,1522.3,2802,208.8,85.2,14.5
0.215884,815.6,116.3,1229.8,49.5,2590.4,375.1,571.7,1521.4,2800.6,208.5,85.2,14.5
0.217884,818.1,114.1,1238.8,51.0,2580.9,425.2,569.5,1520.5,2799.1,208.1,85.1,14.1
0.219884,816.4,109.8,1246.4,54.5,2617.4,414.6,567.3,1519.7,2797.7,207.7,85,13.5
0.221884,812.7,101.3,1253.4,60.0,2685.6,328.1,565.2,1518.8,2796.2,207.3,84.9,12.8
0.223884,807.3,93.3,1260.3,72.0,2735.7,228.6,563.1,1517.9,2794.7,206.9,84.8,12.2
0.225884,801.8,87.9,1271.9,93.9,2754.4,165.4,561,1516.9,2793.2,206.6,84.6,12.2
0.227884,797.6,82.2,1294.3,116.7,2754.7,136.0,559,1516,2791.7,206.2,84.5,12.9
0.229884,794.1,77.1,1321.7,129.2,2751.2,128.9,557,1515.1,2790.1,205.9,84.3,14.1
0.231884,791.1,75.9,1346.3,139.1,2753.5,138.3,555.1,1514.1,2788.6,205.5,84.2,15.5
0.233884,788.7,77.2,1371.0,153.8,2764.6,157.9,553.2,1513.1,2787,205.1,84,16.7
0.235884,786.2,78.9,1401.0,170.1,2778.7,180.7,551.4,1512.1,2785.4,204.8,83.7,17.3
0.237884,783.1,81.6,1436.0,183.6,2787.4,206.6,549.6,1511.1,2783.8,204.4,83.4,17.2
0.239884,780.5,87.7,1470.7,193.1,2789.5,241.8,547.9,1510.1,2782.2,204,83.1,16.6
0.241884,780.7,100.6,1498.6,201.0,2793.4,294.6,546.2,1509.1,2780.6,203.7,82.7,15.8
0.243884,784.7,124.8,1516.9,211.5,2815.9,376.3,544.5,1508.1,2779,203.3,82.3,15
0.245884,790.8,162.1,1526.9,222.7,2874.9,492.6,542.9,1507,2777.3,202.9,82,14.6
0.247884,794.6,204.5,1531.6,227.7,2979.5,616.8,541.4,1505.9,2775.6,202.5,81.8,14.8
0.249884,791.1,237.0,1534.0,225.9,3119.5,666.0,539.9,1504.8,2774,202,81.7,15.3
0.251884,778.3,250.4,1535.1,222.7,3214.8,613.4,538.4,1503.7,2772.3,201.6,81.7,15.9
0.253884,759.7,246.9,1534.9,223.9,3243.4,693.9,537,1502.6,2770.6,201.2,81.7,16.4
0.255884,740.9,238.8,1534.1,236.1,3126.2,982.3,535.6,1501.5,2768.8,200.7,81.7,16.5
0.257884,725.2,238.8,1533.3,265.0,2964.7,1043.2,534.3,1500.4,2767.1,200.2,81.6,16.2
0.259884,713.5,249.3,1528.8,308.5,2882.7,1064.2,533.1,1499.2,2765.3,199.7,81.5,15.7
0.261884,705.0,267.9,1516.3,357.0,2883.9,1101.5,531.9,1498,2763.6,199.2,81.4,15
0.263884,697.3,291.9,1496.1,406.7,2936.8,1195.6,530.7,1496.9,2761.8,198.7,81.1,14.2
0.265884,688.3,314.0,1471.7,454.4,2953.8,1321.6,529.6,1495.7,2760,198.1,80.9,13.4
0.267884,677.8,322.4,1446.6,484.3,2868.1,1245.7,528.6,1494.5,2758.2,197.6,80.6,12.5
0.269884,666.3,314.0,1430.4,476.5,2778.2,980.7,527.6,1493.2,2756.4,197,80.3,11.4
0.271884,652.6,310.0,1434.1,438.9,2754.1,765.6,526.7,1492,2754.6,196.3,80,10.4
0.273884,633.4,347.0,1447.9,409.1,2788.1,682.6,525.8,1490.7,2752.8,195.7,79.9,9.6
0.275884,604.7,443.0,1455.5,411.2,2841.4,700.5,525,1489.5,2750.9,195,79.8,9.4
0.277884,569.9,560.6,1460.9,431.8,2878.1,730.3,524.2,1488.2,2749.1,194.4,79.8,10.1
0.279884,543.0,616.1,1477.3,437.2,2861.8,694.4,523.4,1486.9,2747.2,193.7,79.8,11.4
0.281884,524.9,589.4,1503.4,419.8,2806.1,632.4,522.8,1485.6,2745.4,193,79.8,13
0.283884,507.4,534.9,1532.5,398.1,2762.2,573.5,522.2,1484.3,2743.5,192.2,79.8,14.5
0.285884,485.6,502.6,1554.4,382.0,2752.1,536.5,521.6,1482.9,2741.6,191.5,79.7,15.5
0.287884,452.1,513.2,1554.0,373.8,2754.8,528.9,521.1,1481.6,2739.7,190.7,79.5,16
0.289884,394.8,542.6,1531.7,372.3,2746.1,541.3,520.6,1480.2,2737.8,190,79.2,16.4
0.291884,329.1,505.6,1506.4,371.0,2730.5,540.5,520.2,1478.8,2735.9,189.2,78.9,16.5
0.293884,308.6,445.7,1495.6,369.5,2727.4,511.5,519.9,1477.4,2734,188.4,78.5,16.3
0.295884,316.0,424.1,1506.7,382.1,2749.4,470.9,519.6,1476,2732.1,187.6,78.1,15.9
0.297884,343.9,425.7,1539.4,426.5,2799.6,435.1,519.3,1474.6,2730.2,186.9,77.6,14.9
