time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025082,370.0,806.2,1919.7,632.1,3141.4,806.6,945.5,1766.7,3069.9,0,46.9,-200
0.027082,280.8,938.2,1930.0,694.3,3042.2,878.7,945.4,1766.7,3069.9,0,46.5,-200
0.029082,99.3,2945.0,2002.6,1018.8,2911.3,1078.9,945.1,1766.6,3069.9,0,46.1,-200
0.031082,1357.8,2172.5,2054.3,2927.0,2581.8,975.1,944.7,1766.5,3069.8,0,46.1,-200
0.033082,1452.3,1415.7,2573.9,758.7,3950.4,811.3,944.2,1766.4,3069.8,0,46.5,-200
0.035082,1486.9,1258.2,2566.2,830.8,3929.2,707.8,943.6,1766.2,3069.8,0,47.2,-200
0.037082,1398.7,1307.3,2441.8,1114.0,3011.4,3728.5,942.9,1766.1,3069.7,0,48,-200
0.039082,1225.2,1126.8,2203.0,915.8,3739.1,1015.3,942.1,1765.8,3069.6,0,48.4,-200
0.041082,1120.7,928.9,2148.0,735.3,3550.4,619.5,941.1,1765.6,3069.5,0,48.6,-200
0.043082,1042.8,835.7,2141.8,703.8,3513.2,453.8,940.1,1765.4,3069.4,0,48.4,-200
0.045082,984.9,809.0,2177.6,790.3,3482.8,412.3,939,1765.1,3069.3,0,48.2,-200
0.047082,962.8,813.0,2252.0,981.6,3444.1,474.0,937.7,1764.8,3069.2,0,47.8,-200
0.049082,975.4,823.2,2361.8,1295.1,3345.2,642.4,936.3,1764.4,3069.1,0,47.1,-200
0.051082,995.0,847.3,2417.9,1550.0,3188.5,652.1,934.9,1764.1,3069,0,46.3,-200
0.053082,991.1,927.1,2361.0,1502.2,3136.4,557.5,933.3,1763.7,3068.8,0,45.8,-200
0.055082,961.3,969.7,2257.9,1266.0,3127.1,473.3,931.6,1763.2,3068.7,0,45.3,-200
0.057082,951.6,838.9,2209.5,1036.4,3126.4,416.6,929.9,1762.8,3068.5,0,45,-200
0.059082,958.6,670.1,2206.8,899.2,3134.7,402.8,928,1762.3,3068.3,0,45,-200
0.061082,965.2,577.5,2225.6,838.0,3163.4,431.0,926,1761.8,3068.1,0,45.2,-200
0.063082,974.2,582.3,2224.4,811.6,3208.7,459.2,923.9,1761.3,3067.9,0,45.8,-200
0.065082,986.3,681.6,2172.6,789.3,3240.7,465.0,921.7,1760.8,3067.7,0,46.5,-200
0.067082,977.1,799.4,2118.5,723.3,3241.8,479.6,919.4,1760.2,3067.5,0,47.1,-200
0.069082,948.0,869.8,2119.5,649.4,3239.0,536.4,917.1,1759.6,3067.2,0,47.4,-200
0.071082,929.9,942.7,2161.3,650.5,3248.5,646.4,914.6,1758.9,3067,0,47.6,-200
0.073082,925.7,1100.6,2215.8,786.9,3241.1,798.7,912,1758.3,3066.7,0,47.6,-200
0.075082,856.7,1646.7,2279.9,1446.7,3083.4,1071.8,909.3,1757.6,3066.5,0,47.3,-200
0.077082,477.9,968.7,1625.7,1249.5,2876.9,636.5,906.6,1756.9,3066.2,0,46.9,-200
0.079082,476.9,749.0,1592.7,870.6,2870.3,434.9,903.7,1756.2,3065.9,0,46.4,-200
0.081082,464.3,623.6,1593.1,729.8,2852.8,401.2,900.8,1755.4,3065.6,0,45.8,-200
0.083082,478.9,584.2,1606.0,757.5,2819.1,496.0,897.7,1754.7,3065.2,0,45.3,-200
0.085082,517.8,644.0,1662.9,1000.7,2785.7,751.5,894.6,1753.9,3064.9,0,44.9,-200
0.087082,591.6,791.0,2055.1,1321.3,2934.8,1340.5,891.4,1753,3064.5,0,44.7,-200
0.089082,729.8,873.7,2207.5,760.1,3247.5,1004.5,888.1,1752.2,3064.2,0,44.5,-200
0.091082,782.4,884.5,2242.9,594.6,3306.3,804.3,884.7,1751.3,3063.8,0,44.7,-200
0.093082,770.0,993.3,2265.0,566.3,3343.6,779.9,881.3,1750.4,3063.4,0,45.1,-200
0.095082,774.4,1156.3,2280.9,660.5,3388.8,895.9,877.8,1749.5,3063,0,45.6,-200
0.097082,876.5,1226.4,2282.7,864.6,3378.8,1062.5,874.1,1748.5,3062.6,0,46,-200
0.099082,974.0,1072.8,2197.5,955.7,3231.9,874.6,870.4,1747.6,3062.1,0,46.2,-200
0.101082,991.5,900.2,2110.1,793.2,3169.3,610.2,866.7,1746.6,3061.7,0,46.4,-200
0.103082,979.2,852.8,2067.2,680.8,3148.4,513.0,862.8,1745.6,3061.2,0,47,-200
0.105082,952.1,907.6,2037.9,660.7,3146.5,532.6,858.9,1744.5,3060.7,0,47.5,-200
0.107082,933.3,972.5,2029.1,718.3,3163.7,655.0,854.9,1743.5,3060.2,0,47.8,-200
0.109082,953.6,931.5,2063.8,833.9,3203.1,894.2,850.9,1742.4,3059.7,0,48,-200
0.111082,987.7,829.4,2142.1,958.8,3235.2,1214.8,846.8,1741.3,3059.1,0,47.9,-200
0.113082,994.8,775.6,2201.1,1067.7,3175.4,1367.5,842.6,1740.2,3058.6,0,47.6,-200
0.115082,950.5,738.4,2160.1,1129.4,3059.8,1091.3,838.3,1739.1,3058,0,47.4,-200.9
0.117082,862.6,640.9,2096.6,1128.5,3008.8,846.9,834,1737.9,3057.4,0,47.9,-206.6
0.119082,774.2,445.0,1984.1,1384.6,2943.5,753.8,829.6,1736.7,3056.8,0,49.4,-213.2
0.121082,729.3,313.9,1455.1,1501.0,2874.1,684.2,825.2,1735.5,3056.2,0,51.1,-215.5
0.123082,705.3,255.2,1287.0,1015.5,2850.6,669.3,820.7,1734.3,3055.6,0,53.1,-208.5
0.125082,693.5,223.2,1253.0,851.1,2840.5,684.1,816.2,1733.1,3054.9,0,55,-186.5
0.127082,688.2,207.3,1235.0,792.7,2834.5,694.0,811.6,1731.8,3054.2,0,57.1,-145.4
0.129082,686.7,203.4,1199.6,730.8,2831.7,694.0,807,1730.5,3053.5,0,59.3,-94.1
0.131082,682.9,208.4,1138.9,589.4,2838.0,664.5,802.3,1729.3,3052.8,0,61.7,-43.1
0.133082,670.0,202.2,1099.3,445.4,2860.4,591.8,797.6,1727.9,3052,0,63.8,-2.6
0.135082,659.1,186.8,1086.2,377.3,2877.4,493.8,792.8,1726.6,3051.3,0,65.7,19.2
0.137082,653.7,174.9,1082.1,356.1,2879.1,443.2,788,1725.3,3050.5,0,67.2,29.5
0.139082,650.3,167.6,1073.1,348.0,2881.2,454.4,783.2,1723.9,3049.7,0,68.2,30.9
0.141082,647.0,167.8,1053.4,346.6,2890.3,524.8,778.3,1722.5,3048.9,0,68.8,24
0.143082,640.8,177.2,1021.5,347.5,2903.4,631.5,773.4,1721.1,3048,0,69,9.8
