time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025202,671.4,303.9,1828.2,506.7,2868.2,603.3,538.8,1499.9,2699.8,0,41.9,-200
0.027202,648.3,273.1,1801.7,441.6,2830.7,564.3,538.8,1499.8,2699.8,0,43,-200
0.029202,618.2,274.7,1782.1,351.5,2821.7,603.6,538.8,1499.8,2699.7,0,44,-200
0.031202,580.9,329.7,1763.0,309.9,2812.0,732.6,538.8,1499.7,2699.6,0,44.6,-200
0.033202,529.6,449.9,1742.0,324.2,2799.8,893.3,538.7,1499.6,2699.4,0,45.5,-200
0.035202,459.8,622.6,1722.0,378.0,2847.5,975.4,538.7,1499.5,2699.2,0,45.9,-200
0.037202,378.1,818.9,1704.9,471.9,2952.9,859.4,538.6,1499.4,2699,0,46.4,-200
0.039202,323.6,972.3,1676.7,625.6,2980.9,716.4,538.5,1499.3,2698.7,0,46.5,-200
0.041202,382.9,938.8,1602.3,779.3,2932.9,739.9,538.5,1499.1,2698.4,0,46.4,-200
0.043202,480.9,746.8,1537.0,748.2,2802.8,663.2,538.4,1498.9,2698.1,0,46.1,-200
0.045202,531.6,620.4,1538.3,654.0,2773.1,572.1,538.3,1498.7,2697.7,0,45.7,-200
0.047202,523.6,673.9,1568.4,643.2,2809.1,634.3,538.2,1498.5,2697.3,0,45.5,-200
0.049202,400.4,1020.8,1627.2,750.4,2966.2,676.0,538,1498.3,2696.9,0,45.6,-200
0.051202,925.7,2761.6,1752.1,825.4,3033.6,515.0,537.9,1498,2696.4,0,45.7,-200
0.053202,393.7,3116.6,1815.5,706.8,3054.0,478.6,537.8,1497.8,2695.9,0,45.9,-200
0.055202,238.9,816.8,1821.8,619.3,3074.5,518.5,537.6,1497.5,2695.4,0,46.1,-200
0.057202,343.6,567.0,1795.3,594.3,3103.8,674.7,537.5,1497.2,2694.8,0,46.3,-200
0.059202,380.9,464.4,1726.1,564.0,2881.1,967.1,537.3,1496.9,2694.2,0,46.6,-200
0.061202,399.5,428.8,1655.0,467.3,2743.0,771.0,537.1,1496.6,2693.6,0,46.8,-200
0.063202,413.8,443.8,1622.1,375.0,2682.1,670.5,537,1496.3,2693,0,46.7,-200
0.065202,434.4,501.2,1613.5,331.4,2645.7,627.0,536.8,1495.9,2692.3,0,46.2,-200
0.067202,471.5,567.1,1611.2,326.5,2633.0,577.4,536.6,1495.6,2691.6,0,45.8,-200
0.069202,520.2,602.5,1611.0,352.9,2645.9,512.4,536.4,1495.2,2690.8,0,45.4,-200
0.071202,546.6,609.5,1616.2,412.9,2670.0,467.9,536.2,1494.8,2690,0,44.9,-200
0.073202,539.6,597.2,1635.4,487.2,2693.8,462.8,535.9,1494.4,2689.2,0,44.9,-200
0.075202,523.7,557.8,1673.6,521.1,2714.1,479.1,535.7,1494.1,2688.4,0,45,-200
0.077202,512.9,513.1,1710.0,503.6,2719.9,497.7,535.5,1493.7,2687.5,0,45.1,-200
0.079202,503.1,479.6,1725.9,487.8,2694.2,527.9,535.2,1493.3,2686.7,0,45.9,-200
0.081202,484.6,461.1,1721.5,513.2,2636.1,579.6,535,1492.9,2685.7,0,46.5,-200
0.083202,455.3,471.0,1711.6,599.9,2564.1,676.3,534.7,1492.5,2684.8,0,46.8,-200
0.085202,417.5,529.5,1720.7,776.5,2467.4,868.8,534.5,1492,2683.9,0,47.3,-200
0.087202,364.0,638.9,1713.7,1032.7,2317.0,940.8,534.2,1491.6,2682.9,0,47.7,-200.9
0.089202,278.2,747.1,1582.8,1001.0,2310.8,751.0,533.9,1491.2,2681.9,0,49.1,-206.3
0.091202,186.9,777.8,1506.0,725.6,2367.2,555.2,533.6,1490.8,2680.8,0,51.3,-212.4
0.093202,102.3,811.5,1509.7,548.5,2443.3,420.5,533.3,1490.4,2679.8,0,52.6,-214.6
0.095202,1547.6,562.6,2549.0,389.6,3551.3,440.9,533,1490,2678.7,0,52.9,-208
0.097202,466.0,1451.4,1569.8,704.1,2594.2,415.6,532.7,1489.6,2677.6,0,54,-186.4
0.099202,888.0,859.4,1698.1,816.1,2629.1,410.7,532.4,1489.2,2676.5,0,56.1,-142.5
0.101202,923.3,739.3,1739.4,808.3,2635.4,404.3,532.1,1488.8,2675.4,0,58.7,-88.3
0.103202,917.8,750.5,1734.4,817.9,2629.3,408.4,531.8,1488.4,2674.3,0,61.1,-38
0.105202,908.8,793.9,1716.3,839.5,2619.5,421.6,531.5,1488,2673.1,0,62.8,-6.1
0.107202,909.0,867.2,1684.3,879.1,2607.2,448.7,531.1,1487.7,2671.9,0,64.4,-7
0.109202,935.2,1000.9,1623.9,953.4,2591.5,502.2,530.8,1487.3,2670.8,0,65.1,-44.3
0.111202,1055.4,1334.3,1462.9,1068.6,2568.7,614.4,530.5,1487,2669.6,0,65.8,-100.8
0.113202,875.4,3394.4,1305.8,726.6,2493.9,885.8,530.1,1486.6,2668.3,0,66.2,-157.2
0.115202,1281.3,574.3,2253.9,969.4,3021.2,748.0,529.8,1486.3,2667.1,0,66,-194.5
0.117202,1249.8,629.8,2112.5,1057.1,3017.4,663.4,529.4,1486,2665.9,0,66.8,-195.3
