time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025918,1014.2,622.2,2482.8,498.2,3573.9,514.4,681.5,1600.8,2790.3,0,47,-200
0.027918,1015.0,626.7,2530.3,488.4,3577.3,458.6,681.4,1600.8,2790.2,0,47.1,-200
0.029918,995.1,844.5,2569.8,533.3,3607.9,480.9,681.3,1600.8,2790.2,0,47.3,-200
0.031918,1024.9,1450.6,2591.3,610.7,3679.8,563.0,681.2,1600.7,2790.1,0,47.5,-200
0.033918,381.9,1025.2,1398.4,1782.9,2601.4,690.3,681,1600.7,2789.9,0,47.4,-200
0.035918,440.8,1200.2,1533.5,2105.5,2573.4,750.7,680.7,1600.6,2789.8,0,47,-200
0.037918,926.3,1102.1,2437.4,2567.6,2473.8,771.9,680.5,1600.6,2789.6,0,46.7,-200
0.039918,990.3,756.8,2392.9,652.8,2892.6,2298.9,680.1,1600.5,2789.4,0,46.7,-200
0.041918,1002.2,659.6,2393.8,576.2,3272.1,2641.6,679.8,1600.4,2789.2,0,47.1,-200
0.043918,1006.2,723.6,2446.1,570.1,3668.8,851.1,679.4,1600.4,2789,0,47.8,-200
0.045918,1062.6,983.8,2530.5,569.3,3637.0,730.2,678.9,1600.3,2788.7,0,48.6,-200
0.047918,156.9,956.1,1291.5,1084.3,2599.9,554.8,678.5,1600.2,2788.4,0,49.3,-200
0.049918,222.4,697.9,1428.2,923.2,2643.4,573.7,677.9,1600.1,2788.1,0,49.8,-200
0.051918,205.7,636.2,1487.2,783.2,2683.7,632.2,677.4,1600,2787.7,0,49.9,-200
0.053918,184.7,664.2,1496.7,713.8,2738.2,697.3,676.8,1599.8,2787.4,0,49.8,-200
0.055918,205.2,724.7,1480.9,709.9,2813.3,715.6,676.1,1599.7,2787,0,49.5,-200
0.057918,299.5,750.3,1477.0,736.1,2888.4,642.2,675.5,1599.6,2786.5,0,49,-200
0.059918,417.4,703.7,1519.0,756.0,2924.1,560.7,674.7,1599.4,2786.1,0,48.4,-200
