time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025444,577.3,561.4,1894.8,1049.7,2940.4,931.1,810.4,2494.6,3308.3,0,39.3,-200
0.027444,547.5,507.1,1864.0,891.6,2993.5,938.1,810.3,2494.5,3308.2,0,39.5,-200
0.029444,520.1,485.3,1874.3,802.9,3084.9,968.9,810.2,2494.1,3308,0,39.9,-200
0.031444,502.9,492.7,1903.0,812.2,3181.8,945.4,810,2493.7,3307.7,0,40.5,-200
0.033444,503.8,524.3,1970.7,951.6,3255.4,880.1,809.7,2493.2,3307.4,0,41,-200
0.035444,520.9,582.6,2118.0,1133.4,3310.7,791.4,809.4,2492.5,3307,0,41.4,-200
0.037444,539.2,698.8,2271.5,1031.8,3331.7,680.4,809,2491.7,3306.5,0,41.7,-200
0.039444,546.1,881.3,2290.0,844.6,3338.4,648.5,808.5,2490.8,3305.9,0,42.1,-200
0.041444,540.4,1091.1,2277.8,735.2,3357.3,718.6,808,2489.7,3305.3,0,42.6,-200
0.043444,467.3,1198.1,2264.6,717.0,3396.2,958.4,807.5,2488.5,3304.5,0,43.3,-200
0.045444,374.3,1143.3,2257.6,806.9,3436.4,1595.6,806.8,2487.3,3303.7,0,44,-200
0.047444,255.0,1266.1,2312.4,1027.9,2720.7,2908.0,806.2,2485.8,3302.9,0,44.6,-200
0.049444,1238.9,2382.7,2482.7,923.6,4139.2,807.4,805.4,2484.3,3301.9,0,45.4,-200
0.051444,1192.3,1259.1,2524.0,724.4,4159.1,811.8,804.6,2482.7,3300.9,0,45.8,-200
0.053444,1208.2,960.6,2539.2,655.1,4124.4,2800.7,803.8,2480.9,3299.8,0,46.3,-200
0.055444,1249.4,898.5,2564.3,740.8,3724.6,2626.1,802.8,2479,3298.6,0,46.8,-200
0.057444,1317.8,974.3,2673.3,1027.7,3121.4,2636.7,801.9,2477,3297.3,0,46.7,-200
0.059444,1401.4,1118.2,2445.2,2938.9,2918.9,1084.7,800.8,2474.9,3296,0,46.8,-200
0.061444,1366.3,1268.0,2381.3,2446.2,3062.6,1237.2,799.7,2472.6,3294.6,0,46.8,-200
0.063444,1168.4,1130.2,2388.6,1280.2,3426.0,1085.1,798.6,2470.3,3293.2,0,46.9,-200
0.065444,1079.2,882.9,2368.4,924.4,3483.1,759.3,797.4,2467.8,3291.6,0,47,-200
0.067444,1062.3,720.9,2361.9,759.5,3486.2,627.0,796.1,2465.2,3290,0,46.9,-200
0.069444,1084.8,634.0,2377.2,640.5,3495.3,586.1,794.8,2462.5,3288.3,0,46.9,-200
0.071444,1115.3,588.7,2409.9,523.9,3520.8,586.3,793.5,2459.7,3286.5,0,47.1,-200
0.073444,1112.8,625.7,2435.5,450.6,3558.9,631.3,792,2456.7,3284.7,0,46.9,-200
0.075444,1053.5,784.4,2440.6,455.5,3589.0,746.5,790.6,2453.7,3282.8,0,46.7,-200
0.077444,939.1,1047.1,2419.6,540.2,3531.1,921.8,789,2450.5,3280.8,0,46.7,-200
0.079444,781.7,1392.9,2350.2,742.9,3349.1,998.1,787.4,2447.3,3278.8,0,45.9,-200
0.081444,316.4,1112.0,2085.8,1017.4,3143.1,868.0,785.8,2443.9,3276.7,0,44.7,-200
0.083444,383.8,788.1,1822.5,725.1,3072.6,689.5,784.1,2440.4,3274.5,0,44,-200
0.085444,420.1,698.6,1760.4,527.7,3089.5,659.8,782.3,2436.8,3272.3,0,43.5,-200
0.087444,458.5,697.1,1741.7,467.1,3131.4,688.5,780.5,2433.1,3269.9,0,43.3,-200
0.089444,498.4,777.8,1732.9,529.0,3148.5,734.4,778.7,2429.3,3267.5,0,43.5,-200
0.091444,546.2,1035.1,1740.1,787.5,3162.3,818.7,776.8,2425.4,3265.1,0,43.9,-200
0.093444,1057.4,1222.0,2126.6,1248.3,3266.2,874.9,774.8,2421.4,3262.6,0,44.1,-200
0.095444,1084.7,794.8,2305.6,765.2,3359.2,746.0,772.8,2417.3,3260,0,44.3,-200
0.097444,1107.8,753.6,2318.2,596.1,3415.6,707.7,770.7,2413,3257.3,0,44.2,-200
0.099444,1167.0,883.6,2323.2,646.3,3480.5,869.5,768.6,2408.7,3254.6,0,44,-200
0.101444,1285.6,1079.9,2439.8,877.7,3606.2,1524.9,766.5,2404.3,3251.9,0,43.9,-200
0.103444,1402.5,1154.0,2678.5,709.0,4204.8,938.8,764.3,2399.8,3249,0,43.8,-200
0.105444,1474.1,1358.6,2724.4,545.0,4207.4,844.1,762,2395.2,3246.1,0,43.9,-200
0.107444,471.2,899.7,1743.3,1364.8,2757.9,528.8,759.7,2390.5,3243.1,0,43.9,-200
0.109444,519.1,643.3,1850.0,1016.2,2810.9,568.1,757.4,2385.7,3240.1,0,44,-200
0.111444,499.0,605.4,1842.8,779.4,2878.6,646.9,755,2380.8,3237,0,44.2,-200
0.113444,452.5,691.3,1822.1,662.3,2991.8,793.1,752.5,2375.8,3233.9,0,44.7,-200
0.115444,381.2,874.1,1812.9,644.9,3150.8,898.1,750,2370.8,3230.7,0,45.8,-200
0.117444,198.2,1182.3,1811.5,734.0,3260.7,915.9,747.5,2365.6,3227.4,0,46.8,-200
0.119444,279.5,3658.2,1828.7,989.3,3280.9,974.1,744.9,2360.4,3224.1,0,47.9,-200
0.121444,1113.5,1893.5,2119.8,1468.1,3272.5,1094.2,742.3,2355.1,3220.7,0,48.5,-200
0.123444,923.0,1210.9,2429.0,951.0,3333.5,1108.4,739.7,2349.7,3217.3,0,48.9,-200
0.125444,785.2,893.3,2469.5,592.0,3383.3,930.8,737,2344.2,3213.8,0,49,-200
0.127444,708.1,683.0,2477.3,431.7,3411.6,830.3,734.2,2338.6,3210.3,0,49.1,-200
0.129444,718.1,681.2,2483.9,400.7,3446.5,880.7,731.4,2333,3206.7,0,48.4,-200
0.131444,860.7,870.6,2499.8,454.8,3484.7,1084.3,728.6,2327.2,3203,0,48,-200
0.133444,1074.0,923.6,2542.8,594.3,3436.3,1577.4,725.7,2321.4,3199.3,0,48,-200
0.135444,1215.8,941.8,2651.6,746.2,3038.0,2254.9,722.8,2315.6,3195.6,0,48,-200
0.137444,1291.5,966.2,2538.6,2514.1,2759.0,737.6,719.9,2309.6,3191.8,0,48.3,-200
0.139444,1258.2,973.2,2447.2,1919.5,2813.6,889.5,716.9,2303.6,3188,0,48.9,-200
0.141444,1153.0,926.3,2345.1,1070.3,3100.7,1077.0,713.9,2297.5,3184.1,0,49.1,-200
0.143444,1055.8,883.2,2352.7,751.4,3277.2,943.1,710.9,2291.4,3180.1,0,50.1,-200
0.145444,1016.5,943.3,2541.0,388.9,3403.9,1170.8,707.8,2285.2,3176.1,0,47.5,-200.9
0.147444,721.8,2287.0,2599.5,171.6,3638.2,1087.3,704.7,2278.9,3172.1,0,49.9,-206.5
0.149444,489.0,752.0,2508.0,1215.0,2613.3,186.3,701.5,2272.6,3168,0,52.1,-212.8
0.151444,635.3,559.3,2562.8,588.2,2624.6,288.1,698.3,2266.2,3163.9,0,55,-215.1
0.153444,692.4,442.8,2510.3,356.3,2698.9,344.3,695.1,2259.7,3159.8,0,57.9,-208.3
0.155444,692.7,395.3,2497.5,300.4,2732.8,334.0,691.9,2253.2,3155.6,0,60.4,-186.9
0.157444,667.4,361.0,2494.9,269.9,2756.8,333.7,688.6,2246.7,3151.3,0,63,-147
0.159444,622.8,314.5,2499.1,256.5,2777.7,351.9,685.3,2240.1,3147,0,65.5,-97.3
0.161444,577.0,244.4,2518.6,251.0,2813.3,420.0,682,2233.4,3142.7,0,67.8,-47.6
0.163444,561.4,197.8,2550.0,220.6,2920.6,474.2,678.6,2226.7,3138.4,0,70,-7.9
0.165444,577.5,186.2,2566.2,214.5,2979.3,392.1,675.2,2219.9,3134,0,71.9,13.3
0.167444,594.8,161.3,2577.8,249.6,2981.9,349.6,671.8,2213.1,3129.6,0,73.5,19.6
0.169444,597.3,136.3,2575.4,283.7,2973.8,322.9,668.4,2206.3,3125.1,0,74.8,16.8
0.171444,592.7,119.1,2556.8,304.6,2969.2,295.4,664.9,2199.4,3120.6,0,75.8,9.8
0.173444,583.0,109.4,2532.3,308.4,2974.5,280.2,661.5,2192.5,3116.1,0,76.8,3.9
0.175444,568.6,106.4,2521.7,288.4,2998.1,299.9,658,2185.6,3111.5,0,77.6,2.7
0.177444,550.6,105.0,2527.7,254.5,3047.7,362.9,654.4,2178.6,3106.9,0,78.4,2.6
0.179444,537.2,102.0,2529.6,237.7,3091.9,425.8,650.9,2171.6,3102.3,202.8,79.1,2.6
0.181444,531.9,100.3,2519.2,242.0,3102.8,463.2,647.3,2164.5,3097.7,202.6,79.9,2.8
0.183444,531.3,101.7,2499.1,245.0,3085.6,460.8,643.7,2157.4,3093,202.5,80.6,3.1
0.185444,530.3,104.0,2479.6,230.8,3060.1,420.2,640.1,2150.3,3088.3,202.3,81.3,3.6
0.187444,527.4,105.4,2464.3,202.2,3034.3,355.8,636.5,2143.2,3083.6,202.1,81.9,4.3
0.189444,523.9,106.7,2454.0,171.0,3012.7,290.3,632.9,2136.1,3078.9,201.8,82.3,5.1
0.191444,520.0,110.6,2445.3,144.3,2993.7,237.3,629.3,2128.9,3074.1,201.6,82.7,6.1
0.193444,515.0,119.0,2436.1,127.1,2975.7,205.4,625.6,2121.7,3069.3,201.4,82.9,7.1
0.195444,509.7,130.7,2426.6,123.8,2960.1,198.1,621.9,2114.5,3064.5,201.1,83.1,8.2
0.197444,505.2,144.2,2416.9,135.0,2946.9,209.1,618.2,2107.3,3059.7,200.9,83.1,9.4
0.199444,502.4,155.2,2408.8,156.8,2938.4,229.2,614.5,2100.1,3054.8,200.6,83.1,10.6
0.201444,499.7,161.9,2402.7,182.8,2935.3,250.6,610.8,2092.8,3050,200.3,83.1,11.8
0.203444,494.8,163.2,2398.0,208.1,2937.7,267.0,607.1,2085.6,3045.1,200.1,83.1,13
0.205444,487.3,162.3,2395.0,226.0,2942.7,273.9,603.4,2078.3,3040.2,199.8,83.1,14.1
0.207444,478.3,164.4,2393.8,231.2,2949.5,274.5,599.7,2071.1,3035.3,199.5,83.2,15.3
0.209444,469.9,171.3,2393.1,219.5,2958.5,272.8,595.9,2063.8,3030.4,199.2,83.2,16.5
0.211444,462.3,179.3,2390.6,196.7,2971.6,272.3,592.2,2056.6,3025.5,198.9,83.2,17.5
0.213444,454.7,183.1,2385.4,171.3,2987.8,274.5,588.4,2049.3,3020.6,198.6,83.2,18.3
0.215444,447.3,179.9,2378.8,152.8,2999.8,280.1,584.7,2042.1,3015.6,198.3,83.2,18.6
0.217444,439.2,171.5,2370.8,143.2,3000.3,289.6,580.9,2034.8,3010.7,198,83.2,18.6
0.219444,431.6,162.8,2362.8,141.2,2986.8,298.4,577.2,2027.6,3005.7,197.7,83.2,18.2
0.221444,425.2,156.8,2357.2,140.1,2968.2,303.0,573.4,2020.4,3000.7,197.4,83.2,17.7
0.223444,420.1,154.6,2356.6,132.3,2956.6,305.3,569.7,2013.2,2995.8,197.1,83.2,17.4
0.225444,415.7,155.2,2357.8,118.0,2954.3,305.2,565.9,2006,2990.8,196.8,83.2,17.2
0.227444,410.3,156.7,2355.6,103.1,2951.5,300.1,562.2,1998.8,2985.8,196.5,83.1,17.1
0.229444,405.1,160.0,2349.5,92.4,2940.2,286.1,558.4,1991.7,2980.9,196.2,83,17.1
0.231444,402.3,168.4,2341.3,84.6,2923.6,259.2,554.7,1984.5,2975.9,195.9,82.9,17.1
0.233444,404.0,186.0,2332.9,79.1,2911.1,230.0,551,1977.4,2970.9,195.5,82.9,17.1
0.235444,408.6,209.7,2327.1,80.4,2907.2,225.5,547.2,1970.3,2966,195.2,82.8,17
0.237444,409.3,223.1,2325.1,96.1,2911.1,269.4,543.5,1963.3,2961,194.9,82.8,17.2
0.239444,405.6,218.0,2324.5,124.6,2920.2,353.3,539.8,1956.3,2956,194.5,82.7,17.3
0.241444,401.1,205.4,2320.1,154.4,2929.1,439.6,536.1,1949.3,2951.1,194.2,82.5,17.2
0.243444,396.9,187.2,2309.4,175.8,2936.7,485.8,532.4,1942.3,2946.1,193.8,82.3,16.6
0.245444,395.2,166.1,2296.3,187.5,2952.9,470.7,528.7,1935.4,2941.2,193.4,82,15.2
0.247444,397.0,144.7,2282.0,199.9,2982.5,409.3,525,1928.5,2936.3,193,81.6,12.5
0.249444,399.2,128.3,2265.5,225.0,3010.5,328.4,521.4,1921.6,2931.4,192.6,81.2,9.2
0.251444,396.2,116.2,2236.2,283.4,3021.7,253.4,517.7,1914.8,2926.5,192.2,80.7,6.1
0.253444,382.7,105.2,2169.7,389.3,3008.3,195.0,514.1,1908,2921.6,191.8,80.3,4
0.255444,364.2,92.0,2075.2,447.8,2984.0,149.1,510.5,1901.3,2916.7,191.3,80,3.6
0.257444,351.0,76.3,2011.7,395.9,2961.3,126.5,506.9,1894.6,2911.8,190.9,79.9,4.8
0.259444,348.5,65.2,1990.4,326.9,2938.1,135.4,503.3,1888,2907,190.4,79.9,7.1
0.261444,352.5,58.3,1986.7,296.4,2903.6,174.0,499.7,1881.4,2902.1,189.9,79.9,9.6
0.263444,358.7,53.1,1994.8,309.3,2844.4,233.6,496.2,1874.9,2897.3,189.4,80,11.7
0.265444,363.6,48.8,2017.5,353.5,2784.6,278.5,492.7,1868.4,2892.5,188.9,80.1,12.9
0.267444,366.7,44.6,2067.1,402.9,2773.1,327.3,489.2,1862,2887.7,188.4,80.2,13.5
0.269444,368.1,39.4,2120.0,404.5,2827.4,361.7,485.7,1855.6,2883,187.9,80.3,13.9
0.271444,368.7,33.3,2133.8,376.4,2889.1,312.5,482.2,1849.3,2878.2,187.4,80.4,14.1
0.273444,369.3,28.2,2108.8,363.2,2912.0,239.8,478.8,1843,2873.5,186.8,80.5,14.3
0.275444,369.5,25.6,2066.3,373.3,2912.5,197.4,475.4,1836.8,2868.8,186.3,80.5,14.6
0.277444,369.4,25.5,2019.6,396.2,2903.6,173.1,472,1830.7,2864.2,185.8,80.4,15.1
0.279444,368.9,27.2,1979.8,403.8,2888.4,155.3,468.6,1824.7,2859.5,185.2,80.2,15.5
