time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025497,849.9,558.5,2255.3,299.6,2803.3,434.4,839.4,2145.1,2887.5,0,47.1,-200
0.027497,866.9,475.6,2286.9,299.5,2810.1,458.4,839.3,2145.3,2887.5,0,46.8,-200
0.029497,884.8,431.3,2323.3,271.6,2815.7,483.1,839.2,2145.4,2887.6,0,46.5,-200
0.031497,916.2,389.7,2346.2,227.1,2833.7,450.8,838.9,2145.7,2887.6,0,46.2,-200
0.033497,944.6,335.2,2356.2,202.1,2846.2,398.9,838.6,2146.1,2887.7,0,45.9,-200
0.035497,955.9,288.4,2361.3,207.1,2847.8,386.6,838.2,2146.5,2887.8,0,45.6,-200
0.037497,954.4,263.6,2368.3,240.6,2841.7,426.2,837.7,2147,2887.9,0,45.4,-200
0.039497,947.7,257.3,2388.8,301.2,2833.1,534.5,837.2,2147.5,2888,0,45.4,-200
0.041497,943.0,258.9,2439.2,359.3,2843.2,783.7,836.6,2148.2,2888.2,0,45.5,-200
0.043497,944.8,257.3,2481.1,347.9,2960.0,1191.3,835.9,2148.9,2888.4,0,45.8,-200
0.045497,946.3,253.0,2474.0,319.4,3086.5,1381.1,835.2,2149.7,2888.5,0,46,-200
0.047497,940.4,262.7,2450.9,306.7,3014.6,1278.7,834.4,2150.5,2888.7,0,46.3,-200
0.049497,927.9,284.4,2426.4,324.6,2908.8,1127.2,833.5,2151.5,2888.9,0,46.5,-200
0.051497,914.8,285.5,2388.5,358.9,2857.8,958.1,832.5,2152.5,2889.2,0,46.8,-200
0.053497,906.8,245.6,2329.9,365.0,2857.5,780.1,831.5,2153.6,2889.4,0,47,-200
0.055497,897.5,198.6,2280.2,333.7,2866.1,707.1,830.4,2154.7,2889.7,0,47.1,-200
0.057497,881.8,178.3,2257.3,297.3,2899.2,783.9,829.3,2156,2890,0,47.2,-200
0.059497,863.8,189.2,2245.8,265.2,2976.5,888.6,828,2157.2,2890.3,0,47.4,-200
0.061497,849.5,228.5,2237.9,260.6,3001.1,844.3,826.8,2158.6,2890.6,0,47.7,-200
0.063497,840.5,300.3,2245.1,313.6,2907.0,696.0,825.4,2160.1,2890.9,0,48,-200
0.065497,843.4,402.9,2257.8,415.6,2795.7,510.7,824,2161.6,2891.3,0,48.5,-200
0.067497,869.1,515.3,2252.3,513.4,2742.2,367.6,822.5,2163.1,2891.6,0,49,-200
0.069497,903.1,620.7,2235.1,627.2,2724.1,314.9,820.9,2164.8,2892,0,49.5,-200
0.071497,915.8,711.1,2205.7,797.8,2716.8,328.8,819.3,2166.5,2892.4,0,49.8,-200
0.073497,909.5,757.8,2201.2,940.5,2718.7,418.9,817.6,2168.3,2892.8,0,49.9,-200
0.075497,916.8,754.4,2337.0,748.2,2797.6,754.9,815.8,2170.1,2893.3,0,49.5,-200
0.077497,927.2,732.1,2337.8,381.3,3102.2,634.7,814,2172,2893.7,0,49,-200
0.079497,907.9,761.2,2333.8,233.0,3164.3,396.7,812.1,2174,2894.2,0,48.5,-200
0.081497,847.5,891.4,2337.4,174.5,3178.9,305.6,810.2,2176,2894.6,0,48.4,-200
0.083497,766.6,1010.7,2342.9,157.3,3178.0,291.3,808.2,2178.1,2895.1,0,48.6,-200
0.085497,798.2,878.0,2350.8,154.7,3159.2,312.8,806.1,2180.2,2895.6,0,49,-200
0.087497,841.7,598.0,2362.4,160.5,3124.0,331.3,804,2182.4,2896.2,0,49.1,-200
0.089497,850.8,418.9,2376.0,183.7,3085.8,329.1,801.8,2184.7,2896.7,0,49.5,-200
0.091497,851.7,347.2,2393.4,235.4,3063.6,318.6,799.5,2187,2897.3,0,49.2,-200
0.093497,854.0,342.7,2419.1,325.3,3061.0,340.7,797.2,2189.4,2897.8,0,48.7,-200
0.095497,857.6,370.5,2442.3,431.7,3066.3,422.8,794.9,2191.8,2898.4,0,48,-200
0.097497,868.3,407.4,2440.6,465.6,3098.2,591.0,792.4,2194.3,2899,0,46.8,-200
0.099497,898.6,432.8,2417.8,375.0,3236.7,787.8,789.9,2196.9,2899.7,0,45.5,-200
0.101497,942.5,416.4,2386.9,286.7,3381.0,789.9,787.4,2199.5,2900.3,0,44.5,-200
0.103497,978.0,383.9,2363.9,246.7,3408.5,778.3,784.8,2202.1,2900.9,0,43.9,-200
0.105497,1001.9,386.1,2349.5,241.9,3376.1,855.5,782.2,2204.8,2901.6,0,43.6,-200
0.107497,1017.6,471.7,2339.9,298.0,3291.5,1040.5,779.5,2207.6,2902.3,0,43.9,-200
0.109497,1034.1,726.4,2309.4,511.6,3029.5,1158.5,776.7,2210.3,2903,0,44.2,-200
0.111497,1048.7,1008.7,2136.9,690.3,2880.8,696.1,773.9,2213.2,2903.7,0,44.7,-200
0.113497,1098.9,1026.5,2069.0,573.1,2896.8,481.7,771,2216.1,2904.4,0,45.5,-200
0.115497,1125.3,987.3,2069.4,498.0,2910.5,393.7,768.1,2219,2905.1,0,46.1,-200
0.117497,1109.5,978.7,2082.2,452.4,2922.3,347.3,765.2,2221.9,2905.9,0,46.5,-200
0.119497,1050.6,993.2,2098.4,417.8,2935.8,316.3,762.1,2224.9,2906.6,0,46.6,-200
0.121497,938.5,993.5,2116.0,389.3,2952.7,291.5,759.1,2228,2907.4,0,46.5,-200
0.123497,802.0,912.5,2135.6,375.0,2974.0,271.4,756,2231.1,2908.2,0,46.3,-200
0.125497,733.3,832.3,2153.5,400.1,2997.9,265.5,752.8,2234.2,2909,0,46,-200
0.127497,720.9,867.0,2140.2,510.3,3015.7,301.1,749.6,2237.3,2909.8,0,45.8,-200
0.129497,603.8,1039.9,2041.6,689.8,3023.3,394.4,746.4,2240.5,2910.7,0,45.7,-200
0.131497,451.1,947.6,1915.2,737.3,3043.2,522.6,743.1,2243.7,2911.5,0,45.6,-200
0.133497,459.0,1035.1,1870.3,763.3,3095.1,686.1,739.8,2246.9,2912.4,0,45.4,-200
0.135497,518.5,1123.7,1866.3,960.2,3224.9,968.2,736.4,2250.2,2913.3,0,45.2,-200
0.137497,555.8,868.3,1575.3,1180.0,2394.6,1209.0,733,2253.5,2914.1,0,44.5,-200.9
0.139497,580.9,630.6,1522.5,862.5,2481.3,706.2,729.6,2256.8,2915,0,43.8,-206.4
0.141497,591.7,498.5,1551.6,715.2,2522.9,499.6,726.1,2260.1,2915.9,0,43.5,-212.8
0.143497,591.1,448.3,1587.5,656.8,2556.6,399.0,722.6,2263.5,2916.9,0,44.9,-215
0.145497,570.6,434.3,1649.1,768.6,2607.9,329.6,719,2266.9,2917.8,0,48.6,-208.3
0.147497,558.1,341.8,2099.0,1523.0,2640.2,425.6,715.4,2270.3,2918.7,0,52.5,-186.9
0.149497,559.3,244.9,2198.7,3943.6,2449.7,400.7,711.8,2273.7,2919.7,0,56,-147.4
0.151497,562.8,202.5,1978.1,3060.4,2449.4,303.8,708.1,2277.1,2920.7,0,58.8,-98
0.153497,567.8,180.5,1980.1,2805.2,2449.0,267.8,704.4,2280.6,2921.6,0,61,-48.6
0.155497,571.7,165.1,2036.7,2824.7,2445.0,244.3,700.7,2284,2922.6,0,62.7,-8.7
0.157497,573.3,151.2,2086.3,2825.2,2440.9,221.7,697,2287.5,2923.6,0,64,13.1
0.159497,572.6,138.5,2116.1,2752.6,2437.4,200.0,693.2,2290.9,2924.6,0,64.9,21
0.161497,570.5,129.3,2161.3,2663.8,2433.1,185.4,689.4,2294.4,2925.7,0,65.9,20.1
0.163497,570.0,133.1,2356.3,2660.0,2423.8,197.6,685.6,2297.9,2926.7,0,66.9,15
0.165497,579.4,158.4,2406.6,245.5,2698.1,2425.8,681.7,2301.4,2927.7,0,68.1,10.1
0.167497,595.8,169.6,2391.2,261.2,2896.0,2149.8,677.8,2304.9,2928.8,0,69.3,9.8
0.169497,605.1,155.7,2383.5,239.1,2913.7,235.5,673.9,2308.4,2929.9,0,70.2,13.9
0.171497,608.5,136.6,2379.8,208.6,2916.4,212.1,670,2311.8,2930.9,0,70.8,18.3
0.173497,609.0,118.5,2377.4,178.7,2924.5,186.9,666,2315.3,2932,0,71,18.5
0.175497,608.2,102.3,2375.2,151.3,2936.8,161.8,662.1,2318.8,2933.1,0,70.7,10.2
0.177497,607.1,88.6,2372.6,127.5,2952.5,137.6,658.1,2322.3,2934.2,0,69.9,-12.6
0.179497,605.9,79.2,2369.9,108.6,2970.4,113.8,654.1,2325.7,2935.3,0,68.8,-57.4
0.181497,598.5,79.3,2368.8,102.5,2990.0,88.3,650,2329.2,2936.4,0,67.6,-112.4
0.183497,569.9,100.6,2375.5,129.9,3008.2,67.9,646,2332.6,2937.6,0,67.1,-163.2
0.185497,544.3,142.9,2404.5,186.9,3010.9,71.5,642,2336,2938.7,0,67.7,-195.4
0.187497,541.0,175.7,2436.2,168.1,2989.2,108.2,637.9,2339.4,2939.8,0,69.3,-195.2
0.189497,539.0,174.4,2444.0,136.3,2954.4,138.1,633.8,2342.8,2941,0,70.9,-162.4
0.191497,542.1,152.8,2444.5,115.7,2934.9,128.8,629.7,2346.2,2942.1,0,72.4,-111.1
0.193497,549.9,130.1,2440.8,103.6,2928.5,117.6,625.6,2349.5,2943.3,0,73.4,-55.7
0.195497,556.0,111.3,2436.0,95.3,2929.6,111.1,621.5,2352.8,2944.5,0,74.2,-10.9
0.197497,557.1,98.1,2432.7,87.4,2937.0,103.7,617.4,2356.1,2945.7,0,74.7,11.1
0.199497,553.0,96.0,2431.5,81.7,2951.3,96.9,613.3,2359.4,2946.8,0,75.2,17.7
0.201497,548.8,112.0,2432.6,88.6,2977.1,103.8,609.2,2362.6,2948,0,75.9,15.4
0.203497,552.2,132.0,2439.2,126.2,3018.7,141.5,605.1,2365.8,2949.2,0,76.8,9
0.205497,552.8,132.4,2450.3,168.6,3048.9,185.8,600.9,2369,2950.4,0,77.9,3.3
0.207497,547.3,117.1,2451.9,181.1,3051.2,209.7,596.8,2372.2,2951.6,0,79,1.9
0.209497,540.1,96.9,2443.7,185.8,3041.4,230.4,592.7,2375.3,2952.9,0,80,1.1
0.211497,535.2,79.5,2431.2,196.6,3023.7,267.5,588.6,2378.4,2954.1,0,80.9,0.2
0.213497,534.3,71.6,2417.0,209.8,2988.0,320.3,584.4,2381.4,2955.3,0,81.7,-0.6
0.215497,536.1,75.3,2405.8,206.2,2939.5,334.2,580.3,2384.4,2956.5,0,82.3,-1
0.217497,538.0,88.5,2406.9,186.7,2917.3,304.5,576.2,2387.4,2957.8,192.9,82.7,-0.7
0.219497,537.3,107.7,2416.4,166.6,2917.0,277.2,572.1,2390.3,2959,192.8,83,0.2
0.221497,531.9,128.0,2428.5,149.8,2924.1,257.0,568,2393.1,2960.2,192.6,83.1,1.5
0.223497,523.7,146.3,2440.5,136.4,2933.4,241.0,563.9,2396,2961.5,192.4,83.1,3
0.225497,516.2,164.5,2451.3,127.6,2944.3,230.5,559.8,2398.7,2962.7,192.2,82.9,4.4
0.227497,511.0,185.4,2459.5,125.2,2961.1,227.6,555.7,2401.5,2964,192,82.7,5.5
0.229497,507.4,208.7,2463.4,131.3,2987.4,227.9,551.7,2404.1,2965.2,191.8,82.4,6.6
0.231497,503.1,228.4,2460.8,150.7,3014.9,224.7,547.6,2406.8,2966.5,191.6,82.2,7.7
0.233497,493.0,233.1,2451.4,182.8,3026.9,229.1,543.6,2409.3,2967.7,191.3,82.1,8.7
0.235497,476.7,218.9,2440.1,197.2,3018.6,263.2,539.6,2411.8,2969,191,82,9.6
0.237497,460.9,195.2,2433.0,182.5,3002.8,321.3,535.5,2414.3,2970.3,190.8,82,10.3
0.239497,448.1,175.4,2428.8,165.2,3000.3,358.1,531.6,2416.7,2971.5,190.5,82.1,10.8
0.241497,435.1,162.9,2427.4,153.3,3022.3,342.3,527.6,2419,2972.8,190.1,82.2,11.3
0.243497,420.4,150.9,2428.9,146.1,3054.7,273.3,523.6,2421.3,2974,189.8,82.2,11.6
0.245497,408.5,137.8,1847.8,4333.7,2428.9,141.1,519.7,2423.5,2975.3,189.5,82.3,11.7
0.247497,403.2,129.1,1591.1,4153.9,2420.6,136.8,515.8,2425.7,2976.6,189.1,82.3,11.6
0.249497,402.3,125.1,943.6,5142.8,2402.9,133.1,511.9,2427.8,2977.8,188.8,82.2,11.4
0.251497,402.5,123.0,2383.5,132.3,3099.1,117.2,508,2429.8,2979.1,188.5,82.1,10.9
0.253497,402.2,121.9,2371.2,139.5,3102.9,132.4,504.2,2431.8,2980.4,188.1,81.8,10.3
0.255497,402.2,125.4,2369.7,157.5,3105.0,152.2,500.3,2433.7,2981.6,187.8,81.4,9.6
0.257497,406.4,137.8,2377.4,184.8,3106.0,160.7,496.6,2435.5,2982.9,187.5,80.9,8.7
0.259497,420.8,154.9,2392.1,217.6,3107.3,156.1,492.8,2437.2,2984.1,187.2,80.2,7.3
0.261497,442.3,155.3,2414.1,243.4,3108.4,152.5,489,2438.9,2985.4,186.9,79.5,5.6
0.263497,453.2,134.9,2440.5,236.1,3106.3,161.4,485.3,2440.5,2986.7,186.6,78.9,4.2
0.265497,450.3,115.9,2455.3,202.1,3097.2,183.5,481.7,2442,2987.9,186.3,78.4,3.4
0.267497,440.2,109.6,2454.7,173.8,3087.3,199.2,478,2443.5,2989.2,186.1,78,3.5
0.269497,425.2,119.6,2445.8,159.6,3086.9,199.1,474.4,2444.9,2990.4,185.8,77.7,4.6
0.271497,409.9,140.7,2428.9,159.3,3085.0,204.9,470.8,2446.2,2991.7,185.6,77.5,6.4
0.273497,399.3,166.7,2406.2,166.7,3074.4,222.9,467.2,2447.4,2992.9,185.5,77.3,8.2
0.275497,393.5,196.4,2382.9,174.5,3061.2,239.8,463.7,2448.5,2994.2,185.3,77,9.8
0.277497,388.3,232.0,2367.0,177.1,3062.9,232.3,460.2,2449.6,2995.4,185.1,76.9,10.6
0.279497,379.5,274.0,2365.5,176.8,3082.1,196.8,456.8,2450.6,2996.6,185,76.8,10.9
0.281497,373.8,310.8,2375.6,183.4,3098.0,166.3,453.4,2451.5,2997.8,184.9,76.9,11
