time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025642,762.8,283.2,2045.3,209.3,2986.6,413.8,679.4,2163.3,3155.2,0,52.6,-200
0.027642,779.3,380.9,2074.3,232.8,3011.5,390.3,679.3,2163.1,3155,0,52.4,-200
0.029642,827.4,538.2,2089.2,264.0,3018.2,378.6,679.3,2162.7,3154.6,0,52.1,-200
0.031642,908.8,653.0,2080.8,315.3,3010.7,371.9,679.3,2162.3,3154.2,0,52.2,-200
0.033642,992.5,679.5,2060.2,384.6,3004.2,365.3,679.2,2161.6,3153.6,0,52.3,-200
0.035642,1037.2,645.3,2041.4,448.7,3017.6,376.8,679.2,2160.9,3152.9,0,52.2,-200
0.037642,1029.7,598.7,2028.6,483.2,3062.9,403.9,679.1,2160,3152.1,0,52,-200
0.039642,986.5,549.8,2018.4,493.4,3136.7,418.8,679,2159,3151.1,0,51.9,-200
0.041642,938.9,509.6,2014.4,520.5,3197.9,422.0,678.9,2157.9,3150,0,51.6,-200
0.043642,904.0,498.1,2030.9,578.8,3225.1,462.1,678.8,2156.6,3148.8,0,51.2,-200
0.045642,886.5,528.4,2062.5,576.3,3227.9,541.3,678.7,2155.2,3147.5,0,50.4,-200
0.047642,884.2,628.3,2079.1,502.7,3225.2,616.3,678.6,2153.6,3146,0,49.5,-200
0.049642,907.5,824.6,2086.0,437.8,3230.8,681.9,678.5,2152,3144.4,0,48.8,-200
0.051642,947.4,1030.3,2096.3,418.4,3267.7,759.3,678.4,2150.2,3142.7,0,48.4,-200
0.053642,951.0,1132.4,2118.6,440.0,3353.7,820.9,678.2,2148.3,3140.9,0,47.9,-200
0.055642,893.6,1031.1,2148.7,497.5,3425.7,808.0,678.1,2146.2,3138.9,0,47.8,-200
0.057642,835.4,847.1,2160.5,616.9,3428.0,819.9,677.9,2144,3136.8,0,48.2,-200
0.059642,799.3,857.2,2111.0,821.3,3349.5,891.8,677.7,2141.7,3134.7,0,48.7,-200
