time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025828,533.2,643.5,1783.9,731.7,2934.0,495.1,663.5,1992.6,2972.6,0,49,-200
0.027828,484.5,459.7,1738.4,429.9,2865.8,323.3,663.5,1992.6,2972.6,0,48.4,-200
0.029828,455.5,379.8,1748.5,257.9,2827.5,221.3,663.4,1992.6,2972.6,0,47.9,-200
0.031828,433.8,377.0,1756.8,187.0,2811.2,171.4,663.2,1992.6,2972.6,0,47.4,-200
0.033828,418.9,438.9,1757.1,172.2,2806.9,147.4,663.1,1992.5,2972.6,0,46.9,-200
0.035828,415.6,571.2,1749.2,202.6,2809.5,143.4,662.9,1992.5,2972.6,0,46.5,-200
0.037828,439.6,797.7,1733.4,290.9,2817.6,169.1,662.6,1992.4,2972.5,0,46.3,-200
0.039828,640.7,1248.0,1715.8,481.6,2829.5,252.3,662.3,1992.4,2972.5,0,45.8,-200
0.041828,888.3,1100.7,1704.3,791.3,2812.6,399.4,662,1992.3,2972.5,0,45.2,-200
0.043828,933.3,1111.2,1649.2,1119.6,2746.5,448.1,661.7,1992.3,2972.5,0,45,-200
0.045828,933.2,1311.4,1590.9,1224.1,2721.4,402.4,661.3,1992.2,2972.5,0,45.4,-200
0.047828,774.6,1832.5,1573.8,1065.2,2724.8,389.5,660.8,1992.1,2972.4,0,46.2,-200
0.049828,289.6,844.4,1585.7,704.4,2710.5,383.4,660.4,1992,2972.4,0,47.4,-200
0.051828,226.0,705.0,1682.2,481.3,2718.9,274.8,659.9,1991.9,2972.4,0,48.6,-200
0.053828,1734.4,367.3,2728.7,202.9,3799.8,178.6,659.3,1991.8,2972.3,0,49.8,-200
0.055828,1734.2,300.0,2727.1,170.2,3799.1,167.8,658.8,1991.7,2972.3,0,50.9,-200
0.057828,1728.0,248.2,2724.9,148.4,3797.5,167.7,658.1,1991.6,2972.2,0,51.6,-200
0.059828,1726.8,213.0,2725.9,128.6,3795.6,166.6,657.5,1991.5,2972.2,0,52,-200
0.061828,1729.1,197.8,2730.4,111.9,3794.1,161.5,656.8,1991.3,2972.1,0,52,-200
0.063828,1735.1,203.4,2737.3,99.1,3793.4,152.8,656.1,1991.2,2972.1,0,51.7,-200
0.065828,1746.8,229.8,2742.3,94.4,3793.7,148.6,655.3,1991,2972,0,51.1,-200
0.067828,398.2,755.9,1758.3,288.4,2729.2,120.1,654.5,1990.9,2972,0,50.3,-200
0.069828,535.7,700.5,1782.7,427.8,2663.1,212.5,653.7,1990.7,2971.9,0,49.6,-200
0.071828,654.7,729.9,1837.8,521.0,2606.3,250.0,652.9,1990.5,2971.9,0,49,-200
0.073828,739.3,732.8,1913.5,498.1,2615.2,234.8,652,1990.3,2971.8,0,48.6,-200
0.075828,782.7,734.5,1971.4,433.4,2641.6,221.3,651,1990.1,2971.7,0,48.4,-200
0.077828,785.3,735.4,2003.5,373.0,2669.0,216.9,650.1,1989.9,2971.7,0,48.2,-200
0.079828,755.2,720.5,2017.8,321.2,2701.5,218.3,649.1,1989.6,2971.6,0,47.9,-200
0.081828,721.8,657.0,2010.2,293.9,2734.2,209.5,648.1,1989.4,2971.5,0,47.6,-200
0.083828,714.9,598.9,1971.3,329.4,2737.0,150.3,647,1989.1,2971.5,0,47.5,-200
0.085828,732.2,646.0,1921.9,411.3,2719.1,86.4,645.9,1988.9,2971.4,0,47.7,-200
0.087828,768.9,840.1,1908.9,478.2,2712.6,63.5,644.8,1988.6,2971.3,0,48,-200
0.089828,801.5,1276.8,1911.8,536.7,2712.2,57.9,643.6,1988.3,2971.2,0,48.3,-200
0.091828,742.4,2219.8,1907.1,553.0,2714.7,56.9,642.4,1988,2971.1,0,48.6,-200
0.093828,213.4,1526.8,1921.4,491.2,2718.9,54.1,641.2,1987.7,2971,0,48.6,-200
0.095828,345.7,1059.8,1960.1,415.2,2725.0,48.8,640,1987.3,2970.9,0,48.6,-200
0.097828,394.0,842.3,1990.0,386.6,2733.0,48.3,638.7,1987,2970.9,0,48.6,-200
