time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025161,268.2,849.0,1682.1,163.8,2631.5,626.1,670.9,1678.1,2654.8,0,37.8,-200
0.027161,244.2,942.8,1686.6,190.8,2709.6,749.8,670.9,1678.1,2654.8,0,38.1,-200
0.029161,262.8,1005.7,1689.4,201.1,2827.9,878.5,670.9,1678.2,2654.9,0,38.6,-200
0.031161,281.2,1043.5,1694.5,203.2,2909.5,1012.6,670.9,1678.4,2655.1,0,39,-200
0.033161,288.0,1063.2,1705.1,205.8,2897.3,1237.7,670.8,1678.5,2655.2,0,39.3,-200
0.035161,323.3,1024.7,1719.9,205.4,2779.2,1429.5,670.8,1678.7,2655.5,0,39.3,-200
0.037161,373.7,946.5,1733.0,204.7,2651.3,1428.1,670.8,1679,2655.7,0,39.6,-200
0.039161,415.6,867.8,1740.6,213.6,2559.5,1254.6,670.7,1679.3,2656,0,39.7,-200
0.041161,428.0,834.1,1740.0,243.7,2515.9,1071.5,670.7,1679.6,2656.4,0,39.6,-200
0.043161,397.8,837.3,1729.6,295.8,2503.2,963.8,670.6,1679.9,2656.8,0,39.5,-200
0.045161,333.5,830.6,1705.9,358.4,2517.9,910.2,670.5,1680.3,2657.2,0,39.4,-200
0.047161,276.3,805.2,1681.3,405.4,2567.6,943.5,670.5,1680.7,2657.6,0,39.2,-200
0.049161,244.1,777.3,1674.9,436.7,2658.2,1086.3,670.4,1681.2,2658.1,0,38.9,-200
0.051161,235.7,762.1,1697.1,448.0,2781.8,1262.9,670.3,1681.7,2658.7,0,38.7,-200
0.053161,242.4,750.1,1720.2,419.3,2876.4,1259.9,670.2,1682.2,2659.3,0,38.7,-200
0.055161,270.0,727.7,1718.1,356.8,2867.3,1097.1,670.1,1682.8,2659.9,0,38.6,-200
0.057161,323.7,705.1,1697.6,309.2,2812.5,986.2,670,1683.4,2660.5,0,39,-200
0.059161,425.6,821.4,1642.2,376.1,2660.7,1133.1,669.9,1684.1,2661.2,0,40.9,-200
0.061161,377.9,2970.9,1172.3,592.8,2019.5,767.2,669.7,1684.7,2662,0,43.8,-200
