time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025969,910.0,1375.2,1946.9,733.1,3260.2,411.3,522,1781.4,2588.7,0,50.3,-200
0.027969,922.8,1088.2,1959.1,680.2,3118.8,709.9,522,1781.6,2588.7,0,50.6,-200
0.029969,1002.0,944.8,2086.8,549.1,2975.3,558.1,521.9,1781.8,2588.7,0,51.6,-200
0.031969,954.9,1408.1,2139.0,394.0,2982.1,473.5,521.8,1782.1,2588.8,0,53.2,-200
0.033969,541.8,575.2,2099.8,258.9,2919.6,428.6,521.6,1782.5,2588.9,0,55.4,-200
0.035969,603.3,277.9,2085.6,166.2,2873.7,343.2,521.5,1783,2589.1,0,57.8,-203.2
0.037969,594.5,168.0,2076.5,132.8,2858.2,306.4,521.3,1783.6,2589.2,0,60.1,-209.6
0.039969,575.7,107.8,2065.3,120.7,2849.2,297.1,521.1,1784.3,2589.4,0,62.3,-214.4
0.041969,563.2,75.2,2053.3,118.2,2841.9,291.9,520.8,1785.1,2589.6,0,64.1,-212.8
0.043969,557.0,58.1,2040.7,119.5,2834.6,270.5,520.5,1785.9,2589.8,0,65.6,-200
0.045969,556.1,50.5,2028.9,121.0,2827.5,233.8,520.2,1786.9,2590,0,66.9,-169.6
0.047969,558.6,47.9,2020.2,122.6,2822.4,213.2,519.9,1787.9,2590.3,0,68,-124.7
0.049969,562.6,49.0,2018.1,118.9,2812.7,233.4,519.5,1789,2590.6,0,69,-75.1
0.051969,563.8,55.2,2022.0,106.1,2781.6,304.8,519.1,1790.2,2590.9,0,70.1,-30.1
0.053969,557.3,67.0,2024.3,96.3,2715.2,418.2,518.6,1791.5,2591.2,0,71.1,0.5
0.055969,545.2,79.7,2024.3,93.2,2655.4,513.8,518.2,1792.9,2591.6,119.7,72.1,13.8
0.057969,538.3,93.0,2024.3,86.3,2682.5,530.6,517.7,1794.3,2592,119.6,73,15.9
0.059969,544.5,110.0,2021.3,76.9,2766.8,415.9,517.2,1795.9,2592.4,119.5,73.7,11.7
0.061969,562.6,121.3,2015.1,78.4,2819.9,280.2,516.6,1797.5,2592.8,119.4,74.2,6
0.063969,581.5,119.7,2007.4,94.8,2842.7,200.6,516.1,1799.2,2593.2,119.3,74.6,3.7
0.065969,592.3,109.9,2002.2,113.3,2849.8,167.7,515.5,1801,2593.7,119.1,74.8,4.9
0.067969,595.6,98.5,2003.2,116.5,2850.1,164.5,514.8,1802.9,2594.2,119,74.9,6.5
0.069969,593.4,93.6,2010.6,119.0,2844.2,196.5,514.2,1804.8,2594.7,118.8,75.1,8
0.071969,585.0,103.3,2022.4,143.1,2815.4,271.9,513.5,1806.8,2595.2,118.7,75.2,9.3
0.073969,566.3,123.6,2020.4,173.5,2741.4,334.7,512.8,1808.9,2595.8,118.5,75.5,10.2
0.075969,546.7,132.9,1994.5,163.6,2681.4,327.7,512.1,1811.1,2596.3,118.4,76,10.4
0.077969,543.4,131.2,1973.0,135.6,2650.7,317.9,511.3,1813.4,2596.9,118.2,76.6,10.2
0.079969,552.3,120.7,1962.2,108.2,2635.3,307.1,510.5,1815.7,2597.5,118,77.2,9.8
0.081969,558.0,105.4,1959.3,90.6,2634.6,299.5,509.7,1818.1,2598.1,117.8,77.9,9.1
0.083969,558.6,95.1,1960.2,81.5,2642.1,290.1,508.9,1820.6,2598.8,117.6,78.5,8.4
0.085969,559.0,93.0,1962.5,78.3,2646.6,270.6,508,1823.1,2599.5,117.4,79.1,7.4
0.087969,560.9,95.7,1963.4,74.9,2643.9,247.7,507.1,1825.7,2600.1,117.3,79.6,6.1
0.089969,560.4,94.7,1961.9,67.9,2641.1,230.6,506.2,1828.4,2600.8,117.1,80,4.7
0.091969,555.5,88.6,1960.0,61.8,2641.1,222.1,505.3,1831.1,2601.6,116.9,80.3,3.6
0.093969,550.1,84.8,1959.1,60.3,2640.2,215.0,504.3,1833.9,2602.3,116.7,80.4,3.2
0.095969,547.5,89.7,1959.2,64.4,2634.5,202.9,503.3,1836.8,2603,116.5,80.4,3.7
0.097969,546.8,100.9,1958.1,68.5,2627.2,189.3,502.3,1839.7,2603.8,116.3,80.3,4.9
0.099969,542.6,107.1,1954.5,67.1,2623.6,179.2,501.3,1842.7,2604.6,116.1,80,6.4
0.101969,534.7,105.3,1950.5,62.3,2624.7,174.8,500.2,1845.7,2605.4,115.9,79.8,7.9
0.103969,527.4,103.7,1947.5,58.6,2626.5,172.6,499.2,1848.8,2606.2,115.7,79.4,9.1
0.105969,522.9,107.5,1945.4,60.1,2620.3,168.7,498.1,1852,2607.1,115.5,79.1,9.9
0.107969,518.7,113.1,1939.7,70.2,2603.7,167.9,497,1855.2,2607.9,115.3,78.9,10.7
0.109969,512.1,122.5,1921.2,89.4,2586.3,175.4,495.9,1858.4,2608.8,115.1,78.7,11.3
0.111969,506.5,144.5,1883.9,111.3,2568.2,190.0,494.7,1861.7,2609.6,115,78.5,11.6
0.113969,502.4,180.9,1835.7,129.8,2550.1,202.3,493.5,1865.1,2610.5,114.8,78.3,11.5
0.115969,497.1,218.3,1797.9,136.1,2536.9,203.0,492.3,1868.5,2611.4,114.6,78.1,10.7
0.117969,484.9,234.3,1776.0,136.3,2529.0,199.1,491.1,1871.9,2612.4,114.5,77.9,9.3
0.119969,465.2,234.3,1763.1,137.6,2524.8,194.8,489.9,1875.4,2613.3,114.3,77.6,7.8
0.121969,443.9,241.2,1754.6,146.2,2522.1,193.0,488.7,1878.9,2614.2,114.2,77.3,6.5
0.123969,421.7,265.9,1744.2,175.2,2515.6,203.6,487.4,1882.4,2615.2,114,77,5.9
0.125969,397.0,282.6,1724.0,257.5,2498.5,245.4,486.2,1886,2616.2,113.9,76.7,6
0.127969,374.4,265.5,1700.4,399.1,2482.1,293.0,484.9,1889.6,2617.2,113.8,76.5,6.6
0.129969,368.6,254.0,1718.9,484.9,2499.3,288.5,483.6,1893.3,2618.1,113.7,76.3,7.6
0.131969,380.0,258.3,1757.7,476.7,2524.7,248.5,482.2,1897,2619.1,113.6,76.2,8.8
0.133969,398.4,266.1,1780.3,469.5,2532.8,218.3,480.9,1900.7,2620.2,113.5,76.1,9.9
0.135969,408.2,276.2,1798.7,488.6,2526.1,212.1,479.6,1904.4,2621.2,113.4,76,11.2
0.137969,396.8,285.9,1816.8,526.5,2505.9,225.9,478.2,1908.1,2622.2,113.3,75.9,12.7
0.139969,368.8,274.9,1801.7,597.1,2471.5,244.5,476.8,1911.9,2623.2,113.2,75.8,14.3
0.141969,352.8,257.1,1736.1,668.0,2438.5,250.8,475.5,1915.7,2624.3,113.2,75.7,15.6
0.143969,345.7,254.3,1685.8,665.5,2416.9,245.7,474.1,1919.5,2625.3,113.1,75.6,16.6
0.145969,336.6,264.2,1701.7,624.5,2404.3,240.4,472.7,1923.3,2626.4,113.1,75.5,16.9
0.147969,329.5,274.1,1737.9,578.2,2387.1,251.3,471.3,1927.2,2627.5,113.1,75.5,16.8
0.149969,330.9,281.6,1747.7,583.8,2357.2,275.7,469.8,1931,2628.6,113.1,75.4,16.5
0.151969,335.2,292.9,1733.0,632.8,2339.7,290.5,468.4,1934.9,2629.6,113,75.4,16.2
