time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025115,365.7,250.9,1481.0,281.3,2386.5,406.7,624.7,1340.4,2268.8,0,49.6,-200
0.027115,386.7,348.5,1464.9,327.3,2383.6,431.6,624.6,1340.5,2268.9,0,49.6,-200
0.029115,405.0,492.1,1449.5,417.2,2378.0,452.7,624.6,1340.6,2268.9,0,49.7,-200
0.031115,413.0,718.2,1436.0,563.8,2367.0,494.7,624.4,1340.7,2268.9,0,49.8,-200
0.033115,364.6,1148.8,1415.7,724.9,2331.3,574.4,624.3,1340.9,2269,0,50.1,-200
0.035115,934.6,3026.1,1327.3,747.0,2227.4,632.0,624.1,1341.2,2269,0,50.2,-200
0.037115,1279.2,536.2,2119.0,513.2,3353.6,702.5,623.8,1341.5,2269.1,0,50.5,-200
0.039115,1274.0,418.8,2086.7,386.5,3323.5,617.2,623.6,1341.8,2269.1,0,50.5,-200
0.041115,1269.4,402.7,2086.6,318.8,3350.0,591.7,623.2,1342.2,2269.2,0,50.4,-200
0.043115,1253.1,466.2,1748.2,3292.1,2095.6,317.1,622.9,1342.6,2269.3,0,50.6,-200
0.045115,1217.1,536.5,1942.0,1653.3,2121.2,386.4,622.5,1343.1,2269.4,0,51.2,-200
0.047115,1203.7,531.5,1912.7,1143.7,2202.3,453.8,622.1,1343.6,2269.5,0,52.5,-200
0.049115,1202.3,483.5,1813.1,1221.6,2266.3,395.4,621.7,1344.2,2269.6,0,55.1,-203.3
0.051115,1188.3,431.6,1657.1,1500.7,2293.0,349.1,621.2,1344.8,2269.8,0,57.6,-209.9
0.053115,1195.2,395.4,1425.8,2280.5,2284.2,360.5,620.6,1345.4,2269.9,0,60.3,-214.8
0.055115,163.7,1004.8,1212.3,326.9,2235.8,402.5,620.1,1346.1,2270,0,62.7,-213.2
0.057115,314.3,565.0,1218.6,271.3,2176.6,399.8,619.5,1346.9,2270.2,116.4,64.6,-200
0.059115,322.6,405.0,1225.6,246.2,2139.7,362.8,618.9,1347.6,2270.4,116.1,66.3,-168.8
0.061115,316.6,347.0,1240.1,237.4,2110.8,310.2,618.2,1348.5,2270.5,115.7,67.6,-122.8
0.063115,307.0,371.4,1253.6,234.7,2090.0,269.7,617.5,1349.3,2270.7,115.3,68.7,-71.9
0.065115,287.0,470.5,1255.7,240.2,2079.7,257.0,616.8,1350.2,2270.9,114.9,69.6,-25.8
0.067115,254.1,562.6,1249.6,250.9,2076.8,262.4,616.1,1351.2,2271.1,114.5,70.4,5.7
0.069115,237.3,555.6,1246.5,260.4,2077.6,268.9,615.3,1352.2,2271.3,114.1,71,19.6
0.071115,230.6,525.9,1250.8,281.8,2086.8,277.6,614.5,1353.2,2271.5,113.7,71.4,22.2
