time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,1248.6,861.4,1920.7,975.7,3337.2,852.5,1284.4,1871.1,3208,0,55.3,-200
0.027719,1182.0,678.8,1968.6,640.8,3302.6,719.9,1284.1,1871.1,3207.8,0,56.2,-200
0.029719,1179.8,500.2,1982.0,439.8,3269.0,582.4,1283.5,1871.2,3207.4,0,57,-200
0.031719,1189.4,387.7,1982.1,342.5,3247.9,523.8,1282.7,1871.3,3207,0,57.5,-200
0.033719,1184.6,348.0,1975.3,312.9,3233.6,548.4,1281.7,1871.5,3206.4,0,57.8,-200
0.035719,1166.6,357.9,1965.8,324.7,3220.4,632.9,1280.5,1871.7,3205.7,0,57.9,-200
0.037719,1141.9,408.9,1957.2,374.5,3204.6,761.2,1279.1,1871.9,3204.8,0,57.8,-200
0.039719,1118.4,510.2,1953.8,488.0,3182.6,930.0,1277.4,1872.1,3203.9,0,57.3,-200
0.041719,1122.7,691.1,1974.9,774.2,3169.8,1140.9,1275.5,1872.4,3202.7,0,56.5,-200
0.043719,1168.6,851.0,2104.7,1190.8,3292.4,1238.5,1273.4,1872.8,3201.5,0,55.4,-200
0.045719,1091.5,928.2,2077.8,647.3,3321.8,599.8,1271.1,1873.1,3200.2,0,54.2,-200
0.047719,1090.7,1083.4,2031.7,270.6,3323.6,347.5,1268.5,1873.5,3198.7,0,53,-200
0.049719,1198.4,1093.1,2017.8,153.9,3329.1,272.8,1265.8,1873.9,3197.1,0,52.3,-200
0.051719,1278.4,915.2,2016.7,119.3,3328.2,266.8,1262.8,1874.4,3195.3,0,52.6,-200
0.053719,1286.8,712.0,2020.0,110.9,3315.8,303.0,1259.6,1874.9,3193.4,0,54,-200
0.055719,1255.9,544.9,2024.6,119.1,3288.9,376.1,1256.2,1875.4,3191.5,0,55.8,-200
0.057719,1223.6,473.3,2030.3,154.7,3269.5,489.6,1252.6,1876,3189.3,0,57.6,-200
0.059719,1217.7,500.2,2047.4,223.0,3310.2,660.8,1248.8,1876.5,3187.1,171.7,59.1,-200
0.061719,1260.0,606.7,2090.3,281.1,3451.5,711.0,1244.8,1877.2,3184.7,170.2,60.3,-200
0.063719,1332.8,715.8,2126.0,282.8,3504.8,614.5,1240.6,1877.8,3182.3,168.7,61.2,-200
0.065719,1366.4,830.5,2128.4,280.6,3461.5,584.6,1236.2,1878.5,3179.6,167,61.8,-200
0.067719,1321.5,901.5,2104.9,273.7,3353.5,562.2,1231.6,1879.2,3176.9,165.3,62.2,-200
0.069719,1273.9,879.3,2075.3,255.0,3254.2,462.2,1226.8,1879.9,3174.1,163.5,62.4,-200
0.071719,1268.9,877.3,2043.1,247.4,3218.4,372.9,1221.8,1880.7,3171.1,161.6,62.5,-200
0.073719,1297.9,914.2,2017.6,253.9,3221.8,341.6,1216.6,1881.5,3168,159.6,62.6,-200
0.075719,1343.5,960.4,2005.0,276.0,3234.7,333.9,1211.2,1882.3,3164.8,157.6,62.8,-200
0.077719,1380.7,1039.3,1999.3,318.7,3242.5,337.7,1205.7,1883.1,3161.5,155.5,63,-200
0.079719,1413.9,1172.4,1988.6,396.2,3243.9,368.4,1200,1884,3158.1,153.4,63.4,-200
0.081719,1468.5,1238.7,1971.0,555.2,3241.9,448.7,1194,1884.9,3154.6,151.2,63.9,-200
0.083719,1444.6,966.4,2028.8,779.1,3253.0,568.8,1188,1885.8,3150.9,149,64.5,-200
0.085719,1302.5,620.8,2157.3,682.2,3319.9,691.1,1181.7,1886.7,3147.2,146.7,65.2,-200.9
0.087719,1239.3,414.5,2205.1,498.4,3429.2,756.0,1175.3,1887.7,3143.3,144.5,66,-206.5
0.089719,1227.5,340.2,2218.2,391.3,3504.1,734.7,1168.7,1888.7,3139.4,142.3,66.9,-212.9
0.091719,1236.9,334.1,2218.3,344.7,3514.4,673.4,1161.9,1889.7,3135.3,140,67.8,-215.1
0.093719,1252.3,357.2,2206.1,346.6,3493.9,624.0,1155,1890.7,3131.1,137.9,68.5,-208.3
0.095719,1268.1,413.9,2163.7,393.8,3449.9,579.3,1148,1891.7,3126.8,135.7,69,-186.9
0.097719,1268.3,492.4,2073.4,432.3,3390.7,508.3,1140.8,1892.8,3122.4,133.6,69.5,-147.1
0.099719,1243.4,521.2,1994.5,397.9,3351.9,432.4,1133.4,1893.9,3118,131.6,69.9,-97.4
0.101719,1234.4,539.1,1967.4,389.4,3340.9,407.5,1125.9,1895,3113.4,129.7,70.3,-47.7
0.103719,1256.1,640.5,1961.5,471.3,3344.0,443.4,1118.3,1896.1,3108.7,127.8,70.7,-7.6
0.105719,1344.4,820.2,1952.5,675.4,3341.3,528.8,1110.6,1897.2,3104,126.1,71.1,14.3
0.107719,1450.2,810.1,1973.8,872.6,3322.3,571.0,1102.7,1898.3,3099.1,124.4,71.5,21.8
0.109719,1433.4,686.4,2036.4,805.6,3304.4,517.7,1094.7,1899.5,3094.1,122.8,71.8,20.3
0.111719,1400.0,588.4,2077.5,662.7,3298.8,444.2,1086.5,1900.7,3089.1,121.3,72,15
0.113719,1380.3,536.0,2102.0,543.8,3304.6,401.2,1078.3,1901.8,3084,120,72.2,10.6
