time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025698,469.4,827.4,1680.7,630.1,2453.7,653.9,634.5,1447,2327.5,0,46.5,-200
0.027698,628.2,961.8,1708.3,571.1,2490.7,528.9,634.5,1447,2327.6,0,45.8,-200
0.029698,600.2,1012.6,1729.8,599.6,2552.5,507.4,634.5,1447.1,2327.7,0,44.9,-200
0.031698,477.9,612.1,1682.8,692.8,2612.5,2994.2,634.5,1447.1,2327.8,0,44,-200
0.033698,477.6,386.5,1588.3,604.3,2565.8,1243.9,634.5,1447.2,2328,0,43.4,-200
0.035698,472.4,306.0,1542.3,511.7,2557.2,562.7,634.5,1447.3,2328.2,0,43.2,-200
0.037698,459.8,312.4,1505.3,477.5,2525.6,431.1,634.5,1447.4,2328.5,0,43.5,-200
0.039698,446.4,378.5,1467.0,476.5,2510.2,395.9,634.4,1447.5,2328.8,0,43.7,-200
0.041698,432.0,511.2,1417.0,471.5,2494.5,413.6,634.4,1447.7,2329.2,0,43.9,-200
0.043698,413.4,706.0,1375.3,438.3,2486.4,457.2,634.4,1447.9,2329.6,0,44,-200
0.045698,381.0,998.7,1357.4,389.0,2495.0,505.6,634.3,1448,2330,0,44.2,-200
0.047698,307.3,1449.5,1356.8,334.0,2505.2,555.6,634.3,1448.3,2330.5,0,44.2,-200
0.049698,406.7,1349.7,1362.3,278.4,2485.2,611.7,634.3,1448.5,2331,0,44.3,-200
0.051698,522.7,1006.2,1373.0,226.7,2434.1,610.7,634.2,1448.7,2331.6,0,44.4,-200
0.053698,574.6,846.3,1383.0,192.4,2415.9,530.6,634.2,1449,2332.2,0,44.8,-200
0.055698,606.3,840.8,1388.7,168.3,2428.0,451.7,634.1,1449.2,2332.8,0,45.3,-200
0.057698,636.2,982.2,1393.0,146.0,2444.4,384.8,634.1,1449.5,2333.5,0,46,-200
0.059698,666.2,1171.5,1400.2,122.9,2442.8,337.0,634,1449.9,2334.2,0,46.8,-200
0.061698,676.6,1119.9,1409.4,94.8,2422.6,315.7,633.9,1450.2,2335,0,47.5,-200
0.063698,666.1,875.3,1416.0,71.3,2399.5,300.1,633.9,1450.6,2335.8,0,48.1,-200
0.065698,660.8,670.2,1419.9,56.8,2389.2,270.1,633.8,1450.9,2336.6,0,48.6,-200
0.067698,668.2,544.2,1422.7,55.1,2396.8,246.2,633.7,1451.3,2337.5,0,49.5,-200.9
0.069698,703.8,541.0,1430.7,79.9,2413.4,261.6,633.6,1451.8,2338.4,0,50.4,-206.3
0.071698,796.8,619.9,1465.5,152.5,2435.9,307.3,633.5,1452.2,2339.4,0,51.8,-212.6
0.073698,888.3,611.0,1509.1,181.6,2449.7,316.7,633.4,1452.7,2340.4,0,54.1,-214.8
0.075698,948.7,584.7,1517.9,162.3,2450.2,320.5,633.3,1453.2,2341.4,0,56.8,-208.1
0.077698,982.4,527.1,1511.2,143.7,2452.2,323.5,633.2,1453.7,2342.5,0,59.9,-187.1
0.079698,939.2,417.6,1499.9,127.3,2452.2,334.4,633.1,1454.2,2343.6,0,63,-148.2
0.081698,866.6,304.7,1485.6,123.7,2448.6,394.8,633,1454.8,2344.7,0,65.9,-99.7
0.083698,821.8,244.4,1476.9,141.0,2398.4,1919.1,632.8,1455.3,2345.9,0,68.5,-51
0.085698,795.4,219.0,1473.9,168.0,2176.7,1582.6,632.7,1455.9,2347.2,0,70.6,-11.9
0.087698,778.6,211.2,1473.7,187.6,2050.5,1562.6,632.6,1456.6,2348.4,0,72.4,9.4
0.089698,767.5,210.4,1471.7,188.2,2031.1,1760.6,632.4,1457.2,2349.8,115.1,73.9,16.6
0.091698,761.6,211.6,1465.7,169.4,2196.8,2440.2,632.3,1457.9,2351.1,115.4,75.2,15.1
0.093698,764.1,213.3,1457.1,141.9,2418.1,397.3,632.1,1458.6,2352.5,115.6,76.3,9.6
0.095698,771.5,214.3,1447.9,121.1,2397.5,334.0,631.9,1459.4,2353.9,115.9,77.3,5
0.097698,779.1,209.1,1441.0,105.4,2393.8,296.7,631.7,1460.1,2355.4,116.3,78.2,4.9
0.099698,779.8,200.8,1436.9,92.6,2400.8,271.3,631.6,1460.9,2356.9,116.6,78.8,5.9
0.101698,775.9,196.3,1434.1,82.2,2417.6,244.1,631.4,1461.7,2358.4,117,79.4,7
0.103698,772.4,196.9,1432.9,77.2,2439.4,215.3,631.2,1462.6,2360,117.4,79.7,8.1
0.105698,770.0,197.9,1434.3,79.8,2457.1,189.0,630.9,1463.4,2361.6,117.8,80,8.7
0.107698,768.1,192.9,1439.9,88.1,2462.2,173.5,630.7,1464.3,2363.2,118.2,80.2,8.9
0.109698,766.2,187.6,1448.4,91.6,2458.1,172.9,630.5,1465.3,2364.9,118.7,80.5,8.6
0.111698,767.6,192.9,1458.7,89.8,2447.5,192.3,630.2,1466.2,2366.6,119.1,80.8,8
0.113698,775.2,208.0,1466.0,87.2,2432.6,229.3,630,1467.2,2368.3,119.6,81.2,7.3
0.115698,784.8,219.0,1467.8,82.5,2419.3,262.0,629.7,1468.3,2370.1,120.1,81.6,6.5
0.117698,787.3,220.4,1466.0,75.0,2410.7,275.6,629.4,1469.3,2371.9,120.6,81.9,5.8
0.119698,782.2,221.3,1464.8,69.6,2401.9,282.6,629.1,1470.4,2373.8,121.1,82.2,4.9
0.121698,775.1,227.2,1466.5,70.0,2383.2,300.6,628.9,1471.5,2375.6,121.7,82.4,3.9
0.123698,770.4,231.9,1470.6,74.7,2363.2,318.8,628.5,1472.7,2377.5,122.2,82.5,3.1
0.125698,765.6,229.7,1474.4,77.9,2354.5,327.3,628.2,1473.9,2379.5,122.7,82.6,2.8
0.127698,759.5,227.0,1477.1,78.3,2353.2,334.4,627.9,1475.1,2381.5,123.3,82.6,3.2
0.129698,754.1,230.8,1479.8,79.0,2343.2,353.9,627.5,1476.3,2383.5,123.8,82.7,4.4
0.131698,744.5,237.0,1482.5,81.2,2313.0,394.3,627.2,1477.6,2385.5,124.3,82.7,6.2
0.133698,728.2,234.6,1483.9,81.7,2282.3,437.1,626.8,1478.9,2387.6,124.9,82.7,7.9
0.135698,709.9,224.9,1485.9,81.3,2271.1,481.3,626.4,1480.3,2389.6,125.4,82.6,9.2
0.137698,693.9,214.1,1491.0,84.7,2277.5,533.0,626,1481.7,2391.8,125.9,82.6,9.5
0.139698,684.7,207.6,1499.5,92.9,2290.5,567.9,625.6,1483.1,2393.9,126.4,82.5,8.9
0.141698,678.5,206.1,1509.4,102.0,2312.4,595.6,625.2,1484.5,2396.1,126.9,82.3,7.9
0.143698,673.6,210.4,1517.5,107.9,2343.9,628.9,624.8,1486,2398.3,127.4,82.2,6.8
0.145698,671.1,219.0,1526.8,113.5,2383.2,663.5,624.3,1487.6,2400.5,127.9,82.1,6
0.147698,670.7,225.3,1537.9,120.3,2419.8,678.3,623.9,1489.1,2402.8,128.4,82,6.1
0.149698,668.6,225.1,1542.9,124.3,2435.1,656.3,623.4,1490.7,2405.1,128.9,81.9,6.7
0.151698,664.4,224.0,1540.9,126.7,2432.1,610.1,622.9,1492.4,2407.4,129.3,81.9,7.7
0.153698,662.0,223.0,1540.1,131.6,2424.1,564.9,622.4,1494.1,2409.7,129.8,82,8.8
0.155698,661.7,217.8,1544.9,136.8,2424.4,528.7,621.9,1495.8,2412.1,130.2,82.1,9.7
0.157698,659.6,210.2,1550.0,135.3,2434.0,502.9,621.3,1497.5,2414.5,130.7,82.2,10.1
0.159698,655.6,208.4,1548.5,128.3,2437.0,500.1,620.8,1499.3,2416.9,131.1,82.2,10.2
0.161698,650.6,212.6,1541.2,121.9,2412.2,543.4,620.2,1501.1,2419.3,131.5,82.3,10.2
0.163698,640.9,212.5,1532.7,121.3,2348.9,622.1,619.6,1503,2421.7,131.9,82.3,10
0.165698,625.2,202.2,1524.3,123.4,2274.5,668.8,619,1504.9,2424.2,132.3,82.3,9.8
0.167698,607.4,187.4,1514.7,127.0,2224.7,659.6,618.4,1506.8,2426.7,132.7,82.2,9.4
0.169698,592.8,177.9,1503.7,133.1,2191.5,614.5,617.8,1508.8,2429.2,133.1,82.1,8.8
0.171698,579.6,175.7,1493.6,139.3,2171.2,564.4,617.2,1510.8,2431.7,133.5,81.9,8
0.173698,567.0,175.9,1488.8,141.7,2174.0,543.8,616.5,1512.8,2434.3,133.8,81.5,7.2
0.175698,555.5,177.2,1489.3,138.0,2207.4,526.6,615.8,1514.9,2436.8,134.2,81,6.7
0.177698,546.3,187.7,1492.8,127.6,2275.6,449.9,615.2,1517,2439.4,134.6,80.3,6.4
0.179698,537.4,216.7,1495.0,121.4,2336.5,329.2,614.5,1519.1,2442,135,79.5,6.3
0.181698,521.0,271.5,1493.4,132.9,2376.2,243.2,613.7,1521.3,2444.6,135.3,78.8,6.3
0.183698,503.3,329.0,1489.2,157.2,2400.2,210.3,613,1523.5,2447.2,135.7,78.1,6.5
0.185698,491.6,364.4,1487.0,180.8,2415.7,203.2,612.3,1525.8,2449.9,136.1,77.7,6.9
0.187698,449.6,373.7,1481.8,215.7,2415.9,230.7,611.5,1528.1,2452.5,136.5,77.5,7.4
0.189698,386.5,315.3,1458.4,279.1,2395.0,306.9,610.7,1530.4,2455.2,136.9,77.6,8.1
