time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025115,323.9,679.4,1335.5,834.0,2206.0,787.6,801,1547.8,2437.8,0,47.4,-200
0.027115,322.7,571.4,1306.3,563.0,2289.9,582.4,800.9,1547.8,2437.8,0,47.4,-200
0.029115,342.0,503.5,1315.0,382.8,2366.7,538.5,800.8,1547.8,2437.9,0,47.3,-200
0.031115,377.2,452.2,1330.3,278.1,2442.6,573.1,800.6,1547.8,2437.9,0,47.1,-200
0.033115,410.7,429.9,1346.7,240.5,2491.6,685.6,800.3,1547.8,2438,0,46.6,-200
0.035115,425.0,458.0,1362.3,264.3,2400.7,860.9,800,1547.8,2438,0,46.1,-200
0.037115,410.4,562.1,1369.7,363.4,2211.8,811.4,799.6,1547.8,2438.1,0,45.7,-200
0.039115,314.9,885.8,1339.1,606.6,2065.5,693.9,799.2,1547.8,2438.2,0,45.5,-200
0.041115,1076.9,728.1,1940.2,515.4,3115.5,1008.4,798.7,1547.8,2438.3,0,45.5,-200
0.043115,1003.2,511.4,1913.1,357.3,2824.5,703.0,798.1,1547.8,2438.4,0,45.7,-200
0.045115,972.6,456.5,1904.1,290.9,2740.2,464.0,797.5,1547.8,2438.5,0,46.1,-200
0.047115,939.1,467.2,1893.5,258.4,2690.1,373.1,796.8,1547.8,2438.7,0,46.5,-200
0.049115,926.9,524.7,1877.3,265.1,2650.4,367.1,796.1,1547.8,2438.8,0,47,-200
0.051115,958.9,642.9,1849.2,324.0,2617.3,433.7,795.3,1547.8,2439,0,47.5,-200
0.053115,1026.9,752.3,1815.9,375.0,2592.7,541.6,794.5,1547.7,2439.2,0,47.9,-200
0.055115,1082.5,732.8,1804.0,331.0,2584.4,634.7,793.6,1547.7,2439.3,0,48.4,-200
0.057115,1112.0,697.1,1802.3,267.6,2580.9,714.8,792.7,1547.7,2439.5,0,49,-200
0.059115,1132.1,738.5,1794.9,240.8,2581.5,795.0,791.7,1547.7,2439.7,0,49.6,-200
0.061115,1134.6,863.5,1776.4,240.1,2594.2,778.1,790.6,1547.7,2440,0,50,-200
0.063115,1076.2,1043.6,1746.7,239.9,2584.6,598.7,789.5,1547.7,2440.2,0,50.1,-200
0.065115,933.3,1204.2,1718.1,239.0,2568.3,422.6,788.3,1547.7,2440.4,0,50,-200
0.067115,732.2,1280.2,1691.8,266.1,2559.1,332.7,787.1,1547.6,2440.7,0,49.7,-200
0.069115,529.3,1039.0,1644.5,334.2,2539.7,337.8,785.8,1547.6,2440.9,0,49.1,-200
0.071115,534.5,830.1,1562.0,379.5,2475.5,419.6,784.5,1547.6,2441.2,0,48.5,-200
0.073115,538.7,858.8,1495.7,375.1,2359.0,477.7,783.1,1547.6,2441.5,0,48,-200
0.075115,447.5,1246.9,1455.4,391.2,2276.8,465.8,781.7,1547.6,2441.8,0,47.8,-200
0.077115,1370.5,2312.7,1418.8,449.3,2256.4,469.4,780.2,1547.6,2442.1,0,47.8,-200
0.079115,1370.2,494.4,1761.8,1578.4,2255.2,498.9,778.7,1547.5,2442.4,0,47.9,-200
0.081115,1330.6,500.6,1911.6,1221.7,2260.2,535.1,777.1,1547.5,2442.7,0,48.1,-200
0.083115,1288.1,464.4,1948.2,951.8,2305.7,526.0,775.5,1547.5,2443.1,0,48,-200
0.085115,1252.9,380.0,1907.8,827.0,2358.1,390.8,773.8,1547.5,2443.4,0,47.7,-200
0.087115,1243.9,309.4,1885.2,830.6,2378.8,288.9,772,1547.4,2443.8,0,47.3,-200
0.089115,1250.1,284.5,1914.9,863.7,2383.0,266.8,770.3,1547.4,2444.1,0,47.1,-200
0.091115,1268.1,300.6,1980.8,929.9,2365.6,291.0,768.4,1547.4,2444.5,0,47,-200
