time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025375,1361.3,843.2,1831.6,569.9,2608.6,71.3,616.9,1341.7,2224.6,0,48.4,-200
0.027375,1339.9,1226.6,1816.0,601.9,2600.7,96.0,616.8,1341.9,2224.8,0,48.1,-200
0.029375,1801.2,586.4,1826.3,6196.3,2594.0,105.5,616.8,1342.3,2225.1,0,48.2,-200
0.031375,517.2,876.4,1817.0,576.0,2537.9,2241.8,616.7,1342.7,2225.4,0,48,-200
0.033375,554.1,798.2,1819.8,632.8,2393.6,2044.4,616.7,1343.3,2225.9,0,48.1,-200
0.035375,553.1,1003.5,1804.7,784.7,2097.2,2064.4,616.6,1344.1,2226.5,0,48.8,-200
0.037375,1428.7,1521.0,1874.8,1053.7,2597.0,41.0,616.5,1344.9,2227.3,0,50.2,-200
0.039375,1288.2,878.1,1928.6,1029.9,2596.0,32.8,616.4,1345.9,2228.1,0,52.4,-200
0.041375,1258.9,711.9,1895.6,947.1,2596.0,29.0,616.2,1347,2229,0,54.8,-200
0.043375,1218.5,751.9,1822.8,775.8,2597.2,27.7,616.1,1348.3,2230.1,0,57.5,-200
0.045375,1085.5,997.4,1766.5,545.6,2598.4,29.5,615.9,1349.7,2231.2,0,60,-200
0.047375,831.2,1183.0,1764.2,380.3,2599.4,35.0,615.7,1351.2,2232.5,0,62.3,-200
0.049375,556.1,1279.2,1773.2,315.8,2600.5,43.9,615.5,1352.8,2233.9,0,64.1,-200
0.051375,220.5,599.2,713.4,3070.4,1779.2,312.7,615.3,1354.6,2235.3,0,65.6,-200
0.053375,268.8,367.3,1135.8,2457.9,1776.3,337.7,615.1,1356.5,2236.9,0,66.6,-200
0.055375,278.0,277.6,1147.1,2698.9,1752.3,367.8,614.9,1358.5,2238.6,0,67.1,-200
0.057375,280.5,229.9,687.3,4226.6,1704.1,391.6,614.6,1360.7,2240.4,0,67.2,-200
0.059375,278.4,201.5,1640.8,403.8,2606.4,36.3,614.3,1362.9,2242.3,0,66.8,-203.2
0.061375,273.5,204.0,1585.6,382.5,2603.3,37.1,614.1,1365.3,2244.3,0,66,-209.7
0.063375,262.9,342.2,1566.0,338.3,2596.1,53.3,613.8,1367.9,2246.4,0,64.9,-214.5
0.065375,724.2,1463.9,1579.5,379.1,2585.8,81.9,613.4,1370.5,2248.6,0,63.7,-212.9
0.067375,1118.6,581.4,1674.0,447.8,2571.9,122.9,613.1,1373.3,2250.9,0,63,-200
0.069375,1152.7,338.9,1734.6,396.3,2543.0,205.3,612.8,1376.2,2253.3,0,63.5,-169.4
0.071375,1161.0,327.5,1745.4,456.6,2477.7,387.7,612.4,1379.2,2255.7,0,65,-124.5
0.073375,1202.4,407.5,1800.5,768.9,2343.1,708.5,612,1382.3,2258.3,0,66.7,-74.6
0.075375,1274.5,388.7,2070.2,598.3,2463.3,1533.8,611.6,1385.5,2261,0,68.2,-29.4
0.077375,1300.0,327.7,2075.5,470.5,2698.6,1147.3,611.2,1388.9,2263.8,0,69.4,1.5
0.079375,192.1,649.5,1311.1,302.0,2091.4,401.3,610.8,1392.3,2266.7,112.9,70.3,15.1
0.081375,175.7,686.2,1317.1,304.1,2103.8,361.7,610.4,1395.9,2269.6,112.7,71,17.8
0.083375,81.8,812.4,1313.9,312.5,2111.2,351.8,610,1399.6,2272.7,112.4,71.5,14.1
0.085375,94.2,814.5,1312.2,306.9,2118.2,344.3,609.5,1403.3,2275.8,112.2,72,8.7
0.087375,179.2,697.8,1316.6,287.3,2125.8,326.9,609,1407.2,2279.1,111.9,72.4,6.3
0.089375,209.1,619.7,1323.2,263.6,2127.9,297.5,608.5,1411.2,2282.4,111.7,72.7,6.7
0.091375,218.3,621.4,1324.5,241.7,2117.0,260.1,608,1415.3,2285.8,111.4,73,6.9
0.093375,250.3,606.3,1319.3,221.8,2103.7,229.3,607.5,1419.5,2289.3,111.1,73.3,7
0.095375,282.9,513.3,1313.9,202.9,2097.4,213.2,607,1423.8,2292.8,110.9,73.6,7.1
0.097375,289.8,418.9,1311.9,188.6,2100.7,216.5,606.5,1428.2,2296.5,110.6,73.8,7.4
0.099375,283.1,385.0,1318.7,184.3,2118.6,244.5,605.9,1432.7,2300.2,110.3,74.1,7.8
0.101375,271.2,412.8,1329.3,186.2,2144.2,281.5,605.3,1437.3,2304,110,74.3,8.3
0.103375,257.6,441.2,1332.9,188.2,2163.2,313.4,604.8,1442,2307.9,109.8,74.5,8.9
0.105375,250.7,414.3,1329.3,189.5,2169.2,341.5,604.2,1446.8,2311.8,109.5,74.6,9.6
0.107375,246.7,383.4,1320.6,198.3,2156.2,365.9,603.6,1451.6,2315.9,109.2,74.8,10.6
0.109375,244.7,397.1,1306.0,214.9,2119.7,363.7,603,1456.5,2320,108.9,74.9,12
0.111375,254.4,411.6,1289.1,218.2,2081.9,330.3,602.3,1461.6,2324.1,108.7,75,13.9
0.113375,270.5,376.3,1279.0,206.3,2066.3,291.3,601.7,1466.7,2328.3,108.4,75.1,15.8
0.115375,272.1,344.5,1280.7,200.1,2081.4,263.0,601.1,1471.8,2332.6,108.2,75.2,17.5
0.117375,264.3,370.0,1290.7,207.5,2108.8,238.3,600.4,1477.1,2337,107.9,75.3,18.7
0.119375,252.3,464.5,1297.4,225.9,2124.3,230.8,599.7,1482.4,2341.4,107.7,75.4,19.4
0.121375,247.1,553.3,1297.0,245.2,2130.8,239.6,599,1487.8,2345.9,107.4,75.4,19.8
0.123375,256.9,544.8,1296.8,256.5,2133.9,257.4,598.3,1493.3,2350.4,107.2,75.5,19.9
0.125375,258.3,502.7,1299.2,265.2,2132.5,292.6,597.6,1498.9,2355,107,75.6,19.4
0.127375,246.4,532.6,1300.7,283.1,2123.5,349.0,596.9,1504.5,2359.6,106.8,75.7,18.2
0.129375,240.7,633.2,1290.6,304.2,2108.5,394.2,596.2,1510.1,2364.3,106.6,76.1,15.7
0.131375,308.1,661.3,1270.0,322.2,2092.8,439.1,595.5,1515.8,2369,106.3,76.6,12.1
0.133375,430.3,608.5,1255.2,359.0,2077.7,597.1,594.7,1521.6,2373.8,106.1,77.3,8.1
0.135375,558.1,511.8,1287.0,386.2,2122.0,908.0,594,1527.5,2378.6,106,78.2,4.7
0.137375,625.8,355.3,1319.6,321.6,2233.2,982.1,593.2,1533.4,2383.5,105.8,78.9,2.7
0.139375,640.4,254.5,1322.0,265.1,2273.9,912.3,592.4,1539.3,2388.4,105.6,79.6,2.3
0.141375,638.8,204.1,1320.0,236.7,2299.5,897.9,591.6,1545.3,2393.3,105.4,80.1,3.2
0.143375,635.2,180.8,1324.0,222.7,2334.7,1001.2,590.9,1551.3,2398.3,105.2,80.4,4.7
0.145375,639.6,175.5,1336.7,203.3,2362.7,1239.4,590.1,1557.4,2403.3,105,80.6,6.3
0.147375,651.1,175.8,1345.2,168.6,2378.3,1405.3,589.2,1563.5,2408.3,104.9,80.7,7.5
0.149375,657.5,173.4,1345.5,136.2,2456.0,1432.3,588.4,1569.6,2413.4,104.7,80.8,8.4
0.151375,656.1,174.4,1345.5,112.7,2664.3,1403.1,587.6,1575.8,2418.5,104.5,80.9,9.3
0.153375,658.1,188.2,1351.8,96.8,2775.2,570.8,586.8,1582,2423.6,104.4,81,10.1
0.155375,673.3,212.2,1364.2,90.6,2740.0,509.3,585.9,1588.3,2428.7,104.2,81,10.9
0.157375,691.8,219.7,1373.1,87.4,2752.9,492.7,585.1,1594.6,2433.9,104,81,11.6
0.159375,697.4,207.2,1372.8,78.8,1903.6,5376.2,584.2,1600.8,2439,103.9,81.1,12.3
0.161375,695.1,199.8,1369.1,67.6,2722.8,435.2,583.4,1607.2,2444.2,103.7,81.1,13
0.163375,693.8,206.9,1367.6,61.4,2683.4,424.3,582.5,1613.5,2449.4,103.6,81.1,13.6
0.165375,697.5,222.9,1371.0,65.8,2637.6,483.5,581.6,1619.8,2454.6,103.4,81.1,14
0.167375,701.5,222.4,1375.4,73.2,2584.7,579.2,580.8,1626.2,2459.9,103.2,81.1,14.2
0.169375,696.6,205.1,1375.8,73.2,2548.5,643.3,579.9,1632.5,2465.1,103.1,81,14
0.171375,687.0,192.6,1373.8,68.4,2538.2,675.3,579,1638.9,2470.3,102.9,81,13.4
0.173375,681.3,190.2,1374.5,67.0,2537.2,714.2,578.1,1645.3,2475.5,102.8,81,12.8
0.175375,688.0,189.9,1382.7,73.8,2534.3,719.9,577.2,1651.7,2480.7,102.6,80.9,12
0.177375,699.5,176.1,1397.0,81.6,2546.7,658.1,576.3,1658,2486,102.5,80.9,11.5
0.179375,703.1,158.2,1409.1,82.4,2566.2,574.9,575.4,1664.4,2491.2,102.4,80.8,11
0.181375,702.4,150.0,1418.7,81.0,2572.9,507.3,574.4,1670.8,2496.4,102.2,80.7,10.6
0.183375,704.2,154.3,1433.3,86.0,2556.5,480.8,573.5,1677.1,2501.6,102.1,80.6,10.2
0.185375,711.9,164.4,1453.7,94.1,2534.6,481.2,572.6,1683.4,2506.8,101.9,80.6,9.8
0.187375,718.4,166.0,1468.9,91.7,2527.8,463.9,571.7,1689.8,2511.9,101.8,80.5,9.6
0.189375,716.5,160.8,1473.8,81.4,2533.9,426.5,570.7,1696.1,2517.1,101.7,80.4,9.5
0.191375,711.3,159.6,1476.1,72.1,2540.2,378.2,569.8,1702.3,2522.2,101.5,80.3,9.5
0.193375,708.7,168.8,1482.8,70.8,2533.0,337.4,568.9,1708.6,2527.3,101.4,80.2,9.6
0.195375,709.8,180.2,1496.0,80.4,2519.3,327.3,567.9,1714.8,2532.4,101.3,80.1,9.7
0.197375,708.6,175.2,1510.2,91.1,2512.1,330.3,567,1721,2537.5,101.1,80,9.8
0.199375,702.0,159.5,1517.8,94.7,2511.3,330.7,566,1727.2,2542.5,101,79.9,9.9
0.201375,695.0,148.0,1520.3,96.2,2510.0,328.6,565.1,1733.3,2547.5,100.9,79.8,10
0.203375,691.6,146.5,1526.0,107.2,2500.0,329.2,564.1,1739.4,2552.4,100.8,79.8,10.1
0.205375,693.7,150.9,1543.9,129.9,2490.6,329.2,563.2,1745.5,2557.4,100.7,79.8,10.2
0.207375,694.3,147.0,1568.9,147.1,2494.9,323.8,562.2,1751.5,2562.3,100.6,79.7,10.2
0.209375,689.6,138.1,1588.4,150.7,2504.4,315.0,561.3,1757.4,2567.1,100.5,79.7,10.1
0.211375,685.3,135.5,1604.8,148.9,2507.7,310.8,560.3,1763.4,2571.9,100.4,79.7,9.9
0.213375,684.9,144.4,1630.8,149.2,2501.7,316.2,559.4,1769.2,2576.7,100.3,79.7,9.7
0.215375,685.6,156.2,1668.3,146.7,2503.1,311.7,558.4,1775,2581.4,100.2,79.6,9.4
0.217375,678.2,150.8,1699.1,134.9,2517.0,294.2,557.5,1780.8,2586.1,100.1,79.6,9
0.219375,664.8,132.9,1716.3,123.9,2533.0,278.4,556.5,1786.5,2590.7,100,79.5,8.5
0.221375,652.1,118.5,1728.1,121.2,2544.1,271.7,555.6,1792.1,2595.3,99.9,79.4,7.8
0.223375,640.4,112.9,1745.3,137.0,2538.4,282.1,554.6,1797.7,2599.8,99.9,79.2,7
0.225375,630.5,117.2,1778.4,169.0,2517.9,294.1,553.7,1803.2,2604.3,99.8,79,6.3
0.227375,620.6,120.6,1818.8,176.1,2514.7,279.4,552.8,1808.7,2608.7,99.8,78.9,5.8
0.229375,610.0,110.0,1839.0,156.0,2529.0,253.2,551.8,1814,2613,99.7,78.8,5.5
0.231375,602.7,96.1,1843.0,136.5,2551.8,231.8,550.9,1819.3,2617.3,99.7,78.8,5.3
0.233375,599.7,88.3,1840.5,130.4,2584.8,218.6,549.9,1824.5,2621.5,99.6,78.8,5.2
0.235375,598.4,90.8,1835.6,144.0,2617.0,212.8,549,1829.7,2625.7,99.6,78.8,5.1
0.237375,593.5,100.5,1831.4,160.4,2635.3,208.0,548.1,1834.7,2629.7,99.6,78.8,5
0.239375,583.1,107.7,1829.7,159.3,2643.8,202.1,547.1,1839.7,2633.8,99.6,78.7,4.8
0.241375,572.7,108.4,1829.2,149.4,2650.4,201.7,546.2,1844.6,2637.7,99.6,78.6,4.6
0.243375,565.8,109.4,1829.8,144.3,2657.5,223.3,545.3,1849.4,2641.6,99.6,78.4,4.4
0.245375,561.5,119.1,1834.0,148.9,2661.2,289.1,544.4,1854.2,2645.4,99.6,78.1,4.3
0.247375,554.5,145.0,1843.1,153.5,2646.7,394.0,543.5,1858.8,2649.1,99.6,77.7,4.2
0.249375,538.9,185.1,1851.8,146.9,2614.3,443.3,542.5,1863.3,2652.8,99.6,77.3,4.1
0.251375,520.0,217.6,1854.4,133.6,2589.2,417.7,541.6,1867.8,2656.4,99.6,76.9,4.1
0.253375,513.1,238.9,1852.6,121.7,2572.3,340.7,540.7,1872.1,2659.8,99.7,76.5,4.1
0.255375,515.9,263.6,1853.3,117.0,2571.5,253.0,539.9,1876.4,2663.3,99.7,76.3,4.3
0.257375,500.5,290.0,1860.8,120.0,2583.6,205.6,539,1880.5,2666.6,99.8,76.1,4.7
0.259375,458.1,273.8,1870.9,125.9,2599.8,198.0,538.1,1884.5,2669.8,99.8,76.1,5.5
0.261375,425.6,228.6,1882.6,130.6,2618.1,206.8,537.2,1888.5,2673,99.9,76.2,6.6
0.263375,416.2,202.0,1905.0,133.9,2642.4,196.9,536.3,1892.3,2676.1,99.9,76.5,7.8
0.265375,424.8,193.2,1938.9,129.2,2664.9,157.1,535.5,1896,2679.1,100,76.8,9
0.267375,434.5,177.4,1969.3,115.0,2680.3,118.2,534.6,1899.6,2682,100.1,77.2,10.1
0.269375,429.8,153.2,1985.6,104.8,2691.3,94.5,533.8,1903.2,2684.8,100.1,77.6,10.9
0.271375,417.0,132.6,1995.1,107.9,2700.7,85.2,532.9,1906.5,2687.5,100.2,78,11.7
0.273375,408.2,122.2,2015.9,127.5,2709.3,89.6,532.1,1909.8,2690.1,100.3,78.2,12.3
0.275375,413.9,126.9,2056.9,137.8,2716.3,98.9,531.3,1913,2692.6,100.4,78.4,13
0.277375,430.1,134.1,2092.1,118.0,2721.5,96.7,530.4,1916,2695.1,100.4,78.6,13.6
0.279375,437.3,128.6,2105.3,97.0,2724.6,87.5,529.6,1918.9,2697.4,100.5,78.7,14.3
0.281375,430.7,116.3,2106.0,86.4,2727.2,81.0,528.8,1921.8,2699.7,100.6,78.8,14.9
0.283375,420.2,103.9,2104.5,82.2,2733.0,78.3,528,1924.4,2701.8,100.7,78.8,15.5
0.285375,414.5,96.6,2111.6,78.4,2745.4,75.2,527.3,1927,2703.9,100.8,78.8,16
0.287375,414.9,94.6,2125.8,69.8,2758.4,67.4,526.5,1929.4,2705.8,100.8,78.8,16.4
0.289375,414.2,93.4,2136.5,62.2,2766.0,59.5,525.7,1931.7,2707.7,100.9,78.8,16.8
0.291375,407.2,88.3,2142.1,62.2,2770.1,57.4,525,1933.9,2709.4,101,78.8,17.2
0.293375,398.7,79.7,2147.5,72.8,2773.3,63.0,524.2,1936,2711.1,101.1,78.8,17.5
0.295375,396.3,72.8,2158.3,87.3,2775.5,70.4,523.5,1937.9,2712.6,101.2,78.8,17.7
0.297375,398.8,68.2,2172.2,91.5,2777.6,72.0,522.8,1939.7,2714.1,101.2,78.9,17.8
0.299375,399.7,64.7,2180.8,85.3,2779.9,69.2,522.1,1941.4,2715.4,101.3,78.9,17.9
0.301375,396.5,61.8,2184.3,79.0,2783.0,67.8,521.3,1942.9,2716.7,101.4,78.9,18
0.303375,393.6,58.7,2186.9,77.7,2789.0,71.0,520.7,1944.4,2717.8,101.5,78.9,17.9
0.305375,395.6,56.3,2192.0,78.7,2795.8,73.7,520,1945.6,2718.9,101.6,79,17.8
0.307375,401.2,54.4,2198.8,75.7,2799.0,70.4,519.3,1946.8,2719.8,101.7,79,17.4
0.309375,404.0,52.9,2204.3,69.6,2798.1,65.4,518.7,1947.8,2720.6,101.8,79,16.9
0.311375,402.3,52.1,2207.4,66.1,2793.7,65.7,518,1948.7,2721.4,101.9,79,16.2
0.313375,400.1,52.1,2209.0,69.7,2784.3,79.2,517.4,1949.4,2722,102.1,79,15.3
0.315375,402.6,54.1,2209.5,74.8,2772.7,100.7,516.8,1950,2722.5,102.2,79.1,14.4
0.317375,410.4,57.0,2208.7,72.2,2766.0,110.2,516.1,1950.5,2722.9,102.3,79.1,13.6
0.319375,416.0,57.6,2206.0,66.2,2764.0,106.0,515.5,1950.9,2723.2,102.4,79.1,12.8
0.321375,416.5,56.6,2199.1,65.4,2761.8,100.7,515,1951.1,2723.4,102.6,79.2,11.9
0.323375,416.7,57.6,2185.2,74.3,2757.0,98.7,514.4,1951.1,2723.5,102.7,79.2,11.1
0.325375,423.5,63.6,2172.1,81.9,2753.7,94.1,513.8,1951.1,2723.5,102.9,79.3,10.3
0.327375,436.1,70.5,2168.1,77.4,2753.5,85.8,513.3,1950.9,2723.4,103,79.4,9.6
0.329375,444.7,71.5,2169.4,67.7,2754.4,78.4,512.8,1950.5,2723.2,103.2,79.4,9
0.331375,447.3,69.1,2169.8,62.1,2755.2,77.7,512.2,1950.1,2722.9,103.3,79.5,8.5
0.333375,448.2,67.7,2166.8,66.6,2755.8,90.3,511.7,1949.5,2722.5,103.5,79.4,8
0.335375,454.1,70.0,2162.0,74.3,2755.1,106.2,511.3,1948.7,2722,103.7,79.4,7.6
0.337375,465.7,73.1,2158.4,72.5,2752.9,107.8,510.8,1947.8,2721.4,103.8,79.3,7.3
0.339375,475.4,70.9,2156.4,64.0,2750.7,98.1,510.3,1946.8,2720.7,104,79.3,7
0.341375,483.1,65.6,2152.6,57.5,2745.3,90.6,509.9,1945.7,2719.8,104.2,79.3,6.9
0.343375,493.8,61.4,2144.4,58.8,2731.5,95.6,509.4,1944.4,2718.9,104.4,79.4,6.8
0.345375,507.4,58.0,2135.1,65.5,2715.1,108.6,509,1943,2717.9,104.5,79.5,6.7
0.347375,517.9,52.5,2128.2,69.2,2707.0,116.2,508.6,1941.4,2716.8,104.7,79.7,6.7
0.349375,521.1,46.2,2123.0,69.7,2708.4,118.0,508.2,1939.7,2715.6,104.9,80,6.7
0.351375,521.7,40.5,2114.0,75.5,2714.1,126.8,507.9,1937.9,2714.3,105.1,80.4,6.7
0.353375,525.4,35.5,2092.7,96.5,2719.1,156.1,507.5,1936,2712.9,105.3,80.8,6.7
0.355375,533.0,30.5,2066.0,118.6,2721.1,185.5,507.2,1933.9,2711.3,105.4,81.3,6.8
0.357375,539.7,26.1,2047.0,127.0,2723.9,195.3,506.8,1931.7,2709.7,105.6,81.8,6.8
0.359375,543.4,23.6,2035.9,131.6,2727.3,198.9,506.5,1929.3,2708.1,105.8,82.2,6.9
0.361375,545.9,23.1,2026.4,148.7,2725.1,226.8,506.2,1926.9,2706.3,106,82.5,7.1
0.363375,548.9,24.4,2013.4,181.8,2579.5,3925.1,505.9,1924.3,2704.4,106.1,82.8,7.2
0.365375,553.0,26.8,1997.9,195.5,2465.7,2814.8,505.7,1921.6,2702.4,106.3,83,7.3
