time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025167,731.6,2390.2,1422.6,371.9,2409.9,268.4,652.3,1506.3,2229.9,0,46.7,-200
0.027167,1038.5,1318.5,1522.0,457.4,2447.8,265.0,652.3,1506.3,2229.9,0,47,-200
0.029167,998.4,876.2,1646.5,388.8,2486.3,248.4,652.3,1506.2,2230,0,47.6,-200
0.031167,970.5,719.1,1713.3,298.3,2511.5,230.5,652.3,1506.1,2230.1,0,48.1,-200
0.033167,980.4,689.7,1759.8,265.0,2524.2,235.0,652.2,1505.9,2230.2,0,48.6,-200
0.035167,1037.0,724.5,1810.8,281.8,2533.6,280.4,652.2,1505.7,2230.4,0,48.9,-200
0.037167,1123.1,718.2,1880.5,306.0,2553.5,367.5,652.1,1505.5,2230.6,0,49,-200
0.039167,1160.0,638.9,1943.1,275.4,2586.1,450.9,652,1505.2,2230.8,0,48.9,-200
0.041167,1129.5,554.7,1968.7,230.6,2602.5,495.3,651.9,1504.9,2231.1,0,48.7,-200
0.043167,1084.4,476.2,1973.0,218.6,2586.7,552.5,651.8,1504.6,2231.4,0,48.3,-200
0.045167,1068.1,454.9,1971.8,260.5,2527.0,708.5,651.7,1504.2,2231.7,0,48,-200
0.047167,1083.7,521.1,1976.1,369.9,2375.2,916.0,651.6,1503.8,2232,0,48,-200
0.049167,1132.2,639.2,1977.8,587.4,2195.4,867.7,651.5,1503.3,2232.4,0,48.2,-200
0.051167,1197.8,713.1,1838.8,729.7,2243.2,666.8,651.4,1502.8,2232.8,0,49.2,-200
0.053167,1231.5,711.1,1757.0,632.1,2315.7,599.6,651.2,1502.3,2233.2,0,49.4,-200
0.055167,1239.1,739.4,1732.9,584.8,2327.2,590.7,651.1,1501.8,2233.6,0,50.3,-200
0.057167,1308.6,892.8,1741.5,756.9,2230.0,737.0,650.9,1501.2,2234.1,0,51.1,-200
0.059167,1439.7,617.9,2021.9,477.1,3413.5,1173.4,650.7,1500.6,2234.6,0,52.2,-200.9
0.061167,1425.0,509.9,2022.1,371.4,3116.4,851.3,650.6,1499.9,2235.2,0,53.5,-206.6
0.063167,1418.8,531.2,2052.1,403.5,3144.0,704.2,650.4,1499.3,2235.7,0,54.8,-213.1
0.065167,1452.9,590.5,2135.7,488.3,3197.8,572.0,650.2,1498.6,2236.3,0,57,-215.4
0.067167,160.0,819.1,1509.2,497.4,2245.4,484.3,650,1497.8,2236.9,0,59.4,-208.5
0.069167,288.2,415.5,1527.4,392.6,2308.7,480.5,649.8,1497,2237.6,0,61.6,-186.5
0.071167,288.7,253.1,1511.8,344.2,2321.9,590.2,649.5,1496.2,2238.2,0,63.8,-145.6
0.073167,278.4,187.4,1447.9,317.8,2147.2,791.6,649.3,1495.4,2238.9,0,65.6,-94.5
0.075167,270.6,161.2,1374.8,272.8,1992.7,655.2,649.1,1494.5,2239.6,0,67.2,-43.7
