time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025958,1135.2,794.6,2128.3,985.0,3409.5,767.9,621.6,1246.8,2460.9,0,47,-200
0.027958,1092.8,573.9,2240.0,678.6,3411.6,689.4,621.6,1246.7,2460.9,0,46.4,-200
0.029958,1086.6,561.9,2323.8,517.9,3423.0,686.2,621.6,1246.7,2461,0,45.8,-200
0.031958,1116.6,714.3,2380.8,445.4,3418.8,776.6,621.5,1246.6,2461,0,45.5,-200
0.033958,348.7,1140.9,1259.8,881.6,2419.8,449.4,621.4,1246.5,2461.1,0,46.1,-200
0.035958,356.1,927.7,1358.4,876.2,2432.3,560.5,621.3,1246.4,2461.2,0,47.5,-200
0.037958,479.6,826.9,1297.8,1039.1,2353.0,798.1,621.2,1246.3,2461.3,0,49.8,-200
0.039958,637.5,408.3,1305.8,1078.4,2296.0,958.7,621.1,1246.1,2461.4,0,52.3,-200
0.041958,648.0,202.4,1325.4,748.2,2359.4,937.1,620.9,1246,2461.5,0,54.7,-200
0.043958,638.5,128.5,1304.5,601.5,2379.3,868.8,620.7,1245.8,2461.6,0,56.8,-200
0.045958,624.6,95.8,1278.7,558.9,2368.9,840.1,620.5,1245.6,2461.8,0,58.6,-200
0.047958,610.8,75.4,1250.1,554.9,2346.2,832.0,620.3,1245.3,2462,0,59.9,-200
0.049958,598.6,60.0,1217.9,569.9,2315.8,825.8,620.1,1245.1,2462.1,0,60.9,-200
0.051958,589.0,48.4,1181.3,595.4,2281.7,804.2,619.9,1244.8,2462.3,0,61.4,-200
0.053958,581.7,39.7,1132.3,619.6,2247.5,745.0,619.6,1244.5,2462.5,0,61.5,-200
0.055958,578.2,37.6,1075.1,575.1,2227.9,660.0,619.3,1244.2,2462.8,0,61.4,-200
0.057958,583.1,49.4,1038.8,443.2,2207.3,657.3,619,1243.9,2463,0,61.2,-200
0.059958,600.1,74.6,1023.4,405.0,2158.2,816.0,618.7,1243.6,2463.2,0,61.1,-200
0.061958,611.5,86.0,1015.4,436.8,2124.0,1025.2,618.4,1243.2,2463.5,0,61.1,-200
0.063958,613.0,83.7,1010.3,481.1,2160.9,1225.7,618,1242.8,2463.8,0,61.1,-200
0.065958,613.1,81.3,1002.0,520.6,2279.8,1325.4,617.7,1242.4,2464,0,61.1,-200
0.067958,620.0,90.7,989.3,527.8,2409.7,1259.1,617.3,1242,2464.3,0,60.8,-200.9
0.069958,648.2,125.9,980.7,525.6,2479.0,1225.6,616.9,1241.6,2464.6,0,60.2,-206.3
0.071958,718.6,161.1,982.8,682.9,2486.6,1486.7,616.5,1241.2,2464.9,0,59.4,-212.5
0.073958,783.3,129.2,1094.1,1084.7,2421.8,2180.1,616,1240.7,2465.2,0,58.9,-214.7
0.075958,797.7,129.9,1167.6,1127.7,2481.3,1963.6,615.6,1240.2,2465.6,0,58.6,-208.1
0.077958,778.1,185.1,1086.3,848.4,2462.0,1143.4,615.1,1239.7,2465.9,0,59.4,-187.2
0.079958,709.8,273.4,1043.6,578.1,2464.6,760.1,614.6,1239.2,2466.3,0,61.7,-148.6
0.081958,619.1,321.8,1011.9,473.9,2471.7,568.0,614.1,1238.7,2466.6,0,64.8,-100.3
0.083958,555.6,354.3,933.2,454.8,2466.1,453.2,613.6,1238.2,2467,0,68,-52
0.085958,529.7,344.8,863.9,418.3,2470.2,392.0,613.1,1237.6,2467.3,0,70.9,-13
0.087958,520.6,273.7,845.2,383.5,2486.8,376.0,612.5,1237.1,2467.7,0,73.6,8.3
0.089958,517.6,198.5,849.8,358.2,2507.3,393.2,612,1236.5,2468.1,0,76,15.8
0.091958,515.8,146.5,860.0,334.8,2523.7,429.3,611.4,1235.9,2468.5,0,77.9,14.7
