time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025427,661.2,528.1,1724.7,1129.9,2596.0,474.9,624.6,1160.3,2247.8,0,40.7,-200
0.027427,647.0,487.1,1621.3,899.1,2607.4,447.6,624.6,1160.5,2247.8,0,40.3,-200
0.029427,649.9,445.1,1609.2,743.3,2624.8,550.4,624.5,1160.8,2248,0,40.1,-200
0.031427,657.2,405.4,1628.2,682.9,2628.4,748.0,624.4,1161.2,2248.2,0,39.8,-200
0.033427,671.0,394.2,1678.0,718.6,2642.5,973.7,624.2,1161.8,2248.4,0,39,-200
0.035427,704.5,421.3,1781.9,840.3,2709.4,1132.4,624,1162.5,2248.7,0,38.3,-200
0.037427,751.0,464.0,1935.6,1083.1,2614.3,1303.5,623.8,1163.4,2249,0,37.9,-200
0.039427,782.8,535.4,1663.8,2563.6,2333.7,754.0,623.5,1164.3,2249.4,0,37.8,-200
0.041427,778.0,666.2,1063.7,1898.0,2356.0,513.6,623.3,1165.4,2249.8,0,37.9,-200
0.043427,705.0,781.1,998.7,1500.3,2371.9,458.2,622.9,1166.6,2250.3,0,38.5,-200
0.045427,610.6,746.4,1028.9,1353.8,2388.9,495.3,622.6,1167.9,2250.8,0,39.3,-200
0.047427,555.6,682.3,1091.9,1265.8,2408.8,604.1,622.2,1169.4,2251.4,0,40.2,-200
0.049427,539.4,676.4,1176.7,1260.8,2411.8,814.8,621.7,1171,2252,0,40.9,-200
0.051427,590.5,818.0,1180.7,1596.4,2271.3,1174.8,621.3,1172.7,2252.7,0,41.1,-200
0.053427,823.7,780.8,1983.8,949.9,3093.4,566.4,620.8,1174.5,2253.4,0,41.1,-200
0.055427,895.0,556.8,1935.8,704.0,3053.2,519.2,620.2,1176.5,2254.2,0,40.9,-200
0.057427,926.1,456.2,1938.9,664.9,2998.9,570.7,619.7,1178.5,2255,0,40.6,-200
0.059427,959.0,410.8,1985.9,791.5,2909.8,644.7,619.1,1180.7,2255.8,0,40.5,-200
0.061427,988.4,389.2,2129.7,1097.8,2803.1,744.5,618.5,1183,2256.7,0,40.1,-200
0.063427,986.6,432.7,2466.9,1961.5,2594.7,724.4,617.8,1185.5,2257.7,0,40.3,-200
0.065427,856.0,791.6,970.0,1722.8,2546.6,545.6,617.1,1188,2258.7,0,40.5,-200
