time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025906,280.4,883.3,1823.3,547.2,2973.3,715.9,460,1140.8,2340.4,0,45.6,-200
0.027906,566.2,1358.3,1823.8,455.4,2954.2,564.4,460.1,1141,2340.5,0,46.2,-200
0.029906,521.7,1636.1,1796.2,401.6,2943.4,523.9,460.1,1141.5,2340.6,0,46.6,-200
0.031906,74.7,759.8,1740.0,382.6,2859.8,4025.7,460.2,1142.1,2340.8,0,46.8,-200
0.033906,178.9,593.8,1681.2,335.9,2638.1,1402.5,460.2,1142.8,2341.1,0,46.7,-200
0.035906,222.2,560.8,1641.5,317.8,2554.4,1024.7,460.3,1143.8,2341.4,0,46.4,-200
0.037906,289.3,559.5,1607.8,363.7,2524.5,1001.8,460.4,1144.9,2341.7,0,45.9,-200
0.039906,360.3,540.0,1576.8,440.2,2517.1,996.6,460.6,1146.2,2342.1,0,45.4,-200
0.041906,405.6,511.1,1550.5,512.6,2528.1,899.7,460.7,1147.7,2342.5,0,44.8,-200
0.043906,422.9,500.5,1531.4,582.0,2523.4,773.8,460.9,1149.4,2343,0,44.2,-200
0.045906,423.1,525.0,1511.5,674.2,2495.1,668.6,461,1151.2,2343.5,0,43.7,-200
0.047906,409.0,594.3,1479.7,780.0,2463.6,599.8,461.2,1153.1,2344.1,0,43.2,-200
0.049906,378.0,705.3,1437.2,869.5,2455.4,580.1,461.5,1155.3,2344.8,0,42.6,-200
0.051906,337.1,851.1,1410.6,959.0,2480.1,643.7,461.7,1157.6,2345.5,0,42.2,-200
0.053906,210.0,1273.7,1384.4,1219.4,2407.8,828.0,461.9,1160.1,2346.2,0,42.4,-200
0.055906,1241.1,1147.4,2200.8,653.7,3307.4,578.5,462.2,1162.8,2347,0,43.4,-200
0.057906,608.8,1597.1,1468.8,1232.3,2176.1,587.5,462.5,1165.6,2347.8,0,45.3,-200
0.059906,680.7,920.9,1728.7,840.7,2213.0,648.2,462.8,1168.5,2348.7,0,47.6,-200
0.061906,633.0,691.1,1762.0,584.1,2256.3,628.9,463.1,1171.7,2349.7,0,49.5,-200
0.063906,586.9,542.5,1766.5,478.1,2264.6,584.4,463.4,1175,2350.6,0,51.2,-200
0.065906,551.0,423.8,1761.3,438.5,2248.5,539.0,463.7,1178.4,2351.7,0,52.6,-200
0.067906,528.2,341.8,1741.1,453.8,2215.0,492.2,464.1,1182.1,2352.7,0,53.5,-200
0.069906,518.0,298.6,1692.0,516.8,2176.3,440.2,464.4,1185.8,2353.8,0,54.2,-203.2
0.071906,524.2,301.2,1599.1,597.0,2150.8,408.5,464.8,1189.7,2355,0,54.9,-209.5
0.073906,556.2,356.2,1492.1,636.8,2158.2,472.5,465.2,1193.8,2356.2,0,55.8,-214.3
0.075906,631.5,432.6,1427.2,614.8,2268.3,763.9,465.6,1198,2357.5,0,57.5,-212.7
0.077906,684.8,439.7,1394.3,546.7,2666.2,972.4,466.1,1202.4,2358.8,0,60.4,-200
0.079906,601.4,384.2,1329.9,496.5,2801.1,469.2,466.5,1206.9,2360.1,0,63.6,-169.8
0.081906,520.3,250.2,1220.5,487.2,2768.7,355.2,467,1211.6,2361.5,0,66.6,-125.3
0.083906,484.3,180.9,1053.6,419.8,2732.0,326.0,467.5,1216.4,2362.9,0,69.1,-76
0.085906,457.2,126.5,925.9,245.0,2694.5,269.5,467.9,1221.3,2364.3,0,71.4,-31.5
0.087906,444.6,85.9,871.1,136.1,2670.8,205.7,468.4,1226.4,2365.8,0,73.3,-1.2
0.089906,442.8,67.2,852.2,90.0,2655.7,161.2,469,1231.6,2367.3,0,74.9,11.5
0.091906,443.9,60.0,847.8,69.3,2649.1,141.2,469.5,1236.9,2368.9,0,76.2,12.9
0.093906,444.7,55.9,848.1,59.5,2649.4,138.1,470,1242.4,2370.5,0,77.2,8.2
0.095906,446.6,51.8,851.1,55.4,2655.5,147.3,470.6,1248,2372.2,0,78.1,2.1
0.097906,452.8,48.1,857.5,56.0,2668.3,170.3,471.1,1253.7,2373.8,125.4,78.8,-0.1
0.099906,463.3,43.9,867.2,58.7,2688.0,205.8,471.7,1259.6,2375.5,125.4,79.4,1.6
0.101906,472.5,39.3,877.5,61.2,2708.8,241.6,472.3,1265.5,2377.3,125.4,79.9,4.1
0.103906,477.1,37.2,886.6,65.5,2726.0,270.8,472.9,1271.6,2379,125.4,80.3,6.9
0.105906,480.6,37.7,897.0,74.7,2744.8,314.4,473.5,1277.8,2380.8,125.3,80.6,9.5
0.107906,485.6,39.7,909.2,89.0,2764.2,379.8,474.1,1284.1,2382.7,125.3,80.9,11.6
0.109906,490.8,41.1,922.4,104.5,2768.4,441.4,474.8,1290.5,2384.5,125.3,81.2,13.2
0.111906,493.1,40.4,936.1,114.0,2748.6,503.8,475.4,1297,2386.4,125.2,81.4,14.5
0.113906,492.9,37.5,949.9,112.9,2707.3,606.8,476.1,1303.6,2388.3,125.2,81.6,15.5
0.115906,492.1,33.5,962.7,100.3,2614.1,783.3,476.7,1310.4,2390.2,125.2,81.8,16.3
0.117906,491.4,30.3,970.3,85.4,2472.2,784.1,477.4,1317.2,2392.2,125.1,82,16.9
0.119906,490.6,28.4,974.8,75.7,2399.7,622.6,478.1,1324.1,2394.2,125.1,82.1,17
0.121906,490.8,27.5,982.5,69.4,2365.5,443.4,478.8,1331.1,2396.2,125,82.2,16.8
0.123906,492.2,28.2,993.3,64.5,2353.7,321.3,479.5,1338.1,2398.2,125,82.3,16.4
0.125906,493.5,29.7,1002.3,60.9,2349.6,252.9,480.2,1345.3,2400.3,125,82.3,16
0.127906,493.8,30.9,1007.5,62.3,2339.3,225.5,480.9,1352.5,2402.3,124.9,82.3,15.8
0.129906,494.6,32.8,1013.3,72.3,2310.6,223.8,481.7,1359.8,2404.4,124.9,82.2,16.2
0.131906,495.8,36.2,1023.1,92.1,2262.0,234.8,482.4,1367.2,2406.5,124.9,82.1,16.9
0.133906,496.0,39.3,1035.5,113.1,2208.2,249.5,483.1,1374.7,2408.6,124.9,82,17.5
0.135906,494.6,39.8,1052.0,127.8,2143.8,275.8,483.9,1382.2,2410.7,124.8,81.8,17.8
0.137906,493.2,37.2,1074.0,129.8,2044.4,300.9,484.7,1389.8,2412.9,124.9,81.6,17.3
0.139906,491.5,33.0,1091.7,112.7,1921.6,260.1,485.4,1397.4,2415,124.9,81.4,15.7
0.141906,487.7,30.4,1100.0,90.5,1846.0,195.7,486.2,1405.1,2417.2,124.9,81.1,13.3
0.143906,482.5,31.5,1104.4,82.5,1818.6,173.1,487,1412.9,2419.3,125,80.6,10.5
0.145906,478.8,34.6,1109.6,87.9,1808.1,183.2,487.8,1420.7,2421.5,125,80,7.8
0.147906,479.4,39.7,1119.1,107.5,1796.4,222.3,488.5,1428.5,2423.7,125.1,79.2,5.6
0.149906,484.0,50.5,1138.4,149.1,1772.9,297.0,489.3,1436.4,2425.9,125.2,78.1,4
0.151906,489.4,72.4,1172.2,221.7,1728.0,407.9,490.1,1444.3,2428,125.3,76.8,2.5
0.153906,488.6,112.2,1221.2,323.7,1647.9,543.2,490.9,1452.2,2430.2,125.4,75.4,1.4
0.155906,473.1,175.7,1305.5,435.6,1506.2,685.9,491.8,1460.2,2432.4,125.5,73.8,0.4
0.157906,444.1,194.0,1254.4,411.9,1627.7,598.1,492.6,1468.2,2434.6,125.7,72.4,-0.3
0.159906,433.1,174.1,1190.1,329.8,1845.3,250.5,493.4,1476.3,2436.8,125.8,71.3,-0.7
0.161906,448.2,245.8,1220.0,516.3,1883.3,133.4,494.2,1484.3,2439,126,70.6,-0.8
0.163906,470.8,371.1,1368.0,846.8,1881.2,128.8,495,1492.4,2441.2,126.1,70.3,-0.6
0.165906,478.8,514.8,1537.4,871.5,1880.3,135.9,495.8,1500.5,2443.4,126.3,70.3,-0.4
0.167906,501.0,646.4,1595.4,776.2,1884.9,138.5,496.7,1508.5,2445.5,126.4,70.3,0
0.169906,547.2,651.4,1619.8,731.1,1889.5,138.7,497.5,1516.6,2447.7,126.6,70.4,0.4
0.171906,577.5,599.5,1644.0,773.5,1889.9,141.3,498.3,1524.7,2449.9,126.7,70.5,1
0.173906,585.0,544.0,1685.2,932.5,1884.7,147.2,499.2,1532.8,2452,126.9,70.6,1.7
0.175906,574.1,428.8,1794.5,1197.3,1874.4,164.0,500,1540.9,2454.1,127,71.1,2.4
0.177906,545.4,267.6,1849.2,234.1,1984.3,1296.9,500.8,1548.9,2456.3,127.2,72,2.9
0.179906,516.7,158.7,1699.7,379.4,2240.0,934.5,501.7,1557,2458.4,127.3,73.1,3.2
0.181906,495.8,98.7,1525.7,276.0,2501.1,564.3,502.5,1565,2460.5,127.4,74.3,3.3
0.183906,484.4,71.5,1469.1,196.0,2587.2,339.7,503.3,1573,2462.5,127.5,75.3,3.4
