time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025969,1106.1,811.2,2577.0,568.9,3975.9,609.1,568.7,1221,2615.6,0,50.5,-200
0.027969,1123.8,784.4,2588.2,586.4,3988.3,668.9,568.7,1221.4,2615.6,0,50.8,-200
0.029969,1163.6,892.0,2593.3,717.1,4001.3,908.3,568.6,1221.9,2615.7,0,50.7,-200
0.031969,1239.1,1128.3,2652.5,1005.5,3994.7,1469.0,568.6,1222.7,2615.7,0,50.4,-200
0.033969,301.7,1506.2,1504.9,1311.1,2901.0,1166.9,568.5,1223.6,2615.8,0,50.2,-200
0.035969,555.5,877.1,1613.8,1048.4,3035.8,965.0,568.4,1224.8,2615.8,0,49.8,-200
0.037969,607.3,658.9,1608.5,940.5,3096.0,848.0,568.3,1226.2,2615.9,0,49.5,-200
0.039969,607.0,595.4,1588.8,869.9,3127.9,790.6,568.1,1227.8,2616,0,49.3,-200
0.041969,570.5,614.7,1588.1,801.3,3125.1,779.9,568,1229.7,2616,0,49.1,-200
0.043969,510.5,728.2,1629.5,814.5,3075.1,920.2,567.8,1231.7,2616.1,0,49.3,-200
0.045969,407.2,1024.7,1730.6,949.0,2854.7,1341.9,567.6,1233.9,2616.3,0,49.8,-200
0.047969,189.0,1442.8,1774.7,1087.9,2415.5,1171.2,567.4,1236.4,2616.4,0,50.9,-200
0.049969,481.0,1061.0,1752.8,848.5,2405.8,816.8,567.1,1239.1,2616.5,0,52.5,-200
0.051969,547.6,712.2,1742.6,653.0,2434.2,647.6,566.9,1241.9,2616.6,0,54.3,-200
0.053969,525.4,542.6,1725.4,562.0,2441.5,565.6,566.6,1245,2616.8,0,56,-200
0.055969,490.5,443.2,1712.8,510.7,2447.5,539.1,566.3,1248.3,2616.9,0,57.4,-200
0.057969,457.0,383.3,1708.0,475.0,2466.5,561.5,566,1251.8,2617.1,0,58.5,-200
0.059969,430.0,367.2,1710.9,454.8,2515.8,636.6,565.7,1255.5,2617.2,0,59.1,-200
0.061969,409.2,408.6,1713.4,462.2,2606.6,749.1,565.3,1259.3,2617.4,0,59.3,-200
0.063969,393.3,567.7,1707.3,539.3,2709.2,881.1,564.9,1263.4,2617.6,0,59.3,-200
0.065969,360.7,997.0,1687.7,756.5,2828.2,1159.9,564.6,1267.7,2617.7,0,59.1,-200
0.067969,442.4,1912.7,1633.2,1357.8,2283.3,2338.9,564.1,1272.1,2617.9,0,58.6,-200.9
0.069969,818.5,829.1,1758.7,1258.1,2598.7,1920.8,563.7,1276.8,2618.1,0,58.1,-206.3
0.071969,826.0,427.9,1738.2,915.8,2714.1,1097.1,563.3,1281.6,2618.3,0,58.5,-212.5
0.073969,811.1,299.8,1705.0,817.4,2679.9,954.7,562.8,1286.6,2618.5,0,60.2,-214.7
0.075969,773.3,291.2,1654.4,889.5,2596.7,1095.4,562.4,1291.8,2618.7,0,62.9,-208.1
0.077969,719.5,344.5,1613.9,1268.0,2294.8,1370.8,561.9,1297.2,2618.9,0,65.7,-187.3
0.079969,693.9,378.3,1107.1,2653.5,2010.4,953.6,561.4,1302.7,2619.1,0,68.6,-148.7
0.081969,688.7,335.6,2007.5,955.0,3314.2,337.9,560.8,1308.4,2619.3,0,71.3,-100.7
0.083969,638.7,1426.6,662.0,347.8,2218.9,1285.7,560.3,1314.3,2619.5,0,73.5,-52.5
0.085969,529.3,397.8,824.5,538.1,2524.5,1282.2,559.7,1320.3,2619.7,128.4,75.3,-13.6
0.087969,470.4,259.3,866.5,328.1,2721.6,1186.4,559.2,1326.5,2619.8,128.5,76.7,7.8
0.089969,455.0,189.7,874.7,239.0,2896.0,904.8,558.6,1332.9,2620,128.6,77.9,15.2
0.091969,453.4,145.5,881.9,183.1,2847.8,528.6,558,1339.4,2620.2,128.7,78.8,14.2
0.093969,461.4,112.5,891.1,143.6,2781.0,375.3,557.3,1346.1,2620.4,128.8,79.6,9.3
0.095969,471.7,90.8,900.9,121.6,2727.3,308.6,556.7,1352.9,2620.5,128.9,80.3,5.3
0.097969,478.4,82.3,909.7,116.0,2685.9,304.7,556,1359.8,2620.7,129,80.9,5.9
0.099969,483.3,81.2,915.6,115.0,2643.3,349.0,555.4,1366.9,2620.9,129.1,81.5,7.6
0.101969,489.0,78.2,919.1,106.8,2580.8,376.9,554.7,1374.2,2621,129.2,82,9.4
0.103969,494.2,72.8,922.7,98.1,2539.4,376.2,554,1381.5,2621.1,129.3,82.4,11.2
0.105969,497.3,70.1,928.6,99.6,2531.3,396.3,553.3,1389,2621.3,129.4,82.8,12.9
0.107969,501.2,72.3,938.3,117.9,2542.6,420.4,552.5,1396.6,2621.4,129.5,83.2,14.3
0.109969,506.6,75.5,949.6,151.5,2548.5,417.9,551.8,1404.3,2621.5,129.6,83.5,15.6
0.111969,510.6,74.8,960.3,188.8,2539.0,401.6,551,1412.2,2621.6,129.7,83.8,16.8
0.113969,511.5,70.7,971.9,211.4,2514.6,378.9,550.3,1420.1,2621.6,129.8,84,17.9
0.115969,511.7,66.5,988.1,214.4,2480.0,342.2,549.5,1428.2,2621.7,129.8,84.2,18.7
0.117969,512.4,63.0,1004.8,202.7,2443.2,294.6,548.7,1436.3,2621.7,129.9,84.5,19.1
0.119969,512.7,58.8,1015.4,184.6,2407.9,251.1,547.9,1444.6,2621.8,130,84.7,19.2
0.121969,512.8,53.5,1025.4,166.4,2369.1,211.1,547,1452.9,2621.8,130,85,19.1
0.123969,514.1,49.1,1039.6,150.5,2332.2,176.1,546.2,1461.4,2621.8,130.1,85.2,18.7
0.125969,516.3,46.3,1054.2,138.9,2305.2,152.6,545.3,1469.9,2621.7,130.1,85.4,18.3
0.127969,517.6,44.4,1065.2,137.3,2284.9,145.1,544.5,1478.5,2621.7,130.2,85.5,17.9
0.129969,518.0,44.1,1075.3,154.1,2262.9,155.0,543.6,1487.1,2621.6,130.3,85.6,17.5
0.131969,518.4,46.5,1090.7,198.9,2229.9,179.3,542.7,1495.9,2621.5,130.4,85.7,17
0.133969,518.3,49.8,1113.3,273.2,2183.3,205.1,541.8,1504.6,2621.4,130.5,85.6,16.4
0.135969,516.9,51.0,1142.4,355.7,2123.6,223.8,540.9,1513.5,2621.3,130.6,85.6,15.7
0.137969,515.0,49.5,1176.6,413.7,2042.7,240.5,540,1522.4,2621.1,130.7,85.5,14.8
0.139969,512.7,47.7,1197.8,415.5,1960.3,224.1,539.1,1531.3,2620.9,130.8,85.3,13.7
0.141969,509.1,48.4,1208.4,394.0,1911.6,190.0,538.2,1540.3,2620.7,131,85.1,12.5
0.143969,504.1,51.6,1220.4,402.3,1892.8,180.1,537.2,1549.4,2620.4,131.2,84.7,11.3
0.145969,500.0,54.9,1245.3,454.9,1888.3,204.9,536.3,1558.4,2620.1,131.4,84.1,10.1
0.147969,498.1,57.9,1304.4,543.6,1891.6,289.3,535.3,1567.5,2619.8,131.6,83.4,9
0.149969,495.7,62.1,1401.4,583.5,1903.3,469.8,534.3,1576.6,2619.5,131.8,82.4,7.9
0.151969,488.0,73.6,1480.1,514.7,1945.2,736.6,533.4,1585.7,2619.1,132,81.3,6.9
0.153969,472.8,100.1,1533.8,486.4,1977.2,970.5,532.4,1594.9,2618.7,132.3,80,5.9
0.155969,459.3,146.5,1653.3,419.6,2003.7,1609.4,531.4,1604,2618.3,132.6,78.6,5.1
0.157969,467.0,208.9,1731.2,253.8,3096.2,1263.1,530.4,1613.1,2617.8,132.8,77.5,4.4
0.159969,483.9,233.5,1751.0,209.2,3041.4,688.0,529.4,1622.3,2617.3,133.1,76.8,3.6
0.161969,488.3,222.4,1737.4,232.9,3004.9,609.5,528.4,1631.4,2616.8,133.4,76.7,2.8
0.163969,481.6,193.2,1701.6,285.6,2949.2,665.3,527.4,1640.5,2616.2,133.7,77.2,2.4
