time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025635,603.0,578.6,1640.9,460.8,2833.9,730.7,486.7,1392.6,2408.4,0,42.3,-200
0.027635,555.3,582.4,1670.8,428.4,2806.0,773.6,486.8,1392.8,2408.5,0,42.6,-200
0.029635,480.6,563.8,1674.3,475.1,2736.4,696.2,486.8,1393.1,2408.7,0,42.9,-200
0.031635,431.1,502.5,1641.7,589.8,2690.6,602.5,486.8,1393.5,2409,0,43.2,-200
0.033635,429.3,461.0,1587.9,711.5,2667.5,565.4,486.9,1394,2409.4,0,43.5,-200
0.035635,455.2,441.7,1553.9,834.0,2635.1,1877.8,486.9,1394.7,2409.8,0,43.5,-200
0.037635,490.6,464.2,1603.1,1047.0,2337.9,1597.3,487,1395.5,2410.3,0,43.9,-200
0.039635,528.8,574.2,1600.1,2505.1,1918.8,862.1,487.1,1396.4,2411,0,44.9,-200
0.041635,582.5,823.2,1908.1,573.1,2936.5,565.0,487.2,1397.4,2411.7,0,46.7,-200
0.043635,398.1,742.7,1869.7,497.7,2913.0,498.6,487.3,1398.5,2412.4,0,48.9,-200
0.045635,328.0,338.9,1818.8,412.6,2874.3,488.9,487.4,1399.8,2413.3,0,51.1,-200
0.047635,306.5,206.4,1808.8,355.6,2807.3,516.9,487.5,1401.1,2414.3,0,53,-200
0.049635,297.0,193.1,1818.5,342.1,2717.3,507.8,487.7,1402.6,2415.3,0,54.4,-200
0.051635,288.7,258.3,1835.7,331.9,2669.7,453.0,487.8,1404.2,2416.4,0,55.4,-200
0.053635,263.8,423.0,1850.3,335.2,2664.8,432.5,488,1405.9,2417.6,0,55.9,-200
0.055635,1867.9,365.7,2685.1,436.0,3503.7,555.5,488.1,1407.8,2418.8,0,55.9,-200
0.057635,1112.4,1843.3,1898.9,421.2,2722.7,432.9,488.3,1409.7,2420.2,0,55.5,-200
0.059635,1319.6,1185.8,1944.4,458.2,2755.9,407.9,488.5,1411.8,2421.6,0,54.5,-200
0.061635,1340.0,926.9,1975.6,450.0,2773.8,375.5,488.7,1414,2423.1,0,53.1,-200
0.063635,1280.0,910.8,1971.2,428.7,2775.8,347.7,488.9,1416.3,2424.7,0,51.2,-200
0.065635,1085.2,973.1,1948.4,394.9,2775.4,304.2,489.1,1418.7,2426.3,0,49.1,-200
0.067635,856.3,748.2,1958.2,361.2,2797.0,220.1,489.4,1421.2,2428,0,46.9,-200
0.069635,772.8,659.8,2034.5,374.7,2818.2,168.8,489.6,1423.8,2429.8,0,45.8,-200
0.071635,533.3,684.2,2012.3,2518.5,2142.4,543.4,489.8,1426.5,2431.7,0,46.2,-200
0.073635,425.9,528.8,1775.3,917.7,2331.5,501.5,490.1,1429.4,2433.6,0,47.5,-200
0.075635,358.5,476.9,1747.9,716.4,2369.7,401.5,490.4,1432.3,2435.6,0,49,-200
0.077635,287.3,488.9,1760.4,701.7,2370.8,409.3,490.6,1435.4,2437.7,0,50.7,-200
0.079635,208.8,510.9,1807.0,751.0,2342.5,502.8,490.9,1438.6,2439.9,0,52.3,-200
0.081635,159.8,476.0,1942.6,681.6,2265.1,820.5,491.2,1441.8,2442.1,0,53.6,-200
0.083635,170.0,384.2,1945.4,394.5,2371.0,1283.2,491.5,1445.2,2444.4,0,54.9,-200
0.085635,185.9,293.3,1898.8,280.9,2529.2,1314.7,491.9,1448.7,2446.7,0,55.9,-200
0.087635,191.6,242.0,1857.3,234.3,2614.4,1114.2,492.2,1452.3,2449.1,0,56.6,-200
0.089635,191.7,231.4,1827.4,222.9,2618.9,1021.3,492.5,1455.9,2451.6,0,57,-200
0.091635,188.8,256.9,1805.9,246.2,2549.3,1165.5,492.9,1459.7,2454.2,0,57.4,-200
0.093635,184.4,306.4,1789.6,325.8,2354.7,1282.8,493.2,1463.6,2456.8,0,57.6,-200
