time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025594,562.7,487.5,1379.1,642.1,2242.1,514.3,554.8,1784.1,2476,0,44.5,-200
0.027594,633.4,583.1,1350.5,917.8,2162.5,479.6,554.8,1784.2,2476,0,45,-200
0.029594,692.0,555.0,1316.3,1286.4,2088.9,361.7,554.7,1784.3,2476.1,0,45.7,-200
0.031594,687.0,485.5,1321.3,1545.9,2055.7,271.6,554.6,1784.5,2476.1,0,46.3,-200
0.033594,669.6,452.7,1336.8,1922.2,2035.8,225.8,554.5,1784.8,2476.2,0,47.4,-200
0.035594,660.6,440.6,1375.7,2659.1,2024.0,215.4,554.3,1785.2,2476.3,0,47.4,-200
0.037594,651.7,423.4,1546.9,3281.1,2024.7,215.9,554.1,1785.6,2476.5,0,47.7,-200
0.039594,649.8,406.6,1851.4,3406.1,2037.5,211.0,553.9,1786,2476.7,0,48.3,-200
0.041594,656.2,419.5,2010.8,3545.2,2052.1,194.1,553.7,1786.6,2476.8,0,48.8,-200
0.043594,649.3,458.8,2060.7,179.9,2071.5,3819.4,553.4,1787.1,2477,0,49.6,-200
0.045594,607.0,450.9,2058.9,182.5,2241.9,3799.5,553.1,1787.8,2477.3,0,50.9,-200
0.047594,558.9,378.9,2052.5,198.8,2558.8,4010.7,552.8,1788.5,2477.5,0,53,-200
0.049594,534.1,328.0,2056.5,229.7,2705.1,171.5,552.5,1789.3,2477.8,0,55.3,-200
0.051594,541.0,327.5,2080.2,269.6,2684.1,230.8,552.1,1790.1,2478.1,0,57.6,-200
0.053594,568.0,321.4,2105.9,283.8,2654.7,265.7,551.7,1791,2478.4,0,59.7,-200
0.055594,586.0,281.1,2109.5,252.7,2647.7,238.0,551.2,1792,2478.7,0,61.4,-200
0.057594,590.0,233.3,2102.4,213.1,2652.1,207.8,550.8,1793,2479.1,0,62.8,-200
0.059594,588.8,188.0,2093.3,172.9,2657.9,186.5,550.3,1794,2479.5,0,63.8,-200
0.061594,586.4,154.5,2086.2,136.5,2662.6,175.0,549.8,1795.2,2479.9,0,64.5,-200
0.063594,581.5,133.5,2084.0,105.1,2664.3,176.6,549.3,1796.4,2480.3,0,64.7,-200
0.065594,567.2,137.0,2090.8,90.8,2656.2,185.5,548.7,1797.6,2480.7,0,64.6,-200
0.067594,537.4,152.2,2098.2,94.8,2639.5,187.6,548.1,1798.9,2481.2,0,64.2,-203.2
0.069594,505.4,160.5,2095.6,106.5,2621.5,196.0,547.5,1800.2,2481.6,0,63.6,-209.7
0.071594,486.8,201.3,2086.0,109.9,2607.3,208.0,546.8,1801.7,2482.1,0,62.8,-214.6
0.073594,480.6,306.1,2081.2,112.5,2609.1,214.4,546.2,1803.1,2482.7,0,62.2,-213
0.075594,493.5,354.3,2080.7,128.7,2630.3,215.4,545.5,1804.6,2483.2,0,62.2,-200
0.077594,515.5,276.2,2074.8,153.4,2653.0,202.0,544.8,1806.2,2483.8,0,62.9,-169.2
0.079594,536.7,199.2,2056.6,172.5,2666.5,165.8,544,1807.8,2484.3,0,64.1,-123.8
0.081594,552.2,158.1,2038.6,167.3,2668.3,131.2,543.3,1809.5,2484.9,0,65.6,-73.5
0.083594,561.7,139.0,2034.4,151.4,2667.9,116.1,542.5,1811.3,2485.5,0,67,-28
0.085594,567.6,137.6,2042.4,135.8,2669.5,124.3,541.6,1813,2486.2,0,68.5,2.9
0.087594,574.6,149.7,2051.6,121.9,2670.7,157.3,540.8,1814.9,2486.8,0,69.8,16.3
0.089594,583.8,168.9,2054.8,111.7,2664.0,216.6,539.9,1816.7,2487.5,0,71,18.4
0.091594,587.9,178.2,2051.3,106.3,2650.3,263.5,539.1,1818.7,2488.2,0,72,14.1
0.093594,583.1,172.2,2044.3,103.0,2645.5,270.6,538.2,1820.6,2488.9,0,72.7,7.9
0.095594,573.8,160.2,2033.4,103.0,2654.4,241.7,537.2,1822.7,2489.6,0,73.3,4.7
0.097594,567.8,152.1,2015.7,109.8,2661.8,212.6,536.3,1824.7,2490.3,0,73.7,4.1
0.099594,569.5,147.4,1996.8,118.3,2664.1,201.8,535.3,1826.8,2491.1,0,74,3.1
0.101594,575.0,142.7,1989.6,118.9,2664.0,202.1,534.3,1829,2491.8,0,74.3,2
0.103594,574.6,134.9,1991.9,115.9,2661.7,206.9,533.3,1831.2,2492.6,111.1,74.6,1
0.105594,570.2,127.6,1999.7,119.6,2649.0,235.4,532.3,1833.4,2493.4,111.1,74.9,0.6
0.107594,567.8,124.6,2007.1,136.2,2605.6,314.0,531.2,1835.7,2494.2,111,75.2,0.8
0.109594,568.2,125.0,2007.1,160.3,2507.8,400.3,530.1,1838,2495,111,75.5,1.4
0.111594,567.2,125.6,2003.4,169.4,2442.0,414.7,529,1840.4,2495.9,110.9,75.6,2.2
0.113594,562.6,125.8,2005.8,158.1,2462.6,433.6,527.9,1842.8,2496.7,110.9,75.7,3.4
0.115594,557.7,127.6,2010.0,144.9,2540.2,424.9,526.8,1845.2,2497.6,110.8,75.8,4.7
0.117594,555.6,132.0,2010.3,140.8,2589.8,385.4,525.6,1847.7,2498.5,110.7,75.8,6.6
0.119594,554.7,137.6,2007.5,133.8,2613.2,351.2,524.4,1850.2,2499.4,110.6,75.8,9.1
0.121594,551.2,141.6,2005.3,124.6,2630.6,322.9,523.3,1852.7,2500.3,110.5,75.9,11.7
0.123594,548.5,148.1,2003.4,122.6,2646.1,304.3,522,1855.3,2501.2,110.4,76,13.9
