time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025396,287.9,526.9,1388.6,353.2,2168.6,219.1,531,1400.4,2240.7,0,45.7,-200
0.027396,351.1,563.5,1405.2,341.6,2183.3,180.9,531,1400.4,2240.7,0,45.1,-200
0.029396,418.6,588.9,1450.1,350.2,2199.3,187.8,531,1400.5,2240.8,0,44.4,-200
0.031396,454.0,615.0,1506.9,352.1,2212.3,231.5,531,1400.6,2240.9,0,43.9,-200
0.033396,453.8,662.4,1552.2,343.8,2227.2,310.4,531,1400.7,2241,0,43.7,-200
0.035396,446.6,696.6,1577.5,336.3,2261.4,401.3,531,1400.9,2241.1,0,43.8,-200
0.037396,452.1,649.0,1578.5,330.0,2313.4,427.1,531.1,1401.1,2241.2,0,44.2,-200
0.039396,450.6,568.8,1556.0,337.9,2343.9,397.2,531.1,1401.3,2241.4,0,44.7,-200
0.041396,441.2,538.6,1521.1,365.9,2358.7,375.7,531.1,1401.5,2241.6,0,45.3,-200
0.043396,436.5,593.4,1478.8,413.4,2375.8,364.2,531.1,1401.8,2241.8,0,46,-200
0.045396,444.9,803.9,1429.5,508.6,2394.1,358.0,531.1,1402.1,2242,0,46.5,-200
0.047396,1013.7,1449.5,1385.6,888.4,2411.9,369.9,531.2,1402.4,2242.3,0,47.7,-200
0.049396,1006.0,524.8,1762.2,832.9,2442.2,394.5,531.2,1402.8,2242.6,0,49.2,-200
0.051396,984.5,367.0,1833.4,504.3,2483.9,402.5,531.2,1403.1,2242.9,0,50.6,-200
0.053396,972.6,343.7,1841.4,323.3,2511.1,425.7,531.3,1403.5,2243.2,0,52.9,-200
0.055396,953.1,468.0,1836.9,269.0,2503.7,572.7,531.3,1404,2243.5,0,55.8,-200
0.057396,908.3,1157.5,1851.1,368.6,2375.0,1270.1,531.3,1404.4,2243.9,0,58.5,-200
0.059396,223.5,397.5,1468.7,568.0,1993.0,342.3,531.4,1404.9,2244.3,0,61.1,-200
0.061396,249.5,222.9,1398.9,330.7,2035.5,256.7,531.4,1405.4,2244.7,0,63.3,-200
0.063396,253.8,168.3,1359.3,240.4,2062.4,229.1,531.5,1406,2245.1,0,65.2,-200
0.065396,256.4,144.7,1334.3,205.4,2074.3,225.2,531.5,1406.5,2245.6,0,66.6,-201
0.067396,258.3,130.0,1315.2,198.4,2073.9,239.1,531.6,1407.1,2246.1,0,67.7,-206.9
0.069396,258.9,121.8,1295.9,212.3,2057.6,265.2,531.6,1407.7,2246.6,0,68.5,-213.6
0.071396,259.0,127.6,1271.3,246.4,2018.6,277.6,531.7,1408.4,2247.1,0,69,-216
0.073396,260.9,158.8,1244.3,292.9,1982.7,262.8,531.8,1409.1,2247.6,111.5,69.4,-208.8
0.075396,264.9,210.7,1227.6,344.7,1975.3,262.4,531.8,1409.8,2248.2,111.4,69.6,-186.1
0.077396,268.1,239.5,1228.6,382.4,1999.9,284.3,531.9,1410.5,2248.8,111.3,69.9,-143.9
0.079396,266.6,226.4,1241.7,364.6,2063.0,290.6,532,1411.2,2249.4,111.1,70.2,-91.2
0.081396,262.3,207.4,1244.2,291.5,2129.2,245.3,532,1412,2250,110.9,70.5,-38.6
0.083396,259.9,214.9,1241.1,235.0,2161.8,208.0,532.1,1412.8,2250.7,110.8,70.9,3.6
0.085396,260.6,234.1,1244.2,214.9,2174.9,202.4,532.2,1413.6,2251.3,110.6,71.2,26.3
0.087396,261.3,233.2,1258.4,209.8,2181.8,212.2,532.3,1414.4,2252,110.4,71.5,33.8
0.089396,260.7,234.5,1283.3,202.8,2184.8,216.8,532.3,1415.3,2252.7,110.2,71.8,31.8
0.091396,262.9,285.4,1295.7,198.0,2180.7,220.8,532.4,1416.1,2253.5,110,72.1,25.1
0.093396,278.7,434.9,1271.5,228.3,2172.8,281.9,532.5,1417,2254.2,109.8,72.6,18.6
0.095396,363.4,697.5,1225.8,310.9,2176.7,467.1,532.6,1418,2255,109.5,73.3,16
0.097396,635.0,707.8,1243.9,406.5,2258.3,731.5,532.7,1418.9,2255.8,109.3,74.3,13
0.099396,698.5,395.5,1284.3,344.4,2352.4,810.6,532.8,1419.9,2256.6,109.1,75.3,9.3
0.101396,692.9,262.4,1283.8,282.0,2379.2,797.9,532.9,1420.8,2257.4,108.8,76.2,5.6
0.103396,682.9,200.9,1280.6,248.7,2388.3,781.9,533,1421.9,2258.3,108.6,76.9,2.8
0.105396,673.8,172.0,1289.2,230.0,2402.0,821.5,533.1,1422.9,2259.2,108.4,77.5,1.5
0.107396,670.5,160.8,1315.2,204.8,2415.0,972.2,533.2,1423.9,2260.1,108.1,77.9,1.3
0.109396,677.7,159.4,1338.3,164.9,2400.2,1141.0,533.3,1425,2261,107.9,78.2,1.9
0.111396,690.6,158.7,1347.6,132.6,2398.4,1177.0,533.4,1426.1,2261.9,107.6,78.4,2.9
0.113396,696.4,157.7,1351.5,114.1,2456.2,1155.1,533.5,1427.1,2262.9,107.4,78.6,4
0.115396,694.9,163.6,1356.7,108.7,2522.5,1203.6,533.6,1428.3,2263.8,107.2,78.6,4.8
0.117396,693.8,178.7,1369.4,118.9,2395.6,1653.2,533.8,1429.4,2264.8,106.9,78.7,5.7
0.119396,700.7,189.1,1391.0,131.8,2174.3,1586.2,533.9,1430.5,2265.8,106.7,78.7,6.7
0.121396,707.7,180.2,1409.2,127.9,2162.4,1607.4,534,1431.7,2266.9,106.5,78.7,7.8
0.123396,708.5,170.1,1419.9,116.2,2237.3,1864.1,534.1,1432.9,2267.9,106.3,78.6,8.7
0.125396,710.5,173.0,1431.5,109.4,2446.4,2506.4,534.3,1434.1,2269,106.1,78.6,9.5
0.127396,720.6,185.6,1452.2,114.2,2778.3,1071.1,534.4,1435.3,2270.1,105.8,78.6,10.1
0.129396,733.9,187.8,1477.8,121.4,2781.5,1168.3,534.5,1436.5,2271.2,105.6,78.5,10.7
0.131396,737.0,175.3,1491.8,118.0,2756.9,1098.3,534.7,1437.7,2272.3,105.4,78.5,11.2
0.133396,733.3,167.0,1494.6,110.3,2732.8,937.0,534.8,1439,2273.4,105.3,78.5,11.6
0.135396,732.2,170.7,1494.9,107.6,2743.2,810.3,534.9,1440.2,2274.6,105.1,78.4,11.9
0.137396,738.3,184.4,1496.8,115.8,2790.9,731.0,535.1,1441.5,2275.7,104.9,78.4,12
