time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025938,1222.6,566.3,1952.4,655.6,3102.6,481.8,501.6,2070.1,2597.8,0,46.5,-200
0.027938,289.1,733.3,1293.7,602.1,1981.7,653.7,501.7,2069.8,2597.7,0,46.4,-200
0.029938,353.4,524.4,1389.8,657.2,2013.1,721.6,501.7,2069.4,2597.6,0,46.3,-200
0.031938,390.2,435.1,1534.8,692.8,2047.4,1023.7,501.8,2068.9,2597.5,0,46.7,-200
0.033938,430.8,418.1,1631.8,531.4,2447.7,1261.3,501.9,2068.1,2597.3,0,47.7,-200
0.035938,473.2,474.6,1646.9,507.7,2474.3,915.5,502,2067.3,2597.1,0,49.4,-200
0.037938,508.1,721.6,1689.4,764.7,2335.0,857.7,502.2,2066.2,2596.9,0,51.3,-200
0.039938,871.2,828.9,2066.7,691.2,2236.8,1072.4,502.3,2065,2596.6,0,53.1,-200
0.041938,824.1,631.3,2033.3,429.2,2403.4,812.0,502.5,2063.6,2596.3,0,54.6,-200
0.043938,664.8,526.2,2010.2,325.1,2447.9,626.3,502.7,2062.1,2596,0,55.7,-200
0.045938,566.6,322.7,2000.8,265.3,2485.7,554.4,503,2060.4,2595.6,0,56.3,-200
0.047938,542.3,207.6,2000.0,249.9,2532.1,571.0,503.2,2058.6,2595.2,0,56.4,-200
0.049938,532.2,142.6,2001.8,276.4,2613.4,652.9,503.5,2056.6,2594.8,0,56.1,-200
0.051938,527.5,103.2,2000.3,354.8,2717.1,720.3,503.8,2054.5,2594.3,0,55.3,-200
0.053938,528.0,78.4,1994.4,449.6,2293.7,2309.1,504.1,2052.2,2593.7,0,54.5,-200
0.055938,538.1,76.0,2000.3,319.1,2367.6,1613.8,504.4,2049.7,2593.2,0,54.1,-200.9
0.057938,569.9,114.8,2000.8,196.5,2536.2,1716.1,504.8,2047.1,2592.6,0,55,-206.3
0.059938,613.3,158.4,2001.5,149.5,2539.8,2160.7,505.1,2044.4,2592,0,57.3,-212.4
0.061938,618.7,152.8,2001.6,133.6,2494.9,2411.6,505.5,2041.5,2591.3,0,60.2,-214.6
0.063938,608.2,134.3,2002.5,124.8,2487.7,2738.5,505.9,2038.4,2590.6,0,62.9,-208.1
0.065938,594.2,115.6,2005.5,117.3,2573.2,235.8,506.3,2035.2,2589.9,0,65.3,-187.3
0.067938,579.4,100.7,2012.8,111.8,2578.5,182.7,506.8,2031.9,2589.1,0,67.6,-148.7
0.069938,562.9,87.4,2026.5,109.3,2589.9,141.5,507.2,2028.4,2588.4,0,69.6,-100.7
0.071938,549.4,75.6,2040.6,109.2,2601.9,121.1,507.7,2024.7,2587.5,0,71.5,-52.5
