time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025615,1141.1,337.1,2289.3,1484.2,3109.1,1207.3,632.9,1875.9,2791.5,0,49.5,-200
0.027615,1160.5,373.0,2534.5,853.5,3275.6,3151.5,632.9,1875.9,2791.6,0,49.7,-200
0.029615,1155.2,429.3,2521.8,622.5,3581.3,4793.5,632.7,1876,2791.6,0,50.2,-200
0.031615,1091.0,527.0,1791.1,2427.8,2547.1,553.7,632.6,1876.2,2791.6,0,50.6,-200
0.033615,973.8,554.0,1817.6,1277.4,2602.1,539.3,632.4,1876.4,2791.7,0,51,-200
0.035615,882.7,525.2,1822.3,796.2,2656.5,557.7,632.1,1876.6,2791.7,0,51.2,-200
0.037615,817.2,520.5,1844.1,562.7,2689.1,666.7,631.8,1876.9,2791.8,0,51.2,-200
0.039615,762.7,528.6,1892.6,422.7,2700.0,854.1,631.4,1877.2,2791.8,0,51.2,-200
0.041615,729.7,490.5,1930.9,298.9,2716.9,958.2,631,1877.6,2791.9,0,51.3,-200
0.043615,741.6,415.3,1940.1,211.9,2738.5,849.7,630.6,1878,2792,0,51.5,-200
0.045615,770.1,370.6,1939.3,159.0,2744.6,701.9,630.1,1878.5,2792.1,0,51.8,-200
0.047615,793.3,396.3,1942.9,138.7,2728.6,628.7,629.6,1879,2792.2,0,51.9,-200
0.049615,801.3,497.0,1955.8,142.1,2710.3,627.8,629,1879.5,2792.3,0,51.8,-200
0.051615,767.0,668.1,1980.2,159.0,2740.4,674.0,628.3,1880.1,2792.4,0,51.6,-200
0.053615,679.6,631.9,2007.6,167.6,2806.1,649.6,627.6,1880.7,2792.6,0,51.4,-200
0.055615,683.9,396.9,2025.9,154.6,2797.2,571.9,626.9,1881.4,2792.7,0,51.3,-200
0.057615,699.0,252.4,2028.4,134.0,2753.1,508.1,626.1,1882.1,2792.8,0,51.4,-200
0.059615,695.9,193.1,2019.3,115.9,2724.5,470.9,625.3,1882.9,2793,0,51.9,-200
0.061615,672.2,178.0,2002.6,99.7,2714.4,462.1,624.5,1883.7,2793.2,0,52.7,-200
0.063615,632.4,176.3,1982.9,89.7,2709.2,483.1,623.6,1884.5,2793.3,0,53.7,-200
0.065615,592.0,164.5,1962.3,88.4,2682.2,514.6,622.6,1885.4,2793.5,0,54.6,-200
0.067615,571.9,150.1,1947.5,96.6,2642.0,518.8,621.6,1886.3,2793.7,0,55.4,-200
0.069615,569.3,137.0,1943.9,111.4,2621.5,518.8,620.6,1887.2,2793.9,0,56.1,-200
0.071615,574.8,114.1,1955.9,129.0,2624.1,538.4,619.5,1888.2,2794.1,0,56.6,-200
0.073615,581.1,84.4,1982.3,135.5,2643.1,542.2,618.4,1889.2,2794.3,0,57,-200
0.075615,584.3,58.0,2007.7,126.4,2643.2,525.6,617.2,1890.3,2794.5,0,57.2,-200
0.077615,583.4,43.7,2009.8,121.0,2603.4,564.4,616,1891.4,2794.8,0,57.4,-200
0.079615,580.5,41.8,1997.2,120.8,2560.7,624.4,614.7,1892.6,2795,0,57.5,-203.2
0.081615,579.0,51.9,1993.0,121.1,2545.0,702.8,613.4,1893.7,2795.3,0,57.7,-209.5
0.083615,584.7,71.4,2005.1,130.4,2531.2,832.7,612.1,1894.9,2795.5,0,58.3,-214.2
0.085615,600.9,92.7,2029.3,145.9,2530.2,1088.0,610.7,1896.2,2795.8,0,59.8,-212.6
0.087615,613.5,110.2,2052.7,152.1,2828.8,1180.1,609.3,1897.5,2796,0,62.1,-200
0.089615,606.2,129.1,2051.5,157.6,2783.4,787.0,607.8,1898.8,2796.3,0,64.8,-170
0.091615,588.1,129.0,2013.4,169.6,2755.7,523.8,606.4,1900.2,2796.6,0,67.4,-125.8
0.093615,567.7,119.1,1987.9,163.0,2771.0,340.2,604.8,1901.5,2796.9,0,69.7,-76.9
0.095615,547.9,113.3,1990.0,153.2,2785.6,271.2,603.2,1903,2797.2,0,71.7,-32.7
0.097615,535.6,111.7,1996.4,140.1,2794.3,251.1,601.6,1904.4,2797.5,0,73.4,-2.6
0.099615,529.0,111.5,2000.5,124.9,2800.8,241.5,600,1905.9,2797.8,0,74.7,10.2
0.101615,523.0,104.5,2003.8,108.3,2807.8,230.3,598.3,1907.4,2798.1,0,75.6,11.9
0.103615,518.0,89.5,2006.2,92.9,2814.7,216.4,596.6,1909,2798.4,0,76.1,7.4
0.105615,515.0,70.6,2007.8,77.5,2821.8,199.0,594.8,1910.5,2798.7,0,76.3,1.4
0.107615,515.0,53.3,2008.2,63.6,2829.0,180.7,593,1912.1,2799,0,76,-1.2
0.109615,516.2,39.4,2008.7,54.3,2837.7,167.1,591.2,1913.8,2799.4,0,75.3,-0.3
0.111615,515.8,29.3,2018.5,57.5,2854.6,174.5,589.4,1915.4,2799.7,0,74.2,1
0.113615,513.1,25.0,2058.7,86.4,2876.7,227.5,587.5,1917.1,2800.1,0,72.8,2.2
0.115615,512.4,25.8,2104.1,117.0,2894.6,306.3,585.5,1918.8,2800.4,0,71.1,3.3
0.117615,515.2,40.0,2113.8,143.9,2909.5,380.4,583.6,1920.6,2800.8,0,69.4,4
0.119615,517.9,81.3,2105.3,188.3,2935.4,408.0,581.6,1922.3,2801.1,0,68.3,4.1
0.121615,512.7,170.3,2056.4,258.5,2929.8,446.2,579.6,1924.1,2801.5,0,68.6,3.8
0.123615,507.9,214.6,1966.8,238.7,2811.2,434.3,577.5,1925.9,2801.9,0,69.9,3.3
0.125615,516.8,169.2,1922.8,161.0,2750.7,318.8,575.5,1927.8,2802.2,0,71.7,2.8
0.127615,521.1,123.0,1919.7,120.3,2724.4,290.4,573.4,1929.6,2802.6,0,73.4,2.6
0.129615,519.2,93.4,1932.8,104.5,2729.7,304.8,571.2,1931.5,2803,0,74.9,2.4
0.131615,515.7,73.6,1956.7,98.8,2784.8,338.0,569.1,1933.4,2803.4,0,76,2.3
0.133615,514.8,63.3,1981.2,97.9,2863.2,352.0,566.9,1935.3,2803.8,107.8,77,2.2
0.135615,519.4,61.0,1996.8,96.0,2924.1,348.3,564.7,1937.3,2804.2,107.7,77.7,2.5
0.137615,526.9,63.4,2003.8,89.1,2952.4,328.8,562.4,1939.2,2804.5,107.7,78.2,3.3
