time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025573,1021.6,814.1,1959.0,1212.7,2880.7,997.4,568.9,1789.3,2672.6,0,49.1,-200
0.027573,1151.6,1217.2,1759.8,1637.4,2677.5,1184.4,568.9,1789.5,2672.6,0,49.5,-200
0.029573,1462.5,887.3,2488.4,1122.9,3805.3,992.0,568.8,1789.8,2672.7,0,49.7,-200
0.031573,1504.7,696.0,2413.7,1174.2,3574.0,1127.9,568.7,1790.2,2672.8,0,49.8,-200
0.033573,1534.1,627.2,2320.1,1355.1,3351.2,962.8,568.6,1790.8,2672.9,0,49.9,-200
0.035573,1546.1,645.2,2171.6,1396.3,3269.6,808.5,568.5,1791.4,2673,0,49.9,-200
0.037573,1501.4,774.5,2068.3,1059.9,3245.6,724.7,568.3,1792.2,2673.2,0,49.9,-200
0.039573,1361.2,875.0,2060.9,686.3,3217.4,630.6,568.2,1793,2673.4,0,49.9,-200
0.041573,1217.7,818.9,2059.7,453.9,3179.8,489.8,567.9,1794,2673.6,0,50.1,-200
0.043573,1168.7,717.4,2051.6,342.2,3163.3,357.9,567.7,1795.1,2673.8,0,50.5,-200
0.045573,1180.8,645.9,2042.5,296.7,3163.5,269.6,567.5,1796.4,2674.1,0,50.8,-200
0.047573,1208.3,640.2,2038.4,278.5,3169.8,221.9,567.2,1797.7,2674.4,0,51,-200
0.049573,1251.2,769.3,2037.7,282.1,3181.6,211.0,566.9,1799.1,2674.7,0,51.3,-200
0.051573,1461.0,994.0,2046.5,327.0,3206.1,230.6,566.6,1800.7,2675,0,51.5,-200
0.053573,224.2,633.9,1652.0,691.3,2099.2,397.6,566.2,1802.4,2675.4,0,51.7,-200
0.055573,317.6,435.4,1658.4,489.0,2161.6,384.2,565.8,1804.2,2675.8,0,51.9,-200
0.057573,358.0,368.3,1635.5,442.5,2181.3,363.6,565.4,1806.1,2676.2,0,52.4,-200
0.059573,386.1,355.2,1600.6,460.3,2177.0,348.8,565,1808.1,2676.6,0,53,-200
0.061573,401.9,372.2,1551.7,464.7,2176.4,322.4,564.6,1810.2,2677.1,0,53.4,-200
0.063573,407.1,417.1,1512.7,424.5,2192.1,307.6,564.1,1812.4,2677.6,0,53.8,-200
0.065573,413.9,488.6,1498.3,378.6,2219.2,314.5,563.6,1814.8,2678.1,0,54,-200
0.067573,433.8,564.4,1505.9,356.2,2251.2,330.0,563.1,1817.2,2678.6,0,54.4,-200
0.069573,460.3,576.2,1520.6,350.0,2268.4,334.5,562.6,1819.7,2679.2,0,55.3,-203.4
0.071573,455.3,519.4,1525.9,354.3,2254.3,327.6,562.1,1822.4,2679.7,0,55.9,-210.1
0.073573,391.7,456.1,1513.7,377.8,2215.5,304.3,561.5,1825.1,2680.3,0,57.6,-215.1
0.075573,316.0,356.4,1494.2,412.2,2173.0,263.7,560.9,1828,2681,0,59.6,-213.4
0.077573,281.4,237.7,1474.8,459.3,2131.9,228.8,560.3,1830.9,2681.6,0,61.5,-200
0.079573,270.9,173.7,1441.1,506.1,2099.5,200.4,559.6,1834,2682.3,0,63.5,-168
0.081573,269.4,157.3,1401.0,535.0,2095.1,175.5,559,1837.1,2683,0,65.3,-120.9
0.083573,274.5,162.9,1372.0,577.1,2107.7,160.1,558.3,1840.4,2683.7,0,66.9,-68.7
0.085573,282.6,166.6,1348.3,654.2,2119.0,152.9,557.6,1843.7,2684.4,0,68.2,-21.8
0.087573,287.2,161.6,1325.2,763.1,2127.0,154.0,556.9,1847.2,2685.1,0,69.2,9.9
0.089573,286.0,154.2,1311.0,879.4,2132.6,168.7,556.2,1850.7,2685.9,0,70,22.5
0.091573,282.9,150.0,1335.7,960.9,2136.6,216.4,555.4,1854.3,2686.7,111.1,70.6,22.9
0.093573,285.6,155.9,1401.0,965.7,2138.6,307.4,554.7,1858,2687.5,111,70.9,16.6
0.095573,296.7,165.4,1445.3,951.2,2140.1,394.4,553.9,1861.8,2688.3,110.9,71.2,9
0.097573,304.0,161.2,1419.1,926.7,2140.2,406.6,553.1,1865.7,2689.1,110.8,71.3,5.7
0.099573,299.7,150.5,1330.8,841.5,2139.9,349.4,552.2,1869.7,2690,110.7,71.4,7
0.101573,293.8,152.6,1249.8,736.4,2148.4,308.8,551.4,1873.7,2690.9,110.6,71.6,9.4
