time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,671.9,666.2,1919.8,438.9,2683.8,246.1,438.5,1938,2707.3,0,45.5,-200
0.027937,675.9,929.8,1919.5,395.7,2685.0,234.7,438.5,1937.8,2707.1,0,46.4,-200
0.029937,630.1,1188.8,1906.6,367.9,2682.4,233.4,438.5,1937.6,2706.9,0,47.1,-200
0.031937,526.6,1343.7,1899.0,332.8,2681.0,233.6,438.6,1937.2,2706.6,0,47.4,-200
0.033937,423.6,1302.8,1899.8,297.3,2682.0,234.6,438.6,1936.7,2706.3,0,47.4,-200
0.035937,377.6,1107.3,1903.5,267.5,2683.3,242.1,438.7,1936,2705.8,0,47.2,-200
0.037937,362.9,916.6,1903.1,265.7,2680.7,276.1,438.8,1935.3,2705.3,0,46.7,-200
0.039937,322.7,921.2,1897.3,328.4,2670.3,346.6,438.9,1934.5,2704.7,0,46,-200
0.041937,216.7,1082.8,1884.5,446.5,2647.8,404.9,439,1933.5,2704,0,45.3,-200
0.043937,199.6,1093.6,1866.9,520.0,2624.5,418.4,439.1,1932.4,2703.2,0,44.8,-200
0.045937,325.2,896.7,1848.4,551.3,2601.2,429.8,439.2,1931.2,2702.4,0,44.4,-200
0.047937,414.3,697.7,1837.6,595.3,2571.6,491.2,439.4,1930,2701.5,0,44,-200
0.049937,468.7,585.6,1896.6,604.9,2566.9,674.4,439.5,1928.6,2700.4,0,43.9,-200
0.051937,501.2,507.2,1972.4,430.5,2689.4,839.5,439.7,1927.1,2699.4,0,44.3,-200
0.053937,508.6,480.4,1982.7,313.0,2758.6,748.4,439.9,1925.4,2698.2,0,45.6,-200
0.055937,510.8,575.8,1996.5,264.0,2782.4,697.4,440.1,1923.7,2697,0,48,-200
0.057937,513.1,805.7,2041.9,217.2,2841.1,795.4,440.3,1921.9,2695.7,0,51.2,-203.2
0.059937,545.6,735.7,2067.2,169.5,2777.1,1020.3,440.5,1920,2694.3,0,54.9,-209.6
0.061937,576.4,534.1,2075.9,130.9,2651.3,804.7,440.7,1918,2692.8,0,58,-214.4
0.063937,582.9,388.3,2077.4,112.0,2597.6,655.9,440.9,1915.8,2691.3,0,60.4,-212.8
0.065937,582.0,291.2,2073.2,105.2,2554.8,557.4,441.2,1913.6,2689.6,0,62.8,-200
0.067937,579.5,226.4,2064.3,103.9,2527.6,479.0,441.4,1911.3,2688,0,64.8,-169.6
0.069937,576.2,187.4,2053.8,103.0,2527.1,421.9,441.7,1908.8,2686.2,0,66.6,-124.9
0.071937,571.2,161.1,2042.1,101.0,2555.4,378.5,442,1906.3,2684.4,0,68.3,-75.3
0.073937,565.1,143.8,2025.7,102.7,2605.9,354.9,442.2,1903.7,2682.5,0,70,-30.6
0.075937,557.5,132.0,1993.0,109.0,2661.9,342.7,442.5,1901,2680.5,0,71.5,-0.2
0.077937,548.9,128.8,1953.7,101.3,2694.8,317.9,442.8,1898.2,2678.5,0,72.9,12.4
0.079937,539.6,133.4,1937.2,84.0,2705.1,285.6,443.2,1895.3,2676.4,0,74.3,13.8
0.081937,528.2,130.3,1933.7,70.0,2712.2,258.1,443.5,1892.4,2674.2,0,75.4,8.8
0.083937,521.1,116.7,1933.8,61.9,2719.6,242.4,443.8,1889.3,2672,114.6,76.4,2.5
0.085937,522.2,105.3,1934.9,58.3,2727.2,237.1,444.2,1886.2,2669.7,114.6,77.1,-0.1
0.087937,531.3,102.1,1935.7,58.0,2732.9,240.0,444.5,1882.9,2667.4,114.5,77.7,1.4
0.089937,541.3,101.3,1934.0,56.5,2736.2,240.2,444.9,1879.6,2665,114.5,78.1,3.7
0.091937,544.7,93.1,1929.3,52.5,2741.3,235.5,445.3,1876.3,2662.5,114.5,78.4,6.1
0.093937,542.8,80.5,1923.3,49.2,2750.7,232.0,445.6,1872.8,2660,114.4,78.5,8.3
0.095937,542.5,71.7,1916.5,50.4,2766.2,234.8,446,1869.3,2657.4,114.3,78.5,9.7
0.097937,545.2,71.4,1908.1,61.9,2784.1,244.1,446.4,1865.7,2654.7,114.3,78.5,10.1
0.099937,546.1,77.4,1899.3,85.3,2789.0,244.6,446.8,1862,2652,114.2,78.3,9.8
0.101937,540.3,83.2,1890.3,113.8,2770.5,214.1,447.2,1858.3,2649.3,114.1,78,9.2
0.103937,530.2,85.5,1878.4,133.3,2734.4,151.9,447.7,1854.5,2646.5,114,77.8,8.5
0.105937,519.2,91.8,1858.8,140.8,2703.3,92.4,448.1,1850.6,2643.7,114,77.4,8
0.107937,505.6,113.1,1836.1,140.5,2687.3,60.1,448.5,1846.7,2640.8,113.9,77.1,7.6
0.109937,484.2,151.2,1822.5,141.4,2681.2,48.4,449,1842.7,2637.8,113.8,76.8,7.1
0.111937,448.6,188.5,1815.8,155.2,2679.1,48.4,449.4,1838.7,2634.8,113.7,76.6,6.7
0.113937,413.1,188.0,1808.4,188.0,2679.4,60.4,449.8,1834.6,2631.8,113.6,76.6,6.6
0.115937,393.1,160.2,1795.4,224.4,2678.5,79.8,450.3,1830.4,2628.7,113.4,76.8,7
0.117937,381.8,133.3,1783.1,239.6,2674.0,89.2,450.8,1826.3,2625.6,113.3,77.1,8.1
