time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,838.3,574.4,2184.2,738.9,2949.6,656.6,632,1761.9,2726.9,0,46.8,-200
0.027417,861.2,568.0,2116.5,587.8,3016.3,539.0,632.1,1761.7,2726.8,0,46.8,-200
0.029417,866.0,584.5,2056.8,525.3,3026.2,432.3,632.1,1761.5,2726.7,0,47.1,-200
0.031417,841.4,680.4,1998.0,535.0,2994.0,371.9,632.2,1761.2,2726.5,0,47.5,-200
0.033417,800.8,845.9,1928.9,553.7,2940.1,341.0,632.3,1760.8,2726.3,0,47.9,-200
0.035417,839.9,901.8,1890.2,551.3,2892.7,344.6,632.4,1760.2,2726,0,48.3,-200
0.037417,937.3,771.4,1903.3,560.3,2868.6,401.8,632.5,1759.6,2725.7,0,48.8,-200
0.039417,994.9,635.6,1945.0,557.3,2886.1,519.5,632.7,1758.9,2725.3,0,49.2,-200
0.041417,1012.0,578.8,1968.5,508.3,2955.6,632.6,632.9,1758.2,2724.9,0,49.7,-200
0.043417,1004.0,602.3,1945.2,437.2,3032.7,651.5,633.1,1757.3,2724.4,0,50.1,-200
0.045417,984.6,729.2,1901.7,401.3,3070.7,602.2,633.3,1756.3,2723.9,0,50.5,-200
0.047417,968.0,973.8,1864.0,431.3,3075.9,585.4,633.5,1755.2,2723.3,0,50.9,-200
0.049417,957.7,1243.2,1831.8,503.0,3057.8,617.2,633.8,1754.1,2722.7,0,51.1,-200
0.051417,929.9,1456.2,1796.4,555.1,3028.4,656.2,634,1752.9,2722.1,0,51.3,-200
0.053417,705.7,1934.8,1739.4,551.0,2986.2,716.1,634.3,1751.5,2721.3,0,51.5,-200
0.055417,347.8,671.0,1676.6,481.7,2869.7,816.5,634.6,1750.1,2720.6,0,51.9,-200
0.057417,448.7,293.8,1642.9,416.8,2696.2,668.5,635,1748.6,2719.8,0,52.4,-200
0.059417,487.7,127.2,1622.2,421.9,2628.8,510.4,635.3,1747.1,2718.9,0,53,-200
0.061417,496.7,75.6,1602.7,485.4,2608.1,462.1,635.7,1745.4,2718,0,53.9,-200
0.063417,497.3,59.1,1602.5,562.3,2614.2,445.8,636,1743.6,2717.1,0,54.9,-200
0.065417,496.7,53.0,1625.4,588.9,2623.6,416.4,636.4,1741.8,2716.1,0,55.7,-200
0.067417,496.4,49.2,1638.4,585.8,2622.8,400.3,636.9,1739.9,2715.1,0,56.1,-200
0.069417,496.0,46.0,1627.2,609.7,2615.2,420.2,637.3,1737.9,2714,0,56.2,-200
0.071417,495.4,43.6,1575.3,661.5,2593.4,489.6,637.7,1735.9,2712.9,0,55.8,-200
0.073417,495.0,43.0,1471.8,631.6,2527.7,572.7,638.2,1733.7,2711.8,0,55.1,-200
0.075417,494.9,50.7,1419.2,512.2,2481.3,512.3,638.7,1731.5,2710.6,0,54,-200
0.077417,490.8,85.1,1413.2,470.5,2496.5,429.5,639.2,1729.2,2709.3,0,52.9,-200
0.079417,468.0,191.0,1420.7,529.3,2543.7,394.8,639.7,1726.9,2708.1,0,52,-200
0.081417,415.5,386.7,1453.5,637.4,2635.7,365.8,640.2,1724.5,2706.7,0,51.6,-200
0.083417,363.1,492.4,1536.6,597.3,2716.6,253.3,640.8,1722,2705.4,0,51.8,-200
0.085417,356.7,498.1,1610.2,441.1,2732.9,164.2,641.4,1719.4,2704,0,52.4,-200
0.087417,342.9,653.0,1647.6,401.0,2723.9,128.5,641.9,1716.8,2702.6,0,53.3,-200
0.089417,261.1,946.1,1661.4,455.0,2705.4,117.4,642.5,1714.1,2701.1,0,54.3,-200
0.091417,157.8,1151.7,1672.6,530.3,2687.0,110.5,643.1,1711.4,2699.6,0,55.3,-200
0.093417,233.1,1155.8,1692.5,581.7,2671.7,102.4,643.7,1708.6,2698.1,0,56.3,-200
0.095417,313.3,1093.0,1708.2,593.2,2660.6,96.1,644.3,1705.7,2696.6,0,57.2,-200
0.097417,335.3,1088.8,1714.7,603.2,2653.5,95.3,645,1702.8,2695,0,57.7,-200
0.099417,294.9,1202.0,1713.7,651.1,2650.0,104.0,645.6,1699.8,2693.4,0,58.1,-200
0.101417,1688.2,728.8,2647.4,124.9,3784.8,1606.1,646.3,1696.8,2691.7,0,58.2,-200
0.103417,1590.8,708.0,2637.1,158.9,3650.9,1937.3,647,1693.8,2690,0,58.4,-200
0.105417,1506.1,471.0,2615.2,191.5,2827.7,2107.4,647.6,1690.7,2688.3,0,58.8,-200
0.107417,1484.6,318.5,2602.1,205.1,2685.5,1375.5,648.3,1687.5,2686.6,0,59.6,-200.9
0.109417,1466.1,365.8,2500.2,1440.7,2615.3,175.7,649,1684.3,2684.8,0,61.1,-206.4
0.111417,1517.9,775.1,1888.9,2369.7,2618.6,133.4,649.7,1681.1,2683.1,0,63.2,-212.8
0.113417,508.0,689.7,1784.9,760.1,2608.1,127.5,650.4,1677.8,2681.3,0,65.2,-215
0.115417,487.1,340.6,1890.0,825.0,2587.8,153.7,651.2,1674.5,2679.4,0,67.2,-208.3
0.117417,463.0,238.1,1882.0,903.8,2554.1,176.8,651.9,1671.2,2677.6,0,69,-186.9
0.119417,441.9,200.6,1715.6,720.9,2527.2,163.4,652.6,1667.8,2675.7,0,70.5,-147.2
0.121417,428.0,185.1,1631.5,514.4,2525.8,155.3,653.4,1664.4,2673.8,0,71.8,-97.7
0.123417,419.0,175.1,1597.9,406.0,2537.5,153.2,654.1,1661,2671.9,0,72.7,-48.2
0.125417,413.3,167.1,1582.5,357.0,2554.6,154.5,654.9,1657.6,2670,0,73.4,-8.5
0.127417,412.0,169.2,1573.6,320.6,2585.9,161.7,655.6,1654.1,2668.1,112.9,73.9,13
0.129417,419.1,185.3,1564.7,267.1,2632.3,164.4,656.4,1650.6,2666.1,112.8,74.3,20
0.131417,435.9,204.9,1558.0,215.0,2665.2,159.6,657.1,1647.1,2664.2,112.7,74.7,18.1
0.133417,461.0,222.0,1560.4,180.1,2675.1,171.6,657.9,1643.6,2662.2,112.6,75.1,12.1
0.135417,498.5,239.0,1571.7,161.1,2670.6,226.8,658.7,1640.1,2660.2,112.4,75.7,6.8
0.137417,550.0,228.5,1582.5,146.8,2656.8,329.3,659.4,1636.6,2658.2,112.3,76.4,5.9
0.139417,589.6,184.1,1587.7,132.6,2635.2,415.4,660.2,1633,2656.2,112.1,77.1,5.9
0.141417,606.4,148.2,1590.3,125.1,2613.5,432.9,661,1629.5,2654.2,112,77.8,5.7
0.143417,614.0,132.0,1594.7,131.6,2581.0,398.1,661.7,1626,2652.2,111.8,78.3,5.6
0.145417,626.0,135.4,1604.2,153.8,2541.0,340.9,662.5,1622.4,2650.2,111.6,78.8,5.6
0.147417,648.2,143.3,1615.7,172.8,2517.5,299.5,663.3,1618.9,2648.1,111.4,79.2,5.9
0.149417,667.4,135.3,1621.5,171.6,2512.9,276.9,664,1615.4,2646.1,111.2,79.6,6.4
0.151417,673.9,120.4,1623.2,161.5,2522.3,263.4,664.8,1611.9,2644.1,111,79.8,7.1
0.153417,675.7,111.8,1626.4,151.5,2547.3,249.0,665.5,1608.4,2642.1,110.8,80,7.9
0.155417,680.7,115.8,1631.5,143.0,2579.7,231.1,666.3,1604.9,2640,110.5,80.1,8.5
0.157417,688.9,127.8,1631.0,134.7,2598.5,221.7,667,1601.4,2638,110.3,80.2,9
0.159417,692.4,134.2,1622.2,125.7,2603.4,223.3,667.8,1598,2636,110.1,80.2,9.2
0.161417,688.9,131.5,1607.3,117.8,2605.7,233.9,668.5,1594.6,2634,109.8,80.2,9.4
0.163417,684.2,125.9,1585.3,114.5,2608.2,264.7,669.2,1591.2,2632,109.6,80.2,9.6
0.165417,682.0,118.6,1550.4,116.5,2606.2,353.1,670,1587.8,2630,109.3,80.2,9.9
0.167417,681.0,107.3,1515.3,117.7,2586.9,514.7,670.7,1584.5,2628,109.1,80.2,10.3
0.169417,678.9,99.1,1497.4,114.4,2556.5,641.5,671.4,1581.1,2626,108.8,80.3,10.9
0.171417,676.4,99.9,1491.8,111.7,2535.7,661.6,672.1,1577.9,2624.1,108.6,80.3,11.6
0.173417,675.4,109.2,1485.6,114.2,2501.9,629.3,672.8,1574.6,2622.1,108.4,80.4,12.3
0.175417,677.6,117.9,1473.6,117.8,2454.3,585.9,673.5,1571.4,2620.1,108.1,80.5,12.8
0.177417,678.8,115.3,1460.9,113.6,2422.3,545.7,674.1,1568.3,2618.2,107.9,80.6,13
0.179417,675.7,108.6,1450.9,106.8,2413.0,541.6,674.8,1565.2,2616.3,107.7,80.7,12.9
0.181417,670.6,107.3,1440.3,106.2,2414.1,597.4,675.5,1562.1,2614.4,107.4,80.8,12.8
0.183417,665.5,113.4,1421.7,115.7,2410.2,705.4,676.1,1559.1,2612.5,107.2,80.8,12.5
0.185417,660.7,117.9,1394.7,124.5,2399.3,735.8,676.7,1556.1,2610.7,107,80.8,12.2
0.187417,653.8,111.2,1372.4,120.5,2408.0,667.6,677.3,1553.2,2608.8,106.8,80.7,11.9
0.189417,646.2,101.5,1361.2,111.7,2433.0,592.2,677.9,1550.3,2607,106.7,80.6,11.5
0.191417,640.5,98.1,1355.1,108.0,2456.9,562.9,678.5,1547.5,2605.2,106.5,80.5,11
0.193417,637.2,105.0,1346.9,114.1,2455.8,615.1,679.1,1544.8,2603.4,106.3,80.3,10.6
0.195417,633.0,118.5,1333.8,123.8,2405.0,694.1,679.7,1542.1,2601.7,106.2,80.1,10.3
0.197417,623.4,124.1,1321.8,125.8,2349.2,695.4,680.2,1539.5,2599.9,106.1,79.9,10.3
0.199417,611.4,119.2,1314.6,123.8,2331.3,643.3,680.7,1537,2598.2,106,79.6,10.4
0.201417,602.8,113.4,1310.3,127.7,2329.6,584.5,681.2,1534.5,2596.6,105.9,79.4,10.6
0.203417,598.8,112.2,1304.8,141.2,2309.1,546.1,681.7,1532.1,2594.9,105.8,79.1,11
0.205417,596.4,113.8,1297.4,152.3,2272.9,530.3,682.2,1529.7,2593.3,105.7,78.9,11.4
0.207417,589.6,112.2,1290.8,158.3,2246.8,536.3,682.7,1527.5,2591.7,105.6,78.6,11.8
0.209417,582.9,110.9,1285.3,173.1,2232.0,590.1,683.1,1525.3,2590.1,105.6,78.5,12.3
0.211417,585.4,118.5,1279.7,206.3,2211.7,732.2,683.5,1523.2,2588.6,105.6,78.4,13
0.213417,596.8,133.0,1279.1,241.8,2173.7,968.5,683.9,1521.1,2587.1,105.6,78.4,13.5
0.215417,605.8,140.5,1287.9,256.7,2136.6,1283.5,684.3,1519.2,2585.6,105.6,78.5,14
0.217417,605.9,135.8,1300.0,253.8,2179.1,1645.9,684.7,1517.3,2584.2,105.6,78.6,14.2
0.219417,606.9,127.3,1308.0,251.0,2504.6,1716.0,685,1515.5,2582.8,105.6,78.8,14.2
0.221417,615.8,120.7,1304.5,256.7,2569.4,1179.1,685.3,1513.8,2581.5,105.6,79,14.1
0.223417,625.6,114.4,1292.0,261.7,2537.3,1025.3,685.7,1512.2,2580.1,105.6,79.3,13.9
0.225417,628.2,107.0,1281.0,265.3,2513.2,1042.5,685.9,1510.7,2578.8,105.7,79.5,13.8
0.227417,625.4,102.1,1274.6,277.9,2521.9,1166.5,686.2,1509.2,2577.6,105.7,79.7,13.7
0.229417,625.3,102.1,1262.9,295.2,2604.1,1515.1,686.4,1507.9,2576.4,105.8,79.8,13.7
0.231417,631.7,105.6,1237.6,291.0,2284.7,1941.1,686.7,1506.6,2575.2,105.9,79.9,13.6
0.233417,639.6,105.6,1218.9,266.2,2194.1,1744.2,686.8,1505.5,2574,105.9,80,13.6
0.235417,642.5,103.1,1216.3,249.5,2213.5,1833.1,687,1504.4,2572.9,106,80,13.7
0.237417,642.8,103.9,1229.3,243.9,2355.3,2609.1,687.2,1503.4,2571.9,106.1,80,13.8
0.239417,649.2,111.1,1252.3,224.7,2739.6,745.2,687.3,1502.5,2570.9,106.2,79.9,14
0.241417,664.2,122.7,1267.3,192.2,2654.7,619.9,687.4,1501.7,2569.9,106.3,79.8,14.3
0.243417,678.2,131.7,1271.8,169.8,2615.0,578.2,687.5,1501.1,2568.9,106.4,79.7,14.6
0.245417,677.3,134.4,1271.1,164.4,2619.0,583.0,687.5,1500.5,2568,106.5,79.6,14.9
0.247417,664.4,134.9,1266.2,174.3,2669.7,625.3,687.6,1500,2567.2,106.6,79.5,15.3
0.249417,650.7,131.8,1253.7,181.5,2286.6,2428.8,687.6,1499.6,2566.4,106.7,79.5,15.9
0.251417,648.7,127.0,1246.0,165.4,2186.1,1451.9,687.5,1499.3,2565.6,106.8,79.4,16.5
0.253417,651.9,125.5,1248.2,151.5,2197.4,1318.9,687.5,1499.1,2564.8,106.9,79.4,17.1
