time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025427,701.9,1562.2,1774.0,468.9,2952.7,393.0,544.8,1710.9,2847.3,0,48.4,-200
0.027427,833.2,1503.0,1745.6,499.2,2945.1,267.8,544.8,1710.9,2847.2,0,48.8,-200
0.029427,881.2,1620.3,1712.7,589.1,2932.5,211.2,544.7,1711,2847.2,0,49.1,-200
0.031427,762.4,1714.5,1701.9,660.8,2920.1,177.8,544.7,1711.1,2847,0,49.2,-200
0.033427,478.6,1173.8,1748.3,656.8,2908.8,155.6,544.6,1711.3,2846.8,0,49,-200
0.035427,484.3,701.2,1800.9,578.4,2897.7,149.9,544.5,1711.5,2846.6,0,48.9,-200
0.037427,464.1,469.6,1802.8,477.6,2880.2,167.2,544.4,1711.7,2846.4,0,49,-200
0.039427,450.3,352.5,1766.5,385.3,2855.0,206.4,544.3,1712,2846.1,0,49.2,-200
0.041427,449.3,292.5,1736.0,310.5,2830.3,262.1,544.1,1712.3,2845.7,0,49.6,-200
0.043427,459.2,271.9,1728.4,267.5,2820.0,332.6,544,1712.6,2845.4,0,50.2,-200
0.045427,473.5,287.7,1738.1,252.0,2835.4,381.8,543.8,1713,2845,0,50.9,-200
0.047427,484.3,340.7,1757.4,237.6,2865.3,350.2,543.6,1713.4,2844.5,0,51.5,-200
0.049427,485.3,429.1,1778.3,205.4,2884.1,276.4,543.4,1713.8,2844,0,51.9,-200
0.051427,475.9,526.4,1795.7,165.3,2895.2,231.3,543.1,1714.3,2843.5,0,52.2,-200
0.053427,452.6,550.2,1809.6,137.2,2906.8,226.2,542.9,1714.8,2842.9,0,52.4,-200
0.055427,432.8,485.3,1820.8,125.5,2924.7,242.9,542.6,1715.3,2842.3,0,52.4,-200
0.057427,428.5,424.1,1827.7,125.8,2955.8,240.1,542.4,1715.9,2841.7,0,52.3,-200
0.059427,433.7,439.0,1819.5,137.8,2984.0,193.5,542.1,1716.5,2841,0,52.1,-200
0.061427,434.1,542.7,1789.1,158.9,2996.9,148.0,541.8,1717.1,2840.3,0,52,-200
0.063427,424.2,687.1,1750.7,175.5,2962.5,3908.3,541.4,1717.8,2839.6,0,52,-200
0.065427,444.2,749.6,1726.1,182.0,2933.5,3619.6,541.1,1718.5,2838.8,0,52,-200
0.067427,529.0,621.4,1718.2,176.5,2970.0,142.7,540.7,1719.2,2838,0,52.1,-200
0.069427,604.8,407.8,1720.2,153.2,2927.7,193.3,540.4,1720,2837.2,0,52.2,-200
0.071427,629.5,269.2,1721.9,126.8,2873.0,240.9,540,1720.8,2836.3,0,52.5,-200
0.073427,616.5,216.6,1719.7,114.3,2845.1,260.8,539.6,1721.7,2835.4,0,52.9,-200
0.075427,587.6,212.0,1714.8,114.9,2850.3,261.3,539.1,1722.6,2834.4,0,53.7,-203.3
0.077427,551.3,228.8,1709.6,123.1,2863.6,236.2,538.7,1723.5,2833.5,0,53.9,-209.8
0.079427,521.3,247.3,1709.1,137.6,2867.9,194.3,538.3,1724.4,2832.5,0,54.3,-214.6
0.081427,511.0,254.5,1717.6,160.6,2868.0,154.4,537.8,1725.4,2831.4,0,55.2,-213
0.083427,517.8,254.3,1734.5,189.0,2872.8,128.3,537.3,1726.4,2830.4,0,56.5,-200
0.085427,519.4,262.8,1751.6,211.1,2882.7,116.0,536.8,1727.4,2829.3,0,59,-169
0.087427,473.3,291.4,1760.4,226.9,2894.5,113.0,536.3,1728.5,2828.1,0,61.8,-123.4
0.089427,388.6,253.0,1748.2,232.2,2902.4,127.1,535.8,1729.6,2827,0,64.7,-72.9
0.091427,344.6,168.8,1706.6,245.1,2898.8,167.7,535.2,1730.8,2825.8,0,67.5,-27.3
0.093427,337.0,130.9,1646.6,267.8,2878.5,220.9,534.7,1731.9,2824.6,0,69.7,3.5
0.095427,344.4,121.7,1611.4,283.0,2862.8,238.7,534.1,1733.1,2823.4,0,71.5,16.1
