time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025646,1347.6,342.7,2295.4,376.9,2301.0,3806.6,351,1683.8,2370.5,0,52.1,-200
0.027646,1380.6,373.4,2249.8,383.7,3476.8,1187.4,351.1,1683.8,2370.6,0,51.8,-200
0.029646,270.5,1016.2,1409.3,314.0,2194.2,302.6,351.3,1683.8,2370.8,0,51.3,-200
0.031646,385.4,861.2,1413.8,272.8,2180.0,257.5,351.5,1683.8,2371,0,51,-200
0.033646,327.0,977.4,1407.5,258.7,2191.7,262.0,351.8,1683.7,2371.2,0,50.9,-200
0.035646,1396.9,243.7,2218.2,286.9,3483.7,983.2,352.1,1683.7,2371.6,0,51,-200
0.037646,1384.8,207.6,2243.5,300.1,3558.0,931.0,352.5,1683.7,2372,0,51.2,-200
0.039646,1375.9,174.4,2246.1,281.9,3409.5,919.7,352.9,1683.7,2372.4,0,51.4,-200
0.041646,98.3,893.5,1374.5,171.3,2231.6,250.5,353.5,1683.7,2372.9,0,51.5,-200
0.043646,314.2,696.9,1381.1,192.0,2215.6,225.6,354,1683.7,2373.4,0,51.5,-200
0.045646,402.6,556.2,1386.8,205.9,2210.2,208.9,354.7,1683.7,2374.1,0,51.4,-200
0.047646,443.1,474.8,1378.1,183.3,2216.7,190.6,355.4,1683.7,2374.7,0,51.7,-200
0.049646,444.2,467.6,1361.7,144.6,2223.9,171.3,356.1,1683.7,2375.5,0,52.2,-200
0.051646,401.1,544.3,1352.2,130.2,2213.2,155.7,357,1683.7,2376.2,0,53,-200
0.053646,283.2,696.1,1351.2,145.9,2183.5,137.6,357.8,1683.7,2377.1,0,54.1,-200
0.055646,155.2,752.9,1363.0,191.2,2155.5,116.5,358.8,1683.6,2378,0,55.5,-200
0.057646,235.3,576.6,1399.6,279.9,2138.6,100.0,359.8,1683.6,2378.9,0,57,-200
0.059646,311.2,355.5,1451.1,405.1,2134.0,94.0,360.8,1683.6,2379.9,0,58.7,-203.3
0.061646,330.2,237.7,1460.5,515.3,2136.4,89.9,361.9,1683.6,2381,0,60.9,-209.8
0.063646,322.3,165.5,1412.0,527.8,2145.5,82.2,363.1,1683.6,2382.1,0,63.2,-214.7
0.065646,306.8,110.2,1358.0,461.6,2161.1,80.1,364.3,1683.5,2383.3,0,65.4,-213.1
0.067646,293.6,75.6,1326.4,424.0,2194.3,91.2,365.6,1683.5,2384.5,0,67.4,-200
0.069646,285.4,62.0,1319.2,440.9,2249.5,100.2,366.9,1683.5,2385.8,0,69,-169.1
0.071646,281.6,59.3,1319.2,487.0,2289.5,93.5,368.3,1683.4,2387.1,0,70.3,-123.6
0.073646,280.6,62.2,1329.2,543.7,2298.7,94.2,369.7,1683.4,2388.5,0,71.3,-73.1
0.075646,281.0,66.9,1354.1,551.8,2282.9,112.8,371.2,1683.3,2389.9,0,71.9,-27.4
0.077646,281.7,73.7,1368.4,518.6,2234.2,148.7,372.8,1683.3,2391.4,0,72.3,4.1
0.079646,285.9,84.0,1337.1,485.5,2154.0,172.8,374.4,1683.3,2392.9,109.3,72.6,18.1
0.081646,297.3,97.2,1294.1,459.1,2093.0,173.1,376,1683.2,2394.5,109.4,72.7,21.2
0.083646,310.9,110.8,1273.5,463.2,2071.2,190.3,377.7,1683.1,2396.1,109.4,72.8,17.9
0.085646,314.3,125.8,1289.1,503.4,2097.9,236.5,379.4,1683.1,2397.8,109.5,73.1,12.9
0.087646,309.9,145.9,1332.5,537.7,2174.5,274.2,381.2,1683,2399.5,109.5,73.4,10.8
0.089646,308.2,162.5,1357.1,554.8,2231.6,296.8,383.1,1682.9,2401.3,109.6,73.7,11.6
0.091646,314.5,168.8,1367.8,537.9,2252.5,356.9,385,1682.9,2403.1,109.6,74.1,12.1
0.093646,322.0,168.2,1386.1,493.1,2267.4,441.2,386.9,1682.8,2405,109.6,74.5,12.5
0.095646,325.7,178.0,1410.3,494.4,2300.5,526.0,388.9,1682.7,2406.9,109.6,74.7,12.9
0.097646,337.6,210.9,1445.6,611.5,2374.9,634.0,390.9,1682.6,2408.8,109.6,75,13.2
0.099646,368.9,259.3,1571.3,877.4,2521.5,629.9,392.9,1682.5,2410.8,109.6,75.2,13.5
0.101646,412.8,294.3,1773.8,830.0,2593.0,446.0,395,1682.4,2412.8,109.6,75.4,13.6
0.103646,447.7,289.3,1882.0,762.2,2632.5,311.0,397.2,1682.3,2414.9,109.6,75.6,13.8
0.105646,458.4,277.5,2027.0,789.0,2655.4,254.8,399.3,1682.2,2417,109.5,75.8,13.9
0.107646,476.9,256.0,2204.9,660.1,2674.8,248.8,401.6,1682.1,2419.1,109.5,76,14.1
0.109646,495.4,219.0,2281.6,457.4,2699.5,242.4,403.8,1681.9,2421.3,109.4,76.1,14.4
0.111646,499.5,190.1,2296.4,349.3,2708.2,228.7,406.1,1681.8,2423.5,109.3,76.3,14.6
0.113646,493.5,177.1,2299.7,289.9,2698.8,237.3,408.4,1681.6,2425.7,109.3,76.4,14.9
0.115646,488.0,183.7,2309.6,262.1,2673.5,288.6,410.8,1681.5,2428,109.2,76.5,15.3
0.117646,488.8,197.5,2330.1,248.0,2642.5,381.3,413.2,1681.3,2430.3,109.1,76.6,15.8
0.119646,490.1,196.5,2346.2,231.9,2630.6,461.2,415.6,1681.1,2432.7,109,76.7,16.5
0.121646,485.6,186.4,2355.4,226.2,2624.9,513.7,418.1,1681,2435,108.9,76.7,17.5
0.123646,475.7,184.8,2374.3,220.7,2611.9,641.6,420.6,1680.8,2437.4,108.8,76.7,18.5
0.125646,466.2,201.6,2396.1,180.1,2609.2,1008.9,423.1,1680.6,2439.9,108.6,76.8,19.5
0.127646,462.8,219.5,2398.9,139.1,2591.3,1561.9,425.6,1680.4,2442.3,108.5,76.9,20.2
0.129646,464.6,214.7,2394.8,131.4,2575.6,1741.3,428.2,1680.1,2444.8,108.4,77,20.8
0.131646,466.6,196.2,2393.4,166.4,2622.3,1341.9,430.8,1679.9,2447.3,108.3,77.1,21.2
0.133646,466.1,181.6,2377.0,247.0,2683.0,745.9,433.4,1679.7,2449.8,108.1,77.2,21.5
0.135646,468.9,181.2,2348.8,265.7,2721.8,467.8,436,1679.4,2452.4,108,77.2,21.6
0.137646,475.5,179.4,2338.6,254.2,2736.6,373.2,438.7,1679.1,2455,107.9,77.3,21.6
0.139646,476.3,171.1,2331.3,248.0,2735.5,326.5,441.4,1678.9,2457.6,107.7,77.3,21.4
0.141646,470.7,163.9,2318.7,239.8,2725.0,275.7,444.1,1678.6,2460.2,107.6,77.3,21.1
0.143646,465.5,160.1,2304.9,209.0,2715.2,214.4,446.8,1678.3,2462.8,107.4,77.3,20.6
0.145646,467.7,157.5,2301.2,173.6,2712.1,176.6,449.5,1678,2465.4,107.3,77.3,20.1
0.147646,471.8,149.6,2301.1,151.9,2710.9,160.4,452.3,1677.6,2468.1,107.1,77.3,19.4
0.149646,469.1,144.3,2298.1,144.4,2708.0,160.7,455,1677.3,2470.8,107,77.3,18.5
0.151646,462.4,152.4,2289.6,145.1,2700.7,177.2,457.8,1676.9,2473.5,106.8,77.3,17.4
0.153646,459.6,175.2,2279.1,145.2,2688.4,210.3,460.6,1676.6,2476.2,106.6,77.4,16.3
0.155646,463.6,192.1,2273.2,139.7,2681.5,233.1,463.4,1676.2,2478.9,106.5,77.4,15.3
0.157646,462.1,196.7,2266.3,134.2,2680.8,234.8,466.2,1675.8,2481.6,106.3,77.5,14.7
0.159646,446.6,204.9,2247.4,145.7,2672.9,241.3,469,1675.4,2484.4,106.2,77.5,14.7
0.161646,422.4,220.9,2200.2,186.1,2649.2,265.9,471.8,1675,2487.1,106,77.5,15.1
0.163646,411.1,229.4,2114.3,215.3,2628.9,275.2,474.6,1674.5,2489.8,105.8,77.4,15.6
0.165646,423.4,223.5,2046.2,193.6,2633.8,268.2,477.5,1674.1,2492.6,105.7,77.4,16
0.167646,434.5,206.5,2006.0,167.2,2639.8,255.3,480.3,1673.6,2495.3,105.5,77.3,16
0.169646,433.5,198.0,1977.6,161.0,2636.8,252.5,483.1,1673.1,2498.1,105.4,77.1,15.5
0.171646,424.7,212.5,1943.4,195.3,2624.7,287.1,485.9,1672.6,2500.8,105.2,76.9,14.5
0.173646,406.9,259.7,1875.7,326.7,2590.9,378.0,488.8,1672.1,2503.6,105,76.6,13.4
0.175646,386.9,293.3,1733.8,522.0,2532.9,393.9,491.6,1671.5,2506.4,104.9,76.2,12.4
0.177646,375.7,294.8,1568.9,562.6,2513.8,295.7,494.4,1671,2509.1,104.7,75.8,11.8
0.179646,357.0,285.1,1491.8,576.6,2518.9,238.9,497.2,1670.4,2511.8,104.6,75.4,11.6
0.181646,334.8,276.9,1461.5,641.8,2524.4,230.5,500,1669.8,2514.6,104.5,75,11.7
0.183646,330.2,282.7,1454.3,672.5,2526.9,230.5,502.8,1669.2,2517.3,104.3,74.7,11.9
