time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,327.2,504.7,1436.5,617.9,2219.2,365.1,394.4,1738.9,2496.4,0,47.8,-200
0.027417,342.2,473.9,1497.6,560.8,2225.9,386.3,394.5,1738.8,2496.3,0,47.7,-200
0.029417,361.5,464.8,1537.5,507.5,2256.2,364.0,394.6,1738.7,2496.2,0,47.2,-200
0.031417,405.5,441.7,1554.2,485.9,2260.2,271.8,394.7,1738.5,2496,0,46.6,-200
0.033417,462.6,365.3,1556.5,463.2,2238.1,187.7,394.9,1738.3,2495.8,0,46.1,-200
0.035417,509.8,263.2,1541.0,378.8,2216.9,129.6,395.1,1738,2495.5,0,45.8,-200
0.037417,531.1,212.4,1518.7,291.3,2210.0,102.1,395.3,1737.7,2495.2,0,45.8,-200
0.039417,528.4,221.9,1495.2,249.1,2217.6,93.0,395.6,1737.3,2494.8,0,46.3,-200
0.041417,503.4,286.3,1466.9,240.8,2232.6,90.1,395.9,1736.9,2494.4,0,46.9,-200
0.043417,456.2,387.5,1434.9,242.3,2241.3,89.3,396.3,1736.5,2494,0,47.5,-200
0.045417,381.2,482.8,1403.3,233.6,2238.9,93.8,396.7,1735.9,2493.5,0,48.4,-200
0.047417,330.4,476.9,1384.0,221.2,2228.0,105.9,397.1,1735.4,2492.9,0,49.1,-200
0.049417,328.1,407.5,1370.4,227.2,2216.8,131.3,397.6,1734.8,2492.3,0,49.5,-200
0.051417,350.5,357.0,1356.9,268.0,2219.8,178.8,398.1,1734.1,2491.7,0,49.9,-200
0.053417,381.6,341.1,1350.9,325.5,2249.1,213.9,398.6,1733.4,2491,0,50.3,-200
0.055417,416.7,334.1,1356.8,365.9,2275.0,188.8,399.2,1732.6,2490.2,0,50.1,-200
0.057417,444.1,349.8,1368.1,382.4,2273.9,145.4,399.8,1731.8,2489.4,0,50.2,-200
0.059417,457.7,413.2,1367.5,396.5,2261.7,110.0,400.4,1731,2488.6,0,50.5,-200
0.061417,440.2,530.8,1347.4,400.1,2247.1,83.3,401.1,1730.1,2487.7,0,50.8,-200
0.063417,384.1,609.5,1332.9,367.1,2236.7,67.6,401.8,1729.1,2486.8,0,51.5,-200
0.065417,332.8,580.6,1343.3,324.0,2232.1,62.4,402.6,1728.2,2485.8,0,52.1,-200
0.067417,311.3,544.7,1364.8,315.0,2234.2,69.1,403.3,1727.1,2484.8,0,52.7,-203.3
0.069417,292.2,588.1,1388.9,346.3,2242.9,83.5,404.1,1726.1,2483.8,0,53.7,-209.8
0.071417,249.0,737.8,1423.5,404.8,2255.8,94.2,405,1724.9,2482.7,0,55.3,-214.7
0.073417,245.1,800.8,1463.3,421.9,2261.9,95.4,405.9,1723.8,2481.6,0,57.5,-213.1
0.075417,315.7,525.0,1478.8,401.8,2259.7,102.7,406.8,1722.6,2480.4,0,60,-200
0.077417,329.6,364.1,1476.7,416.6,2253.7,132.5,407.7,1721.4,2479.2,0,62.8,-168.9
0.079417,332.3,313.4,1472.8,458.0,2243.2,188.7,408.7,1720.1,2477.9,0,65,-123.2
