time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,757.3,721.3,1770.3,857.4,2849.0,772.0,612.3,1358.3,2549.6,0,49.7,-200
0.027417,786.9,812.2,1771.2,748.6,2873.4,746.4,612.3,1358.2,2549.6,0,49.7,-200
0.029417,767.6,1055.0,1767.5,663.6,2863.0,770.1,612.4,1358.1,2549.6,0,49.9,-200
0.031417,495.1,1640.7,1727.4,550.2,2822.7,801.1,612.4,1358,2549.6,0,49.8,-200
0.033417,130.4,862.4,1695.4,448.0,2789.1,799.7,612.5,1357.8,2549.7,0,49.8,-200
0.035417,1681.5,444.3,2807.9,748.5,3870.3,497.4,612.6,1357.6,2549.7,0,50.1,-200
0.037417,812.2,1419.8,1712.0,563.4,2856.1,609.6,612.6,1357.3,2549.8,0,51.3,-200.9
0.039417,801.9,572.9,1800.7,660.6,2901.4,530.5,612.8,1357,2549.9,0,53.6,-206.4
0.041417,716.5,251.2,1656.9,1320.3,2992.2,930.3,612.9,1356.6,2549.9,0,56.6,-212.7
0.043417,682.9,130.3,1155.5,691.9,2575.5,996.9,613,1356.2,2550,0,59.7,-214.9
0.045417,664.2,94.8,1073.3,468.2,2518.4,946.2,613.2,1355.8,2550.1,0,62.5,-208.2
0.047417,648.9,80.2,1014.4,382.0,2454.1,963.8,613.3,1355.3,2550.2,0,64.8,-186.1
0.049417,637.4,72.0,970.0,341.2,2412.1,975.9,613.5,1354.8,2550.3,0,66.5,-141.1
0.051417,628.4,65.9,932.2,318.1,2387.9,985.6,613.7,1354.2,2550.5,0,67.6,-85.6
0.053417,622.1,60.9,898.7,308.1,2375.0,979.2,613.9,1353.6,2550.6,0,68.2,-34.1
0.055417,618.4,56.7,868.3,311.0,2361.2,919.6,614.1,1353,2550.7,0,68.3,-1.4
0.057417,617.9,53.0,840.7,332.9,2334.2,770.2,614.3,1352.3,2550.9,0,67.9,-2.3
0.059417,621.6,48.4,835.4,391.2,2316.9,613.0,614.6,1351.6,2551,0,67,-40.5
0.061417,627.9,44.8,897.4,442.1,2319.1,537.2,614.8,1350.8,2551.2,0,65.6,-98.2
0.063417,642.3,57.3,994.2,354.9,2332.9,513.7,615.1,1350,2551.4,0,63.9,-156
0.065417,685.7,104.5,1037.8,303.8,2326.4,559.8,615.3,1349.2,2551.6,0,62.3,-194.3
0.067417,728.7,127.9,1060.8,318.4,2279.9,684.8,615.6,1348.3,2551.8,0,61.9,-194.4
0.069417,719.3,111.2,1063.5,319.0,2213.8,807.2,615.9,1347.4,2552,0,62.6,-156.4
