time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025198,1234.5,795.0,2823.1,1189.7,3168.0,2451.9,520.1,1266,2686.2,0,44.1,-200
0.027198,1309.0,745.3,2615.6,1018.8,3639.2,1344.4,520.2,1266,2686.2,0,44.1,-200
0.029198,119.3,1054.7,1436.8,721.9,2563.3,886.9,520.2,1266.1,2686.2,0,43.9,-200
0.031198,336.5,669.5,1548.7,579.3,2576.0,739.4,520.3,1266.3,2686.1,0,43.4,-200
0.033198,400.8,503.9,1574.3,474.0,2607.2,615.4,520.4,1266.5,2686.1,0,42.8,-200
0.035198,440.8,450.5,1560.5,434.9,2625.5,544.6,520.5,1266.7,2686,0,42.3,-200
0.037198,465.5,481.7,1537.8,444.4,2621.0,540.9,520.7,1267,2685.9,0,42.3,-200
0.039198,483.1,653.1,1518.4,526.4,2592.9,676.2,520.8,1267.4,2685.7,0,43.3,-200
0.041198,516.7,1394.5,1488.8,889.5,2410.9,1157.6,521,1267.7,2685.6,0,44.9,-200
0.043198,1103.8,1061.4,2020.4,848.8,3276.5,306.5,521.2,1268.2,2685.4,0,47.4,-200
0.045198,982.3,812.0,1973.3,631.6,3275.2,279.7,521.4,1268.6,2685.3,0,49.9,-200
0.047198,951.1,841.0,1976.0,568.9,3278.2,268.8,521.7,1269.1,2685.1,0,51.6,-200
0.049198,922.3,1045.5,1987.1,556.1,3282.4,260.9,522,1269.7,2684.9,0,53.7,-200.9
0.051198,810.2,1304.4,1982.5,548.6,3290.4,259.5,522.2,1270.3,2684.7,0,55,-206.2
0.053198,556.6,1003.3,1952.9,544.1,3302.7,265.5,522.6,1270.9,2684.4,0,56.3,-212.3
0.055198,499.3,596.9,1897.6,555.9,2712.0,2364.3,522.9,1271.6,2684.2,0,57.4,-214.4
0.057198,499.1,375.7,1779.7,608.0,2646.7,1490.1,523.2,1272.3,2683.9,0,59,-207.9
0.059198,533.6,283.4,1613.1,599.0,2672.8,1015.5,523.6,1273.1,2683.6,0,60.7,-187.5
0.061198,592.3,252.9,1498.3,634.9,2772.2,828.8,524,1273.9,2683.3,0,63.5,-149.7
0.063198,632.6,265.9,1388.6,927.3,2892.2,583.3,524.4,1274.8,2683,0,66.7,-102.5
0.065198,618.8,304.8,995.1,905.3,2608.1,1419.7,524.8,1275.7,2682.7,143.6,69.6,-55.1
0.067198,504.3,229.7,893.3,302.4,2610.5,778.9,525.2,1276.6,2682.3,143.5,72.2,-16.7
0.069198,463.2,115.4,864.7,132.8,2680.0,538.5,525.7,1277.6,2682,143.4,74.4,4.8
0.071198,452.9,70.7,850.3,83.0,2705.4,359.0,526.1,1278.7,2681.6,143.3,76.3,13.1
0.073198,451.4,58.5,846.4,70.6,2697.3,262.4,526.6,1279.8,2681.2,143.2,77.8,13.1
0.075198,451.7,57.7,845.8,67.2,2689.6,207.1,527.1,1280.9,2680.8,143.1,78.9,9.3
0.077198,450.9,60.7,844.6,64.1,2686.4,173.7,527.6,1282,2680.4,143,79.9,6.1
0.079198,449.0,62.6,842.3,60.5,2685.1,156.8,528.2,1283.2,2679.9,142.9,80.6,6.7
0.081198,449.8,64.7,840.7,59.6,2684.4,149.6,528.7,1284.5,2679.5,142.8,81.1,7.9
0.083198,455.8,69.8,841.0,62.4,2685.6,146.5,529.3,1285.8,2679,142.7,81.5,8.8
0.085198,464.9,75.6,843.1,65.4,2687.6,141.1,529.8,1287.1,2678.5,142.6,81.8,9.7
0.087198,473.3,77.3,847.0,66.8,2688.0,134.2,530.4,1288.5,2678,142.6,82,10.8
0.089198,480.3,76.7,852.3,69.2,2686.6,129.3,531,1289.9,2677.5,142.5,82.2,12.1
0.091198,488.2,77.4,858.0,73.2,2685.6,124.0,531.6,1291.4,2677,142.5,82.3,13.7
0.093198,494.4,77.2,862.0,74.5,2686.2,116.8,532.2,1292.9,2676.4,142.5,82.4,15.4
0.095198,498.1,74.5,865.2,73.0,2687.5,109.8,532.8,1294.5,2675.9,142.5,82.5,17
0.097198,501.5,71.5,869.5,71.7,2688.9,105.6,533.5,1296.1,2675.3,142.5,82.6,18.5
0.099198,505.0,70.3,874.8,71.7,2689.8,104.6,534.1,1297.7,2674.7,142.5,82.8,19.5
0.101198,507.5,69.6,882.3,72.6,2690.1,105.9,534.7,1299.4,2674.1,142.6,82.9,20.3
0.103198,510.3,69.0,892.6,75.4,2689.1,110.2,535.4,1301.1,2673.5,142.6,83,20.9
0.105198,514.8,68.4,904.9,78.9,2686.6,118.2,536,1302.9,2672.9,142.7,83.1,21.3
0.107198,519.3,65.9,916.3,78.5,2681.9,131.8,536.7,1304.7,2672.2,142.8,83.2,21.6
0.109198,521.7,60.4,926.1,72.8,2672.8,152.0,537.4,1306.5,2671.6,142.9,83.4,21.6
0.111198,524.1,54.0,937.4,65.2,2657.2,173.7,538,1308.4,2670.9,143,83.5,21.3
0.113198,526.6,49.3,947.4,57.9,2641.9,183.8,538.7,1310.3,2670.2,143.1,83.7,20.8
0.115198,528.0,45.7,954.8,51.8,2632.2,181.3,539.4,1312.3,2669.5,143.3,83.9,20.3
0.117198,528.9,43.3,962.2,48.3,2628.7,170.1,540,1314.3,2668.8,143.5,84.1,19.6
0.119198,531.0,43.7,970.3,48.9,2628.5,155.1,540.7,1316.4,2668.1,143.7,84.3,19
0.121198,533.5,47.4,978.0,53.7,2626.2,138.1,541.4,1318.4,2667.3,143.9,84.4,18.3
0.123198,535.2,52.5,984.6,62.4,2617.5,123.6,542.1,1320.6,2666.6,144.1,84.6,17.4
0.125198,537.7,57.5,992.2,75.4,2604.0,114.2,542.7,1322.8,2665.8,144.3,84.6,16.7
0.127198,541.4,61.5,1001.4,92.6,2593.7,108.5,543.4,1325,2665,144.6,84.7,16.1
0.129198,544.1,63.3,1010.0,111.1,2591.7,104.7,544.1,1327.2,2664.2,144.9,84.7,15.8
0.131198,545.9,63.7,1020.4,136.7,2595.4,103.1,544.7,1329.5,2663.4,145.2,84.6,15.9
0.133198,548.3,64.6,1035.7,175.7,2598.5,107.2,545.4,1331.8,2662.6,145.5,84.6,16.2
0.135198,551.0,65.4,1057.1,230.3,2591.7,123.2,546,1334.2,2661.8,145.8,84.5,16.5
0.137198,551.6,63.5,1081.8,286.7,2561.1,158.2,546.7,1336.6,2660.9,146.2,84.5,16.8
0.139198,549.8,58.8,1102.4,315.7,2509.7,198.4,547.3,1339.1,2660.1,146.5,84.5,16.7
0.141198,547.1,54.0,1116.7,316.7,2454.5,235.0,548,1341.5,2659.2,146.9,84.4,16.6
0.143198,544.2,51.3,1122.8,309.4,2407.3,285.4,548.6,1344.1,2658.3,147.3,84.4,16.4
0.145198,541.2,49.8,1128.2,299.8,2346.4,370.7,549.2,1346.6,2657.4,147.7,84.3,16.1
0.147198,537.9,49.4,1137.8,280.5,2248.7,462.4,549.8,1349.2,2656.5,148.2,84.1,15.6
0.149198,533.4,51.0,1149.8,258.3,2148.0,505.5,550.4,1351.8,2655.6,148.6,83.9,14.8
0.151198,527.0,55.3,1168.0,243.3,2057.8,534.0,551,1354.5,2654.7,149.1,83.6,13.9
0.153198,520.2,63.0,1191.6,238.2,1988.7,555.7,551.5,1357.2,2653.8,149.6,83.1,12.7
0.155198,512.7,77.0,1218.3,239.3,1954.7,578.8,552.1,1360,2652.9,150.1,82.5,11.4
0.157198,503.1,97.5,1247.0,245.3,1959.3,611.9,552.6,1362.7,2651.9,150.6,81.7,10
0.159198,494.6,115.4,1275.9,258.8,1981.9,634.2,553.2,1365.5,2651,151.1,80.8,8.5
0.161198,490.4,128.5,1312.3,294.9,2002.2,648.2,553.7,1368.4,2650,151.6,79.7,6.8
0.163198,492.1,143.1,1361.7,373.8,2012.5,688.9,554.2,1371.3,2649,152.1,78.5,5
0.165198,501.6,171.1,1456.3,535.3,2019.0,870.9,554.6,1374.2,2648.1,152.6,77.3,3.3
0.167198,527.1,203.5,1678.0,560.6,2291.8,2372.3,555.1,1377.1,2647.1,153.1,76.2,1.8
0.169198,542.9,182.8,1758.9,507.9,2781.1,437.8,555.6,1380.1,2646.1,153.5,75.5,0.8
0.171198,527.9,133.4,1721.1,596.9,2740.0,305.5,556,1383.1,2645.1,154,75.5,-0.1
0.173198,509.4,92.3,1562.1,521.0,2709.9,257.2,556.4,1386.2,2644.1,154.4,76.1,-0.7
0.175198,499.9,65.4,1483.2,320.1,2698.1,223.9,556.8,1389.3,2643.1,154.8,77.1,-0.9
0.177198,497.0,53.4,1467.7,204.8,2703.8,207.7,557.1,1392.4,2642,155.2,78.2,-0.8
0.179198,495.9,50.8,1470.8,159.5,2712.5,189.2,557.5,1395.5,2641,155.5,79.2,0
0.181198,494.4,51.4,1481.2,139.5,2711.8,160.0,557.8,1398.7,2640,155.8,80.1,1.5
0.183198,492.2,51.0,1494.3,130.0,2708.2,139.3,558.1,1401.9,2638.9,156.1,80.8,3.4
0.185198,488.5,48.8,1507.9,129.3,2708.3,136.8,558.4,1405.1,2637.9,156.3,81.2,5.5
0.187198,481.8,47.7,1524.2,137.4,2708.1,144.7,558.6,1408.4,2636.9,156.5,81.5,7.3
0.189198,472.0,48.7,1541.0,154.3,2702.2,147.3,558.9,1411.7,2635.8,156.6,81.6,8.6
0.191198,458.8,50.7,1559.7,188.6,2689.7,140.8,559.1,1415,2634.8,156.7,81.4,9.7
0.193198,445.8,53.3,1583.8,248.4,2678.4,134.2,559.3,1418.4,2633.7,156.8,81.1,10.6
0.195198,434.3,57.3,1621.4,334.0,2673.0,133.6,559.4,1421.7,2632.7,156.8,80.7,11.3
0.197198,424.7,63.3,1669.5,421.6,2672.7,141.4,559.6,1425.1,2631.6,156.8,80.2,11.8
0.199198,417.4,71.6,1706.4,485.1,2672.9,160.1,559.7,1428.6,2630.5,156.7,79.6,13
0.201198,410.5,84.2,1730.4,546.2,2667.3,196.3,559.8,1432,2629.5,156.6,78.9,18.6
0.203198,402.5,97.6,1738.0,605.6,2648.5,242.9,559.8,1435.5,2628.4,156.5,78,24.8
0.205198,392.8,108.4,1719.5,641.1,2615.6,278.0,559.8,1439,2627.4,156.3,77,26.8
0.207198,384.1,119.5,1673.8,640.5,2585.3,299.9,559.8,1442.5,2626.3,156.2,75.9,19.5
0.209198,383.8,137.5,1617.6,661.8,2576.8,356.6,559.8,1446.1,2625.2,156,74.6,-2.7
0.211198,398.4,163.9,1535.7,744.9,2599.5,511.0,559.8,1449.7,2624.2,155.8,73.3,-43.6
0.213198,426.8,183.3,1424.2,788.1,2420.0,2295.2,559.7,1453.2,2623.1,155.6,72,-94.6
0.215198,463.5,187.3,1355.1,710.1,2288.4,1742.9,559.6,1456.9,2622.1,155.3,70.7,-145.6
0.217198,495.2,178.1,1335.3,608.1,2378.0,1916.2,559.4,1460.5,2621,155.1,69.7,-186.5
0.219198,506.3,166.0,1315.5,550.7,2705.5,2283.9,559.3,1464.2,2620,154.9,69,-208.5
0.221198,503.6,151.4,1276.4,537.4,2676.7,600.3,559.1,1467.8,2618.9,154.6,68.6,-215.5
0.223198,498.8,140.8,1234.1,565.8,2611.0,465.1,558.8,1471.5,2617.9,154.4,68.4,-213.2
0.225198,493.7,138.6,1203.9,647.9,2574.4,401.4,558.6,1475.3,2616.8,154.2,68.2,-206.6
0.227198,487.7,137.4,1194.9,787.9,2557.8,397.4,558.3,1479,2615.8,154,68.1,-200.9
0.229198,484.6,125.6,1211.9,927.5,2566.6,432.8,558,1482.7,2614.8,153.9,67.9,-200
0.231198,488.2,106.1,1268.9,1006.7,2615.9,448.9,557.6,1486.5,2613.8,153.7,67.6,-200
0.233198,496.3,93.0,1359.3,878.9,2665.8,376.3,557.3,1490.3,2612.7,153.6,67.3,-200
0.235198,506.0,91.5,1371.9,624.5,2695.5,295.3,556.9,1494.1,2611.7,153.5,67,-200
0.237198,519.8,101.9,1351.5,444.1,2720.0,250.8,556.4,1497.9,2610.7,153.5,66.6,-200
0.239198,539.4,115.0,1349.0,341.9,2740.5,243.5,556,1501.7,2609.7,153.5,66.3,-200
0.241198,560.1,121.7,1354.5,286.5,2753.0,258.2,555.5,1505.6,2608.8,153.6,66,-200
0.243198,573.1,126.9,1355.4,274.6,2754.3,283.2,555,1509.4,2607.8,153.7,65.7,-200
0.245198,579.3,138.6,1351.6,296.2,2748.7,305.3,554.4,1513.3,2606.8,153.9,65.3,-200
0.247198,581.0,160.2,1345.6,344.7,2732.5,306.1,553.8,1517.2,2605.9,154.1,64.9,-200
0.249198,579.9,185.0,1341.7,398.0,2702.8,279.6,553.2,1521,2605,154.5,64.4,-200
0.251198,575.7,197.4,1344.0,439.7,2667.6,236.4,552.6,1524.9,2604,154.9,63.8,-200
0.253198,570.4,184.0,1359.1,455.5,2642.1,198.9,551.9,1528.8,2603.1,155.4,63.2,-200
0.255198,568.9,159.8,1384.3,458.3,2628.2,178.5,551.2,1532.7,2602.2,156,62.6,-200
0.257198,571.8,141.5,1399.3,481.2,2625.7,185.3,550.5,1536.6,2601.3,156.7,62,-200
0.259198,575.3,132.1,1386.0,538.3,2631.1,227.3,549.8,1540.6,2600.5,157.4,61.4,-200.9
0.261198,577.2,125.8,1347.6,577.3,2635.9,305.9,549,1544.5,2599.6,158.3,61,-206.3
0.263198,575.4,129.8,1317.1,555.4,2634.9,384.6,548.2,1548.4,2598.8,159.3,60.6,-212.6
0.265198,567.0,154.6,1292.8,508.7,2631.5,431.3,547.3,1552.4,2597.9,160.4,60.5,-214.8
0.267198,546.5,202.4,1262.0,434.6,2629.6,448.1,546.5,1556.3,2597.1,161.5,60.5,-208.2
0.269198,505.1,241.8,1225.8,354.4,2651.8,491.3,545.6,1560.2,2596.3,162.7,60.7,-187.1
0.271198,454.4,253.0,1208.8,314.2,2644.7,530.4,544.7,1564.2,2595.6,164.1,61,-148
0.273198,443.0,396.7,1283.6,535.9,2628.3,421.5,543.8,1568.1,2594.8,0,61.4,-99.2
0.275198,455.5,658.2,1547.2,1039.5,2667.0,473.8,542.8,1572,2594.1,0,62,-50.4
0.277198,436.2,895.8,1794.3,909.5,2699.7,461.7,541.8,1576,2593.3,0,62.7,-11.4
0.279198,435.1,1231.5,1830.3,813.3,2705.8,437.2,540.8,1579.9,2592.7,0,63.6,10.2
0.281198,593.1,1178.9,1855.7,757.3,2710.3,406.8,539.8,1583.8,2592,0,64.5,21.7
0.283198,699.3,896.4,1892.9,693.2,2719.9,367.9,538.8,1587.8,2591.3,0,65.2,25
0.285198,734.6,669.5,1926.7,644.7,2734.4,333.0,537.7,1591.7,2590.7,0,65.8,20.4
0.287198,738.3,508.3,1956.4,623.8,2751.9,304.1,536.6,1595.6,2590.1,0,66.2,7.9
0.289198,722.5,414.7,1976.4,637.2,2767.0,285.2,535.5,1599.5,2589.5,0,66.3,-15
0.291198,690.8,361.1,1985.0,685.0,2779.2,272.8,534.4,1603.4,2588.9,0,66.4,-59.2
0.293198,653.9,328.5,1982.3,756.6,2784.6,260.7,533.2,1607.3,2588.4,0,66.4,-113.7
0.295198,615.7,305.5,1975.6,868.0,2772.8,243.6,532,1611.2,2587.9,0,66.6,-164
0.297198,566.5,299.5,1997.7,1056.2,2733.8,222.6,530.8,1615.1,2587.4,0,67.4,-195.7
0.299198,493.4,283.4,2100.7,1157.5,2687.8,209.6,529.6,1619,2586.9,0,68.8,-194.8
0.301198,422.8,199.5,2265.1,888.1,2660.7,246.2,528.4,1622.8,2586.5,0,70.6,-161.1
0.303198,401.1,132.4,2344.4,494.2,2689.7,379.6,527.2,1626.7,2586.1,0,72.4,-108.7
0.305198,403.3,104.0,2325.3,277.1,2775.0,475.8,525.9,1630.5,2585.7,188.4,74.1,-52.4
0.307198,413.7,94.4,2300.6,186.6,2837.4,523.7,524.7,1634.3,2585.3,189.3,75.6,-6.9
0.309198,425.4,92.3,2282.3,153.7,2847.4,538.7,523.4,1638.1,2585,190.1,76.8,15.3
0.311198,435.1,89.6,2268.2,150.4,2809.1,533.0,522.1,1641.9,2584.7,190.7,77.8,21.4
