time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025458,454.9,741.8,1662.0,696.2,2612.5,1045.5,490.1,1180.1,2375.9,0,45.7,-200
0.027458,489.7,743.8,1680.4,767.6,2602.7,1037.4,490.1,1180.3,2376,0,45.6,-200
0.029458,516.1,715.2,1707.0,909.9,2560.8,1106.1,490.2,1180.6,2376,0,45.8,-200
0.031458,535.7,689.5,1819.4,1297.7,2310.4,1393.5,490.3,1181,2376.2,0,46.2,-200
0.033458,546.5,658.9,1313.3,1943.1,2122.4,708.4,490.4,1181.5,2376.3,0,46.6,-200
0.035458,572.5,630.6,1052.3,1933.8,2111.1,512.7,490.5,1182.1,2376.5,0,47,-200
0.037458,616.1,581.1,732.7,2732.7,2102.4,491.9,490.7,1182.9,2376.8,0,47.4,-200
0.039458,619.1,537.4,2094.7,581.8,3122.2,1008.7,490.8,1183.8,2377,0,47.3,-200
0.041458,579.1,509.0,1778.1,3192.7,2055.2,814.0,491,1184.8,2377.3,0,46.8,-200
0.043458,536.0,457.7,1722.0,887.6,2393.3,1183.1,491.3,1185.9,2377.7,0,46.5,-200
0.045458,500.9,404.3,1623.4,580.1,2411.9,822.8,491.5,1187.1,2378.1,0,45.9,-200
0.047458,472.8,362.6,1569.8,474.8,2389.7,663.3,491.8,1188.5,2378.5,0,46.2,-200
0.049458,450.0,353.5,1522.4,440.3,2393.0,575.6,492.1,1190,2378.9,0,45.7,-200
0.051458,440.7,383.6,1509.4,407.1,2436.0,564.5,492.4,1191.5,2379.4,0,46.3,-200
0.053458,467.9,447.8,1535.6,359.9,2514.0,627.8,492.7,1193.2,2379.9,0,48,-200
0.055458,525.1,496.3,1557.4,343.2,2593.7,673.2,493.1,1195,2380.5,0,50.3,-200
0.057458,540.0,507.6,1561.5,361.2,2631.9,700.9,493.4,1196.9,2381,0,53.1,-200
0.059458,519.6,503.5,1553.6,398.6,2637.5,753.5,493.8,1198.9,2381.7,0,55,-200
0.061458,494.8,475.2,1534.7,449.5,2606.1,837.6,494.3,1201.1,2382.3,0,57.1,-200
0.063458,478.2,425.7,1501.5,513.3,2525.2,920.4,494.7,1203.3,2383,0,58.7,-200
