time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025917,523.2,601.0,1631.5,607.3,2919.2,655.4,509.9,1899.1,2821.9,0,49.6,-200
0.027917,571.4,690.1,1662.5,625.9,2992.1,585.3,509.8,1899.1,2821.8,0,49.4,-200
0.029917,697.5,975.8,1702.1,684.1,3038.9,485.3,509.8,1898.9,2821.5,0,49.5,-200
0.031917,911.3,966.5,1707.7,729.2,3048.0,419.7,509.8,1898.8,2821.1,0,49.9,-200
0.033917,987.1,1138.8,1642.3,773.7,3021.1,419.6,509.7,1898.5,2820.7,0,50.3,-200
0.035917,889.1,1955.6,1541.3,688.3,2970.3,495.4,509.6,1898.3,2820.1,0,50.5,-200
0.037917,249.5,944.0,1510.4,575.1,2876.3,694.4,509.5,1897.9,2819.4,0,50.4,-200
0.039917,392.8,649.2,1500.7,581.6,2642.3,854.1,509.4,1897.6,2818.7,0,50.1,-200
0.041917,484.8,504.7,1504.7,695.6,2466.3,773.0,509.3,1897.1,2817.8,0,50.4,-200
0.043917,567.4,421.6,1668.0,945.9,2417.8,870.4,509.1,1896.7,2816.8,0,50.6,-200
0.045917,608.1,319.4,1944.1,526.4,2677.0,1012.9,509,1896.1,2815.7,0,51.2,-200.9
0.047917,636.8,286.6,1978.6,215.5,2768.2,534.9,508.8,1895.6,2814.6,0,53.4,-206.3
0.049917,662.9,297.8,1989.9,136.8,2768.8,392.8,508.6,1894.9,2813.3,0,56.2,-212.6
0.051917,657.6,258.4,1990.0,117.2,2756.6,358.7,508.5,1894.3,2811.9,0,59.1,-214.8
0.053917,640.8,216.6,1988.2,112.9,2748.5,355.3,508.2,1893.6,2810.4,0,61.7,-208.1
0.055917,623.6,190.0,1987.4,113.2,2755.2,355.2,508,1892.8,2808.9,0,64.1,-187.1
0.057917,606.1,171.9,1986.7,112.2,2778.3,331.9,507.8,1892,2807.2,0,66.3,-148.2
0.059917,588.9,155.3,1982.0,108.4,2802.3,286.6,507.5,1891.1,2805.4,0,68.2,-99.6
0.061917,571.7,133.5,1971.5,105.3,2821.3,248.9,507.3,1890.2,2803.6,0,69.8,-50.9
0.063917,558.3,111.4,1958.8,99.1,2831.6,218.2,507,1889.2,2801.6,0,71.1,-11.8
0.065917,553.2,95.2,1948.6,86.7,2830.6,192.2,506.7,1888.2,2799.5,0,72.1,9.5
0.067917,553.8,81.1,1942.9,76.9,2832.8,166.1,506.4,1887.2,2797.4,0,72.9,16.7
0.069917,556.1,70.9,1945.1,81.4,2843.7,138.4,506.1,1886.1,2795.2,109.7,73.5,15.1
0.071917,558.3,68.4,1959.2,106.6,2847.7,111.9,505.8,1885,2792.8,109.8,74.1,9.5
0.073917,560.1,70.9,1982.1,138.8,2841.0,96.3,505.4,1883.8,2790.4,109.8,74.7,4.7
0.075917,561.5,71.5,1983.5,128.8,2829.6,92.5,505.1,1882.5,2787.9,109.8,75.3,4.3
0.077917,563.5,73.0,1964.6,91.1,2814.5,107.4,504.7,1881.3,2785.3,109.8,76,4.8
0.079917,563.8,78.0,1951.2,71.2,2799.4,153.0,504.3,1879.9,2782.6,109.8,76.6,5.2
0.081917,556.7,81.8,1944.1,69.6,2799.1,230.4,503.9,1878.6,2779.9,109.8,77.3,5.6
0.083917,542.6,77.5,1939.7,81.1,2833.5,359.1,503.5,1877.2,2777,109.8,77.8,5.9
0.085917,531.5,66.6,1933.5,95.5,2878.4,536.6,503.1,1875.7,2774.1,109.8,78.4,6.2
0.087917,528.3,56.9,1922.5,93.9,2867.6,672.4,502.7,1874.3,2771.1,109.7,78.8,6.3
0.089917,529.5,51.7,1914.0,76.2,2834.0,652.4,502.3,1872.7,2768,109.7,79.2,6.3
0.091917,528.9,48.6,1909.5,60.0,2835.2,581.4,501.8,1871.2,2764.8,109.6,79.6,6.4
0.093917,526.4,46.5,1906.2,48.9,2852.2,516.0,501.4,1869.5,2761.6,109.5,79.7,6.5
0.095917,524.9,46.0,1902.9,42.6,2868.7,473.2,500.9,1867.9,2758.3,109.4,79.8,6.9
0.097917,525.7,48.1,1899.4,42.1,2884.2,468.2,500.4,1866.2,2754.9,109.3,79.7,7.4
0.099917,527.4,53.8,1898.7,51.7,2902.5,528.0,499.9,1864.5,2751.4,109.2,79.4,8.1
0.101917,526.4,62.0,1910.1,73.3,2933.2,650.0,499.4,1862.7,2747.9,109.1,79.1,8.7
0.103917,522.2,69.4,1938.5,88.5,2975.0,722.0,498.9,1860.9,2744.3,109,78.9,9.1
0.105917,517.8,75.6,1956.1,85.0,2979.3,687.9,498.4,1859.1,2740.6,108.9,78.7,9
0.107917,514.7,83.0,1954.0,78.6,2938.8,641.3,497.9,1857.2,2736.8,108.7,78.6,8.4
0.109917,510.4,89.3,1944.1,73.1,2886.4,561.9,497.4,1855.3,2733,108.6,78.6,7.6
0.111917,500.8,89.4,1933.4,72.0,2831.6,438.1,496.8,1853.4,2729.2,108.5,78.7,6.8
0.113917,487.1,83.7,1922.2,80.4,2775.7,292.8,496.3,1851.4,2725.3,108.4,78.6,6.3
0.115917,473.2,78.3,1910.0,100.1,2737.9,193.5,495.7,1849.4,2721.3,108.2,78.5,6.5
0.117917,458.4,78.5,1894.7,129.5,2716.8,143.1,495.1,1847.3,2717.2,108.1,78.4,7.2
0.119917,440.6,85.0,1881.4,159.4,2706.5,117.7,494.6,1845.3,2713.1,108,78.2,8.2
0.121917,420.6,92.5,1874.9,188.0,2701.5,102.6,494,1843.2,2709,107.9,78,9.3
0.123917,401.4,98.5,1873.4,218.8,2698.0,95.8,493.4,1841,2704.8,107.8,77.8,10.1
0.125917,383.3,98.9,1871.3,265.5,2694.0,107.5,492.8,1838.9,2700.5,107.7,77.6,10.6
0.127917,363.1,88.8,1873.5,368.5,2679.2,180.3,492.2,1836.7,2696.3,107.6,77.4,10.5
0.129917,345.7,78.7,1913.2,543.4,2596.7,348.9,491.6,1834.4,2691.9,107.5,77.4,10.3
0.131917,334.7,78.3,1987.1,693.6,2488.6,366.5,491,1832.2,2687.5,107.4,77.5,10.1
0.133917,330.2,85.8,2041.3,695.1,2472.6,320.9,490.4,1829.9,2683.1,107.3,77.7,10.1
