time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025448,412.6,649.2,1453.1,580.3,2694.3,1136.4,547.2,1874.7,2709.6,0,50.6,-200
0.027448,418.9,642.1,1432.8,548.4,2617.8,968.2,547.1,1874.8,2709.6,0,50.5,-200
0.029448,372.3,609.3,1433.2,493.8,2608.2,706.6,547,1875,2709.7,0,50.7,-200
0.031448,345.0,488.6,1455.4,446.9,2572.5,560.7,546.9,1875.3,2709.8,0,51,-200
0.033448,353.2,361.3,1483.1,441.4,2515.5,542.0,546.7,1875.6,2709.9,0,51.3,-200
0.035448,378.5,279.6,1498.3,472.7,2422.7,586.1,546.5,1876.1,2710.1,0,51.5,-200
0.037448,406.9,232.2,1498.3,477.8,2335.7,599.8,546.3,1876.6,2710.3,0,51.2,-203.2
0.039448,428.3,228.3,1531.6,451.4,2369.5,675.3,546,1877.2,2710.5,0,51.5,-209.6
0.041448,443.6,321.1,1665.8,426.7,2690.0,728.7,545.7,1877.8,2710.7,0,52.5,-214.4
0.043448,480.0,752.4,1825.8,304.2,2783.4,274.4,545.3,1878.6,2711,0,54.6,-212.8
0.045448,1028.4,956.9,1896.1,215.3,2786.1,166.3,544.9,1879.4,2711.3,0,57.5,-200
0.047448,1091.4,744.9,1917.2,156.1,2785.2,133.1,544.5,1880.3,2711.6,0,60.6,-169.5
0.049448,1004.4,660.4,1921.9,112.3,2781.7,128.3,544,1881.3,2711.9,0,63.5,-124.7
0.051448,860.8,600.4,1926.8,82.4,2778.6,142.4,543.5,1882.3,2712.3,0,66.1,-75
0.053448,715.1,412.5,1932.5,61.9,2771.8,183.4,543,1883.4,2712.7,0,68.3,-30.1
0.055448,643.4,246.9,1938.5,48.7,2754.1,246.6,542.4,1884.6,2713.1,0,70.1,0.3
0.057448,610.2,159.1,1943.1,41.3,2724.4,305.2,541.8,1885.9,2713.6,0,71.4,13
0.059448,591.6,114.9,1945.7,37.4,2696.2,334.1,541.2,1887.2,2714.1,0,72.4,14.4
0.061448,579.6,92.4,1947.1,34.5,2684.7,324.8,540.5,1888.6,2714.6,0,73,9.4
0.063448,572.5,83.8,1948.8,31.8,2692.6,279.9,539.8,1890.1,2715.1,0,73.4,2.9
0.065448,571.7,86.1,1952.4,29.9,2710.0,220.1,539,1891.7,2715.6,99.1,73.5,0
0.067448,577.0,93.4,1959.4,31.1,2726.3,179.8,538.3,1893.3,2716.2,99.1,73.7,0.6
0.069448,580.6,95.1,1966.1,35.3,2739.5,174.6,537.4,1895,2716.8,99.1,73.8,1.4
0.071448,580.0,91.6,1967.1,38.0,2738.6,201.5,536.6,1896.7,2717.4,99.1,74,2.5
0.073448,578.2,91.2,1967.4,41.3,2701.5,263.1,535.7,1898.5,2718,99.1,74.3,3.6
0.075448,573.1,101.8,1972.1,50.5,2641.6,320.0,534.8,1900.4,2718.7,99,74.5,4.7
0.077448,566.4,111.5,1975.3,61.0,2602.3,360.1,533.9,1902.4,2719.4,99,74.7,5.9
0.079448,561.6,107.9,1973.9,63.8,2595.6,375.4,532.9,1904.4,2720.1,99,74.9,7.3
0.081448,558.7,98.3,1971.3,59.1,2622.4,355.1,531.9,1906.4,2720.8,99,75,8.7
0.083448,558.8,92.2,1970.7,52.6,2670.1,287.0,530.9,1908.6,2721.5,98.9,75.1,9.9
0.085448,561.4,91.4,1973.7,50.1,2705.0,206.1,529.9,1910.7,2722.3,98.8,75.2,10.8
0.087448,563.8,92.6,1976.6,49.4,2716.3,160.4,528.8,1913,2723.1,98.8,75.2,11.3
0.089448,563.7,89.9,1974.0,44.9,2719.0,137.7,527.7,1915.3,2723.9,98.7,75.3,11.6
0.091448,561.8,83.8,1968.9,38.8,2722.7,125.6,526.6,1917.6,2724.7,98.6,75.5,11.7
0.093448,561.0,79.7,1966.4,35.6,2728.5,128.6,525.4,1920,2725.5,98.5,75.5,11.6
0.095448,560.5,81.4,1970.2,38.7,2732.5,158.8,524.2,1922.5,2726.3,98.4,75.6,11.2
0.097448,559.3,88.2,1977.2,45.5,2728.2,202.8,523,1925,2727.2,98.3,75.6,10.4
0.099448,556.4,93.0,1979.0,46.6,2721.4,218.4,521.8,1927.5,2728.1,98.2,75.6,9.1
0.101448,553.2,91.8,1975.8,41.2,2721.8,204.5,520.6,1930.1,2728.9,98.1,75.6,7.7
0.103448,553.1,87.6,1971.9,34.3,2730.8,176.5,519.3,1932.8,2729.8,98,75.4,6.4
0.105448,555.3,84.1,1968.6,30.1,2746.8,141.0,518,1935.5,2730.7,97.9,75.2,5.8
0.107448,554.5,88.3,1963.8,32.6,2759.9,108.5,516.7,1938.2,2731.6,97.7,74.8,5.8
0.109448,545.0,106.1,1954.0,43.9,2758.8,88.7,515.4,1941,2732.6,97.6,74.5,6.2
0.111448,527.9,132.0,1940.2,57.5,2746.2,74.9,514.1,1943.8,2733.5,97.5,74.1,6.9
0.113448,511.2,157.1,1928.7,67.6,2727.4,62.7,512.7,1946.6,2734.5,97.4,73.7,7.7
0.115448,498.5,182.3,1921.3,81.1,2704.7,53.2,511.3,1949.5,2735.4,97.3,73.4,8.4
0.117448,483.8,207.6,1914.9,107.3,2683.3,46.5,509.9,1952.4,2736.4,97.2,73.2,9.1
0.119448,465.4,211.5,1906.1,129.5,2671.6,40.4,508.5,1955.3,2737.3,97.1,73.1,9.8
0.121448,448.2,197.5,1897.9,122.5,2669.0,34.7,507.1,1958.3,2738.3,97,73.1,10.6
0.123448,429.2,192.4,1891.8,104.9,2670.7,31.6,505.7,1961.3,2739.3,96.9,73.2,11.2
0.125448,407.6,195.7,1885.4,93.5,2676.5,33.2,504.3,1964.3,2740.3,96.8,73.3,11.7
0.127448,397.0,196.3,1879.7,88.5,2687.6,38.9,502.8,1967.3,2741.2,96.7,73.5,12
0.129448,408.9,187.5,1877.3,82.7,2697.4,41.1,501.3,1970.4,2742.2,96.6,73.7,12.1
0.131448,422.0,175.1,1878.7,74.4,2698.6,36.8,499.9,1973.5,2743.2,96.6,73.8,12.1
0.133448,424.7,175.1,1883.0,66.1,2695.1,31.7,498.4,1976.6,2744.2,96.5,73.9,12.2
0.135448,419.5,185.9,1889.9,61.8,2692.4,30.5,496.9,1979.7,2745.2,96.4,73.9,12.4
0.137448,408.7,197.1,1900.9,66.7,2694.6,36.6,495.4,1982.8,2746.1,96.4,73.8,12.8
0.139448,404.1,193.5,1915.0,77.5,2703.2,47.8,493.9,1985.9,2747.1,96.4,73.7,13.4
0.141448,410.7,183.1,1926.3,80.5,2710.4,53.6,492.4,1989.1,2748.1,96.3,73.7,14
0.143448,421.2,185.0,1931.6,71.8,2711.2,52.5,490.9,1992.2,2749.1,96.3,73.6,14.6
0.145448,436.9,191.2,1933.6,60.6,2710.6,52.4,489.4,1995.4,2750,96.3,73.6,15.1
