time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025604,937.7,483.9,1962.6,380.7,3052.2,687.9,479.5,1756.8,2810.8,0,47.8,-200
0.027604,903.2,447.7,1948.4,365.3,2991.2,669.5,479.6,1756.7,2810.7,0,47.1,-200
0.029604,884.6,432.3,1924.6,376.4,2926.5,636.7,479.7,1756.5,2810.6,0,46.6,-200
0.031604,895.6,441.2,1896.8,394.7,2867.2,556.6,479.9,1756.4,2810.5,0,46.6,-200
0.033604,900.7,488.2,1872.6,426.0,2849.2,483.2,480.1,1756.1,2810.2,0,47.8,-200
0.035604,787.6,632.4,1844.2,486.7,2880.5,459.3,480.4,1755.8,2810,0,49.7,-200
0.037604,540.4,474.0,1831.2,498.4,2924.0,409.7,480.8,1755.5,2809.7,0,52.1,-200
0.039604,493.6,286.8,1843.2,439.6,2933.9,309.4,481.2,1755.1,2809.3,0,54.4,-200
0.041604,487.0,219.4,1829.4,356.9,2914.7,235.2,481.6,1754.7,2808.9,0,56.6,-200
0.043604,487.9,182.5,1799.6,274.3,2893.5,197.3,482.1,1754.2,2808.5,210.7,58.3,-200
0.045604,491.1,157.5,1775.9,205.7,2881.1,193.6,482.7,1753.7,2808,209.9,59.7,-200
0.047604,494.3,145.1,1768.0,169.0,2888.4,230.0,483.3,1753.1,2807.5,209.1,60.8,-200
0.049604,499.4,141.5,1771.8,153.2,2927.4,303.0,484,1752.4,2806.9,208.2,61.7,-200
0.051604,509.7,140.0,1781.2,143.5,2990.4,353.3,484.7,1751.7,2806.3,207.2,62.2,-200
0.053604,522.9,137.4,1790.8,135.5,3027.7,320.0,485.5,1751,2805.6,206.1,62.6,-200
0.055604,533.3,142.3,1800.1,134.4,3023.2,248.6,486.3,1750.2,2804.9,205,62.9,-200
0.057604,537.1,165.8,1809.3,145.2,3000.2,195.3,487.2,1749.4,2804.1,203.7,63.1,-200
0.059604,531.4,219.2,1822.0,176.5,2974.6,168.1,488.1,1748.5,2803.3,202.4,63.2,-200
0.061604,503.2,307.4,1840.1,240.5,2944.0,171.6,489.1,1747.6,2802.5,201,63.3,-200
0.063604,430.3,375.5,1852.4,334.5,2892.8,198.1,490.1,1746.6,2801.6,199.5,63.5,-200
0.065604,360.8,314.8,1837.5,406.8,2819.9,203.3,491.2,1745.6,2800.7,197.9,63.6,-200
0.067604,335.6,247.5,1813.6,401.8,2773.7,175.9,492.3,1744.5,2799.7,196.2,63.7,-200
0.069604,321.9,201.0,1800.6,374.4,2759.9,160.4,493.5,1743.4,2798.7,194.4,63.7,-200
0.071604,311.7,173.3,1793.2,357.7,2763.6,163.3,494.7,1742.2,2797.6,192.4,63.7,-200
0.073604,302.3,161.5,1791.6,350.2,2778.3,172.0,496,1741,2796.5,190.4,63.7,-200
0.075604,292.7,157.6,1802.6,334.1,2803.6,174.0,497.3,1739.8,2795.4,188.3,63.5,-200
0.077604,284.6,152.8,1820.7,278.5,2829.3,166.3,498.7,1738.5,2794.2,186,63.3,-200
0.079604,279.3,153.1,1829.1,203.8,2846.2,158.4,500.1,1737.2,2793,183.6,63.1,-200
0.081604,277.5,174.3,1826.8,158.6,2854.3,158.1,501.5,1735.8,2791.7,181.2,62.9,-200
0.083604,278.4,219.6,1821.7,142.4,2856.0,165.9,503,1734.4,2790.4,178.6,62.6,-200
0.085604,281.6,284.8,1819.8,135.3,2854.4,180.6,504.6,1733,2789.1,176,62.3,-200.9
0.087604,292.9,350.4,1820.2,120.7,2854.4,200.5,506.2,1731.5,2787.7,173.2,62.1,-206.3
0.089604,327.3,395.9,1816.4,97.2,2860.2,230.4,507.8,1729.9,2786.3,0,61.8,-212.6
0.091604,388.1,392.3,1807.9,75.2,2876.2,277.0,509.5,1728.4,2784.8,0,61.7,-214.8
0.093604,440.7,347.4,1799.5,61.1,2908.5,326.0,511.2,1726.8,2783.3,0,61.8,-208.1
0.095604,455.3,299.1,1793.5,57.0,2943.9,309.7,513,1725.1,2781.8,0,62.6,-187.1
0.097604,433.0,262.9,1790.4,63.9,2940.1,252.2,514.8,1723.5,2780.2,0,63.8,-148.1
0.099604,394.2,222.9,1787.2,86.7,2917.0,210.1,516.6,1721.7,2778.6,0,65.6,-99.4
0.101604,369.3,187.0,1779.0,147.1,2885.2,185.9,518.5,1720,2777,0,67.5,-50.7
0.103604,368.1,176.3,1755.6,295.8,2845.4,175.7,520.4,1718.2,2775.4,0,69.3,-11.8
0.105604,379.7,176.7,1699.6,580.4,2812.3,167.9,522.3,1716.4,2773.7,0,70.8,9
0.107604,393.3,175.1,1631.7,911.5,2803.0,156.1,524.3,1714.6,2771.9,0,72,14.9
0.109604,406.5,172.3,1627.1,1199.5,2808.7,138.5,526.4,1712.7,2770.2,0,72.8,11.9
0.111604,417.9,167.9,1714.0,1152.4,2815.1,115.9,528.4,1710.8,2768.4,0,73.3,5.1
0.113604,424.8,162.6,1729.7,843.6,2811.5,97.1,530.5,1708.9,2766.6,136.3,73.6,-0.2
0.115604,426.7,163.5,1714.5,604.4,2798.1,87.3,532.7,1707,2764.7,133.9,73.7,0
0.117604,422.2,170.6,1711.1,490.3,2785.7,85.3,534.8,1705,2762.8,131.5,73.8,2.2
0.119604,412.0,174.6,1714.6,451.8,2779.0,89.4,537,1703,2760.9,129.4,73.9,5.1
0.121604,402.7,172.9,1709.5,467.2,2776.9,98.7,539.2,1701,2759,127.3,74.1,8.1
0.123604,400.9,169.3,1686.6,501.9,2774.2,107.4,541.5,1699,2757.1,125.3,74.3,10.7
0.125604,404.4,165.2,1666.0,515.9,2765.2,110.3,543.8,1696.9,2755.1,123.5,74.6,12.3
0.127604,403.3,161.5,1660.9,535.7,2750.9,108.4,546.1,1694.8,2753.1,121.9,74.8,13.6
0.129604,397.5,160.3,1652.4,583.2,2733.1,105.8,548.4,1692.7,2751,120.3,74.9,14.4
0.131604,391.8,162.6,1629.6,622.7,2720.1,103.2,550.8,1690.6,2749,118.9,75,14.9
0.133604,395.1,175.6,1635.1,575.9,2719.1,101.8,553.2,1688.5,2746.9,117.6,75,14.9
0.135604,417.9,217.1,1696.8,449.1,2727.2,106.5,555.6,1686.3,2744.8,116.4,75,14.2
0.137604,476.8,284.5,1746.7,297.0,2736.2,121.4,558,1684.2,2742.7,115.2,75.1,12.5
0.139604,566.7,273.5,1761.1,190.2,2744.4,156.2,560.5,1682,2740.6,114.2,75.4,10.3
0.141604,609.6,199.3,1759.3,136.2,2755.1,202.8,563,1679.8,2738.4,113.3,75.8,8
0.143604,618.1,141.0,1753.4,110.9,2765.1,228.9,565.5,1677.6,2736.2,112.4,76.3,6.2
0.145604,619.9,110.6,1748.4,100.9,2766.9,226.4,568,1675.4,2734,111.6,76.7,5.1
0.147604,628.0,106.3,1745.7,99.5,2757.0,211.7,570.5,1673.2,2731.8,110.9,77.1,4.6
0.149604,647.4,113.8,1744.4,96.2,2744.1,193.1,573.1,1671,2729.6,110.2,77.5,4.5
0.151604,669.5,116.4,1744.1,89.5,2736.1,173.7,575.7,1668.8,2727.4,109.6,77.8,4.7
0.153604,680.5,109.7,1743.6,84.2,2732.6,158.0,578.3,1666.5,2725.1,109,78.1,5
0.155604,682.9,104.0,1739.8,86.7,2732.2,153.1,580.9,1664.3,2722.8,108.4,78.3,5.4
0.157604,687.3,110.9,1727.2,104.8,2734.8,171.6,583.5,1662.1,2720.6,107.9,78.5,6.3
0.159604,699.2,128.2,1707.0,131.0,2737.5,206.6,586.1,1659.8,2718.3,107.4,78.6,7.5
0.161604,712.4,137.1,1693.1,140.6,2736.2,228.0,588.8,1657.6,2716,106.9,78.6,8.5
0.163604,716.5,133.3,1688.7,136.6,2732.2,230.3,591.4,1655.4,2713.7,106.4,78.5,9.2
0.165604,713.5,128.0,1687.4,136.8,2728.1,231.5,594.1,1653.1,2711.4,106,78.5,9.1
0.167604,713.8,133.3,1681.2,159.1,2722.4,252.0,596.7,1650.9,2709,105.5,78.4,8.2
0.169604,720.9,149.2,1660.3,205.5,2708.4,285.3,599.4,1648.7,2706.7,105.1,78.2,6.9
