time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025365,948.0,726.9,1847.6,422.3,2870.5,433.0,500.8,1784.8,2546.9,0,48.6,-200
0.027365,989.3,537.3,1867.3,461.2,2857.8,351.8,500.8,1784.8,2546.9,0,48.5,-200
0.029365,1047.4,504.0,1925.9,671.1,2866.0,360.5,500.8,1784.7,2546.8,0,48.6,-200
0.031365,1155.9,478.2,2167.4,931.1,2886.7,476.4,500.8,1784.6,2546.8,0,48.8,-200
0.033365,332.8,717.4,1214.0,379.6,2443.5,692.6,500.8,1784.5,2546.8,0,49.2,-200
0.035365,333.3,668.5,1228.9,364.3,2484.0,426.1,500.7,1784.3,2546.7,0,49.9,-200
0.037365,214.7,952.9,1217.3,439.4,2459.4,328.4,500.7,1784.1,2546.7,0,50.7,-200
0.039365,1095.9,1911.8,1138.1,562.2,2411.6,286.4,500.7,1783.9,2546.6,0,51.3,-200
0.041365,1051.3,470.4,1510.3,1352.0,2372.7,245.5,500.6,1783.6,2546.6,0,51.8,-200
0.043365,1064.7,373.1,1608.0,1100.8,2353.6,225.3,500.6,1783.3,2546.5,0,52,-200
0.045365,1102.2,337.3,1633.6,1119.6,2348.8,247.8,500.5,1783,2546.4,0,52,-200
0.047365,1149.9,344.7,1636.2,1529.9,2349.2,314.9,500.4,1782.7,2546.4,0,51.8,-200
0.049365,1204.2,355.8,2347.7,392.8,2433.5,2922.4,500.4,1782.3,2546.3,0,51.4,-200
0.051365,406.2,879.8,1245.7,364.9,2362.1,414.6,500.3,1781.9,2546.2,0,51,-200
0.053365,457.5,677.0,1279.7,421.9,2400.1,362.4,500.2,1781.5,2546.1,0,50.6,-200
0.055365,481.4,666.2,1342.2,518.3,2422.8,284.6,500.2,1781,2546,0,50.3,-200.9
0.057365,484.3,725.5,1394.2,509.3,2421.4,249.4,500.1,1780.5,2545.9,0,50.9,-206.5
0.059365,427.8,829.0,1343.9,440.4,2391.4,295.8,500,1780,2545.7,0,49.7,-213
0.061365,325.8,1078.9,1278.7,359.6,2309.4,368.8,499.9,1779.5,2545.6,0,49.8,-215.3
0.063365,1235.3,300.4,2229.3,335.3,2483.9,1901.4,499.8,1778.9,2545.5,0,50.8,-208.4
0.065365,1213.7,259.2,2158.0,1943.6,2206.1,295.3,499.7,1778.3,2545.3,0,52.7,-186.7
0.067365,1227.6,257.5,2197.4,266.5,2462.1,1921.6,499.6,1777.7,2545.2,0,55.9,-146.2
0.069365,320.0,671.9,1294.4,259.6,2199.3,214.9,499.5,1777,2545,0,59.4,-95.8
0.071365,344.5,242.2,1328.5,255.9,2231.9,197.6,499.3,1776.3,2544.9,0,62.6,-45.4
0.073365,330.0,151.0,1350.3,342.7,2270.7,182.6,499.2,1775.6,2544.7,0,65.3,-5.3
0.075365,320.1,145.2,1390.6,471.4,2282.0,163.8,499.1,1774.9,2544.5,0,67.6,15.7
0.077365,309.9,157.4,1443.9,571.2,2287.8,157.7,498.9,1774.1,2544.3,0,69.5,21.1
0.079365,299.0,167.8,1485.9,621.5,2298.1,157.1,498.8,1773.3,2544.1,0,70.9,17.1
0.081365,289.1,169.2,1513.5,642.8,2309.8,154.8,498.7,1772.5,2543.9,0,72,9.1
0.083365,282.2,162.4,1523.5,642.8,2318.5,148.4,498.5,1771.7,2543.7,117.1,72.8,2.7
0.085365,280.1,155.0,1508.1,623.9,2319.4,138.3,498.4,1770.8,2543.5,117.1,73.3,2.2
0.087365,284.0,152.2,1470.5,591.9,2311.0,125.9,498.2,1769.9,2543.3,117.2,73.8,3.7
0.089365,290.3,151.1,1437.7,581.5,2303.6,119.2,498,1769,2543,117.2,74.1,6
0.091365,289.5,146.0,1417.9,629.5,2306.6,124.5,497.9,1768,2542.8,117.3,74.4,8.5
0.093365,282.2,142.3,1398.6,729.4,2318.4,137.8,497.7,1767.1,2542.5,117.3,74.8,10.8
0.095365,276.3,147.7,1368.5,811.7,2331.9,148.1,497.5,1766.1,2542.3,117.3,75.2,12.7
0.097365,274.0,160.0,1343.3,854.5,2345.8,150.3,497.3,1765.1,2542,117.3,75.5,14.4
0.099365,272.8,164.0,1344.5,869.9,2358.2,143.8,497.1,1764,2541.7,117.3,75.7,16.1
0.101365,271.2,160.2,1362.8,828.0,2367.1,134.5,497,1763,2541.5,117.3,75.9,17.6
0.103365,273.2,163.0,1366.9,750.3,2370.2,132.0,496.8,1761.9,2541.2,117.3,76.1,18.9
0.105365,281.1,176.3,1359.9,702.7,2368.0,140.1,496.6,1760.8,2540.9,117.3,76.2,19.8
0.107365,291.3,190.6,1361.6,662.5,2367.5,153.4,496.4,1759.6,2540.6,117.2,76.2,20.6
0.109365,298.3,204.4,1379.4,594.7,2371.2,167.2,496.1,1758.5,2540.3,117.2,76.3,21.2
0.111365,307.9,232.4,1401.1,523.5,2372.5,180.1,495.9,1757.3,2539.9,117.2,76.5,21.5
0.113365,326.1,269.3,1414.4,485.9,2370.6,186.8,495.7,1756.1,2539.6,117.1,76.6,21.4
0.115365,339.0,278.8,1415.7,463.7,2370.3,185.7,495.5,1754.9,2539.3,117,76.8,21
0.117365,334.1,259.0,1406.0,411.2,2370.6,182.0,495.3,1753.7,2538.9,117,76.9,20.2
0.119365,319.4,235.6,1395.8,318.1,2367.2,189.2,495,1752.4,2538.6,116.9,77,18.9
0.121365,310.2,228.2,1395.2,246.5,2356.9,220.4,494.8,1751.1,2538.2,116.8,77.1,17.6
0.123365,311.9,232.7,1408.0,231.1,2353.0,259.8,494.6,1749.8,2537.8,116.7,77.1,16.3
0.125365,314.9,234.8,1437.0,271.0,2366.3,294.2,494.3,1748.5,2537.4,116.6,77.3,15.3
0.127365,322.9,251.6,1504.4,386.8,2396.0,346.4,494.1,1747.2,2537,116.5,77.5,14.2
0.129365,355.6,298.3,1656.5,503.6,2461.8,403.9,493.8,1745.8,2536.6,116.4,77.9,13.1
0.131365,418.2,304.0,1801.4,430.2,2554.4,361.0,493.6,1744.4,2536.2,116.3,78.2,12.2
0.133365,442.0,251.2,1871.5,373.5,2616.1,261.3,493.3,1743.1,2535.8,116.2,78.5,11.6
0.135365,429.8,230.5,1940.1,416.9,2645.2,200.6,493.1,1741.7,2535.4,116.1,78.7,11.5
0.137365,415.0,231.0,2065.7,529.9,2657.2,191.3,492.8,1740.2,2534.9,115.9,78.9,12.1
0.139365,424.7,232.6,2206.4,558.7,2662.9,208.2,492.5,1738.8,2534.5,115.8,79,13
0.141365,439.1,219.4,2282.5,518.1,2667.1,223.1,492.3,1737.3,2534,115.7,79,14
0.143365,439.5,206.2,2326.2,490.0,2671.3,248.2,492,1735.9,2533.6,115.5,79.1,14.9
0.145365,435.8,204.8,2370.3,446.9,2684.3,301.4,491.7,1734.4,2533.1,115.4,79.2,15.4
0.147365,440.0,209.6,2397.0,381.5,2710.6,351.8,491.4,1732.9,2532.6,115.2,79.2,15.7
0.149365,447.8,207.8,2402.9,350.7,2726.8,360.9,491.1,1731.4,2532.1,115.1,79.3,15.9
0.151365,447.2,201.4,2404.4,341.5,2738.3,353.0,490.8,1729.9,2531.6,114.9,79.4,16.1
0.153365,441.8,198.3,2404.3,317.5,2763.2,327.9,490.5,1728.3,2531.1,114.7,79.4,16.3
0.155365,442.1,195.5,2403.9,278.8,2787.2,289.9,490.3,1726.8,2530.6,114.6,79.4,16.5
0.157365,450.6,183.1,2404.1,248.3,2796.5,259.5,490,1725.2,2530,114.4,79.4,16.7
0.159365,456.7,166.9,2406.5,238.5,2796.3,253.1,489.6,1723.7,2529.5,114.2,79.4,16.9
0.161365,457.5,160.4,2412.7,245.5,2794.5,277.5,489.3,1722.1,2529,114,79.4,17.1
0.163365,457.8,167.0,2425.0,253.5,2800.4,344.3,489,1720.5,2528.4,113.8,79.3,17.3
0.165365,460.9,176.5,2435.4,245.5,2820.0,422.1,488.7,1718.9,2527.8,113.6,79.3,17.7
0.167365,462.8,174.6,2436.1,240.8,2830.0,455.8,488.4,1717.3,2527.2,113.4,79.3,18.2
0.169365,459.9,167.7,2428.5,247.1,2818.5,452.0,488.1,1715.7,2526.6,113.2,79.3,18.7
0.171365,457.2,167.5,2413.5,241.0,2809.7,438.8,487.8,1714,2526,113,79.3,19.2
0.173365,461.7,171.2,2398.9,217.8,2808.6,424.8,487.4,1712.4,2525.4,112.7,79.3,19.5
0.175365,469.0,165.7,2390.8,204.3,2801.4,409.9,487.1,1710.8,2524.8,112.5,79.2,19.5
0.177365,469.3,154.9,2387.9,208.4,2788.2,396.0,486.8,1709.1,2524.2,112.2,79.2,19.2
0.179365,463.9,151.3,2387.6,230.6,2772.5,369.0,486.5,1707.5,2523.5,112,79.1,18.7
