time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025641,1096.6,250.8,1722.2,182.1,3379.2,564.3,905.4,1694.9,3331.2,0,73.8,7.1
0.027641,1067.7,313.0,1706.8,203.7,3404.9,681.6,905.3,1695,3331.2,0,75.4,13.7
0.029641,1043.9,437.9,1716.2,278.7,3576.5,852.1,905.1,1695.2,3331.1,0,77,11.5
0.031641,1062.3,505.6,1771.3,364.5,3741.1,654.8,904.8,1695.5,3331,0,78.5,5.3
0.033641,1069.4,491.3,1807.7,388.2,3757.4,542.4,904.4,1695.9,3330.9,0,79.8,-0.1
0.035641,1057.6,483.8,1799.6,395.8,3751.2,530.7,903.9,1696.4,3330.7,0,80.8,-1.1
0.037641,1037.2,480.6,1767.7,388.3,3754.8,576.7,903.4,1696.9,3330.5,0,81.5,-1.4
0.039641,1014.7,463.1,1734.5,357.7,3627.8,2397.2,902.7,1697.6,3330.3,0,82.1,-1.8
0.041641,994.5,424.0,1711.2,319.7,3439.3,1648.7,902,1698.3,3330.1,0,82.4,-2
0.043641,978.6,364.2,1695.5,282.8,3414.5,1294.7,901.2,1699.1,3329.9,0,82.7,-2
0.045641,969.3,301.2,1683.7,245.5,3460.8,1062.3,900.3,1700,3329.6,211.3,82.9,-1.4
0.047641,967.5,250.2,1675.5,212.1,3494.7,892.8,899.3,1701,3329.3,211.7,83.1,-0.4
0.049641,973.9,224.2,1674.9,199.7,3504.8,790.4,898.3,1702.1,3328.9,212,83.3,0.9
0.051641,986.2,216.7,1681.5,210.8,3498.0,732.1,897.1,1703.2,3328.6,212.4,83.5,2.4
0.053641,1002.2,217.8,1693.3,241.5,3470.6,731.2,895.9,1704.5,3328.2,212.7,83.6,4
0.055641,1018.2,218.1,1705.9,279.3,3432.4,775.6,894.6,1705.8,3327.8,213.1,83.8,5.5
0.057641,1030.7,210.4,1715.3,307.6,3409.3,880.5,893.2,1707.2,3327.4,213.5,83.9,7.2
0.059641,1035.7,194.6,1717.8,309.0,3430.3,1185.9,891.7,1708.7,3326.9,213.9,84,9
0.061641,1036.8,176.7,1719.3,291.0,3233.3,1497.3,890.1,1710.3,3326.5,214.3,84.2,10.7
0.063641,1037.3,165.0,1725.6,272.8,3192.0,1422.8,888.5,1711.9,3326,214.7,84.3,12.2
0.065641,1035.9,162.1,1732.3,261.7,3200.1,1235.0,886.8,1713.7,3325.4,215,84.4,13.1
0.067641,1032.3,164.8,1737.2,249.7,3184.8,1103.8,885,1715.5,3324.9,215.4,84.4,13.5
0.069641,1029.3,169.7,1741.2,232.3,3198.0,1077.2,883.1,1717.4,3324.3,215.8,84.5,13.7
0.071641,1027.7,173.6,1744.8,211.9,3225.0,1132.3,881.1,1719.4,3323.8,216.1,84.5,13.7
0.073641,1026.9,174.9,1748.8,192.7,3251.1,1254.5,879.1,1721.5,3323.2,216.5,84.5,13.8
0.075641,1027.4,176.4,1755.3,177.7,3335.2,1337.2,877,1723.6,3322.6,216.8,84.5,14.2
0.077641,1030.9,182.1,1766.6,162.9,3468.2,996.7,874.8,1725.8,3321.9,217.1,84.5,14.7
0.079641,1036.9,191.1,1779.3,146.9,3452.6,692.0,872.5,1728.2,3321.3,217.4,84.4,15.3
0.081641,1043.7,198.9,1790.2,131.5,3433.4,521.4,870.2,1730.6,3320.6,217.7,84.3,15.8
0.083641,1049.6,202.6,1799.0,120.6,3421.0,422.2,867.7,1733,3319.9,217.9,84.2,16.3
0.085641,1053.7,203.9,1806.8,117.6,3417.3,374.8,865.2,1735.6,3319.2,218.2,84.1,16.7
0.087641,1056.6,207.5,1816.0,122.4,3422.7,356.9,862.7,1738.2,3318.5,218.4,84,17.1
0.089641,1058.2,215.0,1826.7,132.8,3435.0,351.4,860,1741,3317.8,218.7,83.9,17.5
0.091641,1058.4,225.4,1839.9,146.5,3450.8,345.8,857.3,1743.7,3317,218.9,83.8,17.7
