time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025953,1810.2,589.5,2347.9,439.7,4215.1,836.0,621.1,1914,2900.3,212.3,60.4,-178.5
0.027953,1787.9,572.5,2326.8,445.7,4187.4,1105.6,621.1,1914,2900.3,213.4,61.3,-209.6
0.029953,1807.9,553.8,2309.2,498.9,4204.4,1642.0,621,1913.9,2900.3,214.4,62.7,-222.3
0.031953,1863.5,541.3,2307.1,615.1,3935.8,3034.6,621,1913.9,2900.4,215.5,64.6,-226.4
0.033953,1918.5,515.2,2340.0,749.5,3664.7,4209.1,620.9,1913.8,2900.5,216.5,66.8,-222
0.035953,1954.2,465.6,2423.7,793.3,4503.1,1765.3,620.8,1913.8,2900.6,217.5,69.4,-209.4
0.037953,1965.6,392.5,2508.6,701.3,4247.9,1250.8,620.7,1913.7,2900.7,218.4,72,-186.8
0.039953,199.2,474.2,1952.0,327.8,2560.3,598.0,620.6,1913.6,2900.9,219.3,74.5,-146.7
0.041953,258.7,210.1,1908.3,304.1,2573.0,593.4,620.5,1913.5,2901.1,220.2,76.7,-96.7
0.043953,267.0,129.3,1858.8,295.5,2537.5,676.6,620.3,1913.4,2901.2,221,78.6,-46.6
0.045953,269.8,104.2,1838.6,314.4,2446.8,694.2,620.1,1913.3,2901.4,221.7,80.2,-6.2
0.047953,269.7,95.0,1843.0,350.4,2394.9,649.0,620,1913.1,2901.7,222.4,81.5,15.9
0.049953,267.6,90.0,1870.1,391.9,2377.3,631.7,619.8,1913,2901.9,222.9,82.4,23.5
0.051953,264.6,85.3,1908.0,430.2,2361.8,622.4,619.6,1912.8,2902.2,223.5,83.1,22.1
0.053953,261.3,81.0,1938.0,447.3,2338.8,587.4,619.3,1912.6,2902.5,223.9,83.5,16.8
0.055953,258.6,81.3,1940.7,421.7,2319.0,520.8,619.1,1912.4,2902.8,224.3,83.8,12.5
0.057953,257.1,88.7,1921.1,384.4,2303.2,445.0,618.8,1912.2,2903.1,224.6,83.9,13
0.059953,256.1,101.1,1897.0,361.4,2291.7,383.6,618.6,1912,2903.4,224.8,83.9,14.8
0.061953,254.3,112.2,1881.3,356.6,2291.4,359.8,618.3,1911.8,2903.8,224.9,83.8,16.8
0.063953,251.3,117.9,1874.0,368.1,2302.2,371.5,618,1911.5,2904.2,225,83.8,18.8
